Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","Material","Color","For Use With/Related Products"
http://www.ftdichip.com/Support/Documents/DataSheets/Modules/DS_VDRIVE3.pdf,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/MFG_VDRIVE3-LD.JPG,768-1203-ND,VDRIVE3-LD,"FTDI, Future Technology Devices International Ltd",MOD USB FLASH DRV INTRFACE W/LID,330,0,"22.75000","0","1","Vinculum-II","Active","USB Audio Module","Plastic","Gray","USB Devices"
http://www.ftdichip.com/Support/Documents/DataSheets/Modules/DS_VDRIVE2.pdf,//media.digikey.com/photos/FTDI%20(Future%20Tech%20Devices)/VDRIVE2.JPG,768-1003-ND,VDRIVE2,"FTDI, Future Technology Devices International Ltd",MOD USB FLASH DRIVE INTERFACE,415,0,"25.23000","0","1","Vinculum","Active","USB Audio Module","Plastic","Gray","USB Devices"
https://www.mspindy.com/specifications/ACC03.pdf,//media.digikey.com/photos/Mallory%20Sonalert%20Products%20Photos/MFG_ACC03.jpg,458-1109-ND,ACC03,Mallory Sonalert Products Inc.,GASKET NEMA 4X FOR 1SC SERIES,1025,0,"0.79000","0","1","-","Active","Gasket, Seal","Neoprene","Black","Panel Mount Alarms"
https://www.knowles.com/docs/default-source/model-downloads/bf-1861-000.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/BF-1861-000.jpg,423-1158-ND,BF-1861-000,Knowles,ACOUSTIC DAMPER 1500 OHMS,3323,0,"1.59000","0","1","BF","Active","Damper","Acoustic Cloth","Green","Hearing Aids"
https://www.knowles.com/docs/default-source/model-downloads/bf-1859-000.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/BF-1859-000.JPG,423-1218-ND,BF-1859-000,Knowles,ACOUSTIC DAMPER 680 OHMS,1243,0,"1.59000","0","1","BF","Active","Damper","Acoustic Cloth","White","Hearing Aids"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=207314&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Amp%20Photos/207314-1.jpg,A25077-ND,207314-1,TE Connectivity AMP Connectors,CONN PLUG CORD GUARD 4-6POS BLK,600,0,"2.25000","0","1","CPC","Active","Cord Guard","Nylon","Black","Microphone"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=207332&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Amp%20Photos/207332-1.jpg,A25076-ND,207332-1,TE Connectivity AMP Connectors,CONN PLUG HOUSING CPC 6POS BLACK,778,0,"3.92000","0","1","CPC","Active","Connector Housing","Thermoplastic","Black","Microphone"
https://www.knowles.com/docs/default-source/model-downloads/bf-1922-000.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/BF-1922-000.JPG,423-1185-ND,BF-1922-000,Knowles,ACOUSTIC DAMPER ORANGE 3300OHMS,697,0,"1.59000","0","1","BF","Active","Damper","Acoustic Cloth","Orange","Hearing Aids"
https://www.knowles.com/docs/default-source/model-downloads/bf-1923-000.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/BF-1923-000.JPG,423-1186-ND,BF-1923-000,Knowles,ACOUSTIC DAMPER YELLOW 4700OHMS,645,0,"1.59000","0","1","BF","Active","Damper","Acoustic Cloth","Yellow","Hearing Aids"
https://www.knowles.com/docs/default-source/model-downloads/bf-1921-000.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/BF-1921-000.JPG,423-1184-ND,BF-1921-000,Knowles,ACOUSTIC DAMPER RED 2200OHMS,381,0,"1.59000","0","1","BF","Active","Damper","Acoustic Cloth","Red","Hearing Aids"
https://www.knowles.com/docs/default-source/model-downloads/bf-1860-000.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/BF-1860-000.JPG,423-1183-ND,BF-1860-000,Knowles,ACOUSTIC DAMPER BROWN 1000OHMS,266,0,"1.59000","0","1","BF","Active","Damper","Acoustic Cloth","Brown","Hearing Aids"
