Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Driver Circuitry","Input Type","Voltage - Rated","Voltage Range","Frequency","Technology","Operating Mode","Duration","Sound Pressure Level (SPL)","Current - Supply","Port Location","Operating Temperature","Approvals","Ratings","Ingress Protection","Mounting Type","Termination","Size / Dimension","Height - Seated (Max)"
https://product.tdk.com/info/en/catalog/datasheets/piezoelectronic_buzzer_ps_en.pdf,//media.digikey.com/photos/TDK%20Photos/PS1240P02AT.jpg,445-2525-3-ND,PS1240P02BT,TDK Corporation,AUDIO PIEZO TRANSDUCER 30V TH,14000,0,"0.38634","0","500","Tape & Box (TB)","PS","Active","Transducer, Externally Driven","Zero-Peak Signal","3V","30V (Max)","4kHz","Piezo","Single Tone","-","60dB @ 3V, 10cm","-","Top","-10°C ~ 70°C","-","-","-","Through Hole","PC Pins","0.480"" Dia (12.20mm)","0.307"" (7.80mm)"
https://product.tdk.com/info/en/catalog/datasheets/piezoelectronic_buzzer_ps_en.pdf,//media.digikey.com/photos/TDK%20Photos/PS1240P02AT.jpg,445-2525-1-ND,PS1240P02BT,TDK Corporation,AUDIO PIEZO TRANSDUCER 30V TH,14166,0,"0.68000","0","1","Cut Tape (CT)","PS","Active","Transducer, Externally Driven","Zero-Peak Signal","3V","30V (Max)","4kHz","Piezo","Single Tone","-","60dB @ 3V, 10cm","-","Top","-10°C ~ 70°C","-","-","-","Through Hole","PC Pins","0.480"" Dia (12.20mm)","0.307"" (7.80mm)"
https://product.tdk.com/info/en/catalog/datasheets/piezoelectronic_buzzer_ps_en.pdf,//media.digikey.com/photos/TDK%20Photos/PS1240P02CT3.JPG,445-5229-3-ND,PS1240P02CT3,TDK Corporation,AUDIO PIEZO TRANSDUCER 30V TH,4000,0,"0.41848","0","500","Tape & Box (TB)","PS","Active","Transducer, Externally Driven","Zero-Peak Signal","3V","30V (Max)","4kHz","Piezo","Single Tone","-","60dB @ 3V, 10cm","-","Top","-10°C ~ 70°C","-","-","-","Through Hole","PC Pins","0.480"" Dia (12.20mm)","0.181"" (4.60mm)"
https://product.tdk.com/info/en/catalog/datasheets/piezoelectronic_buzzer_ps_en.pdf,//media.digikey.com/photos/TDK%20Photos/PS1240P02CT3.JPG,445-5229-1-ND,PS1240P02CT3,TDK Corporation,AUDIO PIEZO TRANSDUCER 30V TH,4820,0,"0.73000","0","1","Cut Tape (CT)","PS","Active","Transducer, Externally Driven","Zero-Peak Signal","3V","30V (Max)","4kHz","Piezo","Single Tone","-","60dB @ 3V, 10cm","-","Top","-10°C ~ 70°C","-","-","-","Through Hole","PC Pins","0.480"" Dia (12.20mm)","0.181"" (4.60mm)"
https://www.soberton.com/wp-content/uploads/2019/02/WT-1205-16-Feb-2019.pdf,//media.digikey.com/photos/Soberton%20Photos/WT-1205.jpg,433-1028-ND,WT-1205,Soberton Inc.,AUDIO MAGNETIC XDCR 4-6V TH,49651,0,"0.55000","0","1","Bulk","WT","Active","Transducer, Externally Driven","Zero-Peak Signal","5V","4 ~ 6V","2.4kHz","Magnetic","Single Tone","-","87dB @ 5V, 10cm","50mA","Top","-20°C ~ 70°C","-","Washable","-","Through Hole","PC Pins","0.472"" Dia (12.00mm)","0.386"" (9.80mm)"
https://www.soberton.com/wp-content/uploads/2019/02/GT-111P-14-Feb-2019.pdf,//media.digikey.com/photos/Soberton%20Photos/GT-111P.jpg,433-1020-ND,GT-111P,Soberton Inc.,AUDIO MAGNETIC XDCR 1-4V TH,2341,0,"0.58000","0","1","-","GT","Active","Transducer, Externally Driven","Zero-Peak Signal","1.5V","1 ~ 3V","2.048kHz","Magnetic","Single Tone","-","80dB @ 1.5V, 10cm","10mA","Top","-20°C ~ 60°C","-","-","-","Through Hole","PC Pins","0.472"" Dia (12.00mm)","0.346"" (8.80mm)"
http://www.puiaudio.com/pdf/AT-1224-TWT-5V-2-R.pdf,//media.digikey.com/Photos/PUI%20Audio/AT-1224-TWT-5V-2-R.jpg,668-1470-ND,AT-1224-TWT-5V-2-R,"PUI Audio, Inc.",AUDIO MAGNETIC XDCR 3-7V TH,8381,0,"0.61000","0","1","Tray","AT","Active","Transducer, Externally Driven","Peak-Peak Signal","5V","3 ~ 7V","2.4kHz","Magnetic","Single Tone","-","87dB @ 5V, 10cm","40mA","Top","-30°C ~ 70°C","-","Washable","-","Through Hole","PC Pins","0.472"" Dia (12.00mm)","0.366"" (9.30mm)"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/sound/p37e.ashx?la=en-us,//media.digikey.com/photos/Murata%20Photos/PKM13EPYH4002-B0.jpg,490-4697-ND,PKM13EPYH4002-B0,Murata Electronics North America,AUDIO PIEZO TRANSDUCER 30V TH,19552,0,"0.69000","0","1","Bulk","PK","Active","Transducer, Externally Driven","Zero-Peak Signal","1.5V","30V (Max)","4kHz","Piezo","Ringer","-","70dB @ 1.5V, 10cm","-","Top","-40°C ~ 85°C","-","-","-","Through Hole","PC Pins","0.496"" Dia (12.60mm)","0.291"" (7.40mm)"
https://www.cui.com/product/resource/digikeypdf/cem-1203-42-.pdf,//media.digikey.com/photos/CUI%20Photos/CEM-1203(42).jpg,102-1153-ND,CEM-1203(42),CUI Inc.,AUDIO MAGNETIC XDCR 3-5V TH,127279,0,"0.74000","0","1","Tray","CEM","Active","Transducer, Externally Driven","Zero-Peak Signal","3.5V","3 ~ 5V","2.048kHz","Magnetic","Single Tone","-","85dB @ 3.5V, 10cm","35mA","Top","-20°C ~ 60°C","-","-","-","Through Hole","PC Pins","0.472"" Dia (12.00mm)","0.354"" (9.00mm)"
https://www.murata.com/~/media/webrenewal/products/sound/sounder/vppt-buzj083-d.ashx,//media.digikey.com/Photos/Murata%20Photos/PKMCS0909E4000-R1.JPG,490-9647-2-ND,PKMCS0909E4000-R1,Murata Electronics North America,AUDIO PIEZO TRANSDUCER 12.5V SMD,22000,0,"0.76278","0","2000","Tape & Reel (TR)","PK","Active","Transducer, Externally Driven","Zero-Peak Signal","1.5V","12.5V (Max)","4kHz","Piezo","Single Tone","-","65dB @ 1.5V, 10cm","-","Side","-40°C ~ 85°C","-","-","-","Surface Mount","Solder Pads","0.354"" L x 0.354"" W (9.00mm x 9.00mm)","0.075"" (1.90mm)"
