Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Frequency","Voltage - Input (Max)","Type","Impedance","Capacitance @ Frequency","Operating Temperature","Size / Dimension","Termination"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/sound/p37e.ashx?la=en-us,//media.digikey.com/Photos/Murata%20Photos/7BB-12-9.jpg,490-7709-ND,7BB-12-9,Murata Electronics North America,BUZZER ELEMENT STD 9KHZ,4118,0,"0.48000","0","1","7BB","Active","9kHz","-","Standard","1 kOhms","8000pF @ 1kHz","-","0.472"" Dia (12.00mm)","None"
http://www.puiaudio.com/pdf/AB2040B.pdf,"//media.digikey.com/photos/Projects%20Unlimited%20Photos/AB2065B,AB2040B.jpg",668-1006-ND,AB2040B,"PUI Audio, Inc.",BUZZER ELEMENT PIEZO 4KHZ 20MM,8135,0,"0.92000","0","1","-","Active","4kHz","30V p-p","Standard","350 Ohms","25000pF @ 1kHz","-20°C ~ 60°C","0.787"" Dia (20.00mm)","None"
http://www.puiaudio.com/pdf/AB1290B.pdf,//media.digikey.com/photos/Projects%20Unlimited%20Photos/AB1290B.jpg,668-1001-ND,AB1290B,"PUI Audio, Inc.",BUZZER ELEMENT PIEZO 9KHZ 12MM,4389,0,"0.92000","0","1","-","Active","9kHz","30V p-p","Standard","500 Ohms","8000pF @ 1kHz","-20°C ~ 60°C","0.472"" Dia (12.00mm)","None"
http://www.puiaudio.com/pdf/AB1541B-LW100-R.pdf,//media.digikey.com/photos/PUI%20Audio/AB1541B-LW100-R.jpg,668-1448-ND,AB1541B-LW100-R,"PUI Audio, Inc.",BUZZER ELEMENT PIEZO 4.1KHZ 100M,8100,0,"1.07000","0","1","AB","Active","4.1kHz","30V p-p","Standard","1 kOhms","8000pF @ 1kHz","-20°C ~ 60°C","0.591"" Dia (15.00mm)","Wire Leads"
https://www.cui.com/product/resource/digikeypdf/ceb-20d64.pdf,//media.digikey.com/photos/CUI%20Photos/CEB-20D64.jpg,102-1126-ND,CEB-20D64,CUI Inc.,BUZZ ELEM PIEZO STD 6.5KHZ 30V,17755,0,"1.23000","0","1","CEB","Active","6.5kHz","30V p-p","Standard","350 Ohms","13000pF @ 120Hz","-20°C ~ 70°C","0.787"" Dia (20.00mm)","Wire Leads"
http://www.puiaudio.com/pdf/AB1070B-LW100-R.pdf,//media.digikey.com/Photos/PUI%20Audio/AB1070B-LW100-R.JPG,668-1401-ND,AB1070B-LW100-R,"PUI Audio, Inc.",PIEZO CER BENDER 7000HZ 1000 OHM,12947,0,"1.47000","0","1","AB","Active","7kHz","15V p-p","Standard","1 kOhms","10000pF @ 1kHz","-20°C ~ 80°C","0.394"" Dia (10.00mm)","Wire Leads"
http://www.puiaudio.com/pdf/AB2025B-LW100-R.pdf,//media.digikey.com/Photos/PUI%20Audio/AB2025B-LW100-R.JPG,668-1403-ND,AB2025B-LW100-R,"PUI Audio, Inc.",PIEZO CERAMIC BENDER 20MM 2.5KHZ,11545,0,"1.49000","0","1","AB","Active","2.5kHz","30V p-p","Standard","500 Ohms","80000pF @ 1kHz","-20°C ~ 60°C","0.787"" Dia (20.00mm)","Wire Leads"
https://www.cui.com/product/resource/digikeypdf/ceb-20fd64.pdf,//media.digikey.com/photos/CUI%20Photos/CEB-20FD64.jpg,102-1129-ND,CEB-20FD64,CUI Inc.,BUZZ ELEM PIEZO FEDBK 6.4KHZ 30V,14377,0,"1.52000","0","1","CEB","Active","6.4kHz","30V p-p","Feedback","400 Ohms","10000pF @ 1kHz","-20°C ~ 70°C","0.787"" Dia (20.00mm)","Wire Leads"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/sound/p37e.ashx?la=en-us,//media.digikey.com/Photos/Murata%20Photos/7BB-20-3.JPG,490-7710-ND,7BB-20-3,Murata Electronics North America,BUZZER ELEMENT STD 3.6KHZ,1605,0,"0.53000","0","1","7BB","Active","3.6kHz","-","Standard","500 Ohms","20000pF @ 1kHz","-","0.787"" Dia (20.00mm)","None"
//media.digikey.com/pdf/Data%20Sheets/Murata%20PDFs/7BB-15-6L0_Spec.pdf,//media.digikey.com/Photos/Murata%20Photos/7BB-15-6L0.jpg,490-7800-ND,7BB-15-6L0,Murata Electronics North America,BUZZER ELEMENT STANDARD 6KHZ,2668,0,"0.86000","0","1","7BB","Active","6kHz","-","Standard","1.2 kOhms","9500pF @ 1kHz","-20°C ~ 70°C","0.591"" Dia (15.00mm)","Wire Leads"
http://www.puiaudio.com/pdf/AB2025B.pdf,//media.digikey.com/photos/Projects%20Unlimited%20Photos/AB2025B.jpg,668-1004-ND,AB2025B,"PUI Audio, Inc.",BUZZER ELEMENT PIEZO 2.5KHZ 20MM,3042,0,"0.92000","0","1","-","Active","2.5kHz","30V p-p","Standard","500 Ohms","80000pF @ 1kHz","-20°C ~ 60°C","0.787"" Dia (20.00mm)","None"
http://www.puiaudio.com/pdf/AB1541.pdf,"//media.digikey.com/photos/Projects%20Unlimited%20Photos/AB1541,AB1548B.jpg",668-1002-ND,AB1541,"PUI Audio, Inc.",BUZZER ELEMENT PIEZO 4.1KHZ 15MM,2992,0,"0.92000","0","1","-","Active","4.1kHz","15V p-p","Standard","1 kOhms","8000pF @ 1kHz","-20°C ~ 60°C","0.591"" Dia (15.00mm)","None"
http://www.puiaudio.com/pdf/AB1070B.pdf,//media.digikey.com/photos/Projects%20Unlimited%20Photos/AB1070B.jpg,668-1000-ND,AB1070B,"PUI Audio, Inc.",BUZZER ELEMENT PIEZO 7KHZ 10MM,2116,0,"0.92000","0","1","-","Active","7kHz","15V p-p","Standard","1 kOhms","10000pF @ 1kHz","-20°C ~ 60°C","0.394"" Dia (10.00mm)","None"
http://www.puiaudio.com/pdf/AB2746B.pdf,"//media.digikey.com/photos/Projects%20Unlimited%20Photos/AB3526B,AB2726B,AB2746B.jpg",668-1013-ND,AB2746B,"PUI Audio, Inc.",BUZZER ELEMENT PIEZO 4.6KHZ 27MM,1332,0,"0.92000","0","1","-","Active","4.6kHz","20V p-p","Standard","250 Ohms","16000pF @ 1kHz","-20°C ~ 70°C","1.063"" Dia (27.00mm)","None"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/sound/p37e.ashx?la=en-us,//media.digikey.com/Photos/Murata%20Photos/7BB-27-4L0.JPG,490-7714-ND,7BB-27-4L0,Murata Electronics North America,BUZZER ELEMENT STD 4.6KHZ,1431,0,"0.94000","0","1","7BB","Active","4.6kHz","-","Standard","300 Ohms","20000pF @ 1kHz","-","1.063"" Dia (27.00mm)","Wire Leads"
http://www.puiaudio.com/pdf/AB2720B.pdf,//media.digikey.com/photos/Projects%20Unlimited%20Photos/AB2720B.jpg,668-1009-ND,AB2720B,"PUI Audio, Inc.",BUZZER ELEMENT PIEZO 2KHZ 27MM,3770,0,"1.06000","0","1","-","Active","2kHz","30V p-p","Standard","300 Ohms","45000pF @ 1kHz","-20°C ~ 70°C","1.063"" Dia (27.00mm)","None"
