Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Output Type","Direction","Frequency Range","Sensitivity","S/N Ratio","Impedance","Voltage - Rated","Voltage Range","Current - Supply","Port Location","Ratings","Termination","Size / Dimension","Height (Max)","Shape"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Acoustics%20PDFs/SPU0410LR5H-QB_RevH_3-27-13.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/SPU0410LR5H-QB.jpg,423-1139-2-ND,SPU0410LR5H-QB-7,Knowles,SPU-BOTTOM MIC IOT FOCUSED MIC,68400,0,"0.30000","0","5700","Tape & Reel (TR)","SiSonic™ SPU","Active","MEMS (Silicon)","Analog","Omnidirectional","100Hz ~ 80kHz","-38dB ±3dB @ 94dB SPL","63dB","400 Ohms","-","1.5V ~ 3.6V","160µA","Bottom","-","Solder Pads","0.148"" L x 0.118"" W (3.76mm x 3.00mm)","0.047"" (1.20mm)","Rectangular"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Acoustics%20PDFs/SPU0410LR5H-QB_RevH_3-27-13.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/SPU0410LR5H-QB.jpg,423-1139-1-ND,SPU0410LR5H-QB-7,Knowles,SPU-BOTTOM MIC IOT FOCUSED MIC,72252,0,"0.74000","0","1","Cut Tape (CT)","SiSonic™ SPU","Active","MEMS (Silicon)","Analog","Omnidirectional","100Hz ~ 80kHz","-38dB ±3dB @ 94dB SPL","63dB","400 Ohms","-","1.5V ~ 3.6V","160µA","Bottom","-","Solder Pads","0.148"" L x 0.118"" W (3.76mm x 3.00mm)","0.047"" (1.20mm)","Rectangular"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Acoustics%20PDFs/SPU0410LR5H-QB_RevH_3-27-13.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/SPU0410LR5H-QB.jpg,423-1139-6-ND,SPU0410LR5H-QB-7,Knowles,SPU-BOTTOM MIC IOT FOCUSED MIC,72252,0,"Digi-Reel","0","1","Digi-Reel®","SiSonic™ SPU","Active","MEMS (Silicon)","Analog","Omnidirectional","100Hz ~ 80kHz","-38dB ±3dB @ 94dB SPL","63dB","400 Ohms","-","1.5V ~ 3.6V","160µA","Bottom","-","Solder Pads","0.148"" L x 0.118"" W (3.76mm x 3.00mm)","0.047"" (1.20mm)","Rectangular"
https://www.knowles.com/docs/default-source/model-downloads/spw2430hr5h-b.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/MFG_SPW2430HR5H-B.jpg,423-1394-2-ND,SPW2430HR5H-B,Knowles,MAMET MIC ANALOG TOP PORT,51300,0,"0.31600","0","5700","Tape & Reel (TR)","SiSonic™ SPW","Active","MEMS (Silicon)","Analog","Omnidirectional","100Hz ~ 10kHz","-42dB ±3dB @ 94dB SPL","59dB","450 Ohms","-","1.5V ~ 3.6V","110µA","Top","-","Solder Pads","0.122"" L x 0.098"" W (3.10mm x 2.50mm)","0.043"" (1.10mm)","Rectangular"
https://www.knowles.com/docs/default-source/model-downloads/spw2430hr5h-b.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/MFG_SPW2430HR5H-B.jpg,423-1394-1-ND,SPW2430HR5H-B,Knowles,MAMET MIC ANALOG TOP PORT,55258,0,"0.86000","0","1","Cut Tape (CT)","SiSonic™ SPW","Active","MEMS (Silicon)","Analog","Omnidirectional","100Hz ~ 10kHz","-42dB ±3dB @ 94dB SPL","59dB","450 Ohms","-","1.5V ~ 3.6V","110µA","Top","-","Solder Pads","0.122"" L x 0.098"" W (3.10mm x 2.50mm)","0.043"" (1.10mm)","Rectangular"
https://www.knowles.com/docs/default-source/model-downloads/spw2430hr5h-b.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/MFG_SPW2430HR5H-B.jpg,423-1394-6-ND,SPW2430HR5H-B,Knowles,MAMET MIC ANALOG TOP PORT,55258,0,"Digi-Reel","0","1","Digi-Reel®","SiSonic™ SPW","Active","MEMS (Silicon)","Analog","Omnidirectional","100Hz ~ 10kHz","-42dB ±3dB @ 94dB SPL","59dB","450 Ohms","-","1.5V ~ 3.6V","110µA","Top","-","Solder Pads","0.122"" L x 0.098"" W (3.10mm x 2.50mm)","0.043"" (1.10mm)","Rectangular"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Acoustics%20PDFs/SPW0442HR5H-1_DS_RevE.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/MFG_SPW0442HR5H-1.jpg,423-1417-2-ND,SPW0442HR5H-1,Knowles,GLENGARRY MIC PREC ANALOG TOP PT,5700,0,"0.39300","0","5700","Tape & Reel (TR)","SiSonic™ SPW","Active","MEMS (Silicon)","Analog","Omnidirectional","10Hz ~ 10kHz","-42dB ±1dB @ 94dB SPL","59dB","500 Ohms","-","1.5V ~ 3.6V","185µA","Top","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Acoustics%20PDFs/SPW0442HR5H-1_DS_RevE.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/MFG_SPW0442HR5H-1.jpg,423-1417-1-ND,SPW0442HR5H-1,Knowles,GLENGARRY MIC PREC ANALOG TOP PT,7044,0,"0.88000","0","1","Cut Tape (CT)","SiSonic™ SPW","Active","MEMS (Silicon)","Analog","Omnidirectional","10Hz ~ 10kHz","-42dB ±1dB @ 94dB SPL","59dB","500 Ohms","-","1.5V ~ 3.6V","185µA","Top","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Acoustics%20PDFs/SPW0442HR5H-1_DS_RevE.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/MFG_SPW0442HR5H-1.jpg,423-1417-6-ND,SPW0442HR5H-1,Knowles,GLENGARRY MIC PREC ANALOG TOP PT,7044,0,"Digi-Reel","0","1","Digi-Reel®","SiSonic™ SPW","Active","MEMS (Silicon)","Analog","Omnidirectional","10Hz ~ 10kHz","-42dB ±1dB @ 94dB SPL","59dB","500 Ohms","-","1.5V ~ 3.6V","185µA","Top","-","-","-","-","-"
https://www.knowles.com/docs/default-source/model-downloads/spv1840lr5h-b-rev-b-datasheet.pdf,//media.digikey.com/Renders/Knowles%20Acoustics%20Renders/Zero-Height%20SiSonic%20SPV%20Series.jpg,423-1397-2-ND,SPV1840LR5H-B,Knowles,KASKADE MIC BOTTOM PORT,70800,0,"0.42783","0","5900","Tape & Reel (TR)","SiSonic™, Zero-Height Mic™, SPV","Active","MEMS (Silicon)","Analog","Omnidirectional","100Hz ~ 10kHz","-38dB ±3dB @ 94dB SPL","62.5dB","400 Ohms","-","1.5V ~ 3.6V","60µA","Bottom","-","Solder Pads","0.108"" L x 0.073"" W (2.75mm x 1.85mm)","0.039"" (0.98mm)","Rectangular"
https://www.knowles.com/docs/default-source/model-downloads/spv1840lr5h-b-rev-b-datasheet.pdf,//media.digikey.com/Renders/Knowles%20Acoustics%20Renders/Zero-Height%20SiSonic%20SPV%20Series.jpg,423-1397-1-ND,SPV1840LR5H-B,Knowles,KASKADE MIC BOTTOM PORT,77598,0,"0.93000","0","1","Cut Tape (CT)","SiSonic™, Zero-Height Mic™, SPV","Active","MEMS (Silicon)","Analog","Omnidirectional","100Hz ~ 10kHz","-38dB ±3dB @ 94dB SPL","62.5dB","400 Ohms","-","1.5V ~ 3.6V","60µA","Bottom","-","Solder Pads","0.108"" L x 0.073"" W (2.75mm x 1.85mm)","0.039"" (0.98mm)","Rectangular"
https://www.knowles.com/docs/default-source/model-downloads/spv1840lr5h-b-rev-b-datasheet.pdf,//media.digikey.com/Renders/Knowles%20Acoustics%20Renders/Zero-Height%20SiSonic%20SPV%20Series.jpg,423-1397-6-ND,SPV1840LR5H-B,Knowles,KASKADE MIC BOTTOM PORT,77598,0,"Digi-Reel","0","1","Digi-Reel®","SiSonic™, Zero-Height Mic™, SPV","Active","MEMS (Silicon)","Analog","Omnidirectional","100Hz ~ 10kHz","-38dB ±3dB @ 94dB SPL","62.5dB","400 Ohms","-","1.5V ~ 3.6V","60µA","Bottom","-","Solder Pads","0.108"" L x 0.073"" W (2.75mm x 1.85mm)","0.039"" (0.98mm)","Rectangular"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Acoustics%20PDFs/SPU0410HR5H-1.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/MFG_SPU0410HR5H-1.jpg,423-1411-2-ND,SPU0410HR5H-1,Knowles,MIC MEMS ANALOG OMNI,5700,0,"0.44164","0","5700","Tape & Reel (TR)","SiSonic™ SPU","Not For New Designs","MEMS (Silicon)","Analog","Omnidirectional","100Hz ~ 10kHz","-42dB ±1dB @ 94dB SPL","59dB","400 Ohms","-","1.5V ~ 3.6V","160µA","Top","-","Solder Pads","0.148"" L x 0.116"" W (3.76mm x 2.95mm)","0.047"" (1.20mm)","Rectangular"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Acoustics%20PDFs/SPU0410HR5H-1.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/MFG_SPU0410HR5H-1.jpg,423-1411-1-ND,SPU0410HR5H-1,Knowles,MIC MEMS ANALOG OMNI,9703,0,"0.95000","0","1","Cut Tape (CT)","SiSonic™ SPU","Not For New Designs","MEMS (Silicon)","Analog","Omnidirectional","100Hz ~ 10kHz","-42dB ±1dB @ 94dB SPL","59dB","400 Ohms","-","1.5V ~ 3.6V","160µA","Top","-","Solder Pads","0.148"" L x 0.116"" W (3.76mm x 2.95mm)","0.047"" (1.20mm)","Rectangular"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Acoustics%20PDFs/SPU0410HR5H-1.pdf,//media.digikey.com/Photos/Knowles%20Acoustics%20Photos/MFG_SPU0410HR5H-1.jpg,423-1411-6-ND,SPU0410HR5H-1,Knowles,MIC MEMS ANALOG OMNI,9703,0,"Digi-Reel","0","1","Digi-Reel®","SiSonic™ SPU","Not For New Designs","MEMS (Silicon)","Analog","Omnidirectional","100Hz ~ 10kHz","-42dB ±1dB @ 94dB SPL","59dB","400 Ohms","-","1.5V ~ 3.6V","160µA","Top","-","Solder Pads","0.148"" L x 0.116"" W (3.76mm x 2.95mm)","0.047"" (1.20mm)","Rectangular"
