Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Technology","Type","Frequency Range","Frequency - Self Resonant","Impedance","Efficiency - dBA","Efficiency - Testing","Efficiency - Type","Power - Rated","Power - Max","Port Location","Shape","Material - Cone","Material - Magnet","Ingress Protection","Ratings","Termination","Size / Dimension","Height - Seated (Max)"
https://www.cui.com/product/resource/digikeypdf/cdm-20008.pdf,//media.digikey.com/Photos/CUI%20Photos/MFG_CDM-20008.jpg,102-2502-ND,CDM-20008,CUI Inc.,SPEAKER 8OHM 300MW TOP PORT 92DB,17784,0,"1.73000","0","1","Tray","CDM","Active","Magnetic","General Purpose","448Hz ~ 7kHz","560Hz","8 Ohms","92.00","300mW/100mm","Sound Pressure Level (SPL)","300mW","500mW","Top","Round","Polyester, Polyethylene Terephthalate (PET)","Nd-Fe-B","-","-","Solder Pads","0.787"" Dia (20.00mm)","0.122"" (3.10mm)"
https://www.soberton.com/wp-content/uploads/2018/07/SP-1504-June-2018.pdf,//media.digikey.com/Photos/Soberton%20Photos/SP-1504.jpg,433-1106-ND,SP-1504,Soberton Inc.,SPEAKER 8OHM 800MW TOP PORT 90DB,29408,0,"1.80000","0","1","Tray","SP Micro Speaker","Active","Magnetic","General Purpose","300Hz ~ 8kHz","1000Hz","8 Ohms","93.00","100mW/100mm","Sound Pressure Level (SPL)","800mW","800mW","Top","Round","Polyethylene Naphthalate (PEN)","Nd-Fe-B-N38","-","-","Wire Leads","0.591"" Dia (15.00mm)","0.248"" (6.30mm)"
https://www.soberton.com/wp-content/uploads/2018/07/SP-1304-2-29-June-2018.pdf,//media.digikey.com/Photos/Soberton%20Photos/SP-1304-2.jpg,433-1102-ND,SP-1304-2,Soberton Inc.,SPEAKER 8OHM 500MW TOP PORT 82DB,2719,0,"1.80000","0","1","Tray","SP Micro Speaker","Active","Magnetic","General Purpose","300Hz ~ 8kHz","1300Hz","8 Ohms","82.00","100mW/100mm","Sound Pressure Level (SPL)","500mW","800mW","Top","Round","-","-","-","-","Wire Leads","0.512"" Dia (13.00mm)","0.169"" (4.30mm)"
https://www.cui.com/product/resource/digikeypdf/cdm-12008.pdf,//media.digikey.com/Photos/CUI%20Photos/CDM-12008.jpg,102-2494-ND,CDM-12008,CUI Inc.,SPEAKER 8OHM 500MW TOP PORT 90DB,1722,0,"1.93000","0","1","Tray","CDM","Active","Magnetic","General Purpose","800Hz ~ 20kHz","1000Hz","8 Ohms","90.00","500mW/100mm","Sound Pressure Level (SPL)","500mW","600mW","Top","Round","Polyester, Polyethylene Terephthalate (PET)","Nd-Fe-B","-","-","Solder Pads","0.472"" Dia (12.00mm)","0.118"" (3.00mm)"
https://www.cui.com/product/resource/digikeypdf/cdmg15008-03a.pdf,//media.digikey.com/Photos/CUI%20Photos/CDMG15008-03A-(2).jpg,CDMG15008-03A-ND,CDMG15008-03A,CUI Inc.,SPEAKER 8OHM 300MW TOP PORT 92DB,14544,0,"2.01000","0","1","Tray","CDMG","Active","Magnetic","General Purpose","900Hz ~ 20kHz","900Hz","8 Ohms","88.00","1W/1M","Sound Pressure Level (SPL)","300mW","500mW","Top","Round","Polyester, Polyethylene Terephthalate (PET)","Nd-Fe-B","-","-","Solder Pads","0.591"" Dia (15.00mm)","0.110"" (2.80mm)"
//media.digikey.com/pdf/Data%20Sheets/Projects%20Unlimited%20PDFs/AR027150MR-2-R_Dwg.PDF,//media.digikey.com/Photos/PUI%20Audio/MFG_AR027150MR-2-R.jpg,668-1525-ND,AR027150MR-2-R,"PUI Audio, Inc.",SPEAKER 150OHM 15MW TOP PORT,2274,0,"2.47000","0","1","Tray","-","Active","Magnetic","Receiver","20Hz ~ 10kHz","150Hz","150 Ohms","118.00","1mW","Sound Pressure Level (SPL)","15mW","30mW","Top","Round","Polyester, Polyethylene Terephthalate (PET)","Nd-Fe-B","-","-","Solder Pads","1.055"" Dia (26.80mm)","0.315"" (8.00mm)"
http://www.puiaudio.com/pdf/AST-03208MR-R.pdf,//media.digikey.com/photos/PUI%20Audio/AST-03208MR-R.JPG,668-1139-ND,AST-03208MR-R,"PUI Audio, Inc.",SPEAKER 8OHM 100MW TOP PORT 82DB,15380,0,"2.64000","0","1","Tray","AST","Active","Magnetic","General Purpose","500Hz ~ 20kHz","1500Hz","8 Ohms","82.00","100mW/500mm","Sound Pressure Level (SPL)","100mW","200mW","Top","Round","Polyester, Polyethylene Terephthalate (PET)","Nd-Fe-B","-","-","PC Pins","1.256"" Dia (31.90mm)","0.594"" (15.10mm)"
//media.digikey.com/pdf/Data%20Sheets/Projects%20Unlimited%20PDFs/AS01508MR-6-R_Dwg.PDF,//media.digikey.com/Photos/PUI%20Audio/MFG_AS01508MR-6-R.jpg,668-1526-ND,AS01508MR-6-R,"PUI Audio, Inc.",SPEAKER 8OHM 1.2W TOP PORT 88DB,28341,0,"2.69000","0","1","Tray","AS","Active","Magnetic","General Purpose","900Hz ~ 20kHz","900Hz","8 Ohms","88.00","100mW/100mm","Sound Pressure Level (SPL)","1.2W","1.8W","Top","Round","Polyester, Polyethylene Terephthalate (PET)","Nd-Fe-B","-","-","Solder Pads","0.591"" Dia (15.00mm)","0.173"" (4.40mm)"
http://www.puiaudio.com/pdf/AS02008MR-5-R.pdf,//media.digikey.com/Photos/PUI%20Audio/AS02008MR-5-R.jpg,668-1411-ND,AS02008MR-5-R,"PUI Audio, Inc.",SPEAKER 8OHM 500MW TOP PORT 86DB,1636,0,"2.75000","0","1","Tray","AS","Active","Magnetic","General Purpose","500Hz ~ 4kHz","500Hz","8 Ohms","86.00","100mW/100mm","Sound Pressure Level (SPL)","500mW","800mW","Top","Round","Polyester, Polyethylene Terephthalate (PET)","Nd-Fe-B","-","-","Solder Pads","0.787"" Dia (20.00mm)","0.150"" (3.80mm)"
https://www.soberton.com/wp-content/uploads/2018/07/SP-1508-7-July-2018.pdf,//media.digikey.com/Photos/Soberton%20Photos/MFG_SP-1508.jpg,433-1135-ND,SP-1508,Soberton Inc.,SPEAKER 7OHM 500MW TOP PORT 85DB,1834,0,"2.78000","0","1","Tray","SP Micro Speaker","Active","Magnetic","General Purpose","300Hz ~ 5kHz","-","7 Ohms","85.00","100mW/100mm","Sound Pressure Level (SPL)","500mW","700mW","Top","Rectangular","Polyetheretherketone (PEEK)","Nd-Fe-B","-","-","Solder Pads","0.591"" L x 0.315"" W (15.00mm x 8.00mm)","0.102"" (2.60mm)"
