Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Battery Chemistry","Battery Cell Size","Voltage - Rated","Capacity","Size / Dimension","Termination Style"
https://b2b-api.panasonic.eu/file_stream/pids/fileversion/3627,//media.digikey.com/Photos/Panasonic%20Photos/CR2032.jpg,P189-ND,CR2032,Panasonic - BSG,BATTERY LITHIUM 3V COIN 20MM,621251,0,"0.35000","0","1","CR2032","Active","Lithium Manganese Dioxide","Coin, 20.0mm","3V","225mAh","0.79"" Dia x 0.13"" H (20.0mm x 3.2mm)","Requires Holder"
https://na.industrial.panasonic.com/sites/default/pidsa/files/lr6xwa-datasheet.pdf,//media.digikey.com/Photos/Panasonic%20Photos/LR6XWA%5EB.JPG,P646-ND,LR6XWA/B,Panasonic - BSG,BATTERY ALKALINE 1.5V AA,566119,0,"0.37000","0","1","LR6XWA","Active","Alkaline Manganese Dioxide","AA","1.5V","-","0.57"" Dia x 1.99"" H (14.5mm x 50.5mm)","Button Top (Extending)"
https://na.industrial.panasonic.com/sites/default/pidsa/files/lr03xwa-datatsheet.pdf,//media.digikey.com/Photos/Panasonic%20Photos/LR03XWA%5EB.JPG,P645-ND,LR03XWA/B,Panasonic - BSG,BATTERY ALKALINE 1.5V AAA,203665,0,"0.37000","0","1","LR03","Active","Alkaline Manganese Dioxide","AAA","1.5V","-","0.41"" Dia x 1.75"" H (10.5mm x 44.5mm)","Button Top (Extending)"
https://na.industrial.panasonic.com/sites/default/pidsa/files/panasonic-lithium-cr2016-datasheet.pdf,//media.digikey.com/Photos/Panasonic%20Photos/CR2016.jpg,P138-ND,CR-2016/BN,Panasonic - BSG,BATTERY LITHIUM 3V COIN 20MM,207184,0,"0.38000","0","1","CR2016","Active","Lithium Manganese Dioxide","Coin, 20.0mm","3V","90mAh","0.79"" Dia x 0.06"" H (20.0mm x 1.6mm)","Requires Holder"
https://na.industrial.panasonic.com/sites/default/pidsa/files/panasonic-lithium-cr2025-datasheet.pdf,//media.digikey.com/Photos/Panasonic%20Photos/CR-2025L%5EBN.jpg,P188-ND,CR-2025L/BN,Panasonic - BSG,BATTERY LITHIUM 3V COIN 20MM,131079,0,"0.38000","0","1","CR2025","Active","Lithium Manganese Dioxide","Coin, 20.0mm","3V","165mAh","0.79"" Dia x 0.10"" H (20.0mm x 2.5mm)","Requires Holder"
https://na.industrial.panasonic.com/sites/default/pidsa/files/lr03xwa-datatsheet.pdf,//media.digikey.com/Photos/Panasonic%20Photos/LR03XWA%5E2SB.JPG,P649-ND,LR03XWA/2SB,Panasonic - BSG,BATTERY ALKALINE 1.5V AAA 2=2,116978,0,"0.44500","0","2","LR03","Active","Alkaline Manganese Dioxide","AAA","1.5V","-","0.41"" Dia x 1.75"" H (10.5mm x 44.5mm)","Button Top (Extending)"
https://na.industrial.panasonic.com/sites/default/pidsa/files/lr6xwa-datasheet.pdf,//media.digikey.com/Photos/Panasonic%20Photos/LR6XWA%5EB.JPG,P648-ND,LR6XWA/2SB,Panasonic - BSG,BATTERY ALKALINE 1.5V AA 2=2,29210,0,"0.44500","0","2","LR6XWA","Active","Alkaline Manganese Dioxide","AA","1.5V","-","0.57"" Dia x 1.99"" H (14.5mm x 50.5mm)","Button Top (Extending)"
http://data.energizer.com/pdfs/cr2032.pdf,//media.digikey.com/photos/Energizer%20Photos/CR2032.jpg,N189-ND,CR2032VP,Energizer Battery Company,BATTERY LITHIUM 3V COIN 20MM,1483074,0,"0.50000","0","1","CR2032","Active","Lithium Manganese Dioxide","Coin, 20.0mm","3V","240mAh","0.79"" Dia x 0.13"" H (20.0mm x 3.2mm)","Requires Holder"
http://data.energizer.com/pdfs/cr2016.pdf,//media.digikey.com/photos/Energizer%20Photos/CR2016.jpg,N138-ND,CR2016VP,Energizer Battery Company,BATTERY LITHIUM 3V COIN 20MM,264874,0,"0.50000","0","1","CR2016","Active","Lithium Manganese Dioxide","Coin, 20.0mm","3V","90mAh","0.79"" Dia x 0.06"" H (20.0mm x 1.6mm)","Requires Holder"
http://data.energizer.com/pdfs/EN91.pdf,//media.digikey.com/photos/Energizer%20Photos/EN91.jpg,N107-ND,EN91,Energizer Battery Company,BATTERY ALKALINE 1.5V AA,463124,0,"0.51750","0","4","EN91","Active","Alkaline Manganese Dioxide","AA","1.5V","-","0.57"" Dia x 1.99"" H (14.5mm x 50.5mm)","Button Top (Extending)"
http://data.energizer.com/pdfs/alkaline_appman.pdf,//media.digikey.com/photos/Energizer%20Photos/EN92.jpg,N146-ND,EN92,Energizer Battery Company,BATTERY ALKALINE 1.5V AAA,229212,0,"0.51750","0","4","EN92","Active","Alkaline Manganese Dioxide","AAA","1.5V","-","0.41"" Dia x 1.75"" H (10.5mm x 44.5mm)","Button Top (Extending)"
https://na.industrial.panasonic.com/sites/default/pidsa/files/panasonic-lithium-cr1616-datasheet.pdf,//media.digikey.com/photos/Panasonic%20Photos/CR1616.jpg,P034-ND,CR1616,Panasonic - BSG,BATTERY LITHIUM 3V COIN 16MM,67859,0,"0.62000","0","1","CR1616","Active","Lithium Manganese Dioxide","Coin, 16.0mm","3V","55mAh","0.63"" Dia x 0.06"" H (16.0mm x 1.6mm)","Requires Holder"
http://data.energizer.com/pdfs/alkaline_appman.pdf,//media.digikey.com/photos/Energizer%20Photos/A23CVP.jpg,N403-ND,A23C,Energizer Battery Company,BATTERY ALKALINE 12V A23,22859,0,"0.74000","0","1","A23","Active","Alkaline Manganese Dioxide","A23","12V","55mAh","0.41"" Dia x 1.12"" H (10.3mm x 28.5mm)","Button Top (Extending)"
http://data.energizer.com/pdfs/alkaline_appman.pdf,//media.digikey.com/Photos/Energizer%20Photos/E96VP.jpg,N539-ND,E96VP,Energizer Battery Company,BATTERY ALKALINE 1.5V AAAA,114774,0,"0.79000","0","1","E96","Active","Alkaline Manganese Dioxide","AAAA","1.5V","-","0.33"" Dia x 1.67"" H (8.3mm x 42.5mm)","Button Top (Extending)"
http://data.energizer.com/pdfs/alkaline_appman.pdf,//media.digikey.com/photos/Energizer%20Photos/E90VP.jpg,N147-ND,E90,Energizer Battery Company,BATTERY ALKALINE 1.5V N,113122,0,"0.97000","0","1","E90","Active","Alkaline Manganese Dioxide","N","1.5V","-","0.47"" Dia x 1.19"" H (12.0mm x 30.2mm)","Button Top (Extending)"
