Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Battery Type, Function","Style","Battery Cell Size","Number of Cells","Battery Series","Mounting Type","Termination Style","Height Above Board","Operating Temperature"
http://www.keyelco.com/product-pdf.cfm?p=910,//media.digikey.com/photos/Keystone%20Elect%20Photos/5223.jpg,36-5223-ND,5223,Keystone Electronics,BATT CNTCT SOLID MULTI SLDR LUG,217920,207100,"0.14000","0","1","-","Active","Cylindrical, Contact (Single)","Contact Solid (Positive)","Multiple","-","-","Custom","Solder Lug","-","-"
http://www.keyelco.com/product-pdf.cfm?p=897,//media.digikey.com/photos/Keystone%20Elect%20Photos/5226.jpg,36-5226-ND,5226,Keystone Electronics,BATT CNTCT SOLID MULTI SLDR LUG,30491,239500,"0.14000","0","1","-","Active","Cylindrical, Contact (Single)","Contact Solid (Positive)","Multiple","-","-","Custom","Solder Lug","-","-"
http://www.keyelco.com/product-pdf.cfm?p=13963,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_112TR.jpg,36-112TR-ND,112TR,Keystone Electronics,BATTERY CONTACT SPRING MULTI SMD,95000,0,"0.14978","0","5000","-","Active","Coin Cell, Contact","Contact Spring (Leaf)","Multiple","1","-","PCB, Surface Mount","SMD (SMT) Tab","0.041"" (1.05mm)","-"
http://www.keyelco.com/product-pdf.cfm?p=13963,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_112TR.jpg,36-112CT-ND,112TR,Keystone Electronics,BATTERY CONTACT SPRING MULTI SMD,100198,0,"0.34000","0","1","-","Active","Coin Cell, Contact","Contact Spring (Leaf)","Multiple","1","-","PCB, Surface Mount","SMD (SMT) Tab","0.041"" (1.05mm)","-"
http://www.keyelco.com/product-pdf.cfm?p=13963,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_112TR.jpg,36-112DKR-ND,112TR,Keystone Electronics,BATTERY CONTACT SPRING MULTI SMD,100198,0,"Digi-Reel","0","1","-","Active","Coin Cell, Contact","Contact Spring (Leaf)","Multiple","1","-","PCB, Surface Mount","SMD (SMT) Tab","0.041"" (1.05mm)","-"
http://www.keyelco.com/product-pdf.cfm?p=14157,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_118.jpg,36-118TR-ND,118TR,Keystone Electronics,BATTERY CONTACT SOLID MULTI SMD,40000,30000,"0.14978","0","5000","-","Active","Coin Cell, Contact","Contact Solid (Negative)","Multiple","1","-","PCB, Surface Mount","SMD (SMT) Tab","0.041"" (1.05mm)","-"
http://www.keyelco.com/product-pdf.cfm?p=14157,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_118.jpg,36-118CT-ND,118TR,Keystone Electronics,BATTERY CONTACT SOLID MULTI SMD,51012,33149,"0.34000","0","1","-","Active","Coin Cell, Contact","Contact Solid (Negative)","Multiple","1","-","PCB, Surface Mount","SMD (SMT) Tab","0.041"" (1.05mm)","-"
http://www.keyelco.com/product-pdf.cfm?p=14157,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_118.jpg,36-118DKR-ND,118TR,Keystone Electronics,BATTERY CONTACT SOLID MULTI SMD,51012,33149,"Digi-Reel","0","1","-","Active","Coin Cell, Contact","Contact Solid (Negative)","Multiple","1","-","PCB, Surface Mount","SMD (SMT) Tab","0.041"" (1.05mm)","-"
http://www.keyelco.com/product-pdf.cfm?p=847,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_206.jpg,36-206-ND,206,Keystone Electronics,BATTERY AA SMD TAB,3272,0,"0.17000","0","1","-","Active","Cylindrical, Contact (Single)","-","AA","-","-","PCB, Surface Mount","SMD (SMT) Tab","0.500"" (12.70mm)","-"
http://www.keyelco.com/product-pdf.cfm?p=14181,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_120.jpg,36-120TR-ND,120TR,Keystone Electronics,BATTERY CONTACT SOLID MULTI SMD,87000,0,"0.17093","0","3000","-","Active","Coin Cell, Contact","Contact Solid (Positive)","Multiple","1","-","PCB, Surface Mount","SMD (SMT) Tab","0.070"" (1.78mm)","-"
