Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Specifications","Current Rating (Amps)","Color","Voltage - Rated"
http://www.memoryprotectiondevices.com/datasheets/APP-003-datasheet.pdf,//media.digikey.com/photos/Memory%20Protection%20Photos/APP-003.jpg,APP-003-ND,APP-003,MPD (Memory Protection Devices),AUTO POWER PLUG 12V 3A BLACK,1885,0,"3.98000","0","1","-","Active","Auto Power Plug","ABS, Fused, Strain Relief","3A","Black","12V"
http://www.memoryprotectiondevices.com/datasheets/APP-001-datasheet.pdf,//media.digikey.com/photos/Memory%20Protection%20Photos/APP-001.jpg,APP-001-ND,APP-001,MPD (Memory Protection Devices),AUTO PWR PLUG 12V 3A W/LED BLACK,14494,1600,"4.36000","0","1","-","Active","Auto Power Plug","ABS, Fused, LED Indicator, Strain Relief","3A","Black","12V"
http://www.memoryprotectiondevices.com/datasheets/APP-001-15AMP-datasheet.pdf,//media.digikey.com/photos/Memory%20Protection%20Photos/APP-001-15AMP.JPG,APP-001-15AMP-ND,APP-001-15AMP,MPD (Memory Protection Devices),AUTO PWR PLUG 12V 15A W/LED BLK,6998,0,"5.40000","0","1","-","Active","Auto Power Plug","Fused, LED Indicator, Nylon, Strain Relief","15A","Black","12V"
http://www.memoryprotectiondevices.com/datasheets/AS212-datasheet.pdf,//media.digikey.com/photos/Memory%20Protection%20Photos/AS%20212.jpg,AS212-ND,AS212,MPD (Memory Protection Devices),AUTO POWER SOCKET 12V 20A BLACK,8427,1900,"6.24000","0","1","-","Active","Auto Power Socket","Lockable, Nylon, Vibration and Weather Resistant","20A","Black","12V"
http://www.memoryprotectiondevices.com/datasheets/AS-203B-datasheet.pdf,//media.digikey.com/photos/Memory%20Protection%20Photos/AS-203B.jpg,AS-203B-ND,AS-203B,MPD (Memory Protection Devices),AUTO POWER SOCKET 12V BLACK,2935,300,"6.39000","0","1","-","Active","Auto Power Socket","-","-","Black","12V"
http://www.memoryprotectiondevices.com/datasheets/APP-001-20AMP-datasheet.pdf,//media.digikey.com/photos/Memory%20Protection%20Photos/APP-001-20AMP.JPG,APP-001-20AMP-ND,APP-001-20AMP,MPD (Memory Protection Devices),AUTO PWR PLUG 12V 20A W/LED BLK,586,0,"7.47000","0","1","-","Active","Auto Power Plug","Fused, LED Indicator, PBT, Strain Relief","20A","Black","12V"
http://www.memoryprotectiondevices.com/datasheets/AP-121-datasheet.pdf,//media.digikey.com/photos/Memory%20Protection%20Photos/AP121.jpg,AP121-ND,AP-121,MPD (Memory Protection Devices),AUTO PWR PLUG 12V 3A W/LED BLACK,2238,1200,"7.61000","0","1","-","Active","Auto Power Plug","Fused, LED Indicator, Lockable, Nylon, Strain Relief, Weather Resistant","3A","Black","12V"
http://www.memoryprotectiondevices.com/datasheets/ZA5077-datasheet.pdf,//media.digikey.com/photos/Memory%20Protection%20Photos/ZA5077.jpg,ZA5077-ND,ZA5077,MPD (Memory Protection Devices),AUTO CBL ASSY W/PLG 12V 3A W/LED,1638,300,"8.08000","0","1","-","Active","Cable, Auto Power Plug to 2.1mm DC Plug","6' (1.83m) Cord, ABS, Fused, LED Indicator","3A","Black","12V"
http://www.memoryprotectiondevices.com/datasheets/ZA5073-datasheet.pdf,//media.digikey.com/photos/Memory%20Protection%20Photos/ZA5073.jpg,ZA5073-ND,ZA5073,MPD (Memory Protection Devices),AUTO CBL ASSY W/PLG 12V 5A W/LED,11582,800,"8.50000","0","1","-","Active","Cable, Auto Power Plug to 2.1mm DC Plug","6' (1.83m) Cord, ABS, Fused, LED Indicator","5A","Black","12V"
http://www.memoryprotectiondevices.com/datasheets/ZA5073-2.5-datasheet.pdf,//media.digikey.com/photos/Memory%20Protection%20Photos/ZA5073-2.5.jpg,ZA5073-2.5-ND,ZA5073-2.5,MPD (Memory Protection Devices),AUTO CBL ASSY W/PLG 12V 5A W/LED,8082,400,"9.17000","0","1","-","Active","Cable, Auto Power Plug to 2.5mm DC Plug","6' (1.83m) Cord, ABS, Fused, LED Indicator","5A","Black","12V"
