Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Panel Units","Number of Channels","Interface","Connector Spacing"
http://www.pentairprotect.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/ASIM/webcat/subgroup/mi/73972-103.pdf,//media.digikey.com/Photos/Schroff/23001005.jpg,1439-1380-ND,23001005,Schroff,BACKPLANE 3U 5 CHAN VME J1,8,0,"235.13000","0","1","VMEbus","Active","3U","5","VME J1","0.800"" (20.32mm)"
http://www.pentairprotect.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/ASIM/webcat/subgroup/mi/73972-075.pdf,//media.digikey.com/Photos/Schroff/23006814.JPG,1439-1391-ND,23006814,Schroff,BACKPLANE 3U 4 CHAN COMPACTPCI,4,0,"373.04000","0","1","CompactPCI","Active","3U","4","CompactPCI®","-"
http://www.pentairprotect.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/ASIM/webcat/subgroup/mi/73972-103.pdf,//media.digikey.com/Photos/Schroff/23001010.jpg,1439-1383-ND,23001010,Schroff,BACKPLANE 3U 10 CHAN VME J1,5,0,"398.14000","0","1","VMEbus","Active","3U","10","VME J1","0.800"" (20.32mm)"
https://nebula.wsimg.com/390d6f530dfeb48eee73d3917327b125?AccessKeyId=91CBBA8DAEED4655B5DD&disposition=0&alloworigin=1,-,V2108-ND,VME64E02P01,Vector Electronics,BACKPLANE 6U 2 CHAN VME J1/J2/P0,2,0,"418.60000","0","1","VME","Active","6U","2","VME J1/J2/J0","0.800"" (20.32mm)"
-,//media.digikey.com/Photos/Schroff/23006300.JPG,1439-1389-ND,23006300,Schroff,BACKPLANE 3U 8 CHAN COMPACTPCI,5,0,"600.32000","0","1","CompactPCI","Active","3U","8","CompactPCI®","-"
http://www.pentairprotect.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/ASIM/webcat/subgroup/mi/73972-103.pdf,//media.digikey.com/Photos/Schroff/23001069.jpg,1439-1382-ND,23001069,Schroff,BACKPLANE 6U 9 CHAN VME J1/J2,2,0,"864.64000","0","1","VMEbus","Active","6U","9","VME J1/J2","0.800"" (20.32mm)"
http://www.pentairprotect.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/ASIM/webcat/subgroup/mi/73972-103.pdf,//media.digikey.com/Photos/Schroff/23001535.jpg,1439-1385-ND,23001535,Schroff,BACKPLANE 6U 5 CHAN VME J1/J2,2,0,"967.75000","0","1","VME64","Active","6U","5","VME J1/J2","0.800"" (20.32mm)"
http://www.pentairprotect.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/ASIM/webcat/subgroup/mi/73972-103.pdf,//media.digikey.com/Photos/Schroff/23001021.jpg,1439-1384-ND,23001021,Schroff,BACKPLANE 3U 21 CHAN VME J1,2,0,"1091.93000","0","1","VMEbus","Active","3U","21","VME J1","0.800"" (20.32mm)"
http://www.pentairprotect.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/ASIM/webcat/subgroup/mi/73972-103.pdf,//media.digikey.com/Photos/Schroff/23001004.jpg,1439-1379-ND,23001004,Schroff,BACKPLANE 3U 4 CHAN VME J1,1,0,"298.61000","0","1","VMEbus","Active","3U","4","VME J1","0.800"" (20.32mm)"
http://www.pentairprotect.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/ASIM/webcat/subgroup/mi/73972-103.pdf,//media.digikey.com/Photos/Schroff/23001007.jpg,1439-1381-ND,23001007,Schroff,BACKPLANE 3U 7 CHAN VME J1,0,0,"302.97000","0","1","VMEbus","Active","3U","7","VME J1","0.800"" (20.32mm)"
-,-,VMEBP2J2-ND,VMEBP2J2,Vector Electronics,BACKPLANE 3U 2 CHAN VME J1/J2,0,0,"148.50000","0","1","VME","Active","3U","2","VME J1/J2","0.800"" (20.32mm)"
http://nebula.wsimg.com/12c5b7836591884cf515637d7f7d3db0?AccessKeyId=91CBBA8DAEED4655B5DD&disposition=0&alloworigin=1,-,VMEBP2J1-ND,VMEBP2J1,Vector Electronics,BACKPLANE 3U 2 CHAN VME J1/J2,0,0,"159.39000","0","1","VME","Active","3U","2","VME J1/J2","0.800"" (20.32mm)"
http://nebula.wsimg.com/dcaf6348a982bc95e5f0480f13a78523?AccessKeyId=91CBBA8DAEED4655B5DD&disposition=0&alloworigin=1,//media.digikey.com/photos/Vector%20Photos/4610-8-1A.jpg,V1096-ND,4610-8-1A,Vector Electronics,BACKPLANE 3U 8 CHAN STANDARD BUS,0,0,"210.43000","0","1","-","Active","3U","8","Standard Bus","0.750"" (19.05mm)"
http://nebula.wsimg.com/dcaf6348a982bc95e5f0480f13a78523?AccessKeyId=91CBBA8DAEED4655B5DD&disposition=0&alloworigin=1,//media.digikey.com/photos/Vector%20Photos/4610-16-1A.jpg,V1097-ND,4610-16-1A,Vector Electronics,BACKPLANE 3U 16CHAN STANDARD BUS,0,0,"281.54000","0","1","-","Active","3U","16","Standard Bus","0.750"" (19.05mm)"
-,-,1100024-ND,1100024,Vector Electronics,BACKPLANE 10 CHAN VME J1,0,0,"315.00000","0","1","-","Active","-","10","VME J1","-"
-,-,VMEBPE05P00-ND,VMEBPE05P00,Vector Electronics,BACKPLANE 6U 5 CHAN VME J1/J2,0,0,"315.00000","0","1","VME","Active","6U","5","VME J1/J2","0.800"" (20.32mm)"
-,-,VMEBPE9J1-ND,VMEBPE9J1,Vector Electronics,VME64X J1 ONLY 96-PIN EBG VME,0,0,"348.60000","0","1","VME","Active","6U","9","-","0.800"" (20.32mm)"
-,-,VMEBPE07P00-ND,VMEBPE07P00,Vector Electronics,BACKPLANE 6U 7 CHAN VME J1/J2,0,0,"357.00000","0","1","VME","Active","6U","7","VME J1/J2","0.800"" (20.32mm)"
-,-,CPCIBP4-3RB-32-0-ND,CPCIBP4-3RB-32-0,Vector Electronics,BCKPLAN 3U 4SL 32BIT 5V 33MH RT,0,0,"357.00000","0","1","cPCI®","Active","3U","4","-","-"
http://nebula.wsimg.com/12c5b7836591884cf515637d7f7d3db0?AccessKeyId=91CBBA8DAEED4655B5DD&disposition=0&alloworigin=1,-,VMEBP6J1-ND,VMEBP6J1,Vector Electronics,BACKPLANE 3U 6 CHAN VME J1/J2,0,0,"362.88000","0","1","VME","Active","3U","6","VME J1/J2","0.800"" (20.32mm)"
http://nebula.wsimg.com/12c5b7836591884cf515637d7f7d3db0?AccessKeyId=91CBBA8DAEED4655B5DD&disposition=0&alloworigin=1,-,VMEBP10J1-ND,VMEBP10J1,Vector Electronics,BACKPLANE 3U 10 CHAN VME J1/J2,0,0,"376.60000","0","1","VME","Active","3U","10","VME J1/J2","0.800"" (20.32mm)"
http://nebula.wsimg.com/693536a80d2ec9221dbfed6140630911?AccessKeyId=91CBBA8DAEED4655B5DD&disposition=0&alloworigin=1,-,UM13B3U-22-ND,UM13B3U-22,Vector Electronics,BACKPLANE 3U 13 CHAN UNCOMMITTED,0,0,"403.50000","0","1","UM","Active","3U","13","Uncommitted","1.200"" (30.48mm)"
http://nebula.wsimg.com/12c5b7836591884cf515637d7f7d3db0?AccessKeyId=91CBBA8DAEED4655B5DD&disposition=0&alloworigin=1,//media.digikey.com/Photos/Vector%20Photos/MFG_VMEBP21J1%2008-08-2012.jpg,VMEBP21J2-ND,VMEBP21J2,Vector Electronics,BACKPLANE 3U 21 CHAN VME J1/J2,0,0,"404.60000","0","1","VME","Active","3U","21","VME J1/J2","0.800"" (20.32mm)"
-,//media.digikey.com/Photos/Schroff/23006355.JPG,1439-1390-ND,23006355,Schroff,BACKPLANE 3U 5 CHAN COMPACTPCI,0,0,"411.03000","0","1","CompactPCI","Active","3U","5","CompactPCI®","-"
-,-,UM21A3U-00-ND,UM21A3U-00,Vector Electronics,BACKPLANE 3U 21 CHAN UNCOMMITTED,0,0,"418.60000","0","1","UM","Active","3U","21","Uncommitted","0.800"" (20.32mm)"
http://nebula.wsimg.com/693536a80d2ec9221dbfed6140630911?AccessKeyId=91CBBA8DAEED4655B5DD&disposition=0&alloworigin=1,-,UM21A3U-21-ND,UM21A3U-21,Vector Electronics,BACKPLANE 3U 21 CHAN UNCOMMITTED,0,0,"441.87000","0","1","UM","Active","3U","21","Uncommitted","0.800"" (20.32mm)"
http://nebula.wsimg.com/12c5b7836591884cf515637d7f7d3db0?AccessKeyId=91CBBA8DAEED4655B5DD&disposition=0&alloworigin=1,-,VMEBP8J1-ND,VMEBP8J1,Vector Electronics,BACKPLANE 3U 8 CHAN VME J1/J2,0,0,"442.75000","0","1","VME","Active","3U","8","VME J1/J2","0.800"" (20.32mm)"
