Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products"
http://www.amphenolltw.com/2012download/2D%20PDF/18_Vent%20Connectors/VENT-PS1XXX-XXXXX.pdf,//media.digikey.com/Photos/Amphenol%20Photos/VENT-PS1YBK-N8001.jpg,1754-1230-ND,VENT-PS1YBK-N8001,Amphenol LTW,BREATHABLE VENT WITH NUT,2306,0,"2.56000","0","1","-","Active","Vent","-"
//media.digikey.com/pdf/Data%20Sheets/BUD%20Industries%20PDFs/DNC-4796.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/DNC-4796.jpg,377-1990-ND,DNC-4796,Bud Industries,DIN RAIL MOUNTING CLIP,4804,4397,"3.00000","0","1","-","Active","DIN Rail Clip","Din Rail Track"
http://www.budind.com/pdf/hb10910.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/NBX-10911.jpg,377-1973-ND,NBX-10911,Bud Industries,VENT AIR AND MOISTURE,536,0,"3.80000","0","1","NB","Active","Vent","NEMA Enclosures"
http://www.hammondmfg.com/pdf/1427DINCLIP2.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/1427DINCLIP.jpg,HM1489-ND,1427DINCLIP,Hammond Manufacturing,DIN CLIP FOR 1427 SERIES,1052,713,"5.58000","0","1","1427","Active","DIN Rail Clip","1427 Series"
http://www.hammondmfg.com/pdf/1427DIN42M.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1427DIN42M.jpg,HM1361-ND,1427DIN42M,Hammond Manufacturing,ALUMINUM DIN CLIP 1.65"",549,730,"8.74000","0","1","1427","Active","DIN Rail Clip","1427 Series"
https://www.hammfg.com/electronics/small-case/plastic/1593.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/1593ATS100.JPG,HM1441-ND,1593ATS100,Hammond Manufacturing,SCREW FOR MNT PC BOARD 1=100,1114,723,"9.18000","0","1","1593","Active","Screws","1593 Series"
http://www.hammondmfg.com/pdf/1427DIN100M.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1427DIN100M.jpg,HM1360-ND,1427DIN100M,Hammond Manufacturing,ALUMINUM DIN CLIP 3.94"",144,0,"10.25000","0","1","1427","Active","DIN Rail Clip","1427 Series"
-,//media.digikey.com/Photos/Schroff/21100661.jpg,1439-1156-ND,21100661,Schroff,HRDWR SLV STAINLESS STEEL 10 PCS,232,0,"14.35000","0","1","-","Active","Sleeve","Plug-in Units"
-,//media.digikey.com/Photos/Schroff/21100464.jpg,1439-1151-ND,21100464,Schroff,SLEEVE 5.9 X 3.3 100 PCS,339,0,"14.63000","0","1","-","Active","Sleeve","Plug-in Units"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2853970.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2853970.jpg,277-2820-ND,2853970,Phoenix Contact,DIN RAIL ADAPTER,128,225,"43.84000","0","1","UTA","Active","DIN Rail Adapter","Switchgear"
