Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Features","For Use With/Related Products","Size / Dimension","Color","Material"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2970015.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2970015.JPG,277-2803-ND,2970015,Phoenix Contact,ELECTRONIC BOARD BASE,377,3900,"6.10000","0","1","UM","Active","Module","-","45mm Wide Housing","3.031"" L x 1.772"" W (77.00mm x 45.00mm)","Green","Plastic, Polyamide"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2956660.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2956660.JPG,277-2814-ND,2956660,Phoenix Contact,BASE ELEMENT W/SNAP FOOT 35MM,895,790,"8.71000","0","1","UM","Active","Base","Foot","UM Series","1.378"" W (35.00mm)","Green","Plastic, Polyamide"
https://belfuse.com/resources/drawings/cinchconnectivitysolutions/modice/dr-ccs-ice-5810130065-75.pdf,//media.digikey.com/Photos/Cinch%20Connectivity%20Solutions%20Johnson/5810130065.jpg,116-1121-ND,5810130065,Cinch Connectivity Solutions,MODICE ME ENCL STD NO BREATHER,3966,0,"11.23000","0","1","ModICE® ME","Active","Enclosure","IP67/69K","ModICE™ Series","5.130"" L x 4.550"" W x 1.670"" H (130.30mm x 115.57mm x 42.42mm)","Black","Polymer, Glass Filled"
http://web.schroff.de/webcat/subgroup/pdf/schroff_cat_39601641_main_catalog_2012_en.pdf#page=845,//media.digikey.com/Photos/Schroff/MFG_30848317.jpg,1439-1286-ND,30848317,Schroff,FRNT PNL 6U 4HP TYP 2 EXTRCT HDL,702,0,"12.90000","0","1","-","Active","Panel, Front","-","Plug-in Units","0.787"" W x 9.268"" H (19.98mm x 235.40mm)","Natural","Metal, Aluminum"
http://www.pentairprotect.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/ASIM/webcat/subgroup/mi/60817-402.pdf,//media.digikey.com/Photos/Schroff/20848585.jpg,1439-1099-ND,20848585,Schroff,FRNT PNL KIT 3U 4HP CPCI-VME64X,288,0,"17.83000","0","1","-","Active","Panel, Front","Handles","CompactPCI, VME64x Series Enclosures","0.787"" W x 4.535"" H (19.98mm x 115.20mm)","Black, Gray","Metal, Aluminum"
http://www.pentairprotect.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/ASIM/webcat/subgroup/mi/60817-402.pdf,//media.digikey.com/Photos/Schroff/MFG_20848592.jpg,1439-1103-ND,20848592,Schroff,FRNT PNL KIT 6U 4HP CPCI-VME64X,149,0,"22.40000","0","1","-","Active","Panel, Front","Handles","CompactPCI, VME64x Series Enclosures","0.787"" W x 9.268"" H (19.98mm x 235.40mm)","Black, Gray","Metal, Aluminum"
http://www.budind.com/pdf/hb1558.pdf,//media.digikey.com/photos/BUD%20Industries%20Photos/PBC-1558-CN.jpg,377-1182-ND,PBC-1558-CN,Bud Industries,COVER ABS FOR PB-1558/1558-TF,2886,256,"0.74000","0","1","Style A","Active","Cover, Lid","-","Potting Boxes","1.982"" L x 1.482"" W x 0.075"" H (50.34mm x 37.64mm x 1.91mm)","Black","Plastic, ABS"
http://www.budind.com/pdf/hb1558.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/PBC-1575-Cx.JPG,377-1184-ND,PBC-1575-C,Bud Industries,COVER ABS FOR PB-1559/1559-TF,2205,290,"0.84000","0","1","Style A","Active","Cover, Lid","-","Potting Boxes","3.000"" L x 2.000"" W x 0.075"" H (76.20mm x 50.80mm x 1.91mm)","Black","Plastic, ABS"
http://www.budind.com/pdf/hb10984pl.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/NBX-10984-PL.JPG,377-1672-ND,NBX-10984-PL,Bud Industries,PANEL PLASTIC 4.9X4.9"" FOR NB,403,280,"2.60000","0","1","NB","Active","Panel, Inner","-","NBB Series","4.900"" L x 4.900"" W x 0.059"" H (124.46mm x 124.46mm x 1.50mm)","Unpainted","Plastic, ABS"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2955593.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2955593.JPG,277-2811-ND,2955593,Phoenix Contact,SIDE ELEMENT,394,250,"2.72000","0","1","UM","Active","Panel, Side","-","UM Series","-","Green","Plastic, Non Specified"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2970002.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2970002.JPG,277-2808-ND,2970002,Phoenix Contact,UNIVERS MOD SIDE ELEMENT 11.25MM,257,2920,"2.74000","0","1","UM","Active","Panel, Side","-","11.5mm Wide Housing","0.443"" W (11.25mm)","Green","Plastic, Polyamide"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2970442.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2970442.JPG,277-7311-ND,2970442,Phoenix Contact,UNIVERS MOD SIDE ELEMENT 11.25MM,501,5550,"2.82000","0","1","UM","Active","Panel, Side","-","11.25mm Wide Housing","3.031"" L x 0.443"" W x 1.555"" H (77.00mm x 11.25mm x 39.50mm)","Green","Plastic, Polyamide"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2959683.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2959683.jpg,277-2804-ND,2959683,Phoenix Contact,SIDE ELEMENT 5 MM WIDE,201,2240,"2.85000","0","1","UM","Active","Panel, Side","Foot","UM Series","4.252"" W (108.00mm)","Green","Plastic, Polyamide"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2959696.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2959696.JPG,277-2806-ND,2959696,Phoenix Contact,SIDE ELEMENT 5 MM WIDE,146,2630,"2.85000","0","1","UM","Active","Panel, Side","Foot","UM Series","4.252"" W (108.00mm)","Green","Plastic, Polyamide"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2970028.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2970028.JPG,277-2805-ND,2970028,Phoenix Contact,ELECTRONIC BOARD BASE,189,1780,"3.59000","0","1","UM","Active","Module","-","22.5mm Wide Housing","3.031"" L x 0.886"" W (77.00mm x 22.50mm)","Green","Plastic, Polyamide"
http://www.budind.com/pdf/hb10980.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/NBX-10984.JPG,377-1939-ND,NBX-10984,Bud Industries,PANEL INTERNAL 4.9"" X 4.9"",104,712,"4.80000","0","1","NB","Active","Panel, Inner","-","NBB Series","4.900"" L x 4.900"" W x 0.062"" H (124.46mm x 124.46mm x 1.57mm)","Unpainted","Metal, Steel"
http://www.budind.com/pdf/hb1502.pdf,//media.digikey.com/photos/BUD%20Industries%20Photos/BPA-1505.jpg,377-1035-ND,BPA-1505,Bud Industries,CHASS BOT PLATE ALUM 4 X 6 NAT,107,266,"5.00000","0","1","-","Active","Plate","-","Chassis","5.875"" L x 3.875"" W x 0.078"" H (149.23mm x 98.43mm x 1.98mm)","Natural","Metal, Aluminum"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/1185060000.pdf,-,281-3337-ND,1185060000,Weidmüller,END PLATE 27.2MM WIDE ORANGE,295,720,"6.04000","0","1","Omnimate","Active","Panel, End","-","RS Housing System","4.260"" L x 1.074"" W x 0.937"" H (108.20mm x 27.20mm x 23.80mm)","Orange","Plastic, Polyamide"
//media.digikey.com/pdf/Data%20Sheets/ROSE+BOPLA%20PDFs/Battery%20Compartments_DIN%20Rail%20Holder.pdf,//media.digikey.com/photos/Rose%20&%20Bopla%20Enclosures/MFG_46300000.jpg,902-1085-ND,BE 30,Bopla Enclosures,BATTERY COMPARTMENT 1(9V)OR2(AA),294,0,"8.24000","0","1","-","Active","Battery Compartment","Battery Compartment, 9V and AA","Hand Held Box","1.460"" L x 2.560"" W x 0.850"" H (37.00mm x 65.00mm x 21.50mm)","Black","Plastic, Non Specified"
