Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Container Type","Size / Dimension","Height","Area (L x W)","Design","Material","Color","Thickness","Features","Ratings","Material Flammability Rating"
http://www.budind.com/pdf/hb1558.pdf,//media.digikey.com/photos/BUD%20Industries%20Photos/PB-1558-BF.jpg,377-1174-ND,PB-1558-BF,Bud Industries,BOX ABS BLACK 2""L X 1.5""W,7071,551,"1.40000","0","1","Style C","Active","Box, Potting","2.000"" L x 1.500"" W (50.80mm x 38.10mm)","1.000"" (25.40mm)","3.00in² (19.4cm²)","Open End(s)","Plastic, ABS","Black","0.070"" (1.78mm)","Mounting Flange","-","UL94 V-0"
http://www.budind.com/pdf/hb1558.pdf,//media.digikey.com/photos/BUD%20Industries%20Photos/PB-1558-TF.jpg,377-1175-ND,PB-1558-TF,Bud Industries,BOX ABS BLACK 2""L X 1.5""W,5028,0,"1.40000","0","1","Style B","Active","Box, Potting","2.000"" L x 1.500"" W (50.80mm x 38.10mm)","1.000"" (25.40mm)","3.00in² (19.4cm²)","Open End(s)","Plastic, ABS","Black","0.070"" (1.78mm)","Mounting Flange","-","UL94 V-0"
http://www.budind.com/pdf/hb1558.pdf,//media.digikey.com/photos/BUD%20Industries%20Photos/PB-1559-TF.jpg,377-1178-ND,PB-1559-TF,Bud Industries,BOX ABS BLACK 3""L X 2""W,2858,374,"2.01000","0","1","Style B","Active","Box, Potting","3.000"" L x 2.000"" W (76.20mm x 50.80mm)","1.500"" (38.10mm)","6.00in² (38.7cm²)","Open End(s)","Plastic, ABS","Black","0.070"" (1.78mm)","Mounting Flange","-","UL94 V-0"
http://www.budind.com/pdf/hb1558.pdf,//media.digikey.com/photos/BUD%20Industries%20Photos/PB-1576-TF.jpg,377-1179-ND,PB-1576-TF,Bud Industries,BOX ABS BLACK 3""L X 3""W,3344,0,"2.02000","0","1","Style B","Active","Box, Potting","3.000"" L x 3.000"" W (76.20mm x 76.20mm)","1.500"" (38.10mm)","9.00in² (58.1cm²)","Open End(s)","Plastic, ABS","Black","0.070"" (1.78mm)","Mounting Flange","-","UL94 V-0"
http://www.budind.com/pdf/hb7201.pdf,//media.digikey.com/photos/BUD%20Industries%20Photos/USB-7201-C.JPG,377-1735-ND,USB-7201-C,Bud Industries,BOX PLASTIC CLR 2.8""L X 0.91""W,2582,6242,"2.10000","0","1","USB","Active","Box","2.795"" L x 0.906"" W (70.99mm x 23.01mm)","0.343"" (8.71mm)","2.52in² (16.3cm²)","Split Sides and Cap","Plastic, Polycarbonate","Clear","0.012"" (0.30mm)","-","-","UL94 V-0"
https://www.budind.com/pdf/hbcu1941.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/CU-1941.JPG,377-2068-ND,CU-1941,Bud Industries,BOX ABS BLACK 3.27""L X 2.13""W,193,3085,"2.10000","0","1","Utilibox Style J","Active","Box","3.268"" L x 2.126"" W (83.01mm x 54.00mm)","1.201"" (30.51mm)","6.95in² (44.8cm²)","Cover Included","Plastic, ABS","Black","-","Card Guides, PCB Supports","-","UL94 HB"
http://www.budind.com/pdf/hb1558.pdf,//media.digikey.com/photos/BUD%20Industries%20Photos/pb-1574-bf.JPG,377-1964-ND,PB-1574-BF,Bud Industries,BOX ABS BLACK 2""L X 2""W,2200,56,"2.23000","0","1","Style C","Active","Box, Potting","2.000"" L x 2.000"" W (50.80mm x 50.80mm)","1.500"" (38.10mm)","4.00in² (25.8cm²)","Open End(s)","Plastic, ABS","Black","0.070"" (1.78mm)","Mounting Flange","-","UL94 V-0"
http://www.hammondmfg.com/pdf/1551RFL.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1551RFLBK.JPG,HM1062-ND,1551RFLBK,Hammond Manufacturing,BOX ABS BLACK 1.97""L X 1.97""W,3571,12453,"2.35000","0","1","1551FL","Active","Box","1.969"" L x 1.969"" W (50.00mm x 50.00mm)","0.787"" (19.99mm)","3.88in² (25.0cm²)","Cover Included","Plastic, ABS","Black","0.079"" (2.01mm)","Mounting Flange, PCB Supports","IP54","UL94 HB"
http://www.hammondmfg.com/pdf/1551R.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1551RBK.jpg,HM913-ND,1551RBK,Hammond Manufacturing,BOX ABS BLACK 1.97""L X 1.97""W,1273,4588,"2.35000","0","1","1551","Active","Box","1.969"" L x 1.969"" W (50.00mm x 50.00mm)","0.787"" (19.99mm)","3.88in² (25.0cm²)","Hand Held, Cover Included","Plastic, ABS","Black","0.079"" (2.01mm)","PCB Supports","IP54","UL94 HB"
http://www.hammondmfg.com/pdf/1551J.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1551JBK.jpg,HM908-ND,1551JBK,Hammond Manufacturing,BOX ABS BLACK 2.36""L X 1.38""W,2863,6948,"2.39000","0","1","1551","Active","Box","2.362"" L x 1.378"" W (59.99mm x 35.00mm)","0.591"" (15.01mm)","3.25in² (21.0cm²)","Hand Held, Cover Included","Plastic, ABS","Black","0.079"" (2.01mm)","PCB Supports","IP54","UL94 HB"
