Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Cam Length","Cam Height","Cam Width","Material"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/CAM%20LOCK%20Wing%20Knob%20Datasheet.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30402011.jpg,RPC2541-ND,30402011,Essentra Access Solutions,PLASTIC CAMS FOR QUARTER TURN LO,500,0,"0.51000","0","1","-","Active","Cam With Stopper","0.984"" (25.00mm)","0.000"" (0.00mm)","0.709"" (18.00mm)","Plastic"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Mini_Wing_Knob_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30403184.jpg,RPC2571-ND,30403184,Essentra Access Solutions,CAMS FOR MINI QURTER TURN LOCKS,500,0,"0.62000","0","1","-","Active","Cam With Stopper","0.984"" (25.00mm)","0.000"" (0.00mm)","0.512"" (13.00mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Mini_Wing_Knob_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30403084.jpg,RPC2547-ND,30403084,Essentra Access Solutions,CAMS FOR MINI QURTER TURN LOCKS,498,0,"0.62000","0","1","-","Active","Cam Without Stopper","1.299"" (33.00mm)","0.000"" (0.00mm)","0.512"" (13.00mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/CAM%20LOCK%20Wing%20Knob%20Datasheet.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30402013.jpg,RPC2542-ND,30402013,Essentra Access Solutions,PLASTIC CAMS FOR QUARTER TURN LO,465,0,"0.62000","0","1","-","Active","Cam With Stopper","1.772"" (45.00mm)","-0.157"" (-4.00mm)","0.709"" (18.00mm)","Plastic"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/CAM%20LOCK%20Wing%20Knob%20Datasheet.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30402004.jpg,RPC2538-ND,30402004,Essentra Access Solutions,PLASTIC CAMS FOR QUARTER TURN LO,500,0,"0.68000","0","1","-","Active","Cam With Stopper","1.378"" (35.00mm)","0.000"" (0.00mm)","0.709"" (18.00mm)","Plastic"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Mini_Wing_Knob_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30403183.jpg,RPC2570-ND,30403183,Essentra Access Solutions,CAMS FOR MINI QURTER TURN LOCKS,500,0,"0.68000","0","1","-","Active","Cam With Stopper","0.984"" (25.00mm)","0.236"" (6.00mm)","0.512"" (13.00mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Mini_Wing_Knob_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30403085.jpg,RPC2548-ND,30403085,Essentra Access Solutions,CAMS FOR MINI QURTER TURN LOCKS,497,0,"0.68000","0","1","-","Active","Cam With Stopper","1.181"" (30.00mm)","0.276"" (7.00mm)","0.512"" (13.00mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Mini_Wing_Knob_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30403196.jpg,RPC2572-ND,30403196,Essentra Access Solutions,CAMS FOR MINI QURTER TURN LOCKS,493,0,"0.68000","0","1","-","Active","Cam With Stopper","0.984"" (25.00mm)","-0.236"" (-6.00mm)","0.512"" (13.00mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/CAM%20LOCK%20Wing%20Knob%20Datasheet.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30402005.jpg,RPC2539-ND,30402005,Essentra Access Solutions,PLASTIC CAMS FOR QUARTER TURN LO,475,0,"0.81000","0","1","-","Active","Cam With Stopper","1.378"" (35.00mm)","0.236"" (6.00mm)","0.709"" (18.00mm)","Plastic"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/CAM%20LOCK%20Wing%20Knob%20Datasheet.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30402008.jpg,RPC2540-ND,30402008,Essentra Access Solutions,PLASTIC CAMS FOR QUARTER TURN LO,475,0,"0.81000","0","1","-","Active","Cam With Stopper","1.772"" (45.00mm)","0.157"" (4.00mm)","0.709"" (18.00mm)","Plastic"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/T_Handle_Vers1_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30403117.jpg,RPC2549-ND,30403117,Essentra Access Solutions,CAMS FOR SWINGHANDLES AND CAM LO,749,0,"0.89000","0","1","-","Active","Cam Without Stopper","1.772"" (45.00mm)","0.000"" (0.00mm)","0.748"" (19.00mm)","Steel, Zinc Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/CAM_LOCK_L_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30403033.jpg,RPC2543-ND,30403033,Essentra Access Solutions,CAMS FOR QUARTER TURN LOCKS CAM,689,0,"0.89000","0","1","-","Active","Cam With Stopper","1.772"" (45.00mm)","0.079"" (2.00mm)","0.748"" (19.00mm)","Steel, Zinc Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/CAM%20LOCK%20Wing%20Knob%20Datasheet.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30403169.jpg,RPC2563-ND,30403169,Essentra Access Solutions,CAMS FOR QUARTER TURN LOCKS CAM,500,0,"0.89000","0","1","-","Active","Cam With Stopper","1.772"" (45.00mm)","0.079"" (2.00mm)","0.748"" (19.00mm)","Steel, Zinc Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Access_Solutions_Cat.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30403054.jpg,RPC2545-ND,30403054,Essentra Access Solutions,CAMS FOR SWINGHANDLES AND CAM LO,500,0,"0.95000","0","1","-","Active","Cam Without Stopper","1.772"" (45.00mm)","0.118"" (3.00mm)","0.748"" (19.00mm)","Steel, Zinc Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/CAM%20LOCK%20Wing%20Knob%20Datasheet.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30403159.jpg,RPC2554-ND,30403159,Essentra Access Solutions,CAMS FOR QUARTER TURN LOCKS CAM,500,0,"0.95000","0","1","-","Active","Cam With Stopper","1.772"" (45.00mm)","0.079"" (2.00mm)","0.748"" (19.00mm)","Steel, Zinc Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Wing_Lock_Vers1_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30403425.jpg,RPC2581-ND,30403425,Essentra Access Solutions,CAMS FOR SWINGHANDLES AND CAM LO,500,0,"0.95000","0","1","-","Active","Cam Without Stopper","1.772"" (45.00mm)","-0.079"" (-2.00mm)","0.748"" (19.00mm)","Steel, Zinc Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/CAM%20LOCK%20Wing%20Knob%20Datasheet.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30403170.jpg,RPC2564-ND,30403170,Essentra Access Solutions,CAMS FOR QUARTER TURN LOCKS CAM,499,0,"0.95000","0","1","-","Active","Cam With Stopper","1.772"" (45.00mm)","0.157"" (4.00mm)","0.748"" (19.00mm)","Steel, Zinc Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Wing_Lock_Vers1_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30403412.jpg,RPC2577-ND,30403412,Essentra Access Solutions,CAMS FOR SWINGHANDLES AND CAM LO,497,0,"0.95000","0","1","-","Active","Cam Without Stopper","1.772"" (45.00mm)","-0.315"" (-8.00mm)","0.748"" (19.00mm)","Steel, Zinc Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/CAM%20LOCK%20Wing%20Knob%20Datasheet.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/30403171.jpg,RPC2565-ND,30403171,Essentra Access Solutions,CAMS FOR QUARTER TURN LOCKS CAM,490,0,"0.95000","0","1","-","Active","Cam With Stopper","1.772"" (45.00mm)","0.236"" (6.00mm)","0.748"" (19.00mm)","Steel, Zinc Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/CAM_LOCK_L_DS.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/30403xxx.JPG,RPC2546-ND,30403063,Essentra Access Solutions,CAMS FOR QUARTER TURN LOCKS CAM,488,0,"0.95000","0","1","-","Active","Cam With Stopper","1.772"" (45.00mm)","0.157"" (4.00mm)","0.748"" (19.00mm)","Steel, Zinc Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/CAM%20LOCK%20Wing%20Knob%20Datasheet.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30403160.jpg,RPC2555-ND,30403160,Essentra Access Solutions,CAMS FOR QUARTER TURN LOCKS CAM,431,0,"0.95000","0","1","-","Active","Cam With Stopper","1.772"" (45.00mm)","0.236"" (6.00mm)","0.748"" (19.00mm)","Steel, Zinc Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Wing_Lock_Vers1_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30403198.jpg,RPC2574-ND,30403198,Essentra Access Solutions,CAMS FOR SWINGHANDLES AND CAM LO,425,0,"0.95000","0","1","-","Active","Cam Without Stopper","1.772"" (45.00mm)","-0.157"" (-4.00mm)","0.748"" (19.00mm)","Steel, Zinc Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Wing_Lock_Vers1_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30403423.jpg,RPC2580-ND,30403423,Essentra Access Solutions,CAMS FOR SWINGHANDLES AND CAM LO,400,0,"0.95000","0","1","-","Active","Cam Without Stopper","1.772"" (45.00mm)","-0.236"" (-6.00mm)","0.748"" (19.00mm)","Steel, Zinc Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/CAM%20LOCK%20Wing%20Knob%20Datasheet.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/30403xxx.JPG,RPC2552-ND,30403149,Essentra Access Solutions,CAMS FOR QUARTER TURN LOCKS CAM,112,0,"0.95000","0","1","-","Active","Cam With Stopper","1.772"" (45.00mm)","0.157"" (4.00mm)","0.748"" (19.00mm)","Steel, Zinc Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Quarterturn_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30403439.jpg,RPC2583-ND,30403439,Essentra Access Solutions,CAMS FOR QUARTER TURN LOCKS CAM,500,0,"0.97000","0","1","-","Active","Cam With Stopper","1.772"" (45.00mm)","0.039"" (1.00mm)","0.748"" (19.00mm)","Steel, Zinc Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Wing_Lock_Vers2_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30403557.jpg,RPC2585-ND,30403557,Essentra Access Solutions,CAMS FOR SWINGHANDLES AND CAM LO,500,0,"0.97000","0","1","-","Active","Cam Without Stopper","1.772"" (45.00mm)","0.039"" (1.00mm)","0.748"" (19.00mm)","Steel, Zinc Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Wing_Lock_Vers2_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30403581.jpg,RPC2589-ND,30403581,Essentra Access Solutions,CAMS FOR SWINGHANDLES AND CAM LO,500,0,"1.00000","0","1","-","Active","Cam Without Stopper","1.772"" (45.00mm)","0.079"" (2.00mm)","0.748"" (19.00mm)","Steel, Zinc Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/CAM%20LOCK%20Wing%20Knob%20Datasheet.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/30403172.JPG,RPC2566-ND,30403172,Essentra Access Solutions,CAMS FOR QUARTER TURN LOCKS CAM,498,0,"1.05000","0","1","-","Active","Cam With Stopper","1.378"" (35.00mm)","0.315"" (8.00mm)","0.748"" (19.00mm)","Steel, Zinc Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/CAM%20LOCK%20Wing%20Knob%20Datasheet.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30403173.jpg,RPC2567-ND,30403173,Essentra Access Solutions,CAMS FOR QUARTER TURN LOCKS CAM,488,0,"1.05000","0","1","-","Active","Cam With Stopper","1.772"" (45.00mm)","0.394"" (10.00mm)","0.748"" (19.00mm)","Steel, Zinc Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/CAM_LOCK_L_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30403045.jpg,RPC2544-ND,30403045,Essentra Access Solutions,CAMS FOR QUARTER TURN LOCKS CAM,500,0,"1.08000","0","1","-","Active","Cam With Stopper","1.772"" (45.00mm)","0.472"" (12.00mm)","0.748"" (19.00mm)","Steel, Zinc Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/T_Handle_Vers1_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30403123.jpg,RPC2550-ND,30403123,Essentra Access Solutions,CAMS FOR SWINGHANDLES AND CAM LO,500,0,"1.08000","0","1","-","Active","Cam Without Stopper","1.772"" (45.00mm)","0.472"" (12.00mm)","0.748"" (19.00mm)","Steel, Zinc Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/T_Handle_Vers1_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30403128.jpg,RPC2551-ND,30403128,Essentra Access Solutions,CAMS FOR SWINGHANDLES AND CAM LO,500,0,"1.08000","0","1","-","Active","Cam With Stopper","1.772"" (45.00mm)","0.236"" (6.00mm)","0.748"" (19.00mm)","Steel, Zinc Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/CAM%20LOCK%20Wing%20Knob%20Datasheet.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30403163.jpg,RPC2558-ND,30403163,Essentra Access Solutions,CAMS FOR QUARTER TURN LOCKS CAM,500,0,"1.08000","0","1","-","Active","Cam With Stopper","1.772"" (45.00mm)","0.551"" (14.00mm)","0.748"" (19.00mm)","Steel, Zinc Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Wing_Lock_Vers1_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30403197.jpg,RPC2573-ND,30403197,Essentra Access Solutions,CAMS FOR SWINGHANDLES AND CAM LO,500,0,"1.08000","0","1","-","Active","Cam With Stopper","1.772"" (45.00mm)","0.157"" (4.00mm)","0.748"" (19.00mm)","Steel, Zinc Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Wing_Lock_Vers1_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30403420.jpg,RPC2578-ND,30403420,Essentra Access Solutions,CAMS FOR SWINGHANDLES AND CAM LO,500,0,"1.08000","0","1","-","Active","Cam Without Stopper","1.772"" (45.00mm)","-0.551"" (-14.00mm)","0.748"" (19.00mm)","Steel, Zinc Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Wing_Lock_Vers1_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30403422.jpg,RPC2579-ND,30403422,Essentra Access Solutions,CAMS FOR SWINGHANDLES AND CAM LO,500,0,"1.08000","0","1","-","Active","Cam Without Stopper","1.772"" (45.00mm)","0.551"" (14.00mm)","0.748"" (19.00mm)","Steel, Zinc Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Wing_Lock_Vers1_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30403552.jpg,RPC2584-ND,30403552,Essentra Access Solutions,CAMS FOR SWINGHANDLES AND CAM LO,500,0,"1.08000","0","1","-","Active","Cam Without Stopper","1.772"" (45.00mm)","-0.394"" (-10.00mm)","0.748"" (19.00mm)","Steel, Zinc Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Wing_Lock_Vers2_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30403583.jpg,RPC2590-ND,30403583,Essentra Access Solutions,CAMS FOR SWINGHANDLES AND CAM LO,500,0,"1.08000","0","1","-","Active","Cam Without Stopper","1.772"" (45.00mm)","0.315"" (8.00mm)","0.748"" (19.00mm)","Steel, Zinc Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Wing_Lock_Vers2_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30403584.jpg,RPC2591-ND,30403584,Essentra Access Solutions,CAMS FOR SWINGHANDLES AND CAM LO,500,0,"1.08000","0","1","-","Active","Cam Without Stopper","1.772"" (45.00mm)","0.394"" (10.00mm)","0.748"" (19.00mm)","Steel, Zinc Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Wing_Lock_Vers2_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30403587.jpg,RPC2594-ND,30403587,Essentra Access Solutions,CAMS FOR SWINGHANDLES AND CAM LO,500,0,"1.08000","0","1","-","Active","Cam Without Stopper","1.772"" (45.00mm)","-0.472"" (-12.00mm)","0.748"" (19.00mm)","Steel, Zinc Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/CAM%20LOCK%20Wing%20Knob%20Datasheet.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30403174.jpg,RPC2568-ND,30403174,Essentra Access Solutions,CAMS FOR QUARTER TURN LOCKS CAM,489,0,"1.08000","0","1","-","Active","Cam With Stopper","1.772"" (45.00mm)","0.472"" (12.00mm)","0.748"" (19.00mm)","Steel, Zinc Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/CAM%20LOCK%20Wing%20Knob%20Datasheet.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_30403175.jpg,RPC2569-ND,30403175,Essentra Access Solutions,CAMS FOR QUARTER TURN LOCKS CAM,488,0,"1.08000","0","1","-","Active","Cam With Stopper","1.772"" (45.00mm)","0.551"" (14.00mm)","0.748"" (19.00mm)","Steel, Zinc Plated"
