Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products"
http://web.schroff.de/webcat/subgroup/pdf/schroff_cat_39601641_main_catalog_2012_en.pdf#page=722,//media.digikey.com/photos/Schroff/64560001.JPG,1439-1355-ND,64560001,Schroff,CARD GUIDE 160MM (RED),42998,0,"0.84000","0","1","ServicePLUS","Active","Polybutylene Terephthalate, Snap-In Mount, 6.299"" (160.00mm)","0.079"" (2.00mm) Thick PC Boards"
https://www.bivar.com/Files/Datasheets/DC-XXX-XXX.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/DC-450-102.JPG,492-1521-ND,DC-450-102,Bivar Inc.,CARD GUIDE DEEP 4.5X0.102"" BLK,19983,0,"1.04000","0","1","GRIP-O-GIDE®","Active","Nylon, Snap-In Mount, 4.500"" (114.30mm)","3/32"" (2.4mm) Thick PC Boards"
https://www.bivar.com/Files/Datasheets/DC-XXX-XXX.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/DC-800-102.JPG,492-1522-ND,DC-800-102,Bivar Inc.,CARD GUIDE DEEP 8X0.102"" BLK,17987,0,"1.34000","0","1","GRIP-O-GIDE®","Active","Nylon, Snap-In Mount, 8.000"" (203.20mm)","3/32"" (2.4mm) Thick PC Boards"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/VMCGN_Dwg.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/VMCGN65-M3-L-K.jpg,RPC1149-ND,VMCGN65-M3-L-K,Essentra Components,CARD GUIDE VERTICAL MOUNT BLUE,6484,0,"3.31000","0","1","VMCGN","Active","Polystyrene, Screw Mount, Latching, 2.560"" (65.02mm)","0.079"" (2.00mm) Thick PC Boards"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/VMCGN_Dwg.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/VMCGN65-M3-L-K.jpg,RPC5361-ND,VMCGN120-M3-L-K,Essentra Components,CARD GUIDE VERTICAL MOUNT BLUE,6523,0,"3.87000","0","1","VMCGN","Active","Polystyrene, Screw Mount, Latching, 4.720"" (119.89mm)","0.079"" (2.00mm) Thick PC Boards"
http://www.essentracomponents.com.sg/images-line/pdfs/VMCG-1.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/VMCG-50-MPBK-K.jpg,RPC1148-ND,VMCG-50-MPBK-K,Essentra Components,CARD GUIDE VERT MOUNT 46.5MM,8474,0,"6.05000","0","1","VMCG","Active","Nylon, Screw Mount, Latching, 2.000"" (50.80mm)","1/16"" (1.6mm) Thick PC Boards"
http://web.schroff.de/style/catalogues/ep23/e/05_e_desktop_cases.pdf,//media.digikey.com/photos/Schroff/24560351.JPG,1439-1186-ND,24560351,Schroff,CARD GUIDE VME 160MM L RED 10PCS,515,0,"7.91000","0","1","ServicePLUS","Active","Polybutylene Terephthalate, Snap-In Mount, 6.299"" (160.00mm)","0.079"" (2.00mm) Thick PC Boards"
http://www.essentracomponents.com.sg/images-line/pdfs/VMCGE.pdf,//media.digikey.com/photos/Richco%20Photos/VMCGE-30M-01.JPG,RPC5359-ND,VMCGE-30M-01,Essentra Components,CARD GUIDE VERTICAL MOUNT 1.12"",8630,0,"0.54000","0","1","VMCG","Active","Nylon, Snap-In Mount, 1.120"" (28.45mm)","1/16"" (1.6mm) Thick PC Boards"
https://www.bivar.com/Files/Datasheets/N-XXX-X.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/N-400-2.JPG,492-1009-ND,N-400-2,Bivar Inc.,CARD GUIDE NAR 4.0X0.078"" NAT,8400,0,"0.60000","0","1","NARR-O-GIDE™","Active","Nylon, Snap-In Mount, 4.000"" (101.60mm)","1/16"" (1.6mm) Thick PC Boards"
https://www.bivar.com/Files/Datasheets/N-XXX-X.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/N-500-2.JPG,492-1524-ND,N-500-2,Bivar Inc.,CARD GUIDE NAR 5X0.078"" NAT,3437,0,"0.60000","0","1","NARR-O-GIDE™","Active","Nylon, Snap-In Mount, 5.000"" (127.00mm)","1/16"" (1.6mm) Thick PC Boards"
https://www.bivar.com/Files/Datasheets/N-XXX-X.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/N-600-2.JPG,492-1010-ND,N-600-2,Bivar Inc.,CARD GUIDE NAR 6.0X0.078"" NAT,1268,0,"0.66000","0","1","NARR-O-GIDE™","Active","Nylon, Snap-In Mount, 6.000"" (152.40mm)","1/16"" (1.6mm) Thick PC Boards"
https://www.bivar.com/Files/Datasheets/E-XXX.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/E-200.JPG,492-1822-ND,E-200,Bivar Inc.,CARD GUIDE PRESS 2X0.078"" BLK,2362,0,"0.81000","0","1","ECON-O-GIDE®","Active","Nylon, Snap-In Mount, 2.000"" (50.80mm)","1/16"" (1.6mm) Thick PC Boards"
http://www.essentracomponents.com.sg/images-line/pdfs/VMCGLE.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_VMCGLE-31M-01.jpg,RPC1801-ND,VMCGLE-31M-01,Essentra Components,CARD GUIDE VERT MOUNT LATCHED,5913,0,"0.93000","0","1","VMCG","Active","Nylon, Snap-In Mount, 1.125"" (31.75mm)","1/16"" (1.6mm) Thick PC Boards"
https://www.bivar.com/Files/Datasheets/DC-XXX-XXX.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/DC-450.JPG,492-1005-ND,DC-450,Bivar Inc.,CARD GUIDE DEEP 4.5X0.08"" BLK,2673,0,"0.97000","0","1","GRIP-O-GIDE®","Active","Nylon, Snap-In Mount, 4.500"" (114.30mm)","1/16"" (1.6mm) Thick PC Boards"
http://web.schroff.de/webcat/subgroup/pdf/schroff_cat_39601641_main_catalog_2012_en.pdf#page=722,//media.digikey.com/photos/Schroff/64560002.JPG,1439-1356-ND,64560002,Schroff,CARD GUIDE 220MM (RED),1388,0,"0.97000","0","1","ServicePLUS","Active","Polybutylene Terephthalate, Snap-In Mount, 8.661"" (220.00mm)","0.079"" (2.00mm) Thick PC Boards"
https://www.bivar.com/Files/Datasheets/DC-XXX-XXX.pdf,//media.digikey.com/photos/Bivar%20Inc%20Photos/DC-600.jpg,492-1881-ND,DC-600-102,Bivar Inc.,CARD GUIDE DEEP 6.0"" 0.102"" BK,8966,0,"1.07000","0","1","GRIP-O-GIDE®","Active","Nylon, Snap-In Mount, 6.000"" (152.40mm)","3/32"" (2.4mm) Thick PC Boards"
http://www.keyelco.com/product-pdf.cfm?p=2536,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_862x.jpg,36-8623-ND,8623,Keystone Electronics,GUIDE PC BOARD NYLON 3.5"" LONG,1829,400,"1.14000","0","1","-","Active","Nylon, Snap-In Mount, 4.000"" (101.60mm)","Circuit Board"
http://www.keyelco.com/product-pdf.cfm?p=2549,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_863x.jpg,36-8636-ND,8636,Keystone Electronics,GUIDE PC BOARD NYLON 8"" LONG,1476,1500,"1.40000","0","1","-","Active","Nylon, Snap-In Mount, 8.500"" (215.90mm)","Circuit Board"
