Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products"
http://web.schroff.de/webcat/subgroup/pdf/schroff_cat_39601641_main_catalog_2012_en.pdf#page=876,//media.digikey.com/Photos/Schroff/60807181.JPG,1439-1333-ND,60807181,Schroff,PCB METAL BRACKET,28205,0,"1.29000","0","1","-","Active","Bracket","PCB"
http://web.schroff.de/style/catalogues/ep23/e/05_e_desktop_cases.pdf,//media.digikey.com/Photos/Schroff/34561384.JPG,1439-1327-ND,34561384,Schroff,THREADED INSERT M2.5 84HP,1984,0,"2.94000","0","1","ratiopacPRO","Active","Threaded Insert","Horizontal Rail"
http://web.schroff.de/webcat/subgroup/pdf/schroff_cat_39601641_main_catalog_2012_en.pdf#page=1126,//media.digikey.com/Photos/Schroff/69004131.JPG,1439-1378-ND,69004131,Schroff,TEST SOCKET 2MM DOUBLE SHORT,1784,0,"4.46000","0","1","-","Active","Test Socket","FPCS Front Element Systems"
http://web.schroff.de/style/catalogues/ep23/e/05_e_desktop_cases.pdf,//media.digikey.com/photos/Schroff/34560584.JPG,1439-1318-ND,34560584,Schroff,RR HORIZ RL 84HP HVY INDRCT MNT,475,0,"10.66000","0","1","compacPRO","Active","Horizontal Rail","Subracks"
http://web.schroff.de/style/catalogues/ep23/e/05_e_desktop_cases.pdf,//media.digikey.com/photos/Schroff/34560284.JPG,1439-1311-ND,34560284,Schroff,VME FRONT HORIZ RAIL 84HP HEAVY,594,0,"10.91000","0","1","ratiopacPRO","Active","Horizontal Rail","Subracks"
http://nebula.wsimg.com/00d493ee1730f74d7896f08e1a32c66b?AccessKeyId=91CBBA8DAEED4655B5DD&disposition=0&alloworigin=1,"//media.digikey.com/photos/Vector%20Photos/TS169,TS209.jpg",V2005-ND,TS209,Vector Electronics,T-STRUT 20.85""X1"" FOR CARD RACK,1414,0,"11.99000","0","1","-","Active","T-Strut","Customizing Card Rack"
-,//media.digikey.com/Photos/Schroff/10849001.jpg,1439-1009-ND,10849001,Schroff,ATCA AMC CARRIER KIT MTCA MODULE,352,0,"216.38000","0","1","AdvancedTCA","Active","Hardware Kit","Plug-in Units"
http://web.schroff.de/style/catalogues/ep23/e/05_e_desktop_cases.pdf,//media.digikey.com/Photos/Schroff/34561342.JPG,1439-1325-ND,34561342,Schroff,THREADED INSERT M2.5 42HP,128,0,"2.04000","0","1","ratiopacPRO","Active","Threaded Insert","Horizontal Rail"
http://www.pentairprotect.co.uk/wcsstore/AuroraStorefrontAssetStore/espots/schroffexpress/SUBRACKEXPRESS-Sel-00096.pdf,//media.digikey.com/Photos/Schroff/60835022.JPG,1439-1351-ND,60835022,Schroff,PMC MEZZANINE COVER,4065,0,"2.30000","0","1","VME64x","Active","Cover","PMC Mezzanine Boards"
http://web.schroff.de/style/catalogues/ep23/e/05_e_desktop_cases.pdf,//media.digikey.com/Photos/Schroff/34561363.JPG,1439-1326-ND,34561363,Schroff,THREADED INSERT M2.5 63HP,144,0,"2.66000","0","1","ratiopacPRO","Active","Threaded Insert","Horizontal Rail"
http://web.schroff.de/webcat/subgroup/pdf/schroff_cat_39601641_main_catalog_2012_en.pdf#page=1126,//media.digikey.com/Photos/Schroff/69004130.JPG,1439-1377-ND,69004130,Schroff,TEST SOCKET 2MM SHORT,7846,0,"3.19000","0","1","-","Active","Test Socket","FPCS Front Element Systems"
"http://www.wakefield-vette.com/Portals/0/EPS%20data%20sheets/Components/Components%20for%20Installation/EMC%20gaskets,%20vertical.pdf",//media.digikey.com/photos/Wakefield%20Photos/3688614.JPG,345-1379-ND,3688614,Wakefield-Vette,EMC GASKET VERTICAL 6U VERSION 2,1061,0,"5.62000","0","1","EMC","Active","EMC Gasket","Subrack, 6U"
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/Rack_Comp&Acc.pdf,//media.digikey.com/Photos/Vector%20Photos/MFG_5250998-84.jpg,V2050-ND,5250998-84,Vector Electronics,BACKPLANE INSULATION STRIP 17.0"",215,0,"7.50000","0","1","VectorPak™","Active","Insulation Strip","Extrusion, Rear Horizontal"
http://web.schroff.de/webcat/subgroup/pdf/schroff_cat_39601641_main_catalog_2012_en.pdf#page=718,//media.digikey.com/Photos/Schroff/34560484.JPG,1439-1315-ND,34560484,Schroff,REAR HORIZ RL 84HP LT INDRCT MNT,222,0,"8.05000","0","1","ratiopacPRO","Active","Horizontal Rail","Subracks"
http://web.schroff.de/webcat/subgroup/pdf/schroff_cat_39601641_main_catalog_2012_en.pdf#page=708,//media.digikey.com/Photos/Schroff/34560184.JPG,1439-1307-ND,34560184,Schroff,VME FRONT HORIZ RAIL 84HP LT,124,0,"8.29000","0","1","ratiopacPRO","Active","Horizontal Rail","Subracks"
http://web.schroff.de/webcat/subgroup/pdf/schroff_cat_39601641_main_catalog_2012_en.pdf#page=708,//media.digikey.com/photos/Schroff/34560185.JPG,1439-1308-ND,34560185,Schroff,3U 175MM SIDE PLATE,173,0,"8.64000","0","1","ServicePLUS","Active","Panel, Side","Rack, 3U"
http://www.pentairprotect.co.uk/wcsstore/AuroraStorefrontAssetStore/espots/schroffexpress/SUBRACKEXPRESS-Sel-00096.pdf,//media.digikey.com/Photos/Schroff/30818518.JPG,1439-1272-ND,30818518,Schroff,PNL 6U 4HP (ANODZD UNTRTD EDG),270,0,"9.00000","0","1","-","Active","Panel, Front","Rack, 6U"
http://web.schroff.de/style/catalogues/ep23/e/05_e_desktop_cases.pdf,//media.digikey.com/Photos/Schroff/34560784.JPG,1439-1319-ND,34560784,Schroff,RR HORIZ RL 84HP HVY DRCT MNT,261,0,"10.91000","0","1","ServicePLUS","Active","Horizontal Rail","Subracks"
http://nebula.wsimg.com/00d493ee1730f74d7896f08e1a32c66b?AccessKeyId=91CBBA8DAEED4655B5DD&disposition=0&alloworigin=1,//media.digikey.com/photos/Vector%20Photos/TS169-690.JPG,V2037-ND,TS169-6/90,Vector Electronics,T-STRUT 16.85""X1"" W/HOLES ALUMNM,545,0,"19.55000","0","1","VectorPak™","Active","T-Strut","Customizing Card Rack"
http://web.schroff.de/style/catalogues/ep23/e/05_e_desktop_cases.pdf,//media.digikey.com/Photos/Schroff/21101855.JPG,1439-1167-ND,21101855,Schroff,6U AC INPUT MODULE 10 PCS,145,0,"24.00000","0","1","ServicePLUS","Active","EMC Gasket","Panel, 6U Filler"
-,//media.digikey.com/Photos/Schroff/21101707.JPG,1439-1163-ND,21101707,Schroff,6U EMC SS GASKET 10 PCS,119,0,"29.83000","0","1","ServicePLUS","Active","EMC Gasket","Panel, 6U Filler"
-,//media.digikey.com/Photos/Schroff/21101847.JPG,1439-1164-ND,21101847,Schroff,1/4 TURN FASTENER GRAY 100PCS,31,0,"131.63000","0","1","-","Active","Locking Screw","Subracks"
http://www.wakefield-vette.com/Portals/0/EPS%20data%20sheets/Components/HorizontalRails/threaded%20insert%20i.pdf,//media.digikey.com/photos/Wakefield%20Photos/3684610.jpg,345-1276-ND,3684610,Wakefield-Vette,THREADED INSERT M2.5MM 84HP,647,0,"3.15000","0","1","-","Active","Threaded Insert","Horizontal Rail"
http://web.schroff.de/webcat/subgroup/pdf/schroff_cat_39601641_main_catalog_2012_en.pdf#page=826,//media.digikey.com/Photos/Schroff/60835021.JPG,1439-1350-ND,60835021,Schroff,PMC EMC GASKET O RING,261,0,"3.89000","0","1","VME64x","Active","EMC Gasket","PMC Mezzanine Boards"
http://www.wakefield-vette.com/Portals/0/EPS%20data%20sheets/Components/HorizontalRails/threaded%20insert%20i.pdf,//media.digikey.com/Photos/Wakefield%20Photos/9901816.jpg,345-1418-ND,9901816,Wakefield-Vette,THREADED INSERT (5X2MM) M2.5,150,0,"5.85000","0","1","Ripac Easy","Active","Threaded Insert","Horizontal Rail"
http://nebula.wsimg.com/b1697e53562b4c91a022cab8bacaffa0?AccessKeyId=91CBBA8DAEED4655B5DD&disposition=0&alloworigin=1,//media.digikey.com/Photos/Vector%20Photos/5231304-07.JPG,V2043-ND,5231304-07,Vector Electronics,PANEL FILLER 3UX4HP ASSEMBLY,118,0,"9.76000","0","1","VectorPak™","Active","Panel, Filler","-"
http://web.schroff.de/style/catalogues/ep23/e/05_e_desktop_cases.pdf,//media.digikey.com/Photos/Schroff/21101853.JPG,1439-1166-ND,21101853,Schroff,3U AC INPUT MODULE 10 PCS,130,0,"16.45000","0","1","ServicePLUS","Active","EMC Gasket","Panel, 3U Filler"
"http://www.wakefield-vette.com/Portals/0/EPS%20data%20sheets/Components/HorizontalRails/front%20horizontal%20rail,%20with%2010%20mm%20extension%20b.pdf",//media.digikey.com/Photos/Wakefield%20Photos/3684567.JPG,345-1272-ND,3684567,Wakefield-Vette,HORIZONTAL RAIL W 10MM EXTENS,120,0,"16.96000","0","1","-","Active","Horizontal Rail","Subracks"
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/Non_EMC_DIN-Based_VectorPak_Subracks_FP.pdf,//media.digikey.com/photos/Vector%20Photos/FP04-6U.JPG,V2028-ND,FP04-6U,Vector Electronics,PANEL FRONT 6U FOR CARD RACK,467,0,"25.40000","0","1","VectorPak™","Active","Panel, Front","Subrack Systems"
http://www.wakefield-vette.com/Portals/0/EPS%20data%20sheets/Components/Front%20Panels/micro-switch%20mounting%20clip.pdf,//media.digikey.com/Renders/Wakefield%20Renders/MFG_3686536.jpg,345-1352-ND,3686536,Wakefield-Vette,MICRO-SWITCH INCL CABLE A CONN,331,0,"9.31000","0","1","-","Active","Micro Switch","Handle, Extractor, Injector"
"http://www.wakefield-vette.com/Portals/0/EPS%20data%20sheets/Components/HorizontalRails/rear%20horizontal%20rail,%20with%20double%20screw%20fastening%20c6.pdf",//media.digikey.com/Renders/Wakefield%20Renders/MFG_9908723.jpg,345-1422-ND,9908723,Wakefield-Vette,RAIL 84HP CENTER 9MM 2XMOUNT,129,0,"16.13000","0","1","-","Active","Horizontal Rail","Subracks"
