Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Size / Dimension","Height","Card Size Range","Guide Method","Material"
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/Subracks%20-%20VectorPak.pdf,//media.digikey.com/photos/Vector%20Photos/CCK13S^90.JPG,V1052-ND,CCK13S/90,Vector Electronics,CARD RACK KIT EIA 3UX19X9 SNAPIN,51,0,"158.68000","0","1","VectorPak™ CCK","Active","Subrack Kit","9.000"" L x 19.000"" W (228.60mm x 482.60mm)","3U = 5.250"" (133.35mm)","2.500"" ~ 4.500"" H x 6.500"" L (63.50mm ~ 114.30mm x 165.10mm)","Card Guide","Aluminum"
http://www.pentairprotect.co.uk/wcsstore/AuroraStorefrontAssetStore/espots/schroffexpress/SUBRACKEXPRESS-Sel-00096.pdf,//media.digikey.com/photos/Schroff/24563132.jpg,1439-1194-ND,24563132,Schroff,SUBRACK FOR 19"" 3U 84HP 235MM,37,0,"82.62000","0","1","europacPRO","Active","Subrack Kit","9.187"" L x 16.800"" W (235.00mm x 426.72mm)","3U = 5.250"" (133.35mm)","-","No Card Guide","Aluminum"
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/EIA-Based_Vectorpak.pdf,//media.digikey.com/photos/Vector%20Photos/CCA13S^90.jpg,V1051-ND,CCA13S/90,Vector Electronics,CARD RACK 5.25X19X9 SNAPIN PLAST,19,0,"172.09000","0","1","VectorPak™ CCA","Active","Assembled Subracks with Card Guides","9.000"" L x 19.000"" W (228.60mm x 482.60mm)","3U = 5.250"" (133.35mm)","2.500"" ~ 4.500"" H x 6.500"" L (63.50mm ~ 114.30mm x 165.10mm)","Card Guide","Aluminum"
http://www.pentairprotect.co.uk/wcsstore/AuroraStorefrontAssetStore/espots/schroffexpress/SUBRACKEXPRESS-Sel-00096.pdf,//media.digikey.com/Photos/Schroff/24563143.jpg,1439-1200-ND,24563143,Schroff,SUBRACK FOR 19"" 3U 84HP 295MM,17,0,"265.32000","0","1","europacPRO","Active","Subrack Kit","11.614"" L x 16.800"" W (295.00mm x 426.72mm)","3U = 5.250"" (133.35mm)","-","No Card Guide","Aluminum"
http://www.pentairprotect.co.uk/wcsstore/AuroraStorefrontAssetStore/espots/schroffexpress/SUBRACKEXPRESS-Sel-00096.pdf,//media.digikey.com/photos/Schroff/24563131.jpg,1439-1193-ND,24563131,Schroff,SUBRACK FOR 19""3U 84HP 175MM,13,0,"79.24000","0","1","europacPRO","Active","Subrack Kit","6.890"" L x 16.800"" W (175.00mm x 426.72mm)","3U = 5.250"" (133.35mm)","-","No Card Guide","Aluminum"
http://www.pentairprotect.co.uk/wcsstore/AuroraStorefrontAssetStore/espots/schroffexpress/SUBRACKEXPRESS-Sel-00096.pdf,//media.digikey.com/Photos/Schroff/24563432.jpg,1439-1214-ND,24563432,Schroff,SUBRACK FOR 19"" 6U 84HP 235MM,17,0,"119.65000","0","1","europacPRO","Active","Subrack Kit","9.187"" L x 16.800"" W (235.00mm x 426.72mm)","6U = 10.500"" (266.70mm)","-","No Card Guide","Aluminum"
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/EIA-Based_Vectorpak.pdf,//media.digikey.com/Photos/Vector%20Photos/CCK12S%5E90.jpg,V1145-ND,CCK12S/90,Vector Electronics,CARD RACK KIT EIA 3UX19X9 SNAPIN,7,0,"158.68000","0","1","VectorPak™ CCK","Active","Subrack Kit","9.000"" L x 19.000"" W (228.60mm x 482.60mm)","3U = 5.250"" (133.35mm)","2.500"" ~ 4.500"" H x 4.500"" L (63.50mm ~ 114.30mm x 114.30mm)","Card Guide","Aluminum"
http://nebula.wsimg.com/0351cc178239d4c62a495f1c6975ae8d?AccessKeyId=91CBBA8DAEED4655B5DD&disposition=0&alloworigin=1,//media.digikey.com/Photos/Vector%20Photos/MFG_CCK160-3U.jpg,V1216-ND,CCK160-3U,Vector Electronics,CARD RACK FRAME KIT VME 3UX160MM,3,0,"160.55000","0","1","VectorPak™ CCK","Active","Subrack Kit","9.270"" L x 19.000"" W (235.46mm x 482.60mm)","3U = 5.250"" (133.35mm)","3.940"" H x 6.299"" L (100.08mm x 159.99mm)","No Card Guide","Aluminum"
http://nebula.wsimg.com/7d5caa5408f1b6c5daf24ccb40cec8f5?AccessKeyId=91CBBA8DAEED4655B5DD&disposition=0&alloworigin=1,-,V2068-ND,CCM13S/90,Vector Electronics,CARD RACK ASSEMBLY EIA 3UX19X9,23,0,"208.60000","0","1","CCM","Active","Assembled Card Mount Subracks","9.000"" L x 19.000"" W (228.60mm x 482.60mm)","3U = 5.250"" (133.35mm)","4.500"" H x 6.500"" L (114.30mm x 165.10mm)","No Card Guide","Aluminum"
//media.digikey.com/pdf/Data%20Sheets/Vector%20PDFs/Subracks%20-%20VectorPak.pdf,//media.digikey.com/photos/Vector%20Photos/CCA17S^90.jpg,V1148-ND,CCA17S/90,Vector Electronics,CARD RACK EIA 19X8.75X12 PLASTIC,9,0,"209.30000","0","1","VectorPak™ CCA","Active","Assembled Subracks with Card Guides","12.000"" L x 19.000"" W (304.80mm x 482.60mm)","5U = 8.750"" (222.25mm)","6.000"" ~ 8.000"" H x 9.600"" L (152.40mm ~ 203.20mm x 243.84mm)","Card Guide","Aluminum"
