Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Container Type","Platform","Size / Dimension","Height","Area (L x W)","Design","Material","Color","Thickness","Features","Material Flammability Rating"
https://www.budind.com/pdf/hbps11594.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/PS-11594-B.jpg,377-2683-ND,PS-11594-B,Bud Industries,ROUNDED BLACK RPI MODEL B (ALL V,473,0,"5.06000","0","1","-","Active","Case","Raspberry Pi 2B, 3B, 3B+","3.520"" L x 2.740"" W (89.41mm x 69.60mm)","0.980"" (24.89mm)","4.28in² (27.6cm²)","Hand Held, Split Sides","Plastic, ABS","Black","0.080"" (2.03mm)","-","UL94 HB"
http://www.hammondmfg.com/pdf/1593HAMBONE.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_1593HAMBONEBK.jpg,HM1364-ND,1593HAMBONEBK,Hammond Manufacturing,BOX ABS BLACK 3.75""L X 3.04""W,232,0,"6.68000","0","1","1593HAM","Active","Case","BeagleBone Black","3.752"" L x 3.044"" W (95.31mm x 77.31mm)","1.181"" (30.00mm)","11.5in² (74cm²)","Hand Held, Split Sides and End Panel(s)","Plastic, ABS","Black","-","PCB Supports","UL94 HB"
//media.digikey.com/pdf/Data%20Sheets/Raspberry%20Pi%20PDFs/Raspberry_Pi_Case_WEB.pdf,//media.digikey.com/Photos/Raspberry%20Pi/PI-OFFICIAL-CASE-RED%5EWHITE.jpg,1690-1001-ND,PI OFFICIAL CASE RED/WHITE,Raspberry Pi,CASE ABS RED/WHITE 3.23""LX4.25""W,246,0,"8.00000","0","1","PI","Active","Case","Raspberry Pi 3B, 3B+","3.228"" L x 4.252"" W (82.00mm x 108.00mm)","1.220"" (31.00mm)","13.6in² (88cm²)","Hand Held, Split Sides","Plastic, ABS","Red, White","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Raspberry%20Pi%20PDFs/ASM-1900035-xx_Dwg.pdf,//media.digikey.com/Photos/Raspberry%20Pi/ASM-1900035-21.jpg,1690-1008-ND,ASM-1900035-21,Raspberry Pi,CASE ABS BLACK 7.76""L X 4.55""W,217,0,"17.00000","0","1","-","Active","Case","Raspberry Pi Touchscreen","7.761"" L x 4.553"" W (197.12mm x 115.64mm)","1.841"" (46.76mm)","-","Hand Held","Plastic, ABS","Black","-","-","UL94 HB"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3597.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3597.jpg,1528-2408-ND,3597,Adafruit Industries LLC,BOX CLEAR 3""L X 2.4""W,126,0,"4.95000","0","1","-","Active","Case","Arduino Uno","3.000"" L x 2.400"" W (76.20mm x 60.96mm)","0.800"" (20.32mm)","7.21in² (46.5cm²)","Hand Held, Split Sides","-","Clear","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2258_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2258.jpg,1528-1583-ND,2258,Adafruit Industries LLC,BOX POLYCARBONATE SMOKE 3.7X2.5"",209,0,"7.95000","0","1","PI","Active","Case","Raspberry Pi B+, 2B, 3B, 3B+","3.661"" L x 2.480"" W (93.00mm x 63.00mm)","1.142"" (29.00mm)","9.08in² (58.6cm²)","Hand Held, Cover Included","Plastic, Polycarbonate","Smoke, Clear Cover/Door","0.157"" (4.00mm)","PCB Supports","-"
//media.digikey.com/pdf/Data%20Sheets/Raspberry%20Pi%20PDFs/Raspberry_Pi_Case_WEB.pdf,//media.digikey.com/Photos/Raspberry%20Pi/PI-OFFICIAL-CASE-BLACK%5EGREY.jpg,1690-1020-ND,PI OFFICIAL CASE BLACK/GREY,Raspberry Pi,CASE ABS BLK/GRAY 3.23""LX4.25""W,183,0,"8.76000","0","1","PI","Active","Case","Raspberry Pi 3B, 3B+","3.228"" L x 4.252"" W (82.00mm x 108.00mm)","1.220"" (31.00mm)","13.6in² (88cm²)","Hand Held","Plastic, ABS","Black, Gray","-","-","-"
https://www.hammfg.com/electronics/small-case/development-board/1593ham-rasp.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_1593HAMPI3BK.jpg,HM2297-ND,1593HAMPI3BK,Hammond Manufacturing,BOX ABS BLACK 3.88""L X 2.74""W,226,576,"7.24000","0","1","1593HAM","Active","Case","Raspberry Pi B+, 2B, 3B, 3B+","3.880"" L x 2.736"" W (98.54mm x 69.49mm)","1.220"" (31.00mm)","10.6in² (68cm²)","Cover Included","Plastic, ABS","Black","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Pi%20Supply%20PDFs/ModMyPi_Pi_Zero_Cases_Web.pdf,-,1910-1056-ND,PIS-0497,Pi Supply,MODMYPI PI ZERO CASE - BLUE,103,0,"9.70000","0","1","-","Active","Case","Raspberry Pi Zero","2.953"" L x 1.575"" W (75.00mm x 40.00mm)","0.591"" (15.00mm)","4.65in² (30.0cm²)","Hand Held, Cover Included","-","Blue","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Pi%20Supply%20PDFs/ModMyPi_Pi_Zero_Cases_Web.pdf,-,1910-1055-ND,PIS-0499,Pi Supply,MODMYPI PI ZERO CASE - CLEAR,101,0,"9.70000","0","1","-","Active","Case","Raspberry Pi Zero","2.953"" L x 1.575"" W (75.00mm x 40.00mm)","0.591"" (15.00mm)","4.65in² (30.0cm²)","Hand Held, Cover Included","-","Clear","-","-","-"
