Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Height","Length - Center to Center","Thread/Screw/Hole Size","Material","Mounting Type"
https://www.hammfg.com/files/parts/pdf/1427B2BK.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/1427B2BK.jpg,HM1325-ND,1427B2BK,Hammond Manufacturing,HANDLE STEEL BLACK 2/PACK,654,106,"5.09000","0","1","1427","Active","Instrumentation","1.000"" (25.40mm)","1.252"" (31.80mm)","#6-32","Steel, Black Coating","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1705,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_717x.jpg,36-7170-ND,7170,Keystone Electronics,HANDLE INSTR RND .156""DIA ALUM,5770,2809,"5.25000","0","1","-","Active","Instrumentation","1.000"" (25.40mm)","1.250"" (31.75mm)","#4-40","Aluminum","Screw Holes, Back"
http://www.hammondmfg.com/pdf/1427B2.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/1427B2.jpg,HM1266-ND,1427B2,Hammond Manufacturing,HANDLE 1.25""MOUNTING/1""HEIGHT,1481,320,"5.54000","0","1","1427","Active","Instrumentation","1.000"" (25.40mm)","1.252"" (31.80mm)","#6-32","Steel, Chrome Plated","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1737,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_911x.jpg,36-9116-ND,9116,Keystone Electronics,HANDLE RND .187""DIA 1.00""H ALUM,1281,1445,"5.78000","0","1","-","Active","Instrumentation","1.000"" (25.40mm)","1.250"" (31.75mm)","#6-32","Aluminum","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1705,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_717x.jpg,36-7171-ND,7171,Keystone Electronics,HANDLE INSTR RND .156""DIA ALUM,1203,755,"5.78000","0","1","-","Active","Instrumentation","1.000"" (25.40mm)","2.000"" (50.80mm)","#4-40","Aluminum","Screw Holes, Back"
http://www.budind.com/pdf/hb9160.pdf,//media.digikey.com/photos/BUD%20Industries%20Photos/H-9166-B.jpg,377-1235-ND,H-9166-B,Bud Industries,HANDLE CHROME MNTG CNTR 1 29/32"",886,8161,"6.00000","0","1","-","Active","Instrumentation","1.250"" (31.75mm)","1.906"" (48.41mm)","#6-32","Brass, Chrome Plated","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1737,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_911x.jpg,36-9118-ND,9118,Keystone Electronics,HANDLE RND .187""DIA 1.00""H ALUM,463,5522,"6.02000","0","1","-","Active","Instrumentation","1.000"" (25.40mm)","2.000"" (50.80mm)","#6-32","Aluminum","Screw Holes, Back"
http://reports.daviesmolding.com/drawings/4560.pdf,//media.digikey.com/Photos/Davies-Molding-LLC/MFG_4560.jpg,1722-1221-ND,4560,"Davies Molding, LLC",TWO POINT PULL HANDLES,424,0,"2.84000","0","1","4560","Active","Instrumentation","1.750"" (44.45mm)","4.250"" (107.95mm)","0.260"" (6.60mm) Inner Dia","Phenolic","Screw Holes, Front"
https://cadlinks.rafhdwe.com/dk2d/8075-440-a/,//media.digikey.com/Photos/RAF%20Electronic%20Hardware/8075-440-A-24.jpg,1772-1624-ND,8075-440-A-24,RAF Electronic Hardware,3/16 OD X 3.00 LG X 1.00 HT,721,0,"3.66000","0","1","-","Active","Instrumentation","1.000"" (25.40mm)","3.000"" (76.20mm)","#4-40","Aluminum","Screw Holes, Back"
http://www.hammondmfg.com/pdf/1427C1.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/1427C1.JPG,HM1274-ND,1427C1,Hammond Manufacturing,HANDLE BRASS 3/8"" DIAMETER ROUND,670,133,"4.82000","0","1","1427","Active","Instrumentation","1.299"" (32.99mm)","4.000"" (101.60mm)","#10-32","Steel, Chrome Plated","Screw Holes, Back"
