Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Panel Cutout Dimensions","Mounting Type","Material"
https://www.essentraaccesssolutions.com/YuklenenDosyalar/UrunKataloglari/309c07cc-92f8-4261-98c7-aa1c4474b7c6.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/271.JPG,RPC2293-ND,271,Essentra Access Solutions,SLIDING LOCK POLYMER BLACK FINIS,218,0,"2.90000","0","1","-","Active","Sliding Lock","Rectangular - 37.30mm x 25.30mm","Clip In","Polyamide (PA6), Nylon 6, Glass Filled"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Wing_Knob_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_062-2-0-00.jpg,RPC2348-ND,0622000,Essentra Access Solutions,CAM LATCH 22X20 CUT OUT POLYMER,153,0,"3.73000","0","1","-","Active","Cam Latch","Square (Rounded Corners) - 20.20mm","Panel Mount","Plastic"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Quarter_Turn_Spring_Latch_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_76020124200.jpg,RPC2688-ND,76020124200,Essentra Access Solutions,CAM LATCH 22X20 CUT OUT HYBRID (,120,0,"4.46000","0","1","-","Active","Cam Latch","Square (Rounded Corners) - 20.20mm","Panel Mount","Zamak, Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/27020x_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_270201.jpg,RPC2521-ND,270201,Essentra Access Solutions,SWELL LATCH SMALL POLYMER BLACK,243,0,"4.85000","0","1","-","Active","Swell Latch","-","Screw, Bolt","Polyamide"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Mini_Wing_Knob_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_1661100.jpg,RPC2458-ND,1661100,Essentra Access Solutions,MINI CAM LATCH 16X14 CUTOUT ZAMA,149,0,"4.85000","0","1","-","Active","Cam Latch","Square (Rounded Corners) - 14.20mm","Panel Mount","Zamak, Chrome Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Spring_Loaded_Latch_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_066-1-2-42-00.jpg,RPC2359-ND,066124200,Essentra Access Solutions,MINI CAM LATCH 16X14 CUTOUT ZAMA,149,0,"5.16000","0","1","-","Active","Cam Latch","Square (Rounded Corners) - 14.20mm","Panel Mount","Zamak, Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/27020x_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_270202.jpg,RPC2522-ND,270202,Essentra Access Solutions,SWELL LATCH MEDIUM POLYMER BLACK,249,0,"5.58000","0","1","-","Active","Swell Latch","-","Screw, Bolt","Polyamide"
https://www.essentraaccesssolutions.com/YuklenenDosyalar/UrunKataloglari/c1d6b93d-ff9e-49db-a65c-3e49955add51.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_16200M.jpg,RPC2453-ND,16200M,Essentra Access Solutions,CAM LATCH 20X27 CUT OUT ZAMAK BL,199,0,"5.80000","0","1","-","Active","Cam Latch","Square (Rounded Corners) - 20.20mm","Panel Mount","Zamak"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Wing_Knob_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_062-1-2-00.jpg,RPC2347-ND,0621200,Essentra Access Solutions,CAM LATCH 22X20 CUT OUT ZAMAK BL,180,0,"5.80000","0","1","-","Active","Cam Latch","Square (Rounded Corners) - 20.20mm","Panel Mount","Zamak, Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Access_Solutions_Cat.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_063-2-0-01-00.jpg,RPC2351-ND,063200100,Essentra Access Solutions,CAM LATCH 20X22MM CUTOUT POLYMER,199,0,"5.94000","0","1","-","Active","Cam Lock","Square (Rounded Corners) - 20.20mm","Panel Mount","Plastic"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/CAM_LOCK_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_063-1-2-01-00.jpg,RPC2350-ND,063120100,Essentra Access Solutions,CAM LATCH 20X22MM CUTOUT ZAMAK B,196,0,"6.68000","0","1","-","Active","Cam Lock","Square (Rounded Corners) - 20.20mm","Panel Mount","Zamak, Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/CAM_LOCK_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_063-1-1-01-00.jpg,RPC2349-ND,063110100,Essentra Access Solutions,CAM LATCH 20X22MM CUTOUT ZAMAK C,171,0,"6.68000","0","1","-","Active","Cam Lock","Square (Rounded Corners) - 20.20mm","Panel Mount","Zamak, Chrome Plated"
