Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Connector Type","Number of Positions","Number of Rows","Termination Style"
https://www.panduit.com/content/dam/panduit/en/products/assets/c/cd/cdp/cdpp/cdpp8rg/media/C-COCDPP8RG--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/CDPP8RG.JPG,298-12482-ND,CDPP8RG,Panduit Corp,"INDUSTRIALNET, 8-PORT DIN RAIL M",47,0,"108.27000","0","1","Mini-Com®","Active","Patch Panel, Fiber","-","8","4","-"
http://www.switchcraft.com/Drawings/QGPK1B440_CD.PDF,-,SC2542-ND,QGPK1B440,Switchcraft Inc.,CONN PATCHBAY BLANK PANEL 1.75"",27,0,"150.14000","0","1","QG®","Active","Audio/Video Panel","-","16","1","-"
https://assets.tripplite.com/product-pdfs/en/n062024kjsh.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_N062-024-KJ-SH.jpg,TL1028-ND,N062-024-KJ-SH,Tripp Lite,24-PORT 1U RACK-MOUNT SHIELDED B,110,0,"29.58000","0","1","Network","Active","Modular Panel, Keystone","RJ45 Jack (Not Provided)","24","1","-"
http://www.switchcraft.com/Documents/switchcraft_pab6.pdf#page=27,//media.digikey.com/photos/Switchcraft%20Photos/Switchcraft%20-%20MT48FN.jpg,SC2081-ND,MT48FNX,Switchcraft Inc.,CONN PATCHBAY 48JACKS 1.75"",65,0,"574.17000","0","1","MT48/52K","Active","Telephone Jack Panel","1/4"" Phone Jack","48","2","Solder"
https://belfuse.com/resources/cinch-brochures/CCS%20Trompeter%20Catalog.pdf,//media.digikey.com/Photos/Cinch-Connectivity-Solutions/DS1.JPG,1097-1325-ND,DS1,Cinch Connectivity Solutions Trompeter,.500"" PANELID STRIP,300,0,"17.33000","0","1","-","Active","Patch Panel, Cat5","-","-","-","-"
https://www.panduit.com/content/dam/panduit/en/products/assets/c/cf/cfa/cfap/cfappbl1a/media/CFAPPBL1A%20dwg.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/CFAPPBL1.JPG,298-12484-ND,CFAPPBL1,Panduit Corp,FLAT FIBER PATCH PANEL. HOLDS UP,110,0,"31.07000","0","1","Opticom®","Active","Patch Panel, Fiber","-","4","1","-"
https://www.panduit.com/content/dam/panduit/en/products/assets/c/cp/cpp/cpp2/cpp24wbly/media/C-COCPP24WBLY--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_CPP24WBLY.jpg,298-16148-ND,CPP24WBLY,Panduit Corp,"PATCH PANEL, 24 PORT, MODULAR, B",147,0,"40.57000","0","1","-","Active","-","-","-","-","-"
https://www.panduit.com/content/dam/panduit/en/products/assets/c/cp/cpp/cppl/cppl24wbly/media/C-COCPPL24WBLY--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_CPPL24WBLY.jpg,298-16155-ND,CPPL24WBLY,Panduit Corp,"PATCH PANEL, 24 PORT, MODULAR SN",125,0,"43.18000","0","1","Mini-Com®","Active","Modular Panel","-","24","1","-"
https://assets.tripplite.com/product-pdfs/en/n252024.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_N252-024.jpg,TL1126-ND,N252-024,Tripp Lite,PANEL PATCH CAT6 568B 24PORT,13,0,"64.64000","0","1","Network","Active","Patch Panel, Cat6","RJ45","24","1","Punch Down"
https://www.belden.com/hubfs/resources/technical/technical-data/english/RV5PPF1U24XX.pdf,-,BEL14207-ND,RV6PPF1U24BK,Belden Inc.,CAT6+ REVCONN PATCH PNL,5,0,"214.96000","0","1","KeyConnect","Active","-","RJ45","24","1","RJ45 Connector"
//media.digikey.com/pdf/Data%20Sheets/Assmann%20PDFs/A-PAN-16-MOD.pdf,//media.digikey.com/Photos/Assmann%20Photos/MFG_A-PAN-16-MOD.jpg,AE10606-ND,A-PAN-16-MOD,Assmann WSW Components,PATCH PANEL 19"" 16PORT BLANK,49,0,"5.55000","0","1","A-PAN","Active","Modular Panel","-","16","1","-"
http://www.switchcraft.com/Documents/EDG4.pdf#page=91,//media.digikey.com/Photos/Switchcraft%20Photos/MFG_2300X.jpg,SC2066-ND,2300X,Switchcraft Inc.,CONN JACK BLOCK DUAL W/O JACKS,90,0,"9.76000","0","1","2300","Active","Telephone Jack Panel","1/4"" Phone Jack (Not Provided)","2","1","-"
https://assets.tripplite.com/product-pdfs/en/n062024kj.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_N062-024-KJ.jpg,TL1259-ND,N062-024-KJ,Tripp Lite,24-PORT 2U RACK-MOUNT BLANK KEYS,9,0,"19.14000","0","1","Network","Active","Modular Panel, Keystone","RJ45 Jack (Not Provided)","24","2","-"
https://assets.tripplite.com/product-pdfs/en/n050012.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_N050-012.jpg,TL1121-ND,N050-012,Tripp Lite,PANEL PATCH CAT5E WALL MT 12PORT,18,0,"32.97000","0","1","Network","Active","Patch Panel, Cat5e","RJ45","12","1","Punch Down"
https://assets.tripplite.com/product-pdfs/en/n052048.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_N052-048.jpg,TL592-ND,N052-048,Tripp Lite,PANEL PATCH CAT5E 48 PORT RACK,5,0,"84.84000","0","1","Network","Active","Patch Panel, Cat5","RJ45","48","2","Punch Down"
http://www.switchcraft.com/Drawings/QGPK3B440_CD.pdf,//media.digikey.com/Photos/Switchcraft%20Photos/QGPK3B440.jpg,SC2543-ND,QGPK3B440,Switchcraft Inc.,CONN PATCHBAY 3.5"" BLANK PANEL,17,0,"187.68000","0","1","QG®","Active","Audio/Video Panel","-","32","2","-"
https://assets.tripplite.com/product-pdfs/en/n053024rbgy.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_N053-024-RBGY.JPG,TL1257-ND,N053-024-RBGY,Tripp Lite,24-PORT 1U RACK-MOUNT 110-TYPE C,8,0,"48.48000","0","1","Network","Active","Patch Panel, Cat5","RJ45","24","1","110 Block"
https://assets.tripplite.com/product-pdfs/en/n253024rbgy.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_N253-024-RBGY.JPG,TL1282-ND,N253-024-RBGY,Tripp Lite,24-PORT 1U RACK-MOUNT 110-TYPE C,15,0,"72.40000","0","1","Network","Active","Patch Panel, Cat6","RJ45","24","1","110 Block"
https://b2b.harting.com/files/download/PRD/PDF_TS/20824050001_100219754DRW002A.pdf,//media.digikey.com/Photos/Harting/MFG_20824050001.jpg,1195-3973-ND,20824050001,HARTING,19"" KEYSTONE PATCH PANEL,2,0,"261.57000","0","1","-","Active","Modular Panel, Keystone","RJ45","24","1","Connector"
https://assets.tripplite.com/product-pdfs/en/n062012kj.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_N062-012-KJ.jpg,TL2068-ND,N062-012-KJ,Tripp Lite,12-PORT 1U RACK-MOUNT BLANK KEYS,29,0,"11.64000","0","1","Network","Active","Modular Panel, Keystone","RJ45 Jack (Not Provided)","12","1","-"
