Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","Features","For Use With/Related Products"
http://www.budind.com/pdf/hbipv1115.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/IPV-1115.jpg,377-2120-ND,IPV-1115,Bud Industries,IPV EXT VENT W/WIDE OPENING,354,0,"6.70000","0","1","-","Active","Vent","Gasket, Nuts","Cabinet Racks"
http://www.hammondmfg.com/pdf/RASA22_28.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_RASA22BK3.jpg,HM768-ND,RASA22BK3,Hammond Manufacturing,ANGLE SUPPORT ADJ BLK 20.95""PAIR,143,2405,"34.00000","0","1","RASA","Active","Support Brackets","Angled","Cabinet Racks"
http://www.panduit.com/heiler/SpecificationSheets/D-GRSP01--SA-ENG-StructGrdUnivGrdBarSys-W.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_UGB2%5E0-414-6.jpg,298-10529-ND,UGB2/0-414-6,Panduit Corp,6 PORT UNIVERSAL GROUND BAR,139,0,"34.02000","0","1","StructuredGround™","Active","Grounding Kit","Ports - 6","Cabinet Racks"
http://www.budind.com/pdf/hb1351.pdf,"//media.digikey.com/photos/BUD%20Industries%20Photos/CSB-1352,CSB-1353,CSB-1354,CSB-1355,CSB-8180,CSB-8181.jpg",377-1215-ND,CSB-1354,Bud Industries,BRACKET CHASSIS SUPPORT 23"" PAIR,143,0,"35.50000","0","1","-","Active","Support Brackets","-","Chassis"
http://www.hammondmfg.com/pdf/9R3pg80-123.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RASA28BK3.JPG,HM1588-ND,RASA28BK3,Hammond Manufacturing,MOUNTING ANGLE RAIL 28"",215,453,"35.70000","0","1","RASA","Active","Support Brackets","Angled","Cabinet Racks"
http://www.hammondmfg.com/pdf/RCHS_Series.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/1425phd.jpg,HM1487-ND,1425PHD,Hammond Manufacturing,HEAVY DUTY CASTERS BALL BEARING,112,206,"40.80000","0","1","1425","Active","Casters, Wheels","Heavy Duty, Non-Locking 4","RCSC, REFK Series"
http://web.schroff.de/style/catalogues/ep23/e/05_e_desktop_cases.pdf,//media.digikey.com/Photos/Schroff/30845253.JPG,1439-1276-ND,30845253,Schroff,SUBRACK REAR ALIGNMENT STRP 84HP,272,0,"3.08000","0","1","ratiopacPRO","Active","Perforated Strip","-","Plug-in Units"
-,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/1421PCB2-8.JPG,HM1256-ND,1421PCB2-8,Hammond Manufacturing,PCB STANDOFF .5"" 8/PK,262,145,"4.77000","0","1","1421","Active","Board Standoff","0.900"" (23mm) Overall Height","Enclosures"
http://www.hammondmfg.com/pdf/1444-1783.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/1421J6.jpg,HM1478-ND,1421J6,Hammond Manufacturing,SHT MTL SCREW PHILLIPS 6-32 6/PK,158,269,"5.13000","0","1","1421","Active","Mounting Hardware","Screws","Enclosures"
//media.digikey.com/pdf/Data%20Sheets/Orion%20Fans%20PDFs/OCN-yyyyRH_Dwg.pdf,//media.digikey.com/Photos/Orion%20Fans/OCN-1032RHHDWPK.jpg,1053-1443-ND,OCN-1032RHHDWPK,Orion Fans,CAGE NUT/SCREW/WASH 10-32 8SETS,390,0,"5.31000","0","1","OCN","Active","Hardware Kit","Caged Nuts, Screws, Washers","Fan Trays"
http://www.budind.com/pdf/hbipv1116.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/IPV-1116.jpg,377-2121-ND,IPV-1116,Bud Industries,IPV EXT VENT W/WIDE OPENING,648,2738,"6.10000","0","1","-","Active","Vent","Gasket, Nuts","Cabinet Racks"
http://www.hammondmfg.com/pdf2/9C-1421.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_1421T2.jpg,HM1480-ND,1421T2,Hammond Manufacturing,FEET RUBBER .5"" X .14"" BLK 1=24,2091,1703,"6.61000","0","1","1421","Active","Rubber Feet","Self Adhesive","Enclosures"
//media.digikey.com/pdf/Data%20Sheets/Orion%20Fans%20PDFs/OCN-yyyyRH_Dwg.pdf,//media.digikey.com/Photos/Orion%20Fans/OCN-1032RHPK.JPG,1053-1442-ND,OCN-1032RHPK,Orion Fans,CAGE NUT 10-32 1=25PCS ROUNDHOLE,120,0,"7.15000","0","1","OCN","Active","Hardware Kit","Caged Nuts","Fan Trays"
https://www.pentairprotect.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/Hoffman/docs/187/255259/Spec-00539.pdf,//media.digikey.com/Photos/Hoffman-Enclosures-Inc/CMFK.jpg,1441-1401-ND,CMFK,"Hoffman Enclosures, Inc.",MOUNTING FOOT KIT (QTY 4),194,0,"38.56000","0","1","-","Active","Mounting Brackets","-","Enclosures"
https://www.pentairprotect.com/wcsstore/ExtendedSitesCatalogAssetStore/PentairDataLoad/EPSMedia/Hoffman/docs/187/105595/Spec-00186.pdf,//media.digikey.com/Photos/Hoffman-Enclosures-Inc/MFG_CWHK-Key-Lckng.jpg,1441-1458-ND,CWHK,"Hoffman Enclosures, Inc.",HANDLE KEYLOCK,53,0,"79.07000","0","1","-","Active","Hardware Key","-","Enclosures"
