Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Size / Dimension","Features","Color","Material","For Use With/Related Products","Ventilation"
https://www.hammfg.com/files/parts/pdf/PBPA19003.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/PBPA19003BK2.jpg,HM773-ND,PBPA19003BK2,Hammond Manufacturing,PANEL FRONT 19X3.5X0.13"" BLACK,177,428,"16.20000","0","1","PBPA","Active","Panel, Front","19.000"" L x 3.470"" W x 0.125"" H (482.60mm x 88.14mm x 3.18mm)","-","Black","Metal, Aluminum","19"" Panel Width Racks","Non-Vented"
http://www.budind.com/pdf/hb14242.pdf,//media.digikey.com/photos/BUD%20Industries%20Photos/TBC-14262.jpg,377-1311-ND,TBC-14262,Bud Industries,COVER FOR RAK-MNT CHASSIS VENTED,186,0,"33.10000","0","1","-","Active","Cover","17.062"" L x 16.790"" W x 0.437"" H (433.37mm x 426.47mm x 11.10mm)","-","Natural","Metal, Aluminum","Chassis","Vented"
http://www.budind.com/pdf/hb14242.pdf,//media.digikey.com/photos/BUD%20Industries%20Photos/TBC-14253.jpg,377-1396-ND,TBC-14253,Bud Industries,COVER FOR CHASSIS RACKMNT SOLID,141,15,"33.60000","0","1","-","Active","Cover","21.875"" L x 16.790"" W x 0.437"" H (555.63mm x 426.47mm x 11.10mm)","-","Natural","Metal, Aluminum","Chassis","Non-Vented"
//media.digikey.com/pdf/Data%20Sheets/Hammond%20PDFs/Shelves(Fixed)-Panel_Mount.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RASV190320BK1.jpg,HM1592-ND,RASV190320BK1,Hammond Manufacturing,SHELF FIXED 20X17.5X3.5"" BLACK,154,243,"59.20000","0","1","RAS","Active","Shelf, Fixed","20.000"" L x 17.500"" W x 3.470"" H (508.00mm x 444.50mm x 88.14mm)","-","Black","Metal, Steel","19"" Panel Width Racks","Vented"
http://www.budind.com/pdf/hb14212.pdf,//media.digikey.com/photos/BUD%20Industries%20Photos/RM-14212.jpg,377-1268-ND,RM-14212,Bud Industries,CHASSIS RAK-MOUNT 5 1/4""H,136,0,"62.55000","0","1","-","Active","Chassis, Open","17.060"" L x 17.000"" W x 5.250"" H (433.32mm x 431.80mm x 133.35mm)","-","Natural","Metal, Aluminum","19"" Panel Width Racks","Vented"
http://www.budind.com/pdf/hb14212.pdf,//media.digikey.com/photos/BUD%20Industries%20Photos/RM-14225.jpg,377-1395-ND,RM-14225,Bud Industries,CHASSIS RACKMOUNT 10.5""X22"",33,0,"119.85000","0","1","-","Active","Chassis, Open","22.000"" L x 17.000"" W x 10.500"" H (558.80mm x 431.80mm x 266.70mm)","-","Natural","Metal, Aluminum","19"" Panel Width Racks","Vented"
http://www.hammondmfg.com/pdf/RM1U1908SBK.pdf,//media.digikey.com/Renders/Hammond%20Renders/RM1U1908SBK.jpg,HM995-ND,RM1U1908SBK,Hammond Manufacturing,CHASSIS 8X16.6X1.75"" BLACK,77,43,"121.61000","0","1","RM","Active","Chassis, Enclosed","8.000"" L x 16.600"" W x 1.750"" H (203.20mm x 421.64mm x 44.45mm)","-","Black","Metal, Aluminum","19"" Panel Width Racks","Non-Vented"
http://www.hammondmfg.com/pdf/RM1U1908VBK.pdf,//media.digikey.com/Renders/Hammond%20Renders/RM1U1908VBK.jpg,HM1004-ND,RM1U1908VBK,Hammond Manufacturing,CHASSIS 8X16.6X1.75"" BLACK,39,42,"127.37000","0","1","RM","Active","Chassis, Enclosed","8.000"" L x 16.600"" W x 1.750"" H (203.20mm x 421.64mm x 44.45mm)","-","Black","Metal, Aluminum","19"" Panel Width Racks","Vented"
//media.digikey.com/pdf/Data%20Sheets/Hammond%20PDFs/Shelves(Sliding)-Panel_Mount.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RSUS1921BK1.jpg,HM1608-ND,RSUS1921BK1,Hammond Manufacturing,SHELF SLIDE 21X16.6X1.5"" BLACK,31,96,"131.25000","0","1","RS","Active","Shelf, Sliding","21.000"" L x 16.640"" W x 1.500"" H (533.40mm x 422.66mm x 38.10mm)","-","Black","Metal, Steel","19"" Panel Width Racks","Non-Vented"
//media.digikey.com/pdf/Data%20Sheets/Hammond%20PDFs/Shelves(Sliding)-Panel_Mount.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_RSUS1918BK1.jpg,HM2283-ND,RSVS1926BK1,Hammond Manufacturing,SHELF SLIDE 26.1X16.6X1.5"" BLACK,29,116,"138.00000","0","1","RS","Active","Shelf, Sliding","26.120"" L x 16.640"" W x 1.500"" H (663.45mm x 422.66mm x 38.10mm)","-","Black","Metal, Steel","19"" Panel Width Racks","Vented"
