Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Voltage - Input","Specifications","Size / Dimension"
https://orionfans.com/productFiles/datasheet/OA300ST.pdf,//media.digikey.com/Photos/Orion%20Fans/MFG_OA300ST.jpg,1053-1427-ND,OA300ST-120,Orion Fans,3 FAN TRAY 115V 8"" DEEP 310CFM,61,0,"123.75000","0","1","OA300ST","Active","Fan Tray","115VAC","Fan Tray, AC, 3 Fans, 310 CFM","17.00"" L x 8.00"" W x 1.75"" H (431.8mm x 203.2mm x 44.4mm)"
https://orionfans.com/productFiles/datasheet/OA300.pdf,//media.digikey.com/Photos/Orion%20Fans/OA600S.jpg,1053-1307-ND,OA600S,Orion Fans,6 FAN TRAY 115V 14"" DEEP 660CFM,44,0,"254.10000","0","1","OA600","Active","Fan Tray","115VAC","Fan Tray, AC, 6 Fans, 660 CFM","14.00"" L x 19.00"" W x 1.75"" H (355.6mm x 482.6mm x 44.4mm)"
https://orionfans.com/productFiles/datasheet/OA300ST.pdf,//media.digikey.com/Photos/Orion%20Fans/OA300ST-12003.jpg,1053-1451-ND,OA300ST-12003,Orion Fans,3 FAN 120V SMART TRAY HUB SENSOR,45,0,"148.50000","0","1","OA300ST","Active","Fan Tray","120VAC","Fan Tray, AC, 3 Fans, 190 ~ 300 CFM","17.00"" L x 8.00"" W x 1.75"" H (431.8mm x 203.2mm x 44.4mm)"
https://orionfans.com/productFiles/datasheet/OA300ST.pdf,//media.digikey.com/Photos/Orion%20Fans/OA600ST-120.jpg,1053-1570-ND,OA600ST-120,Orion Fans,6 FAN TRAY 13.4"" DEEP 120V,35,0,"221.76000","0","1","OA600ST","Active","Fan Tray","115VAC","Fan Tray, AC, 6 Fans, 620 CFM","17.01"" L x 13.39"" W x 1.75"" H (432.0mm x 340.0mm x 44.5mm)"
https://www.hammfg.com/files/parts/pdf/FP3F115.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_FP3F115.jpg,HM2226-ND,FP3F115,Hammond Manufacturing,RACK 3 FAN PANEL,24,11,"142.50000","0","1","PPG","Active","Fan Tray","115VAC","Fan Tray, AC, 3 Fans, 105 CFM","19.00"" L x 5.22"" W x 1.78"" H (482.6mm x 132.6mm x 45.2mm)"
https://orionfans.com/productFiles/datasheet/OA406.pdf,//media.digikey.com/Photos/Orion%20Fans/MFG_OA406.jpg,1053-1587-ND,OA406,Orion Fans,1U FANTRAY FRONT EXH 90-264VAC,3,0,"263.34000","0","1","OA400","Active","Fan Tray","90 ~ 264VAC","Fan Tray, DC, 6 Fans, 160 CFM","19.00"" L x 3.08"" W x 1.75"" H (482.6mm x 78.2mm x 44.4mm)"
https://orionfans.com/productFiles/datasheet/OA300.pdf,//media.digikey.com/Photos/Orion%20Fans/OA900.jpg,1053-1311-ND,OA900,Orion Fans,9 FAN TRAY 115V 990CFM,25,0,"346.50000","0","1","OA900","Active","Fan Tray","115VAC","Fan Tray, AC, 9 Fans, 990 CFM","19.00"" L x 19.00"" W x 1.75"" H (482.6mm x 482.6mm x 44.4mm)"
https://www.pentairprotect.com/wcsstore/ExtendedSitesCatalogAssetStore/Attachment/HoffmanProductAttachments/SpecSheets/Spec-00051.pdf,//media.digikey.com/Photos/Hoffman-Enclosures-Inc/DAHx001B.JPG,1441-1463-ND,DAH4001B,"Hoffman Enclosures, Inc.",ELECTRIC HEATER 400 WATT,25,0,"433.16000","0","1","-","Active","Heating Unit","115VAC","Heater, 400W, 3.72A","4.37"" L x 4.25"" W x 7.48"" H (111.0mm x 108.0mm x 190.0mm)"
https://assets.tripplite.com/product-pdfs/en/srxcool12k.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_SRXCOOL12K.jpg,TL1862-ND,SRXCOOL12K,Tripp Lite,INTL PORTABLE COOLING AIR COND,4,0,"946.39000","0","1","SmartRack™","Active","Air Conditioning Unit","230VAC","A/C Unit, 12000 BTU","19.88"" L x 11.81"" W x 30.63"" H (505.0mm x 300.0mm x 778.0mm)"
https://www.hammfg.com/electrical/products/climate/shgm.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_SHGM14x0.jpg,HM1676-ND,SHGM1430,Hammond Manufacturing,HEATER,37,103,"74.50000","0","1","SHGM","Active","Heating Unit","110 ~ 250 VAC","Heater, 30W, 1.2A","2.95"" L x 1.16"" W x 1.77"" H (75.0mm x 29.5mm x 45.0mm)"
http://www.hammondmfg.com/pdf/PPGPFPA.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/PPGPFPA.jpg,HM1586-ND,PPGPFPA,Hammond Manufacturing,FAN TOP W/2 115VAC BLACK,16,13,"94.50000","0","1","PPG","Active","Fan Tray","115VAC","Fan Tray, AC, 2 Fans, 105 CFM","19.00"" L x 5.22"" W x 1.78"" H (482.6mm x 132.6mm x 45.2mm)"
http://www.budind.com/pdf/hb1282.pdf,//media.digikey.com/photos/BUD%20Industries%20Photos/FN-1282.jpg,377-1987-ND,FN-1282,Bud Industries,FAN EXHAUST 10"" 115 VAC,19,151,"134.70000","0","1","FN","Active","Fan","115VAC","Fan, AC, Round, 535 CFM","10.00"" Dia x 3.50"" W (254.0mm x 88.9mm)"
//media.digikey.com/pdf/Data%20Sheets/Orion%20Fans%20PDFs/OA300A_Dwg.pdf,//media.digikey.com/Photos/Orion%20Fans/OA300A.jpg,1053-1299-ND,OA300A,Orion Fans,3 FAN TRAY MODULE AC 115V,9,0,"162.01000","0","1","OA300","Active","Fan Tray","115VAC","Fan Tray, AC, 3 Fans, 330 CFM","5.22"" L x 15.90"" W x 1.76"" H (132.6mm x 403.9mm x 44.7mm)"
https://assets.tripplite.com/product-pdfs/en/srxfan3u.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_SRXFAN3U.jpg,TL1844-ND,SRXFAN3U,Tripp Lite,RACK ENCLOSURE CABINET FAN,4,0,"173.02000","0","1","SmartRack™","Active","Fan Tray","208 ~ 240VAC","Fan Tray, AC, 3 Fans, 315 CFM","1.50"" L x 18.87"" W x 5.22"" H (38.1mm x 479.3mm x 132.6mm)"
https://assets.tripplite.com/submittal-drawing/srfan3u-submittal-drawing.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_SRFAN3U.jpg,TL2236-ND,SRFAN3U,Tripp Lite,FAN PANEL AIRFLOW MANAGEMENT,12,0,"177.37000","0","1","SmartRack™","Active","Fan Tray","120VAC","Fan Tray, AC, 3 Fans, 210 CFM","2.07"" L x 18.87"" W x 5.22"" H (52.6mm x 479.3mm x 132.6mm)"
