Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Style","Number of Units","Dimensions - Panel","Dimensions - Overall","Door","Features","Mounting Rails","Ventilation","Material","Color"
http://www.hammondmfg.com/pdf/RMCS19018.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/RMCS19018BK1.JPG,HM736-ND,RMCS19018BK1,Hammond Manufacturing,RACK ALUM 8X17X1.75 BLK,66,297,"78.63000","0","1","RMCS","Active","Table Top Rack Cabinet","Enclosed, Bottom, Front, Sides, Top","1U","6.350"" L x 15.280"" W x 1.560"" H (161.29mm x 388.11mm x 39.62mm)","8.000"" L x 17.030"" W x 1.750"" H (203.20mm x 432.56mm x 44.45mm)","Aluminum","Removable Front and Rear Panels","-","Non-Vented","Metal, Aluminum","Black"
http://www.hammondmfg.com/pdf/RMCS19038.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/RMCS19038BK1.JPG,HM738-ND,RMCS19038BK1,Hammond Manufacturing,RACK ALUM 8X17X3.5 BLK,52,301,"87.89000","0","1","RMCS","Active","Table Top Rack Cabinet","Enclosed, Bottom, Front, Sides, Top","2U","6.350"" L x 15.280"" W x 2.400"" H (161.29mm x 388.11mm x 60.96mm)","8.000"" L x 17.030"" W x 3.500"" H (203.20mm x 432.56mm x 88.90mm)","Aluminum","Removable Front and Rear Panels","-","Non-Vented","Metal, Aluminum","Black"
http://www.hammondmfg.com/pdf/RMCS190113.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RMCS190113BK1.jpg,HM737-ND,RMCS190113BK1,Hammond Manufacturing,RACK ALUM 13X17X1.75 BLK,70,71,"92.51000","0","1","RMCS","Active","Table Top Rack Cabinet","Enclosed, Bottom, Front, Sides, Top","1U","11.350"" L x 15.280"" W x 1.560"" H (288.29mm x 388.11mm x 39.62mm)","13.000"" L x 17.030"" W x 1.750"" H (330.20mm x 432.56mm x 44.45mm)","Aluminum","Removable Front and Rear Panels","-","Non-Vented","Metal, Aluminum","Black"
http://www.hammondmfg.com/pdf/RMCV190313.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RMCV190313BK1.jpg,HM748-ND,RMCV190313BK1,Hammond Manufacturing,RACK ALUM 13X17X3.5 BLK,28,70,"122.10000","0","1","RMCV","Active","Table Top Rack Cabinet","Enclosed, Bottom, Front, Sides, Top","2U","11.350"" L x 15.280"" W x 2.400"" H (288.29mm x 388.11mm x 60.96mm)","13.000"" L x 17.030"" W x 3.500"" H (330.20mm x 432.56mm x 88.90mm)","Aluminum","Removable Front and Rear Panels","-","Bottom, Top","Metal, Aluminum","Black"
http://www.hammondmfg.com/pdf/RMCS190513.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RMCS190513BK1.jpg,HM740-ND,RMCS190513BK1,Hammond Manufacturing,RACK ALUM 13X17X5.25 BLK,44,336,"127.20000","0","1","RMCS","Active","Table Top Rack Cabinet","Enclosed, Bottom, Front, Sides, Top","3U","11.350"" L x 15.280"" W x 4.150"" H (288.29mm x 388.11mm x 105.41mm)","13.000"" L x 17.030"" W x 5.250"" H (330.20mm x 432.56mm x 133.35mm)","Aluminum","Removable Front and Rear Panels","-","Non-Vented","Metal, Aluminum","Black"
http://www.hammondmfg.com/pdf/RMCV190513.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RMCV190513BK1.jpg,HM749-ND,RMCV190513BK1,Hammond Manufacturing,RACK ALUM 13X17X5.25 BLK,43,112,"139.92000","0","1","RMCV","Active","Table Top Rack Cabinet","Enclosed, Bottom, Front, Sides, Top","3U","11.350"" L x 15.280"" W x 4.150"" H (288.29mm x 388.11mm x 105.41mm)","13.000"" L x 17.030"" W x 5.250"" H (330.20mm x 432.56mm x 133.35mm)","Aluminum","Removable Front and Rear Panels","-","Bottom, Top","Metal, Aluminum","Black"
http://www.hammondmfg.com/pdf/RMCS190713.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RMCS190713BK1.jpg,HM741-ND,RMCS190713BK1,Hammond Manufacturing,RACK ALUM 13X17X7 BLK,51,150,"145.70000","0","1","RMCS","Active","Table Top Rack Cabinet","Enclosed, Bottom, Front, Sides, Top","4U","11.350"" L x 15.280"" W x 5.900"" H (288.29mm x 388.11mm x 149.86mm)","13.000"" L x 17.030"" W x 7.000"" H (330.20mm x 432.56mm x 177.80mm)","Aluminum","Removable Front and Rear Panels","-","Non-Vented","Metal, Aluminum","Black"
http://www.hammondmfg.com/pdf/RMCV19018.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/RMCV19018BK1.JPG,HM745-ND,RMCV19018BK1,Hammond Manufacturing,RACK ALUM 8X17X1.75 BLK,31,124,"86.49000","0","1","RMCV","Active","Table Top Rack Cabinet","Enclosed, Bottom, Front, Sides, Top","1U","6.350"" L x 15.280"" W x 1.560"" H (161.29mm x 388.11mm x 39.62mm)","8.000"" L x 17.030"" W x 1.750"" H (203.20mm x 432.56mm x 44.45mm)","Aluminum","Removable Front and Rear Panels","-","Bottom, Top","Metal, Aluminum","Black"
http://www.hammondmfg.com/pdf/RMCS190813.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RMCS190813BK1.jpg,HM742-ND,RMCS190813BK1,Hammond Manufacturing,RACK ALUM 13X17X8.75 BLK,35,63,"164.04000","0","1","RMCS","Active","Table Top Rack Cabinet","Enclosed, Bottom, Front, Sides, Top","5U","11.350"" L x 15.280"" W x 7.650"" H (288.29mm x 388.11mm x 194.31mm)","13.000"" L x 17.030"" W x 8.750"" H (330.20mm x 432.56mm x 222.25mm)","Aluminum","Removable Front and Rear Panels","-","Non-Vented","Metal, Aluminum","Black"
https://assets.tripplite.com/product-pdfs/en/sr4post13.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_SR4POST13.jpg,TL1839-ND,SR4POST13,Tripp Lite,13U 4-POST OPEN FRAME CABINET,28,0,"323.92000","0","1","SmartRack™","Active","Open Rack","Open Rack, Double Frame","13U","39.300"" L x 22.750"" H (998.22mm x 577.85mm)","39.000"" L x 20.200"" W x 28.000"" H (990.60mm x 513.08mm x 711.20mm)","Steel","Adjustable, Cable Entry Systems","Two Pair","-","Metal, Steel","Black"
