Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Connector Type","Length","Cable Type","Color","Shielding","Usage"
http://www.qualtekusa.com/images/Cable%20Assemblies/PDF_2/1721001-03.pdf,//media.digikey.com/photos/Qualtek%20Photos/1721001-03.JPG,Q396-ND,1721001-03,Qualtek,CBL HDMI M-M CON 3' 30AWG,2037,0,"7.71000","0","1","-","Active","HDMI-A Male to HDMI-A Male","3.00' (914.40mm)","Round","Black","Shielded","High Definition Multimedia Interface"
http://www.qualtekusa.com/images/Cable%20Assemblies/PDF_2/1721005-06.pdf,//media.digikey.com/photos/Qualtek%20Photos/1721005-06.JPG,Q398-ND,1721005-06,Qualtek,CBL HDMI M-M A CON 6' 28 AWG,2376,0,"8.17000","0","1","-","Active","HDMI-A Male to HDMI-A Male","6.0' (1.83m)","Round","Black","Shielded","High Definition Multimedia Interface"
https://assets.tripplite.com/product-pdfs/en/p569001.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_P569-001.jpg,TL1665-ND,P569-001,Tripp Lite,1FT HIGH SPEED HDMI CABLE WITH E,555,0,"8.24000","0","1","-","Active","HDMI-A Male to HDMI-A Male","1.00' (304.80mm)","Round","Black","Shielded","High Definition Multimedia Interface"
https://assets.tripplite.com/product-pdfs/en/p561006.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_P561-xxx.jpg,TL684-ND,P561-006,Tripp Lite,CABLE DVI TMDS 6' MALE TO MALE,637,0,"10.17000","0","1","-","Active","DVI-D Single Link, Male to DVI-D Single Link, Male","6.0' (1.83m)","Round","Black","Shielded","Digital Visual Interface"
http://www.qualtekusa.com/images/Cable%20Assemblies/PDF_2/1721009-10.pdf,//media.digikey.com/Photos/Qualtek%20Photos/1721009-10.JPG,Q400-ND,1721009-10,Qualtek,CBL HDMI M-M CON 10' 28 AWG,1157,0,"10.43000","0","1","-","Active","HDMI-A Male to HDMI-A Male","10.0' (3.05m)","Round","Black","Shielded","High Definition Multimedia Interface"
https://www.molex.com/pdm_docs/sd/887689810_sd.pdf,//media.digikey.com/Photos/Molex/0887689820.jpg,WM19091-ND,0887689810,Molex,CABLE ASSEM HDMI-HDMI 19POS 2M,218,0,"12.36000","0","1","88768","Active","HDMI-A Male to HDMI-A Male","6.6' (2.00m)","Round","Black","Shielded","High Definition Multimedia Interface"
"//media.digikey.com/pdf/Data%20Sheets/Tripp%20Lite/P580-001,003,006,010_Sch.pdf",//media.digikey.com/Photos/Tripplite%20Photos/MFG_P580-xxx%20Series.jpg,TL719-ND,P580-006,Tripp Lite,CABLE ASSY DISPLAYPORT W/LATCH,166,0,"17.48000","0","1","-","Active","DisplayPort Male to DisplayPort Male","6.0' (1.83m)","Round","Black","Shielded","Multi Media"
https://www.molex.com/pdm_docs/sd/887689830_sd.pdf,//media.digikey.com/Photos/Molex/0887689820.jpg,WM14088-ND,0887689830,Molex,CABLE HDMI TO HDMI AWG 5M,619,0,"17.53000","0","1","88768","Active","HDMI-A Male to HDMI-A Male","16.4' (5.00m)","Round","Black","Shielded","High Definition Multimedia Interface"
http://www.qualtekusa.com/images/Cable%20Assemblies/PDF_2/1321019-06.pdf,//media.digikey.com/photos/Qualtek%20Photos/MFG_13210%20SERIES.jpg,Q385-ND,1321019-06,Qualtek,CBL DVI(24+5) CON 6' 28 AWG,1252,0,"17.99000","0","1","-","Active","DVI-I Dual Link, Male to DVI-I Dual Link, Male","6.0' (1.83m)","Round","Black","Shielded","Digital Visual Interface"
https://assets.tripplite.com/product-pdfs/en/p568006ra.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_P568-006-RA.jpg,TL695-ND,P568-006-RA,Tripp Lite,HDMI CABLE RA CONN 6',158,0,"18.45000","0","1","-","Active","HDMI-A Male to HDMI-A Male, R/A","6.0' (1.83m)","Round","Black","Double Shielded","High Definition Multimedia Interface"
