Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","1st Connector Type","1st Connector Gender","1st Connector Number of Positions","1st Connector Number of Positions Loaded","1st Connector Shell Size - Insert","1st Connector Orientation","1st Connector Mounting Type","2nd Connector Type","2nd Connector Gender","2nd Connector Number of Positions","2nd Connector Number of Positions Loaded","2nd Connector Shell Size - Insert","2nd Connector Orientation","2nd Connector Mounting Type","Length","Assembly Configuration","Cable Type","Cable Material","Color","Shielding","Ingress Protection","Usage"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7871_CA.pdf,//media.digikey.com/photos/Assmann%20Photos/AK%20678-2.jpg,AE9876-ND,AK678-2,Assmann WSW Components,CBL MALE TO MALE 6POS SHLD 6.56',2745,0,"3.48000","0","1","-","Active","Plug","Male Pins","6","All","MiniDin","Keyed","Free Hanging (In-Line)","Plug","Male Pins","6","All","MiniDin","Keyed","Free Hanging (In-Line)","6.56' (2.00m)","Standard","Round","Polyvinyl Chloride (PVC)","Beige","Shielded","-","Keyboard, PS/2"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=T40700140X100X&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/T4070014041-001.jpg,A126812-ND,T4070014041-001,TE Connectivity AMP Connectors,CBL MALE TO WIRE LEAD 4POS 0.66',1828,0,"7.61000","0","1","M8","Active","Plug","Male Pins","4","All","M8","A","Panel Mount","Wire Leads","-","-","-","-","-","-","0.66' (200.00mm)","Standard","Individual","Polyvinyl Chloride (PVC)","Multiple","Unshielded","IP67 - Dust Tight, Waterproof","Industrial Environments"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2273029&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/x-2273029-1.jpg,A120995-ND,2273029-1,TE Connectivity AMP Connectors,CBL FMALE TO WIRE LEAD 4P 4.92',140,0,"8.02000","0","1","M12","Active","Receptacle","Female Sockets","4","All","M12","A","Free Hanging (In-Line)","Wire Leads","-","-","-","-","-","-","4.92' (1.50m)","Standard","Round","Polyurethane (PUR)","Black","Unshielded","IP65/67 - Dust Tight, Water Resistant, Waterproof","Industrial Environments"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2273029&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/x-2273029-1.jpg,A120961-ND,1-2273029-1,TE Connectivity AMP Connectors,CBL FMALE TO WIRE LEAD 4P 4.92',1770,0,"8.60000","0","1","M12","Active","Receptacle","Female Sockets","4","All","M12","A","Free Hanging (In-Line)","Wire Leads","-","-","-","-","-","-","4.92' (1.50m)","Standard","Round","Polyvinyl Chloride (PVC)","Black","Unshielded","IP65/67 - Dust Tight, Water Resistant, Waterproof","Industrial Environments"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2273028&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2273028-1.jpg,A120960-ND,1-2273028-1,TE Connectivity AMP Connectors,CBL MALE TO WIRE LEAD 4POS 4.92',588,0,"8.74000","0","1","M12","Active","Plug","Male Pins","4","All","M12","A","Free Hanging (In-Line)","Wire Leads","-","-","-","-","-","-","4.92' (1.50m)","Standard","Round","Polyvinyl Chloride (PVC)","Black","Unshielded","IP65/67 - Dust Tight, Water Resistant, Waterproof","Industrial Environments"
https://www.gavazzionline.com/pdf/CONB14NF_eng.pdf,//media.digikey.com/Photos/Carlo-Gavazzi-Inc/MFG_CONB14NF-Sx.jpg,1864-1097-ND,CONB14NF-S2,Carlo Gavazzi Inc.,CBL FMALE TO WIRE LEAD 4P 6.56',252,0,"10.63000","0","1","-","Active","Plug","Female Sockets","4","All","M12","Keyed","Free Hanging (In-Line)","Wire Leads","-","-","-","-","-","-","6.56' (2.00m)","Standard","Round","Polyurethane (PUR)","Black","Unshielded","IP67 - Dust Tight, Waterproof","Industrial Environments"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1406159.pdf,//media.digikey.com/Photos/Phoenix%20Photos/140615x%20Series.JPG,277-9841-ND,1406159,Phoenix Contact,CBL MALE TO WIRE LEAD 5POS 6.56',343,629,"12.16000","0","1","-","Active","Receptacle","Male Pins","5","All","M12","A","Free Hanging (In-Line)","Wire Leads","-","-","-","-","-","-","6.56' (2.00m)","Standard","Round","Polyvinyl Chloride (PVC)","Yellow","Unshielded","IP65/67/68 - Dust Tight, Water Resistant, Waterproof","Industrial Environments"
//media.digikey.com/pdf/Data%20Sheets/Conec%20PDFs/43-0101x_Dwg.pdf,//media.digikey.com/Photos/Conec%20Photos/43-01012.jpg,626-1473-ND,43-01012,Conec,CBL MALE TO WIRE LEAD 4POS 1.64',872,0,"12.63000","0","1","43","Active","Receptacle","Male Pins","4","All","M12","A","Panel Mount","Wire Leads","-","-","-","-","-","-","1.64' (500.00mm)","Standard","Individual","Polyvinyl Chloride (PVC)","Multiple","Unshielded","IP67 - Dust Tight, Waterproof","Industrial Environments"
http://www.switchcraft.com/Documents/conxall_sensorlink.pdf,//media.digikey.com/photos/Switchcraft%20Photos/614P.3.jpg,SC1310-ND,614P.3,Conxall/Switchcraft,CBL MALE TO WIRE LEAD 4POS 0.98',1959,0,"12.75000","0","1","Nano-Mizer®","Active","Receptacle","Male Pins","4","All","-","-","Panel Mount","Wire Leads","-","-","-","-","-","-","0.98' (300.00mm)","Standard","Individual","Polyvinyl Chloride (PVC)","Multiple","Unshielded","IP67/68 - Dust Tight, Waterproof, Nema 6P","Industrial Environments"
http://suddendocs.samtec.com/prints/mcr-8-02-x-xx.xx-x-xx-mkt.pdf,//media.digikey.com/Photos/Samtec%20Photos/MCR-8-02-L-00.25-S-BC.jpg,SAM11469-ND,MCR-8-02-L-00.25-S-BC,Samtec Inc.,IP67 SEALED 8 SERIES PANEL ASSEM,494,0,"13.75000","0","1","AccliMate™ MCR 8","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1681842.pdf,//media.digikey.com/Photos/Phoenix%20Photos/1681842.jpg,277-4370-ND,1681842,Phoenix Contact,CBL FMALE TO WIRE LEAD 4P 4.92',176,254,"15.36000","0","1","-","Active","Plug","Female Sockets","4","All","M8","-","Free Hanging (In-Line)","Wire Leads","-","-","-","-","-","-","4.92' (1.50m)","Standard","Round","Polyurethane (PUR)","Black","Unshielded","IP65/67/68 - Dust Tight, Water Resistant, Waterproof","Industrial Environments"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1669767.pdf,//media.digikey.com/Photos/Phoenix%20Photos/1669767.jpg,277-4337-ND,1669767,Phoenix Contact,CBL MALE TO WIRE LEAD 5POS 4.92',136,584,"17.12000","0","1","-","Active","Receptacle","Male Pins","5","All","M12","A","Free Hanging (In-Line)","Wire Leads","-","-","-","-","-","-","4.92' (1.50m)","Standard","Round","Polyurethane (PUR)","Black","Unshielded","IP65/67/68 - Dust Tight, Water Resistant, Waterproof","Industrial Environments"
https://www.conec.com/catalog/en/downloadimage/download/file/type/drawing/file/43-01002_e.pdf,//media.digikey.com/Photos/Conec%20Photos/43-01002.jpg,626-1466-ND,43-01002,Conec,CBL FMALE TO WIRE LEAD 8P 1.64',448,0,"17.47000","0","1","43","Active","Plug","Female Sockets","8","All","M12","A","Panel Mount","Wire Leads","-","-","-","-","-","-","1.64' (500.00mm)","Standard","Individual","Polyvinyl Chloride (PVC)","Multiple","Unshielded","IP67 - Dust Tight, Waterproof","Industrial Environments"
https://www.conec.com/catalog/en/download/download/drawing/?sku=43-01003,//media.digikey.com/Photos/Conec%20Photos/43-01005.jpg,626-1472-ND,43-01005,Conec,CBL FMALE TO WIRE LEAD 8P 1.64',351,0,"19.00000","0","1","43","Active","Plug","Female Sockets","8","All","M12","A","Panel Mount","Wire Leads","-","-","-","-","-","-","1.64' (500.00mm)","Standard","Individual","Polyvinyl Chloride (PVC)","Multiple","Unshielded","IP67 - Dust Tight, Waterproof","Industrial Environments"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1406105.pdf,//media.digikey.com/Photos/Phoenix%20Photos/1406105.jpg,277-9831-ND,1406105,Phoenix Contact,CBL FMALE TO WIRE LEAD 8P 6.56',764,115,"19.53000","0","1","-","Active","Plug","Female Sockets","8","All","M12","A","Free Hanging (In-Line)","Wire Leads","-","-","-","-","-","-","6.56' (2.00m)","Standard","Round","Polyvinyl Chloride (PVC)","Yellow","Unshielded","IP65/67/68 - Dust Tight, Water Resistant, Waterproof","Industrial Environments"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1406094.pdf,//media.digikey.com/Photos/Phoenix%20Photos/1406094.jpg,277-9828-ND,1406094,Phoenix Contact,CBL MALE TO WIRE LEAD 8POS 6.56',251,341,"19.74000","0","1","-","Active","Receptacle","Male Pins","8","All","M12","A","Free Hanging (In-Line)","Wire Leads","-","-","-","-","-","-","6.56' (2.00m)","Standard","Round","Polyvinyl Chloride (PVC)","Yellow","Unshielded","IP65/67/68 - Dust Tight, Water Resistant, Waterproof","Industrial Environments"
//media.digikey.com/PDF/Data%20Sheets/Phoenix%20Contact%20PDFs/1523434.pdf,//media.digikey.com/Photos/Phoenix%20Photos/1523434.jpg,277-2693-ND,1523434,Phoenix Contact,CBL FMALE TO WIRE LEAD 4P 1.64',131,1602,"19.81000","0","1","-","Active","Plug","Female Sockets","4","All","M12","A","Panel Mount","Wire Leads","-","-","-","-","-","-","1.64' (500.00mm)","Standard","Individual","Thermoplastic Elastomer (TPE)","Multiple","Unshielded","IP67 - Dust Tight, Waterproof","Industrial Environments"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1453481.pdf,//media.digikey.com/Photos/Phoenix%20Photos/1500347.jpg,277-10953-ND,1453481,Phoenix Contact,CBL MALE TO WIRE LEAD 4POS 1.64',190,0,"20.83000","0","1","-","Active","Receptacle","Male Pins","4","All","M8","-","Panel Mount","Wire Leads","-","-","-","-","-","-","1.64' (500.00mm)","Standard","Individual","Polyvinyl Chloride (PVC)","Multiple","Unshielded","IP67 - Dust Tight, Waterproof","Industrial Environments"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1500350.pdf,//media.digikey.com/Photos/Phoenix%20Photos/1500350.jpg,277-2683-ND,1500350,Phoenix Contact,CBL FMALE TO WIRE LEAD 3P 1.64',361,5,"22.25000","0","1","-","Active","Plug","Female Sockets","3","All","M8","-","Panel Mount","Wire Leads","-","-","-","-","-","-","1.64' (500.00mm)","Standard","Individual","Polyvinyl Chloride (PVC)","Multiple","Unshielded","IP67 - Dust Tight, Waterproof","Industrial Environments"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1500363.pdf,//media.digikey.com/Photos/Phoenix%20Photos/1500363.jpg,277-2679-ND,1500363,Phoenix Contact,CBL FMALE TO WIRE LEAD 4P 1.64',116,1155,"22.86000","0","1","-","Active","Plug","Female Sockets","4","All","M8","-","Panel Mount","Wire Leads","-","-","-","-","-","-","1.64' (500.00mm)","Standard","Individual","Polyvinyl Chloride (PVC)","Multiple","Unshielded","IP67 - Dust Tight, Waterproof","Industrial Environments"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1669848.pdf,//media.digikey.com/Photos/Phoenix%20Photos/1669848.JPG,277-4297-ND,1669848,Phoenix Contact,CBL FMALE TO WIRE LEAD 5P 16.4',960,114,"23.47000","0","1","-","Active","Plug","Female Sockets","5","All","M12","A","Free Hanging (In-Line)","Wire Leads","-","-","-","-","-","-","16.40' (5.00m)","Standard","Round","Polyurethane (PUR)","Black","Unshielded","IP65/67/68 - Dust Tight, Water Resistant, Waterproof","Industrial Environments"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1522095.pdf,//media.digikey.com/photos/Phoenix%20Photos/1522095.jpg,277-4761-ND,1522095,Phoenix Contact,CBL MALE TO WIRE LEAD 6POS 4.92',162,0,"24.92000","0","1","-","Active","Receptacle","Male Pins","6","All","M8","-","Free Hanging (In-Line)","Wire Leads","-","-","-","-","-","-","4.92' (1.50m)","Standard","Round","Polyurethane (PUR)","Black","Shielded","IP65/67 - Dust Tight, Water Resistant, Waterproof","Industrial Environments"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1682935.pdf,//media.digikey.com/Photos/Phoenix%20Photos/1682935.jpg,277-4752-ND,1682935,Phoenix Contact,CBL FMALE TO WIRE LEAD 5P 4.92',891,387,"25.08000","0","1","-","Active","Plug","Female Sockets","5","All","M12","A","Free Hanging (In-Line)","Wire Leads","-","-","-","-","-","-","4.92' (1.50m)","Standard","Round","Polyurethane (PUR)","Black","Shielded","IP65/67 - Dust Tight, Water Resistant, Waterproof","Industrial Environments"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1406093.pdf,//media.digikey.com/Photos/Phoenix%20Photos/1406093.jpg,277-9872-ND,1406093,Phoenix Contact,CBL MALE TO WIRE LEAD 8POS 16.4',185,88,"25.48000","0","1","-","Active","Receptacle","Male Pins","8","All","M12","A","Free Hanging (In-Line)","Wire Leads","-","-","-","-","-","-","16.40' (5.00m)","Standard","Round","Polyvinyl Chloride (PVC)","Yellow","Unshielded","IP65/67/68 - Dust Tight, Water Resistant, Waterproof","Industrial Environments"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1551914,//media.digikey.com/Photos/Phoenix%20Photos/1551914.jpg,277-7285-ND,1551914,Phoenix Contact,CBL MALE TO WIRE LEAD 8POS 1.64',131,415,"28.17000","0","1","-","Active","Receptacle","Male Pins","8","All","M12","A","Panel Mount","Wire Leads","-","-","-","-","-","-","1.64' (500.00mm)","Standard","Individual","Thermoplastic Elastomer (TPE)","Multiple","Unshielded","IP67 - Dust Tight, Waterproof","Industrial Environments"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1406121.pdf,//media.digikey.com/Photos/Phoenix%20Photos/1406121.jpg,277-9834-ND,1406121,Phoenix Contact,CBL MALE TO WIRE LEAD 8POS 6.56',214,196,"33.64000","0","1","-","Active","Receptacle","Male Pins","8","All","M12","A","Free Hanging (In-Line)","Wire Leads","-","-","-","-","-","-","6.56' (2.00m)","Standard","Round","Polyurethane (PUR)","Blue","Shielded","IP65/67 - Dust Tight, Water Resistant, Waterproof","Cat5, Industrial Environments"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1406072,//media.digikey.com/Photos/Phoenix%20Photos/MFG_1406072.jpg,277-10374-ND,1406072,Phoenix Contact,CBL MALE TO WIRE LEAD 8P 16.4',519,58,"34.76000","0","1","-","Active","Receptacle","Male Pins","8","All","M12","A","Free Hanging (In-Line)","Wire Leads","-","-","-","-","-","-","16.40' (5.00m)","Standard","Round","Polyvinyl Chloride (PVC)","Yellow","Shielded","IP65/67 - Dust Tight, Water Resistant, Waterproof","Industrial Environments"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2273103&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2273103-1.jpg,A121022-ND,2273103-1,TE Connectivity AMP Connectors,CBL FMALE RA TO WIRE 8POS 4.92',783,0,"36.57000","0","1","M12","Active","Receptacle, Right Angle","Female Sockets","8","All","M12","A","Free Hanging (In-Line)","Wire Leads","-","-","-","-","-","-","4.92' (1.50m)","Standard","Round","Polyurethane (PUR)","Gray","Shielded","IP65/67 - Dust Tight, Water Resistant, Waterproof","Industrial Environments"
//media.digikey.com/PDF/Data%20Sheets/Phoenix%20Contact%20PDFs/1513758.pdf,//media.digikey.com/Photos/Phoenix%20Photos/1513758.jpg,277-2747-ND,1513758,Phoenix Contact,CBL FMALE TO WIRE LEAD 8P 1.64',198,1621,"38.11000","0","1","-","Active","Plug","Female Sockets","8","All","M12","A","Panel Mount","Wire Leads","-","-","-","-","-","-","1.64' (500.00mm)","Standard","Individual","Thermoplastic Elastomer (TPE)","Multiple","Unshielded","IP67 - Dust Tight, Waterproof","Industrial Environments"
