Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Configuration","Length","Cable Type","Shielding","Style"
http://multimedia.3m.com/mws/media/22359O/3mtm-mdr-cable-assy-ieee-1284-4120-4120-xx-b-series-ts0642.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_4120-4120-06-B.jpg,3M15340-ND,4120-4120-06-B,3M,CABLE ASSY MDR 36POS M-M 6FT,141,0,"65.20000","0","1","Mini D Ribbon (MDR)","Active","Centronics 36 pos Male to Male","6.00' (1.83m)","Round, Beige","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/22568O/3mtmmdr-cableassy-050-26-26-pos-14526-ez5b-xxx-02c-ts0866.pdf,//media.digikey.com/photos/3M%20Photos/14526-EZ5B-050-02C.jpg,MCA107-1-ND,14526-EZ5B-100-02C,3M,CABLE ASSY 26POS MDR-MDR PLUG 1M,351,0,"65.91000","0","1","Mini D Ribbon (MDR)","Active","Centronics 26 pos Male to Male","3.28' (1.00m)","Round, Beige","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/22359O/3mtm-mdr-cable-assy-ieee-1284-4120-4120-xx-b-series-ts0642.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_4120-4120-10-B.jpg,3M155846-ND,4120-4120-10-B,3M,CABLE ASSY MDR 36POS M-M 10FT,106,0,"79.80000","0","1","Mini D Ribbon (MDR)","Active","Centronics 36 pos Male to Male","10.00' (3.05m)","Round, Beige","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/84413O/3mtm-mdr-cable-assy-050-26-pos-14x26-szlb-xxx-0lc-ts1001.pdf,//media.digikey.com/Photos/3M%20Photos/14T26-SZLB-300-0LC.jpg,3M10613-ND,14T26-SZLB-200-0LC,3M,CABLE ASSEM CAMERA LINK 2METER,110,0,"91.87000","0","1","Mini D Ribbon (MDR), CameraLink®","Active","Centronics 26 pos Male to Male","6.56' (2.00m)","Round, Beige","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/22568O/3mtmmdr-cableassy-050-26-26-pos-14526-ez5b-xxx-02c-ts0866.pdf,//media.digikey.com/photos/3M%20Photos/14526-EZ5B-050-02C.jpg,MCA109-3-ND,14526-EZ5B-300-02C,3M,CABLE ASSY 26POS MDR-MDR PLUG 3M,98,0,"93.01000","0","1","Mini D Ribbon (MDR)","Active","Centronics 26 pos Male to Male","9.84' (3.00m)","Round, Beige","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/84413O/3mtm-mdr-cable-assy-050-26-pos-14x26-szlb-xxx-0lc-ts1001.pdf,//media.digikey.com/Photos/3M%20Photos/14T26-SZLB-300-0LC.jpg,3M11923-ND,14T26-SZLB-300-0LC,3M,CABLE ASSEM CAMERA LINK 3METER,52,0,"103.54000","0","1","Mini D Ribbon (MDR), CameraLink®","Active","Centronics 26 pos Male to Male","9.84' (3.00m)","Round, Beige","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/500845O/3mtm-mini-d-ribbon-mdr-cable-assembly-ts2257.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_14B26-SZ3B-500-04C.jpg,MCA130-5-ND,14B26-SZ3B-500-04C,3M,MDR CAMERA CABLE 26POS M-M 5M,61,0,"124.49000","0","1","Mini D Ribbon (MDR)","Active","Centronics 26 pos Male to Male","16.40' (5.00m)","Round, Black","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/343873O/3mtm-shrunk-delta-ribbon-sdr-cable-assembly-ts2120.pdf,//media.digikey.com/Photos/3M%20Photos/1SF26-L120-00C-200.jpg,3M155830-ND,1SF26-L120-00C-200,3M,26 POS SHRNK DLTA RIB CBL ASSY 2,51,0,"140.68000","0","1","Shrunk Delta Ribbon (SDR)","Active","Centronics 26 pos Male to Male","6.56' (2.00m)","Round, Beige","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/84413O/3mtm-mdr-cable-assy-050-26-pos-14x26-szlb-xxx-0lc-ts1001.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_14T26-SZLB-700-0LC.jpg,3M156251-ND,14T26-SZLB-700-0LC,3M,CABLE ASSY MDR 26POS M-M 7.0M,59,0,"157.73000","0","1","Mini D Ribbon (MDR), CameraLink®","Active","Centronics 26 pos Male to Male","23.00' (7.01m)","Round, Beige","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/585358O/3mtm-shrunk-delta-ribbon-sdr-cable-assembly-ts2286.pdf,//media.digikey.com/photos/3M%20Photos/1MD26-3560-00C-A00.jpg,3M11924-ND,1MD26-3560-00C-200,3M,CABLE POCL SDR MDR 200CM GRAY,129,0,"158.41000","0","1","Shrunk Delta Ribbon (SDR)","Active","Centronics 26 pos Male to Male","6.56' (2.00m)","Round, Gray","Shielded","Bidirectional"
