Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","1st Connector","2nd Connector","Type","Number of Positions","Length","Shielding","Color","Usage","Contact Finish","Contact Finish Thickness"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7083_CA.pdf,"//media.digikey.com/photos/Assmann%20Photos/AK129-2,%20AK129-2-R,%20AK174-3-R,%20AK174-3.jpg",AE9869-ND,AK129-2,Assmann WSW Components,CABLE ASSY DB09 SHLD BEIGE 2M,3161,0,"3.00000","0","1","-","Active","Plug, Male Pins","Plug, Male Pins","DB09","9","6.56' (2.00m)","Shielded","Beige, Individual (Round)","-","-","-"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7600_CA.pdf,//media.digikey.com/photos/Assmann%20Photos/AK143-3.jpg,AE9879-ND,AK143-3,Assmann WSW Components,CABLE ASSY DB09 SHLD BEIGE 3M,4372,0,"3.53000","0","1","-","Active","Receptacle, Female Sockets","Receptacle, Female Sockets","DB09","9","9.84' (3.00m)","Shielded","Beige, Individual (Round)","Null Modem","-","-"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7603_CA.pdf,"//media.digikey.com/photos/Assmann%20Photos/AK178-3-R,%20AK178-3%20AK131-2,%20AK131-2-R.jpg",AE1379-ND,AK131-2,Assmann WSW Components,CABLE ASSY DB09 SHLD BEIGE 2M,11639,0,"3.71000","0","1","-","Active","Receptacle, Female Sockets","Plug, Male Pins","DB09","9","6.56' (2.00m)","Shielded","Beige, Individual (Round)","Extension, Serial","-","-"
http://cnctech.us/pdfs/710-10011-00200.pdf,//media.digikey.com/Photos/CnC%20Tech/710-100MA.JPG,1175-1147-ND,710-10011-00200,CNC Tech,CABLE ASSY DB09 SHLD BEIGE 2M,1307,0,"3.88000","0","1","-","Active","Plug, Male Pins","Plug, Male Pins","DB09","9","6.56' (2.00m)","Shielded","Beige, Individual (Round)","Extension, Serial","Gold","Flash"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7604_CA.pdf,"//media.digikey.com/photos/Assmann%20Photos/AK152-2-R,%20AK152-2,%20AK182-3,%20AK182-3-R.jpg",AE9872-ND,AK152-2,Assmann WSW Components,CABLE ASSY DB09 SHLD BEIGE 2M,2127,0,"4.66000","0","1","-","Active","Receptacle, Female Sockets","Receptacle, Female Sockets","DB09","9","6.56' (2.00m)","Shielded","Beige, Individual (Round)","Extension, Serial","-","-"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7601_CA.pdf,"//media.digikey.com/photos/Assmann%20Photos/AK178-3-R,%20AK178-3%20AK131-2,%20AK131-2-R.jpg",AE9871-ND,AK178-3,Assmann WSW Components,CABLE ASSY DB09 SHLD BEIGE 3M,8504,0,"5.02000","0","1","-","Active","Receptacle, Female Sockets","Plug, Male Pins","DB09","9","9.84' (3.00m)","Shielded","Beige, Individual (Round)","Extension, Serial","-","-"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7602_CA.pdf,"//media.digikey.com/photos/Assmann%20Photos/AK152-2-R,%20AK152-2,%20AK182-3,%20AK182-3-R.jpg",AE9873-ND,AK182-3,Assmann WSW Components,CABLE ASSY DB09 SHLD BEIGE 3M,2275,0,"5.02000","0","1","-","Active","Receptacle, Female Sockets","Receptacle, Female Sockets","DB09","9","9.84' (3.00m)","Shielded","Beige, Individual (Round)","Extension, Serial","-","-"
https://assets.tripplite.com/product-pdfs/en/p450006.pdf,//media.digikey.com/Photos/Tripplite%20Photos/P450-006.JPG,TL378-ND,P450-006,Tripp Lite,CABLE ASSY DB09 SHLD BLACK 1.83M,98,0,"6.28000","0","1","-","Active","Receptacle, Female Sockets","Receptacle, Female Sockets","DB09","9","6.00' (1.83m)","Shielded","Black, Individual (Round)","Null Modem","Gold","-"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7874_CA.pdf,"//media.digikey.com/photos/Assmann%20Photos/AK135-2-R,%20AK166-3-R.jpg",AE9865-ND,AK135-2,Assmann WSW Components,CABLE ASSY DB25 SHLD BEIGE 2M,979,0,"6.76000","0","1","-","Active","Receptacle, Female Sockets","Plug, Male Pins","DB25","25","6.56' (2.00m)","Shielded","Beige, Individual (Round)","Extension, Serial","-","-"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7855_CA.pdf,"//media.digikey.com/photos/Assmann%20Photos/AK137-2,%20AK137-2-R,%20AK162-3-R.jpg",AE1378-ND,AK137-2,Assmann WSW Components,CABLE ASSY DB25 SHLD BEIGE 2M,3386,0,"6.82000","0","1","-","Active","Plug, Male Pins","Plug, Male Pins","DB25","25","6.56' (2.00m)","Shielded","Beige, Individual (Round)","Extension, Serial","-","-"
//media.digikey.com/pdf/Data%20Sheets/Tripp%20Lite/P502-yyy_Dwg.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_P502-xxx%20Series.jpg,TL652-ND,P502-006,Tripp Lite,CABLE ASSY HD15 SHLD BLACK 1.83M,1005,0,"9.36000","0","1","-","Active","Plug, Male Pins","Plug, Male Pins","HD15","14","6.00' (1.83m)","Shielded","Black, Individual (Round)","VGA Monitor","Gold","Flash"
-,//media.digikey.com/Photos/Phoenix%20Photos/1656262.jpg,277-7325-ND,1656262,Phoenix Contact,CABLE ASSY DB15 SHIELDED GRAY 1M,152,0,"12.46000","0","1","Varioface","Active","Receptacle, Female Sockets","Plug, Male Pins","DB15","15","3.28' (1.00m)","Shielded","Gray, Individual (Round)","-","Gold","-"
http://www.cablesondemand.com/images/diagrams/CS-DSDMDB09MF.pdf,//media.digikey.com/Photos/Amphenol%20Photos/MFG_CS-DSDMDB09MF.jpg,CS-DSDMDB09MF-002.5-ND,CS-DSDMDB09MF-002.5,Amphenol ICC (Commercial Products),CABLE ASSY DB09 SHLD GRAY 762MM,169,0,"12.61000","0","1","-","Active","Receptacle, Female Sockets","Plug, Male Pins","DB09","9","2.50' (762.00mm)","Shielded","Gray, Individual (Round)","-","-","-"
-,//media.digikey.com/Photos/Digi%20Int'l%20Photos/76000724.jpg,602-1413-ND,76000724,Digi International,CABLE ASSY DB09 UNSHLD BLK 1.22M,385,0,"16.00000","0","1","-","Active","Receptacle, Female Sockets","Individual Wire Leads","DB09","9","4.00' (1.22m)","Unshielded","Black, Individual (Round)","-","-","-"
