Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","1st Connector","2nd Connector","Cable Diameter","Cable Type","Features","Fiber Type","Length - Overall","Type","Ratings"
https://docs.broadcom.com/docs/AV02-1508EN,//media.digikey.com/Photos/Avago%20Tech%20Photos/HFBR-RNS%20SERIES.JPG,516-2090-ND,HFBR-RNS001Z,Broadcom Limited,FIBER OPTIC CBL POF 1M,695,0,"5.40000","0","1","HFBR","Active","-","-","0.09"" (2.2mm)","Buffered Fiber","Attenuator","-","3.3' (1.0m)","POF","-"
https://docs.broadcom.com/docs/AV02-1508EN,//media.digikey.com/photos/Avago%20Tech%20Photos/HFBR-RNS005Z.JPG,516-2091-ND,HFBR-RNS005Z,Broadcom Limited,FIBER OPTIC CBL POF 5M,287,0,"9.15000","0","1","HFBR","Active","-","-","0.09"" (2.2mm)","Buffered Fiber","Attenuator","-","16.4' (5.0m)","POF","-"
https://assets.tripplite.com/product-pdfs/en/n37001m.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_N370%20M%20Series.jpg,TL835-ND,N370-01M,Tripp Lite,FIBER OPTIC CBL LC-LC DUPLEX 1M,483,0,"23.17000","0","1","-","Active","LC Duplex","LC Duplex","-","Twin Zip","Riser, Zipcord","8.3/125","3.3' (1.0m)","Singlemode, Duplex","FDDI, OFNR"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7672_CA.pdf,//media.digikey.com/Photos/Assmann%20Photos/DIGITUS-DK-2633-SERIES.jpg,AE10465-ND,DK-2633-15,Assmann WSW Components,FIBER OPTIC CBL LC-LC DUPLEX 15M,428,0,"34.67000","0","1","Digitus®","Active","LC Duplex","LC Duplex","0.12"" (3.0mm)","Buffered Fiber","-","62.5/125","49.2' (15.0m)","Multimode, Duplex","-"
https://www.molex.com/pdm_docs/sd/1062830004_sd.pdf,//media.digikey.com/Photos/Molex/1062831001.jpg,WM9114-ND,1062831001,Molex,FIBER OPTIC CBL MTP-MTP DUPLX 1M,386,0,"86.73000","0","1","106283","Active","MTP","MTP","0.12"" (3.0mm)","-","-","50/125","3.3' (1.0m)","Multimode, Duplex","OFNP"
https://www.molex.com/pdm_docs/sd/1062830004_sd.pdf,//media.digikey.com/Photos/Molex/1062831005.jpg,WM12876-ND,1062831010,Molex,FIBER OPTC CBL MTP-MTP DUPLX 10M,42,0,"124.25000","0","1","106283","Active","MTP","MTP","0.12"" (3.0mm)","-","-","50/125","32.8' (10.0m)","Multimode, Duplex","OFNP"
https://docs.broadcom.com/docs/AV02-1508EN,//media.digikey.com/Photos/Avago%20Tech%20Photos/HFBR-RLS%20SERIES.JPG,516-2088-ND,HFBR-RLS001Z,Broadcom Limited,FIBER OPTIC CBL POF 1M,740,0,"5.40000","0","1","HFBR","Active","-","-","0.09"" (2.2mm)","Buffered Fiber","Attenuator","-","3.3' (1.0m)","POF","-"
"//media.digikey.com/pdf/Data%20Sheets/Avago%20PDFs/HFBR-Rxxyyyz,Exxyyyz%20Series.pdf",//media.digikey.com/Photos/Avago%20Tech%20Photos/HFBR-RNS002Z.jpg,516-3128-ND,HFBR-RNS002Z,Broadcom Limited,FIBER OPTIC CBL SC-SC POF 2M,471,0,"6.67000","0","1","HFBR","Active","SC","SC","0.09"" (2.2mm)","Twin Zip","-","-","6.6' (2.0m)","POF","-"
https://assets.tripplite.com/product-pdfs/en/a10202m.pdf,//media.digikey.com/Photos/Tripplite%20Photos/A102-02M.jpg,TL394-ND,A102-02M,Tripp Lite,TOSLINK CABLE PLUG-PLUG 2M,9594,0,"7.61000","0","1","-","Active","Toslink Plug","Toslink Plug","-","-","-","-","6.6' (2.0m)","-","-"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_8435_CA.pdf,//media.digikey.com/Photos/Assmann%20Photos/DK-2611-05.jpg,AE10427-ND,DK-2611-01,Assmann WSW Components,FIBER OPTIC CBL ST-ST DUPLEX 1M,170,0,"13.57000","0","1","Digitus®","Active","ST (2)","ST (2)","0.12"" (3.0mm)","Buffered Fiber","-","62.5/125","3.3' (1.0m)","Multimode, Duplex","-"
https://docs.broadcom.com/docs/AV02-1508EN,//media.digikey.com/photos/Avago%20Tech%20Photos/HFBR-RNS010Z.JPG,516-2092-ND,HFBR-RNS010Z,Broadcom Limited,FIBER OPTIC CBL POF 10M,280,0,"13.75000","0","1","HFBR","Active","-","-","0.09"" (2.2mm)","Buffered Fiber","Attenuator","-","32.8' (10.0m)","POF","-"
"//media.digikey.com/pdf/Data%20Sheets/Avago%20PDFs/HFBR-Rxxyyyz,Exxyyyz%20Series.pdf",//media.digikey.com/Photos/Avago%20Tech%20Photos/HFBR-RLS010Z.JPG,516-3042-ND,HFBR-RLS010Z,Broadcom Limited,FIBER OPTIC CBL LC-LC POF 10M,158,0,"13.75000","0","1","HFBR","Active","LC","LC","0.09"" (2.2mm)","Twin Zip","Attenuator, Zipcord","-","32.8' (10.0m)","POF","-"
//media.digikey.com/pdf/Data%20Sheets/Stewart%20Connector%20PDFs/LC-SC-ST-FiberOpticAssbly_Dwg.pdf,//media.digikey.com/Photos/Bel%20Photos/MFG_LCLC-SDTPxxx.jpg,1847-1142-ND,LCLC-SDTP010,Bel Inc.,FIBER OPTIC CBL LC-LC DUPLEX 1M,133,0,"14.48000","0","1","-","Active","LC Duplex","LC Duplex","0.08"" (2.0mm)","-","-","9/125","3.3' (1.0m)","Singlemode, Duplex, OS2","-"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_8435_CA.pdf,//media.digikey.com/Photos/Assmann%20Photos/DK-2611-05.jpg,AE10429-ND,DK-2611-03,Assmann WSW Components,FIBER OPTIC CBL ST-ST DUPLEX 3M,139,0,"15.97000","0","1","Digitus®","Active","ST (2)","ST (2)","0.12"" (3.0mm)","Buffered Fiber","-","62.5/125","9.8' (3.0m)","Multimode, Duplex","-"
