Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","1st Connector","2nd Connector","Length","Color","Features"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7891_CA.pdf,//media.digikey.com/photos/Assmann%20Photos/AK%201394-18.jpg,AE1432-ND,AK-1394-18,Assmann WSW Components,CBL IEEE1394 6POS TO 6POS 5.9',132,0,"10.54000","0","1","AK-1394","Active","Plug, 6 Position","Plug, 6 Position","5.90' (1.80m)","Black","-"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7891_CA.pdf,"//media.digikey.com/photos/Assmann%20Photos/AK-1394-30-R,%20AK-1394-50-R.jpg",AE1434-ND,AK-1394-50,Assmann WSW Components,CBL IEEE1394 6POS TO 6POS 16',182,0,"18.09000","0","1","AK-1394","Active","Plug, 6 Position","Plug, 6 Position","16.40' (5.00m)","Black","-"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7891_CA.pdf,"//media.digikey.com/photos/Assmann%20Photos/AK-1394-30-R,%20AK-1394-50-R.jpg",AE1433-ND,AK-1394-30,Assmann WSW Components,CBL IEEE1394 6POS TO 6POS 9.84',372,0,"7.60000","0","1","AK-1394","Active","Plug, 6 Position","Plug, 6 Position","9.84' (3.00m)","Black","-"
http://www.assmann-wsw.com/fileadmin/datasheets/AK-1394-1844-R_REV00.pdf,//media.digikey.com/photos/Assmann%20Photos/AK-1394-1844-R.jpg,AE1438-ND,AK-1394-1844,Assmann WSW Components,CBL IEEE1394 4POS TO 4POS 5.9',48,0,"9.99000","0","1","AK-1394","Active","Plug, 4 Position","Plug, 4 Position","5.90' (1.80m)","Black","-"
https://assets.tripplite.com/product-pdfs/en/f005006.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_F005-xxx%20Series.jpg,TL515-ND,F005-006,Tripp Lite,CBL IEEE1394 6POS TO 6POS 6',37,0,"10.41000","0","1","-","Active","Plug, 6 Position","Plug, 6 Position","6.00' (1.83m)","Black","-"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7860_CA.pdf,//media.digikey.com/photos/Assmann%20Photos/AK%201394-184.jpg,AE1435-ND,AK-1394-184,Assmann WSW Components,CBL IEEE1394 6POS TO 4POS 5.9',40,0,"8.06000","0","1","AK-1394","Active","Plug, 6 Position","Plug, 4 Position","5.90' (1.80m)","Black","-"
https://assets.tripplite.com/product-pdfs/en/f019006.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_F019-0xx%20Series.jpg,TL2036-ND,F019-006,Tripp Lite,CBL IEEE1394 9POS TO 4POS 6',45,0,"13.78000","0","1","-","Active","Plug, 9 Position","Plug, 4 Position","6.00' (1.83m)","Black","High Speed"
https://assets.tripplite.com/product-pdfs/en/f005015.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_F005-xxx%20Series.jpg,TL2033-ND,F005-015,Tripp Lite,CBL IEEE1394 6POS TO 6POS 15',26,0,"17.48000","0","1","-","Active","Plug, 6 Position","Plug, 6 Position","15.00' (4.57m)","Black","-"
https://assets.tripplite.com/product-pdfs/en/f017010.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_F017-0xx%20Series.jpg,TL2035-ND,F017-010,Tripp Lite,CBL IEEE1394 9POS TO 6POS 10',45,0,"18.52000","0","1","-","Active","Plug, 9 Position","Plug, 6 Position","10.00' (3.05m)","Black","High Speed"
https://assets.tripplite.com/product-pdfs/en/f015006.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_F015-0xx%20Series.jpg,TL518-ND,F015-006,Tripp Lite,CBL IEEE1394 9POS TO 9POS 6',14,0,"16.00000","0","1","-","Active","Plug, 9 Position","Plug, 9 Position","6.00' (1.83m)","Black","High Speed"
https://assets.tripplite.com/product-pdfs/en/f015010.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_F015-0xx%20Series.jpg,TL519-ND,F015-010,Tripp Lite,CBL IEEE1394 9POS TO 9POS 10',11,0,"20.36000","0","1","-","Active","Plug, 9 Position","Plug, 9 Position","10.00' (3.05m)","Black","High Speed"
https://assets.tripplite.com/product-pdfs/en/f017006.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_F017-0xx%20Series.jpg,TL2034-ND,F017-006,Tripp Lite,CBL IEEE1394 9POS TO 6POS 6',15,0,"15.55000","0","1","-","Active","Plug, 9 Position","Plug, 6 Position","6.00' (1.83m)","Black","High Speed"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7860_CA.pdf,//media.digikey.com/photos/Assmann%20Photos/AK%201394-184.jpg,AE1436-ND,AK-1394-304,Assmann WSW Components,CBL IEEE1394 6POS TO 4POS 9.84',0,0,"9.31188","0","80","AK-1394","Active","Plug, 6 Position","Plug, 4 Position","9.84' (3.00m)","Black","-"
//media.digikey.com/pdf/Data%20Sheets/Assmann%20PDFs/USB%20ADAPTORS%201394.pdf,//media.digikey.com/photos/Assmann%20Photos/AK%201394-1844.jpg,AE1130-ND,AK-1394-3044,Assmann WSW Components,CBL IEEE1394 4POS TO 4POS 9.84',0,0,"10.01700","0","80","AK-1394","Active","Plug, 4 Position","Plug, 4 Position","9.84' (3.00m)","Black","-"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7860_CA.pdf,//media.digikey.com/photos/Assmann%20Photos/AK%201394-184.jpg,AE1437-ND,AK-1394-504,Assmann WSW Components,CBL IEEE1394 6POS TO 4POS 16',0,0,"11.73900","0","40","AK-1394","Active","Plug, 6 Position","Plug, 4 Position","16.40' (5.00m)","Black","-"
