Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Contact Termination","Length","Number of Positions","Pitch"
//media.digikey.com/pdf/Data%20Sheets/JAE%20PDFs/JF08R0R0xxxxx_Dwg.pdf,//media.digikey.com/Photos/JAE%20Elect%20Photos/JF08R0R041020UA-END-A.jpg,670-3069-ND,JF08R0R041020UA,JAE Electronics,CABLE ASSY HI SPEED 41POS 20CM,1170,0,"9.25000","0","1","JF08","Active","Receptacle with Latch to Receptacle with Latch","7.87"" (200.00mm)","41","0.020"" (0.50mm)"
//media.digikey.com/pdf/Data%20Sheets/JAE%20PDFs/JF08R0R0xxxxx_Dwg.pdf,-,670-3074-ND,JF08R0R051040UA,JAE Electronics,CABLE ASSY HI SPEED 51POS 40CM,2642,0,"11.02000","0","1","JF08","Active","Receptacle with Latch to Receptacle with Latch","15.75"" (400.00mm)","51","0.020"" (0.50mm)"
//media.digikey.com/pdf/Data%20Sheets/JAE%20PDFs/JF08R0R0xxxxx_Dwg.pdf,-,670-3072-ND,JF08R0R051020UA,JAE Electronics,CABLE ASSY HI SPEED 51POS 20CM,2861,0,"10.14000","0","1","JF08","Active","Receptacle with Latch to Receptacle with Latch","7.87"" (200.00mm)","51","0.020"" (0.50mm)"
//media.digikey.com/pdf/Data%20Sheets/JAE%20PDFs/JF08R0R0xxxxx_Dwg.pdf,//media.digikey.com/Photos/JAE%20Elect%20Photos/JF08R0R051030UA.jpg,670-3073-ND,JF08R0R051030UA,JAE Electronics,CABLE ASSY HI SPEED 51POS 30CM,340,0,"10.58000","0","1","JF08","Active","Receptacle with Latch to Receptacle with Latch","11.81"" (300.00mm)","51","0.020"" (0.50mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=88997&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9AAT-020xx.jpg,A9AAT-0202F-ND,A9AAT-0202F,TE Connectivity AMP Connectors,FLEX CABLE - AFE02T/AF02/AFE02T,1264,0,"0.53000","0","1","-","Active","Solder Tab to Solder Tab","2.00"" (50.80mm)","2","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=88997&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9AAT-020xx.jpg,A9AAT-0203F-ND,A9AAT-0203F,TE Connectivity AMP Connectors,FLEX CABLE - AFE02T/AF02/AFE02T,756,0,"0.53000","0","1","-","Active","Solder Tab to Solder Tab","3.00"" (76.20mm)","2","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=88997&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9AAT-030xx.jpg,A9AAT-0302F-ND,A9AAT-0302F,TE Connectivity AMP Connectors,FLEX CABLE - AFE03T/AF03/AFE03T,459,0,"0.64000","0","1","-","Active","Solder Tab to Solder Tab","2.00"" (50.80mm)","3","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=88997&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9AAT-020xx.jpg,A9AAT-0205F-ND,A9AAT-0205F,TE Connectivity AMP Connectors,FLEX CABLE - AFE02T/AF02/AFE02T,686,0,"0.68000","0","1","-","Active","Solder Tab to Solder Tab","5.00"" (127.00mm)","2","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=88997&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9AAT-030xx.jpg,A9AAT-0303F-ND,A9AAT-0303F,TE Connectivity AMP Connectors,FLEX CABLE - AFE03T/AF03/AFE03T,1161,0,"0.73000","0","1","-","Active","Solder Tab to Solder Tab","3.00"" (76.20mm)","3","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=88997&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9AAT-020xx.jpg,A9AAT-0206F-ND,A9AAT-0206F,TE Connectivity AMP Connectors,FLEX CABLE - AFE02T/AF02/AFE02T,632,0,"0.75000","0","1","-","Active","Solder Tab to Solder Tab","6.00"" (152.40mm)","2","0.100"" (2.54mm)"
