Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Contact End","Length","Wire Gauge","Contact Finish","Color","Contact Finish Thickness"
https://gam-gec.com/wp-content/uploads/2018/10/GAM-058.pdf,//media.digikey.com/Photos/JST%20Photos/ASPHSPH24K51.jpg,455-3081-ND,ASPHSPH24K51,JST Sales America Inc.,LEAD SKT-SKT 24AWG BLK 2"" TIN,30013,0,"0.37000","0","1","PH","Active","Socket to Socket","2.00"" (50.80mm)","24 AWG","Tin","Black","-"
https://gam-gec.com/wp-content/uploads/2018/10/GAM-056.pdf,//media.digikey.com/Photos/JST%20Photos/ASZHSZH28K305.jpg,455-3079-ND,ASZHSZH28K152,JST Sales America Inc.,JUMPER SZH-002T-P0.5 X2 6"",10586,0,"0.42000","0","1","ZH","Active","Socket to Socket","6.00"" (152.40mm)","28 AWG","Tin","Black","-"
https://gam-gec.com/wp-content/uploads/2018/10/GAM-062.pdf,//media.digikey.com/Photos/Tensility%20Intl/APAPA22K51.jpg,455-3085-ND,APAPA22K152,JST Sales America Inc.,JUMPER SPHD-001T-P0.5 X2 6"",31857,0,"0.43000","0","1","PA, PBV, PHD","Active","Socket to Socket","6.00"" (152.40mm)","22 AWG","Tin","Black","-"
https://gam-gec.com/wp-content/uploads/2018/10/GAM-047.pdf,//media.digikey.com/photos/JST%20Photos/AGHGH28Kxx(x).JPG,455-3073-ND,AGHGH28K152,JST Sales America Inc.,JUMPER SSHL-002T-P0.2 X2 6"",24682,0,"0.43000","0","1","GH","Active","Socket to Socket","6.00"" (152.40mm)","28 AWG","Tin","Black","-"
https://gam-gec.com/wp-content/uploads/2018/10/GAM-059.pdf,//media.digikey.com/Photos/JST%20Photos/ASPHSPH24K51.jpg,455-3082-ND,ASPHSPH24K152,JST Sales America Inc.,LEAD SKT-SKT 24AWG BLK 6"" TIN,19160,0,"0.43000","0","1","PH","Active","Socket to Socket","6.00"" (152.40mm)","24 AWG","Tin","Black","-"
https://gam-gec.com/wp-content/uploads/2018/10/GAM-060.pdf,//media.digikey.com/Photos/JST%20Photos/ASPHSPH24K51.jpg,455-3083-ND,ASPHSPH24K305,JST Sales America Inc.,LEAD SKT-SKT 24AWG BLK 12"" TIN,55863,0,"0.45000","0","1","PH","Active","Socket to Socket","12.0"" (304.8mm)","24 AWG","Tin","Black","-"
https://gam-gec.com/wp-content/uploads/2018/10/GAM-049.pdf,//media.digikey.com/Photos/JST%20Photos/ASSHSSH28K305.jpg,455-3075-ND,ASSHSSH28K51,JST Sales America Inc.,JUMPER SSH-003T-P0.2-H X2 2"",38631,0,"0.47000","0","1","SH","Active","Socket to Socket","2.00"" (50.80mm)","28 AWG","Tin","Black","-"
https://gam-gec.com/wp-content/uploads/2018/10/GAM-063.pdf,//media.digikey.com/Photos/Tensility%20Intl/APAPA22K51.jpg,455-3086-ND,APAPA22K305,JST Sales America Inc.,JUMPER SPHD-001T-P0.5 X2 12"",36755,0,"0.47000","0","1","PA, PBV, PHD","Active","Socket to Socket","12.0"" (304.8mm)","22 AWG","Tin","Black","-"
https://gam-gec.com/wp-content/uploads/2018/10/GAM-057.pdf,//media.digikey.com/Photos/JST%20Photos/ASZHSZH28K305.jpg,455-3080-ND,ASZHSZH28K305,JST Sales America Inc.,JUMPER SZH-002T-P0.5 X2 12"",27898,0,"0.50000","0","1","ZH","Active","Socket to Socket","12.0"" (304.8mm)","28 AWG","Tin","Black","-"
https://gam-gec.com/wp-content/uploads/2018/10/GAM-048.pdf,//media.digikey.com/photos/JST%20Photos/AGHGH28Kxx(x).JPG,455-3074-ND,AGHGH28K305,JST Sales America Inc.,JUMPER SSHL-002T-P0.2 X2 12"",39266,0,"0.52000","0","1","GH","Active","Socket to Socket","12.0"" (304.8mm)","28 AWG","Tin","Black","-"
