Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Connector Type","Length","Voltage","Barrel Depth","Wire Gauge","Shielding","Color - Cap","Color - Wire","Material - Cap"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=862549&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/5-862549-4.jpg,A122239-ND,5-862549-4,"TE Connectivity Aerospace, Defense and Marine",LGH-1 PLUG TO CBL 16AWG 12.38"",30,0,"145.06000","0","1","-","Active","LGH-1 Plug to Cable (Round)","12.38"" (314.452mm)","20kV","0.88"" (22.35mm)","16 AWG","Unshielded","Red","White","Polycarbonate"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=830611&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/LGH-1%5E2%20Plug%20to%20Cable.jpg,A122250-ND,830611-1,"TE Connectivity Aerospace, Defense and Marine",LGH-1/2 PLUG TO CBL 16AWG 24.25"",2,0,"167.86000","0","1","-","Active","LGH-1/2 Plug to Cable (Round)","24.25"" (615.950mm)","10kV","0.53"" (13.46mm)","16 AWG","Unshielded","Green","White","Polyester, Glass Filled"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=830611&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/1-830611-0.jpg,A128258-ND,1-830611-0,TE Connectivity AMP Connectors,LGH-1/2 PLUG TO CBL 16AWG 36.25"",19,0,"131.10000","0","1","-","Active","LGH-1/2 Plug to Cable (Round)","36.25"" (920.750mm)","10kV","0.53"" (13.46mm)","16 AWG","Unshielded","Green","White","Polyester, Glass Filled"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=862545&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/862545-6.jpg,A141548-ND,862545-5,"TE Connectivity Aerospace, Defense and Marine",LGH-1/2 PLUG TO CBL 16AWG 15.38"",25,0,"143.02000","0","1","-","Active","LGH-1/2 Plug to Cable (Round)","15.38"" (390.652mm)","10kV","0.53"" (13.46mm)","16 AWG","Unshielded","Green","White","Polyester, Glass Filled"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=846290&DocType=Customer+Drawing&DocLang=English,-,A129127-ND,846290-6,TE Connectivity AMP Connectors,LGH-4 PLUG TO CBL 16AWG 36.38"",5,0,"475.97000","0","1","-","Active","LGH-4 Plug to Cable (Round)","36.38"" (924.052mm)","50kV","2.00"" (50.80mm)","16 AWG","Unshielded","Green","White","Epoxy"
-,-,862197-6-ND,862197-6,"TE Connectivity Aerospace, Defense and Marine","LGH, RECEPTACLE ASS'Y",0,0,"26.34510","0","300","*","Active","-","-","-","-","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=867956&DocType=Customer+Drawing&DocLang=English,-,867956-1-ND,867956-1,TE Connectivity AMP Connectors,LGH-1/2L PLUG TO CBL 16AWG 6.38"",0,0,"47.02100","0","500","-","Active","LGH-1/2L Plug to Cable (Round)","6.38"" (162.052mm)","15kV","0.89"" (22.61mm)","16 AWG","Unshielded","Green","White","Polyester"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1218134&DocType=Customer+Drawing&DocLang=English,-,1218134-1-ND,1218134-1,"TE Connectivity Aerospace, Defense and Marine",MICRO-MINI LGH TO CBL 22AWG 10"",0,0,"48.39900","0","500","-","Active","Micro-Miniature LGH, Plug Right Angle, 1 pos to Cable (Round)","10.00"" (254.000mm)","7kV","0.60"" (15.24mm)","22 AWG","Unshielded","No Cap","White","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=443958&DocType=Customer+Drawing&DocLang=English,-,443958-1-ND,443958-1,"TE Connectivity Aerospace, Defense and Marine",MICRO-MINI LGH TO CBL 24AWG 8"",0,0,"56.70430","0","200","-","Active","Micro-Miniature LGH, Receptacle, 1 pos to Cable (Round)","8.00"" (203.200mm)","6kV","0.63"" (16.00mm)","24 AWG","Unshielded","Red","Red","Silicone Rubber"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=443957&DocType=Customer+Drawing&DocLang=English,-,443957-1-ND,443957-1,"TE Connectivity Aerospace, Defense and Marine",MICRO-MINI LGH TO CBL 24AWG 8"",0,0,"59.63720","0","300","-","Active","Micro-Miniature LGH, Plug, 1 pos to Cable (Round)","8.00"" (203.200mm)","6kV","0.71"" (18.03mm)","24 AWG","Unshielded","No Cap","Red","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=868399&DocType=Customer+Drawing&DocLang=English,-,868399-3-ND,868399-3,TE Connectivity AMP Connectors,LGH-1/2 PLUG TO CBL 16AWG 15.38"",0,0,"67.58210","0","100","-","Active","LGH-1/2 Plug to Cable (Round)","15.38"" (390.652mm)","10kV","0.53"" (13.46mm)","16 AWG","Unshielded","Green","Red","Polyester, Glass Filled"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=445245&DocType=Customer+Drawing&DocLang=English,-,445245-4-ND,445245-4,"TE Connectivity Aerospace, Defense and Marine",LGH-1/2L PLUG TO CBL 16AWG 13"",0,0,"69.69190","0","100","-","Active","LGH-1/2L Plug to Cable (Round)","13.00"" (330.200mm)","15kV","0.89"" (22.61mm)","16 AWG","Unshielded","Red","White","Epoxy, Glass Filled"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electonics%20AMP%20PDFs/LGH%20High%20Volt%20Conn%20cat.pdf#Page=55,-,443815-1-ND,443815-1,"TE Connectivity Aerospace, Defense and Marine",MICRO-MINI LGH-WIRE 24AWG 11.31"",0,0,"71.50000","0","500","-","Active","Micro-Miniature LGH, Receptacle, 3 pos to Individual Wire Leads","11.31"" (287.274mm)","-","-","24 AWG","-","No Cap","Multiple Colors","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=862545&DocType=Customer+Drawing&DocLang=English,-,862545-2-ND,862545-2,TE Connectivity AMP Connectors,LGH-1/2 PLUG TO CBL 16AWG 8.38"",0,0,"72.67120","0","250","-","Active","LGH-1/2 Plug to Cable (Round)","8.38"" (212.852mm)","10kV","0.53"" (13.46mm)","16 AWG","Unshielded","Green","White","Polyester, Glass Filled"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=5830611&DocType=Customer+Drawing&DocLang=English,-,1-5830611-1-ND,1-5830611-1,TE Connectivity AMP Connectors,LGH-1/2 PLUG TO CBL 16AWG 8.25"",0,0,"75.48700","0","100","-","Active","LGH-1/2 Plug to Cable (Round)","8.25"" (209.550mm)","10kV","0.53"" (13.46mm)","16 AWG","Unshielded","Green","White","Polyester, Glass Filled"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=867824&DocType=Customer+Drawing&DocLang=English,-,867824-1-ND,867824-1,"TE Connectivity Aerospace, Defense and Marine",MICRO-MINI LGH TO CBL 22AWG 24"",0,0,"75.80600","0","60","-","Active","Micro-Miniature LGH, Receptacle, 1 pos to Cable (Round)","24.00"" (609.600mm)","7.5kV","0.61"" (15.49mm)","22 AWG","Unshielded","No Cap","White","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=862545&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/862545-6.jpg,5-862545-4-ND,5-862545-4,"TE Connectivity Aerospace, Defense and Marine",LGH-1/2 PLUG TO CBL 16AWG 12.38"",0,0,"78.33658","0","120","-","Active","LGH-1/2 Plug to Cable (Round)","12.38"" (314.452mm)","10kV","0.53"" (13.46mm)","16 AWG","Unshielded","Green","White","Polyester, Glass Filled"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=5830613&DocType=Customer+Drawing&DocLang=English,-,5830613-1-ND,5830613-1,"TE Connectivity Aerospace, Defense and Marine",LGH-1/2L PLG TO CBL 16AWG 24.25"",0,0,"80.51490","0","100","-","Active","LGH-1/2L Plug to Cable (Round)","24.25"" (615.950mm)","15kV","0.89"" (22.61mm)","16 AWG","Unshielded","Green","White","Polyester, Glass Filled"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=867823&DocType=Customer+Drawing&DocLang=English,-,867823-1-ND,867823-1,"TE Connectivity Aerospace, Defense and Marine",MICRO-MINI LGH TO CBL 22AWG 15"",0,0,"82.04100","0","50","-","Active","Micro-Miniature LGH, Plug, 1 pos to Cable (Round)","15.00"" (381.000mm)","7.5kV","0.68"" (17.27mm)","22 AWG","Unshielded","No Cap","White","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=830611&DocType=Customer+Drawing&DocLang=English,-,830611-8-ND,830611-8,TE Connectivity AMP Connectors,LGH-1/2 PLUG TO CBL 16AWG 4.38"",0,0,"84.83160","0","25","-","Active","LGH-1/2 Plug to Cable (Round)","4.38"" (111.252mm)","10kV","0.53"" (13.46mm)","16 AWG","Unshielded","Green","White","Polyester, Glass Filled"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=862547&DocType=Customer+Drawing&DocLang=English,-,862547-4-ND,862547-4,TE Connectivity AMP Connectors,LGH-1/2L PLG TO CBL 16AWG 12.38"",0,0,"85.26880","0","100","-","Active","LGH-1/2L Plug to Cable (Round)","12.38"" (314.452mm)","15kV","0.89"" (22.61mm)","16 AWG","Unshielded","Green","White","Polyester, Glass Filled"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=5837655&DocType=Customer+Drawing&DocLang=English,-,5837655-9-ND,5837655-9,TE Connectivity AMP Connectors,LGH-1 PLUG TO CBL 16AWG 20.38"",0,0,"86.34760","0","50","-","Active","LGH-1 Plug to Cable (Round)","20.38"" (517.652mm)","20kV","0.88"" (22.35mm)","16 AWG","Unshielded","Red","White","Polycarbonate"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=840706&DocType=Customer+Drawing&DocLang=English,-,840706-1-ND,840706-1,TE Connectivity AMP Connectors,LGH-1/2L PLG TO CBL 16AWG 12.25"",0,0,"86.78950","0","160","-","Active","LGH-1/2L Plug to Cable (Round)","12.25"" (311.150mm)","15kV","0.55"" (13.97mm)","16 AWG","Unshielded","Green","White","Epoxy"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1218147&DocType=Customer+Drawing&DocLang=English,-,1218147-1-ND,1218147-1,"TE Connectivity Aerospace, Defense and Marine",MICRO-MIN LGH TO CBL 24AWG 12.5"",0,0,"88.13100","0","50","-","Active","Micro-Miniature LGH, Plug, 1 pos to Cable (Round)","12.50"" (317.500mm)","6kV","0.71"" (18.03mm)","24 AWG","Unshielded","No Cap","Red","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=837655&DocType=Customer+Drawing&DocLang=English,-,1-837655-1-ND,1-837655-1,"TE Connectivity Aerospace, Defense and Marine",LGH-1 PLUG TO CBL 16AWG 12.38"",0,0,"90.63921","0","240","-","Active","LGH-1 Plug to Cable (Round)","12.38"" (314.452mm)","20kV","0.88"" (22.35mm)","16 AWG","Unshielded","Red","White","Polycarbonate"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=830611&DocType=Customer+Drawing&DocLang=English,-,1-830611-1-ND,1-830611-1,TE Connectivity AMP Connectors,LGH-1/2 PLUG TO CBL 16AWG 8.25"",0,0,"90.74880","0","100","-","Active","LGH-1/2 Plug to Cable (Round)","8.25"" (209.550mm)","10kV","0.53"" (13.46mm)","16 AWG","Unshielded","Green","White","Polyester, Glass Filled"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=867963&DocType=Customer+Drawing&DocLang=English,-,867963-2-ND,867963-2,TE Connectivity AMP Connectors,LGH-1/2 PLUG TO CBL 16AWG 5.38"",0,0,"95.75889","0","36","-","Active","LGH-1/2 Plug to Cable (Round)","5.38"" (136.652mm)","10kV","0.53"" (13.46mm)","16 AWG","Unshielded","Green","White","Polyester"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=868399&DocType=Customer+Drawing&DocLang=English,-,5-868399-3-ND,5-868399-3,"TE Connectivity Aerospace, Defense and Marine",LGH-1/2 PLUG TO CBL 16AWG 15.38"",0,0,"97.25160","0","50","-","Active","LGH-1/2 Plug to Cable (Round)","15.38"" (390.652mm)","10kV","0.53"" (13.46mm)","16 AWG","Unshielded","Green","Red","Polyester, Glass Filled"
