Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Cable Type","Connector Type","Mounting Type","Number of Positions/Contacts","Length","Shielding","Color","Features","Style"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_8060_CA.pdf,//media.digikey.com/photos/Assmann%20Photos/at-s-26-4^4^b-7^r-r.JPG,A2442R-07-ND,AT-S-26-4/4/B-7/R,Assmann WSW Components,CABLE MOD 4P4C PLUG-PLUG 7',6547,0,"1.99000","0","1","-","Active","Flat, Straight Cable","Plug to Plug","Free Hanging (In-Line)","4p4c (RJ9, RJ10, RJ22)","7.00' (2.13m)","Unshielded","Black","-","Reverse"
http://www.assmann-wsw.com/fileadmin/datasheets/DK-1511-xxx_xx.pdf,//media.digikey.com/Photos/Assmann%20Photos/DK-1511-0xx%5EBL.jpg,AE10480-ND,DK-1511-003/BL,Assmann WSW Components,CABLE MOD 8P8C PLUG-PLUG 3',5279,0,"2.19000","0","1","Digitus®","Active","Round Cable","Plug to Plug","Free Hanging (In-Line)","8p8c (RJ45, Ethernet)","3.00' (914.4mm)","Unshielded","Black","Molded Plugs","Cat5e"
https://assets.tripplite.com/product-pdfs/en/n002002bk.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_N002-xxx-BK%20Series.jpg,TL527-ND,N002-002-BK,Tripp Lite,CABLE MOD 8P8C PLUG-PLUG 2',1657,0,"2.29000","0","1","-","Active","Round Cable","Plug to Plug","Free Hanging (In-Line)","8p8c (RJ45, Ethernet)","2.00' (609.6mm)","Unshielded","Black","Molded Plugs","Cat5e"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7407_CA.pdf,//media.digikey.com/photos/Assmann%20Photos/A-MCSSP6%20BLUE%20SERIES.jpg,AE10365-ND,A-MCUP-80005/B,Assmann WSW Components,CABLE MOD 8P8C PLUG-PLUG 1.64',10468,0,"2.36000","0","1","-","Active","Round Cable","Plug to Plug","Free Hanging (In-Line)","8p8c (RJ45, Ethernet)","1.64' (500.0mm)","Unshielded","Blue","Molded Plugs","Cat5e"
http://www.assmann-wsw.com/fileadmin/datasheets/AT-S-26-6_6_B-xx-OE-R.pdf,//media.digikey.com/photos/Assmann%20Photos/at-s-26-6^6^b-7-oe-r.JPG,A3662R-07-ND,AT-S-26-6/6/B-7-OE,Assmann WSW Components,CABLE MOD 6P6C PLUG-CABLE 7',12111,0,"2.41000","0","1","-","Active","Flat, Straight Cable","Plug to Cable","Free Hanging (In-Line)","6p6c (RJ11, RJ12, RJ14, RJ25)","7.00' (2.13m)","Unshielded","Black","-","Single Ended"
https://belfuse.com/resources/AIMCambridge/dr-73-7790-3.pdf,//media.digikey.com/Photos/Emerson%20Network%20Photos/73-7791.jpg,367-1104-ND,73-7791-3,Cinch Connectivity Solutions AIM-Cambridge,CABLE MOD 8P8C PLUG-PLUG 3',2165,0,"2.54000","0","1","-","Active","Round Cable","Plug to Plug","Free Hanging (In-Line)","8p8c (RJ45, Ethernet)","3.00' (914.4mm)","Unshielded","Black","Molded Plugs","Cat5e"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_8169_CA.pdf,//media.digikey.com/Photos/Assmann%20Photos/AT-S-26-6%5E6%5EB-7-R.JPG,A2662R-07-ND,AT-S-26-6/6/B-7/R,Assmann WSW Components,CABLE MOD 6P6C PLUG-PLUG 7',5589,0,"2.56000","0","1","-","Active","Flat, Straight Cable","Plug to Plug","Free Hanging (In-Line)","6p6c (RJ11, RJ12, RJ14, RJ25)","7.00' (2.13m)","Unshielded","Black","-","Reverse"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_8168_CA.pdf,//media.digikey.com/Photos/Assmann%20Photos/AT-S-26-6%5E6%5EB-7-R.JPG,A1662R-07-ND,AT-S-26-6/6/B-7,Assmann WSW Components,CABLE MOD 6P6C PLUG-PLUG 7',5172,0,"2.64000","0","1","-","Active","Flat, Straight Cable","Plug to Plug","Free Hanging (In-Line)","6p6c (RJ11, RJ12, RJ14, RJ25)","7.00' (2.13m)","Unshielded","Black","-","Standard"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7425_CA.pdf,//media.digikey.com/Photos/Assmann%20Photos/A-MCSP-80005-R.jpg,AE11049-ND,A-MCSP-80005,Assmann WSW Components,CABLE MOD 8P8C PLUG-PLUG 1.64',4876,0,"2.67000","0","1","-","Active","Round Cable","Plug to Plug","Free Hanging (In-Line)","8p8c (RJ45, Ethernet)","1.64' (500.0mm)","Shielded","Gray","Molded Plugs","Cat5e"
http://www.assmann-wsw.com/fileadmin/datasheets/DK-1511-xxx_xx.pdf,//media.digikey.com/Photos/Assmann%20Photos/DK-1511-0xx%5EBL.jpg,AE10484-ND,DK-1511-005/BL,Assmann WSW Components,CABLE MOD 8P8C PLUG-PLUG 5',4254,0,"2.77000","0","1","Digitus®","Active","Round Cable","Plug to Plug","Free Hanging (In-Line)","8p8c (RJ45, Ethernet)","5.00' (1.52m)","Unshielded","Black","Molded Plugs","Cat5e"
