Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Cable Connectors","Number of Positions","Connector Type","Gender","Fastening Type","Features","Cable Type","Usage","Length","Color","Shielding"
https://www.molex.com/pdm_docs/sd/685610014_sd.pdf,//media.digikey.com/photos/Molex/68561-0014.jpg,WM19027-ND,0685610014,Molex,CABLE SATA F-F 500MM,2393,0,"2.44000","0","1","68561","Active","SATA","7","Receptacle to Receptacle","Female to Female","Latch Lock","-","Flat","External","1.64' (500.0mm)","Red","Shielded"
https://www.molex.com/pdm_docs/sd/685610016_sd.pdf,//media.digikey.com/Photos/Molex/0685610016.jpg,WM4672-ND,0685610016,Molex,CABLE SATA F-F 500MM,3927,0,"2.50000","0","1","68561","Active","SATA","7","Receptacle to Receptacle, Right Angle","Female to Female","Latch Lock","-","Flat","External","1.64' (500.0mm)","Red","Shielded"
https://assets.tripplite.com/product-pdfs/en/p94012i.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_P940-12I.jpg,TL1689-ND,P940-12I,Tripp Lite,CABLE SATA F-F 304.8MM,710,0,"3.33000","0","1","-","Active","SATA","7","Receptacle to Receptacle","Female to Female","Latch Lock","-","Flat","External","1.00' (304.8mm)","Red","Shielded"
https://assets.tripplite.com/product-pdfs/en/p94008i.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_P940-08I.jpg,TL807-ND,P940-08I,Tripp Lite,CABLE SATA F-F 203.2MM,1986,0,"3.36000","0","1","-","Active","SATA","7","Receptacle to Receptacle","Female to Female","Latch Lock","-","Flat","External","0.67' (203.2mm)","Red","Shielded"
https://www.molex.com/pdm_docs/sd/887511411_sd.pdf,//media.digikey.com/Photos/Molex/0887511410.jpg,WM3623-ND,0887511410,Molex,CABLE SATA PIGTAIL 1.5M,7557,0,"3.65000","0","1","88755","Last Time Buy","SATA","15, 4","Receptacle to Individual Wires","Female to Pigtail","Push-Pull","-","Individual","Internal","4.92' (1.50m)","Black","Unshielded"
http://multimedia.3m.com/mws/media/412909O/3mtm-serial-adv-tech-attach-sata-signal-cable-ts2111-0.pdf,//media.digikey.com/photos/3M%20Photos/5602-21-0000-500.JPG,3M5567-ND,5602-21-0000-500,3M,CABLE SATA F-F 500MM,4363,0,"3.80000","0","1","5602","Active","SATA","7","Receptacle to Receptacle, Right Angle","Female to Female","Push-Pull","-","Flat","External","1.64' (500.0mm)","Blue","Shielded"
http://multimedia.3m.com/mws/media/773095O/3mtm-high-routability-int-sata-cable-asm-5602-series-cd4897.pdf,//media.digikey.com/Photos/3M%20Photos/5602-44-0142A-500-new.jpg,3M10726-ND,5602-44-0142A-500,3M,CABLE SATA F-F 500MM,2336,0,"7.22000","0","1","5602","Active","SATA","7","Receptacle to Receptacle","Female to Female","Latch Lock","-","Flat, Twin Axial","Internal","1.64' (500.0mm)","Silver","Shielded"
http://multimedia.3m.com/mws/media/773095O/3mtm-high-routability-int-sata-cable-asm-5602-series-cd4897.pdf,//media.digikey.com/Photos/3M%20Photos/5602-44-0142A.jpg,3M10727-ND,5602-44-0142A-600,3M,CABLE SATA F-F 600MM,928,0,"7.32000","0","1","5602","Active","SATA","7","Receptacle to Receptacle","Female to Female","Latch Lock","-","Flat, Twin Axial","Internal","1.97' (600.0mm)","Silver","Shielded"
https://www.molex.com/pdm_docs/sd/795762103_sd.pdf,//media.digikey.com/photos/Molex/79576-2102.JPG,WM17069-ND,0795762103,Molex,CABLE MINISAS 4I M-M 600MM,1686,0,"11.79000","0","1","iPass 79536","Active","miniSAS 4i","36","Plug to Plug","Male to Male","Latch Lock","Sidebands on Cable","Flat, Twin Axial","Internal, Backplane to Controller","1.97' (600.0mm)","Black","Shielded"
https://www.molex.com/pdm_docs/sd/795762102_sd.pdf,//media.digikey.com/photos/Molex/79576-2102.JPG,WM1170-ND,0795762102,Molex,CABLE MINISAS 4I M-M 500MM,880,0,"13.27000","0","1","iPass 79536","Active","miniSAS 4i","36","Plug to Plug","Male to Male","Latch Lock","Sidebands on Cable","Flat, Twin Axial","Internal, Backplane to Controller","1.64' (500.0mm)","Black","Shielded"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/8US4-yyy19-00-y.yy_Dwg.pdf,//media.digikey.com/Photos/3M%20Photos/8US4-AA119-00-1.00.jpg,3M15494-ND,8US4-AA119-00-1.00,3M,CABLE MINISAS M-M 1M,1504,0,"19.00000","0","1","8U","Active","miniSAS HD 4i","36","Plug to Plug","Male to Male","Latch Lock","Sidebands on Cable","Flat, Twin Axial","Internal","3.28' (1.00m)","Black","Shielded"
https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/10119217.pdf,//media.digikey.com/Photos/FCI%20Photos/10119217-2xxxLF.jpg,609-4687-ND,10119217-2050LF,Amphenol ICC (FCI),CABLE MINISAS M-M 500MM,370,0,"24.64000","0","1","-","Active","miniSAS HD 4i","36","Plug to Plug","Male to Male","Latch Lock, Push-Pull","Sidebands on Cable","Round","Internal, Backplane to Controller","1.64' (500.0mm)","Black","-"
https://www.molex.com/pdm_docs/sd/747521101_sd.pdf,//media.digikey.com/photos/Molex/74752-1301.JPG,WM14069-ND,0747521051,Molex,CABLE ASSY SFP+ M-M 500MM,100,0,"32.04000","0","1","74752","Active","SFP+","20","Plug to Plug","Male to Male","Latch Lock, Push-Pull","Passive, Pull Tab","Round, Twin Axial","External","1.64' (500.0mm)","Black","Shielded"
http://multimedia.3m.com/mws/media/872023O/3mtm-twin-axial-cable-assembly-for-pcie-x4-jumper-apps-cd2587.pdf,//media.digikey.com/photos/3M%20Photos/8KJ2-0743-0250.jpg,3M156020-ND,8KJ2-0743-0250,3M,CABLE ASSY PCIE X4 M-M 250MM 1=1,495,0,"65.43000","0","1","8KXX","Active","PCIe x4","64","Card Edge to Card Edge","Male to Male","-","Extender","Flat, Twin Axial","Internal","0.82' (250.0mm)","Silver","Shielded"
https://www.molex.com/pdm_docs/sd/1002971101_sd.pdf,//media.digikey.com/Photos/Molex/1002971x01.jpg,WM11887-ND,1002971101,Molex,CABLE ASSY ZQSFP+ M-M 1M,651,0,"68.99000","0","1","-","Active","zQSFP+","38","Plug to Plug","Male to Male","Latch Lock, Push-Pull","Pull Tab","Round","External","3.28' (1.00m)","-","-"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/8KH3-0734-yyyy.pdf,//media.digikey.com/Photos/3M%20Photos/8KH3-0734-0250.JPG,3M15386-ND,8KH3-0734-0250,3M,CABLE ASSY PCIE X8 M-M 250MM 1=1,101,0,"71.05000","0","1","8KXX","Active","PCIe x8","98","Card Edge to Card Edge","Male to Male","-","Extender","Flat, Twin Axial","Internal","0.82' (250.0mm)","Silver","Shielded"
