Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Style","1st Connector","2nd Connector","Number of Conductors","Cord Type","Wire Gauge","Shielding","Length","Approval Marks","Approved Countries","Color","Voltage Rating","Current Rating (Amps)","Operating Temperature","Features"
//media.digikey.com/pdf/Data%20Sheets/Phihong%20PDFs/AC15WNA.pdf,//media.digikey.com/Photos/Phihong%20USA/AC15WNA.jpg,993-1035-ND,AC15WNA,Phihong USA,CORD 18AWG 1-15P - 320-C7 6',7185,0,"1.79000","0","1","AC15","Active","Male Pins (Blades) to Female Sockets (Slots)","NEMA 1-15P","IEC 320-C7","2","SPT-2","18 AWG","Unshielded","6.00' (1.83m)","CSA, UL","Canada, United States","Black","125V","10A","60°C","-"
//media.digikey.com/pdf/Data%20Sheets/Phihong%20PDFs/AC_Line_Cords.pdf,//media.digikey.com/Photos/Phihong%20USA/AC15WEU.jpg,993-1034-ND,AC15WEU,Phihong USA,CORD CEE 7/16 TO IEC 320-C7 6',1296,0,"2.15000","0","1","AC15","Active","Male Pins (Blades) to Female Sockets (Slots)","CEE 7/16","IEC 320-C7","2","-","-","-","6.00' (1.83m)","CEBEC, DEMKO, FIMKO, IMQ, KEMA, NEMKO, OVE, SEMKO","Austria, Belgium, Denmark, Finland, Italy, Netherlands, Norway, Sweden","Black","250V","-","-","-"
http://www.qualtekusa.com/images/Power%20Cords/PDF%20Files/22100101.pdf,//media.digikey.com/photos/Qualtek%20Photos/221002-01.JPG,Q114-ND,221001-01,Qualtek,CORD 18AWG 1-15P POLRZD - CBL 6',6163,12600,"2.37000","0","1","-","Active","Male Pins (Blades) to Leads","NEMA 1-15P, Polarized","Cable","2","SPT-1","18 AWG","Unshielded","6.00' (1.83m)","cUL, UL","Canada, United States","Black","125V","10A","60°C","-"
http://www.qualtekusa.com/images/Power%20Cords/PDF%20Files/22302001.pdf,//media.digikey.com/photos/Qualtek%20Photos/223020-01.JPG,Q348-ND,223020-01,Qualtek,CORD 18AWG 1-15P - 320-C7 6' BLK,8039,9300,"2.73000","0","1","-","Active","Male Pins (Blades) to Female Sockets (Slots)","NEMA 1-15P","IEC 320-C7","2","SPT-2","18 AWG","Unshielded","6.00' (1.83m)","cUL, UL","Canada, United States","Black","125V","7A","105°C","-"
//media.digikey.com/pdf/Data%20Sheets/Phihong%20PDFs/AC30UNA_Ds.pdf,//media.digikey.com/Photos/Phihong%20USA/AC30UNA.jpg,993-1039-ND,AC30UNA,Phihong USA,CORD NEMA5-15P - IEC 320-C13 6',4666,0,"2.99000","0","1","AC30","Active","Male Pins (Blades) to Female Sockets (Slots)","NEMA 5-15P","IEC 320-C13","3","-","-","-","6.00' (1.83m)","-","United States","Black","125VAC","-","-","-"
http://www.qualtekusa.com/images/Power%20Cords/PDF%20Files/22100201.pdf,//media.digikey.com/photos/Qualtek%20Photos/221002-01.JPG,Q121-ND,221002-01,Qualtek,CORD 18AWG 1-15P POLRZD - CBL 9',5881,8800,"3.08000","0","1","-","Active","Male Pins (Blades) to Leads","NEMA 1-15P, Polarized","Cable","2","SPT-1","18 AWG","Unshielded","9.00' (2.74m)","cUL, UL","Canada, United States","Black","125V","10A","60°C","-"
http://www.tensility.com/pdffiles/11-00021.pdf,//media.digikey.com/Photos/Tensility%20Intl/MFG_11-00021.jpg,839-1184-ND,11-00021,Tensility International Corp,CORD 18AWG NEMA5-15P - CBL 3.28',5058,0,"3.28000","0","1","-","Active","Male Pins (Blades) to Leads","NEMA 5-15P","Cable","3","SVT","18 AWG","Unshielded","3.28' (1.00m)","cUL, UL","Canada, United States","Black","125VAC","10A","105°C","-"
//media.digikey.com/pdf/Data%20Sheets/Phihong%20PDFs/AC_Line_Cords.pdf,//media.digikey.com/Photos/Phihong%20USA/AC30MNA.jpg,993-1037-ND,AC30MNA,Phihong USA,CORD NEMA 5-15P TO IEC 320-C5 6',1768,0,"3.44000","0","1","AC30","Active","Male Pins (Blades) to Female Sockets (Slots)","NEMA 5-15P","IEC 320-C5","3","-","-","-","6.00' (1.83m)","-","United States","Black","125VAC","10A","-","-"
https://www.cui.com/product/resource/digikeypdf/ac-c7_eu.pdf,//media.digikey.com/Photos/CUI%20Photos/AC-C7-EU.jpg,T1167-EU-ND,AC-C7 EU,CUI Inc.,CRD 18AWG CEE7/16 - IEC320-C7 6',3991,0,"3.98000","0","1","-","Active","Male Pins (Blades) to Female Sockets (Slots)","CEE 7/16","IEC 320-C7","2","SPT-2","18 AWG","Unshielded","6.00' (1.83m)","B, CEBEC, DEMKO, ESTI, FIMKO, IMQ, KEMA, NEMKO, NF, OVE, SEMKO, VDE","Austria, Belgium, Denmark, Finland, France, Germany, Italy, Netherlands, Norway, Poland, Sweden, Switzerland","Black","250V","-","105°C","-"
http://www.qualtekusa.com/images/Power%20Cords/PDF%20Files/31100701.pdf,//media.digikey.com/photos/Qualtek%20Photos/311007-01.jpg,Q106-ND,311007-01,Qualtek,CORD 18AWG NEMA5-15P - CBL 6.56',3689,7625,"3.99000","0","1","-","Active","Male Pins (Blades) to Leads","NEMA 5-15P","Cable","3","SVT","18 AWG","Unshielded","6.56' (2.00m)","CSA, UL","Canada, United States","Black","125VAC","10A","60°C","-"
http://www.qualtekusa.com/images/Power%20Cords/PDF%20Files/22302101.pdf,//media.digikey.com/photos/Qualtek%20Photos/223021-01.JPG,Q349-ND,223021-01,Qualtek,CORD 18AWG 1-15P - 320-C7 8' BLK,2527,3000,"4.01000","0","1","-","Active","Male Pins (Blades) to Female Sockets (Slots)","NEMA 1-15P","IEC 320-C7","2","SPT-2","18 AWG","Unshielded","8.00' (2.44m)","cUL, UL","Canada, United States","Black","125V","7A","105°C","-"
//media.digikey.com/pdf/Data%20Sheets/Elpac%20PDFs/67400-185-EB.pdf,//media.digikey.com/Photos/Inventus-Power/67400-185-DB.jpg,EPS614-ND,67400-185-EB,Inventus Power,CORD 18AWG NEMA5-15P - IEC320 6',608,0,"4.03000","0","1","-","Active","Male Pins (Blades) to Female Sockets (Slots)","NEMA 5-15P","IEC 320-C13","3","SVT","18 AWG","Unshielded","6.00' (1.83m)","CSA, UL","Canada, United States","Black","125VAC","10A","60°C","-"
https://www.cui.com/product/resource/digikeypdf/ac-c7_na.pdf,//media.digikey.com/Photos/CUI%20Photos/AC-C7%20NA.jpg,T1166-NA-ND,AC-C7 NA,CUI Inc.,CORD 18AWG 1-15P - 320-C7 6' BLK,3488,0,"4.07000","0","1","-","Active","Male Pins (Blades) to Female Sockets (Slots)","NEMA 1-15P","IEC 320-C7","2","SPT-2","18 AWG","Unshielded","6.00' (1.83m)","CSA, UL","Canada, United States","Black","-","-","105°C","-"
https://assets.tripplite.com/product-pdfs/en/p006001.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_P006001.jpg,TL867-ND,P006-001,Tripp Lite,CORD 18AWG NEMA5-15P - IEC320 1',1331,0,"4.17000","0","1","-","Active","Male Pins (Blades) to Female Sockets (Slots)","NEMA 5-15P","IEC 320-C13","3","SJT","18 AWG","-","1.00' (304.8mm)","UL","United States","Black","125VAC","10A","-","-"
http://www.tensility.com/pdffiles/11-00022.pdf,//media.digikey.com/Photos/Tensility%20Intl/MFG_11-00022.jpg,839-1185-ND,11-00022,Tensility International Corp,CORD 18AWG 5-15P - 320-C13 3.28',10659,0,"4.45000","0","1","-","Active","Male Pins (Blades) to Female Sockets (Slots)","NEMA 5-15P","IEC 320-C13","3","SVT","18 AWG","Unshielded","3.28' (1.00m)","cUL, UL","Canada, United States","Black","125VAC","10A","105°C","-"
