Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Connector Type","Number of Positions","Number of Rows","Pitch - Connector","Pitch - Cable","Length","Features","Color","Shielding","Usage","Cable Termination","Contact Finish","Contact Finish Thickness"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2058943&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2058943-1.jpg,A100192-ND,2058943-1,TE Connectivity AMP Connectors,CABLE ASSY MINI CT 2POS,22157,0,"1.03000","0","1","-","Active","Socket to Individual Wire Leads","2","1","0.059"" (1.50mm)","-","0.521' (158.75mm, 6.25"")","-","Black, Red","Unshielded","Board In","Crimp","Tin","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2058943&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2058943-4.jpg,A100195-ND,2058943-4,TE Connectivity AMP Connectors,CABLE ASSY MINI CT 5POS,12709,0,"1.26000","0","1","-","Active","Socket to Individual Wire Leads","5","1","0.059"" (1.50mm)","-","0.521' (158.75mm, 6.25"")","-","Multiple, Individual","Unshielded","Board In","Crimp","Tin","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2058943&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2058943-3.jpg,A100194-ND,2058943-3,TE Connectivity AMP Connectors,CABLE ASSY MINI CT 4POS,3449,0,"1.44000","0","1","-","Active","Socket to Individual Wire Leads","4","1","0.059"" (1.50mm)","-","0.521' (158.75mm, 6.25"")","-","Multiple, Individual","Unshielded","Board In","Crimp","Tin","-"
http://cnctech.us/pdfs/810-10053-00050.pdf,//media.digikey.com/Photos/CnC%20Tech/810-10053-00050.JPG,1175-1261-ND,810-10053-00050,CNC Tech,CABLE CONNECT INTERNAL DVD .5M,4545,0,"1.76000","0","1","-","Active","Socket to Socket","2","1","0.100"" (2.54mm)","-","1.64' (500.00mm)","-","Black, Individual (Round)","Unshielded","-","Crimp","Brass","-"
https://www.molex.com/pdm_docs/sd/151340203_sd.pdf,//media.digikey.com/Photos/Molex/MFG_Picoblade2.jpg,WM15251-ND,0151340203,Molex,PICOBLADE 2 CIRCUIT 300MM,5653,0,"2.26000","0","1","PicoBlade 15134","Active","Socket to Socket","2","1","0.049"" (1.25mm)","-","0.984' (300.00mm, 11.81"")","Friction Lock","Black, Individual","Unshielded","-","Crimp","Tin","35.4µin (0.90µm)"
https://www.molex.com/pdm_docs/sd/151340401_sd.pdf,//media.digikey.com/Photos/Molex/MFG_Picoblade4.jpg,WM15257-ND,0151340401,Molex,PICOBLADE 4 CIRCUIT 100MM,6238,0,"3.09000","0","1","PicoBlade 15134","Active","Socket to Socket","4","1","0.049"" (1.25mm)","-","0.328' (100.00mm, 3.94"")","Friction Lock","Black, Individual","Unshielded","-","Crimp","Tin","35.4µin (0.90µm)"
https://www.molex.com/pdm_docs/sd/151340402_sd.pdf,//media.digikey.com/Photos/Molex/MFG_Picoblade4.jpg,WM15258-ND,0151340402,Molex,PICOBLADE 4 CIRCUIT 150MM,2288,0,"3.09000","0","1","PicoBlade 15134","Active","Socket to Socket","4","1","0.049"" (1.25mm)","-","0.492' (150.00mm, 5.91"")","Friction Lock","Black, Individual","Unshielded","-","Crimp","Tin","35.4µin (0.90µm)"
https://www.molex.com/pdm_docs/sd/151340403_sd.pdf,//media.digikey.com/Photos/Molex/MFG_Picoblade4.jpg,WM15259-ND,0151340403,Molex,PICOBLADE 4 CIRCUIT 300MM,1515,0,"3.24000","0","1","PicoBlade 15134","Active","Socket to Socket","4","1","0.049"" (1.25mm)","-","0.984' (300.00mm, 11.81"")","Friction Lock","Black, Individual","Unshielded","-","Crimp","Tin","35.4µin (0.90µm)"
https://www.molex.com/pdm_docs/sd/151340600_sd.pdf,//media.digikey.com/Photos/Molex/MFG_Picoblade6.jpg,WM15264-ND,0151340600,Molex,PICOBLADE 6 CIRCUIT 50MM,1714,0,"4.21000","0","1","PicoBlade 15134","Active","Socket to Socket","6","1","0.049"" (1.25mm)","-","0.164' (50.00mm, 1.97"")","Friction Lock","Black, Individual","Unshielded","-","Crimp","Tin","35.4µin (0.90µm)"
https://www.molex.com/pdm_docs/sd/151340801_sd.pdf,//media.digikey.com/Photos/Molex/MFG_Picoblade8.jpg,WM15273-ND,0151340801,Molex,PICOBLADE 8 CIRCUIT 100MM,1099,0,"5.34000","0","1","PicoBlade 15134","Active","Socket to Socket","8","1","0.049"" (1.25mm)","-","0.328' (100.00mm, 3.94"")","Friction Lock","Black, Individual","Unshielded","-","Crimp","Tin","35.4µin (0.90µm)"
http://suddendocs.samtec.com/prints/sfsdx-xx-xxx-xx-xx.xx-xx-xxx-mkt.pdf,//media.digikey.com/photos/Samtec%20Photos/SFSD-05-28-H-10.00-SR.JPG,SAM8668-ND,SFSD-05-28-H-10.00-SR,Samtec Inc.,CABLE ASSY SOCKET 10POS 28AWG,676,0,"5.75000","0","1","Tiger Eye™ SFSD","Active","Socket to Individual Wire Leads","10","2","0.050"" (1.27mm)","-","0.833' (254.00mm, 10.00"")","Latch Lock, Polarizing Key","Black, Individual","Unshielded","-","Crimp","Gold","30.0µin (0.76µm)"
http://suddendocs.samtec.com/prints/ffsd-xx-x-xx.xx-01-x-x-xxx-mkt.pdf,//media.digikey.com/Renders/Samtec%20Renders/FFSD-05-S.jpg,SAM8221-ND,FFSD-05-S-06.00-01-N,Samtec Inc.,CABLE ASSEM .05"" 10PS SGL END 6"",980,0,"6.67000","0","1","Tiger Eye™ FFSD","Active","Socket to Cable","10","2","0.050"" (1.27mm)","0.025"" (0.64mm)","0.500' (152.40mm, 6.00"")","Polarizing Key","Gray, Ribbon","Unshielded","-","IDC","Gold","10.0µin (0.25µm)"
http://suddendocs.samtec.com/prints/sfsdx-xx-xxx-xx-xx.xx-xx-xxx-mkt.pdf,//media.digikey.com/photos/Samtec%20Photos/SFSD-10-28-H-10.00-SR.JPG,SAM8669-ND,SFSD-10-28-H-10.00-SR,Samtec Inc.,CABLE ASSY SOCKET 20POS 28AWG,433,0,"7.86000","0","1","Tiger Eye™ SFSD","Active","Socket to Individual Wire Leads","20","2","0.050"" (1.27mm)","-","0.833' (254.00mm, 10.00"")","Latch Lock, Polarizing Key","Black, Individual","Unshielded","-","Crimp","Gold","30.0µin (0.76µm)"
https://cdn.harwin.com/pdfs/M50-91X.pdf,//media.digikey.com/Photos/Harwin/M50-9100542.jpg,952-2568-ND,M50-9100542,Harwin Inc.,IDC F/F 10POS RIBBON CBL ASSY,1432,0,"7.99000","0","1","Archer M50","Active","Socket to Socket","10","2","0.050"" (1.27mm)","0.025"" (0.64mm)","0.492' (150.00mm, 5.91"")","-","Gray, Ribbon","Unshielded","-","IDC","Gold","-"
http://suddendocs.samtec.com/prints/ffsd-xx-x-xx.xx-01-x-x-xxx-mkt.pdf,"//media.digikey.com/Renders/Samtec%20Renders/FFSD-05-D-xx,xx-01-N.jpg",SAM8777-ND,FFSD-05-D-04.00-01-N,Samtec Inc.,CABLE ASSEMBLY RIBBON 10POS 4"",758,0,"8.59000","0","1","Tiger Eye™ FFSD","Active","Socket to Socket","10","2","0.050"" (1.27mm)","0.025"" (0.64mm)","0.333' (101.60mm, 4.00"")","Polarizing Key","Gray, Ribbon","Unshielded","-","IDC","Gold","10.0µin (0.25µm)"
http://suddendocs.samtec.com/prints/ffsd-xx-x-xx.xx-01-x-x-xxx-mkt.pdf,"//media.digikey.com/Renders/Samtec%20Renders/FFSD-05-D-xx,xx-01-N.jpg",SAM8218-ND,FFSD-05-D-06.00-01-N,Samtec Inc.,CABLE ASSEM .05"" 10POS F-F 6"",4251,0,"8.89000","0","1","Tiger Eye™ FFSD","Active","Socket to Socket","10","2","0.050"" (1.27mm)","0.025"" (0.64mm)","0.500' (152.40mm, 6.00"")","Polarizing Key","Gray, Ribbon","Unshielded","-","IDC","Gold","10.0µin (0.25µm)"
http://suddendocs.samtec.com/prints/ffsd-xx-x-xx.xx-01-x-x-xxx-mkt.pdf,"//media.digikey.com/Renders/Samtec%20Renders/FFSD-05-D-xx,xx-01-N.jpg",SAM8778-ND,FFSD-05-D-08.00-01-N,Samtec Inc.,CABLE ASSEM FLAT 10 POS IDC,373,0,"9.21000","0","1","Tiger Eye™ FFSD","Active","Socket to Socket","10","2","0.050"" (1.27mm)","0.025"" (0.64mm)","0.667' (203.20mm, 8.00"")","Polarizing Key","Gray, Ribbon","Unshielded","-","IDC","Gold","10.0µin (0.25µm)"
http://suddendocs.samtec.com/prints/ffsd-xx-x-xx.xx-01-x-x-xxx-mkt.pdf,"//media.digikey.com/Renders/Samtec%20Renders/FFSD-05-D-xx,xx-01-N.jpg",SAM10473-ND,FFSD-05-D-10.00-01-N,Samtec Inc.,.050 X .050 C.L. FEMALE IDC ASSE,7375,0,"9.52000","0","1","Tiger Eye™ FFSD","Active","Socket to Socket","10","2","0.050"" (1.27mm)","0.025"" (0.64mm)","0.833' (254.00mm, 10.00"")","Polarizing Key","Gray, Ribbon","Unshielded","-","IDC","Gold","10.0µin (0.25µm)"
http://suddendocs.samtec.com/prints/ffmd-xx-x-xx.xx-01-x-x-xxx-mkt.pdf,//media.digikey.com/photos/Samtec%20Photos/FFMD-05-T-%20SERIES.jpg,SAM8574-ND,FFMD-05-T-12.00-01-N,Samtec Inc.,CABLE ASSEM .05"" 10POS M-F 12"",470,0,"9.52000","0","1","Tiger Eye™ FFMD","Active","Socket to Plug","10","2","0.050"" (1.27mm)","0.025"" (0.64mm)","1.00' (304.80mm)","Polarizing Key","Gray, Ribbon","Unshielded","-","IDC","Tin","-"
http://suddendocs.samtec.com/prints/ffsd-xx-x-xx.xx-01-x-x-xxx-mkt.pdf,"//media.digikey.com/Renders/Samtec%20Renders/FFSD-05-D-xx,xx-01-N.jpg",SAM8217-ND,FFSD-05-D-02.00-01-N,Samtec Inc.,CABLE ASSEM .05"" 10POS F-F 2"",1156,0,"9.72000","0","1","Tiger Eye™ FFSD","Active","Socket to Socket","10","2","0.050"" (1.27mm)","0.025"" (0.64mm)","0.167' (50.80mm, 2.00"")","Polarizing Key","Gray, Ribbon","Unshielded","-","IDC","Gold","10.0µin (0.25µm)"
http://suddendocs.samtec.com/prints/ffsd-xx-x-xx.xx-01-x-x-xxx-mkt.pdf,"//media.digikey.com/Renders/Samtec%20Renders/FFSD-06-D-xx,xx-01-N.jpg",SAM8780-ND,FFSD-06-D-10.00-01-N,Samtec Inc.,CABLE ASSEM .05"" 12POS 10"",255,0,"9.81000","0","1","Tiger Eye™ FFSD","Active","Socket to Socket","12","2","0.050"" (1.27mm)","0.025"" (0.64mm)","0.833' (254.00mm, 10.00"")","Polarizing Key","Gray, Ribbon","Unshielded","-","IDC","Gold","10.0µin (0.25µm)"
http://suddendocs.samtec.com/prints/ffsd-xx-x-xx.xx-01-x-x-xxx-mkt.pdf,"//media.digikey.com/Renders/Samtec%20Renders/FFSD-05-D-xx,xx-01-N.jpg",SAM8219-ND,FFSD-05-D-12.00-01-N,Samtec Inc.,CABLE ASSEM .05"" 10POS F-F 12"",1584,0,"9.84000","0","1","Tiger Eye™ FFSD","Active","Socket to Socket","10","2","0.050"" (1.27mm)","0.025"" (0.64mm)","1.00' (304.80mm)","Polarizing Key","Gray, Ribbon","Unshielded","-","IDC","Gold","10.0µin (0.25µm)"
http://suddendocs.samtec.com/prints/tcsd-xx-x-xx.xx-01-x-xxx-xxx-mkt.pdf,//media.digikey.com/Renders/Samtec%20Renders/TCSD-10-D.jpg,SAM8873-ND,TCSD-10-D-06.00-01-N,Samtec Inc.,CABLE ASSEM 2MM 20POS F-F 6"",150,0,"9.88000","0","1","Tiger Eye™ TCSD","Active","Socket to Socket","20","2","0.079"" (2.00mm)","0.039"" (1.00mm)","0.500' (152.40mm, 6.00"")","Polarizing Key","Gray, Ribbon","Unshielded","-","IDC","Gold","30.0µin (0.76µm)"
http://suddendocs.samtec.com/prints/ffsd-xx-x-xx.xx-01-x-x-xxx-mkt.pdf,"//media.digikey.com/Renders/Samtec%20Renders/FFSD-05-D-xx,xx-01-N.jpg",SAM8899-ND,FFSD-05-D-03.00-01-N,Samtec Inc.,CABLE ASSEM .05"" 10POS 3"",326,0,"9.92000","0","1","Tiger Eye™ FFSD","Active","Socket to Socket","10","2","0.050"" (1.27mm)","0.025"" (0.64mm)","0.250' (76.20mm, 3.00"")","Polarizing Key","Gray, Ribbon","Unshielded","-","IDC","Gold","10.0µin (0.25µm)"
http://suddendocs.samtec.com/prints/ffsd-xx-x-xx.xx-01-x-x-xxx-mkt.pdf,"//media.digikey.com/Renders/Samtec%20Renders/FFSD-10-D-xx,xx-01-N.jpg",SAM8223-ND,FFSD-10-D-02.00-01-N,Samtec Inc.,CABLE ASSEM .05"" 20POS F-F 2"",483,0,"10.08000","0","1","Tiger Eye™ FFSD","Active","Socket to Socket","20","2","0.050"" (1.27mm)","0.025"" (0.64mm)","0.167' (50.80mm, 2.00"")","Polarizing Key","Gray, Ribbon","Unshielded","-","IDC","Gold","10.0µin (0.25µm)"
