Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Usage","Convert From (Adapter End)","Convert To (Adapter End)","Length","Shielding"
//media.digikey.com/pdf/Data%20Sheets/FTDI%20Chip%20PDFs/US232%20Manual%20and%20Guide.pdf,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/US232B-100-KIT.jpg,768-1299-ND,US232B-100-KIT,"FTDI, Future Technology Devices International Ltd",USB CABLES / IEEE 1394 CABLES US,902,0,"7.00000","0","1","-","Active","USB to RS232","USB - A, Plug","D-Sub, 9 Pin Male","3.28' (1.00m)","-"
http://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_Chipi-X.pdf,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/MFG_CHIPI-X10.jpg,768-1138-ND,CHIPI-X10,"FTDI, Future Technology Devices International Ltd",CABLE USB RS232 10CM DB9,2155,0,"15.00000","0","1","Chipi-X","Active","USB to RS232","USB - A, Plug","D-Sub, 9 Pin Male","0.33' (100.0mm)","Shielded"
http://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_TTL-232R_RPi.pdf,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/MFG_TTL-232R-RPI.jpg,768-1204-ND,TTL-232R-RPI,"FTDI, Future Technology Devices International Ltd",CABLE USB-SERIAL RASPBERRYPI,1966,0,"16.86000","0","1","USBmadeEZ-UART","Active","USB to UART, Raspberry Pi (RPi)","USB - A, Plug","Single Pole, 3 Female Sockets","3.28' (1.00m)","Unshielded"
http://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_TTL234X%20SERIES%20RANGE%20OF%20CABLES.pdf,//media.digikey.com/Photos/FTDI%20%28Future%20Tech%20Devices%29/MFG_TTL234X.jpg,768-1325-ND,TTL-234X-5V-WE,"FTDI, Future Technology Devices International Ltd",CABLE USB TO UART 5V WIRE,298,0,"18.00000","0","1","*","Active","-","-","-","-","-"
https://assets.tripplite.com/product-pdfs/en/u209000r.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_U209-000-R.jpg,TL377-ND,U209-000-R,Tripp Lite,ADAPTER USB TO SERIAL 5',256,0,"18.45000","0","1","-","Active","USB to RS232","USB - A, Plug","D-Sub, 9 Pin Male","5.00' (1.52m)","Shielded"
http://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_UC232R.pdf,//media.digikey.com/photos/FTDI%20(Future%20Tech%20Devices)/UC232R-10%20CHIPI.jpg,768-1014-ND,UC232R-10,"FTDI, Future Technology Devices International Ltd",CABLE USB RS232 EMBEDDED 10CM,1073,0,"19.13000","0","1","UC232R","Active","USB to RS232","USB - A, Plug","D-Sub, 9 Pin Male","0.33' (100.0mm)","Shielded"
http://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_TTL-232RG_CABLES.pdf,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/TTL-232RG-VIP-WE.jpg,768-1069-ND,TTL-232RG-VIP-WE,"FTDI, Future Technology Devices International Ltd",CABLE USB SERIAL USER CFG IO LVL,1127,0,"19.45000","0","1","USBmadeEZ-UART","Active","USB to TTL Serial","USB - A, Plug","Cable, 6 Wire Leads","5.90' (1.80m)","Unshielded"
http://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_TTL-232RG_CABLES.pdf,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/TTL-232RG-VIP-WE.jpg,768-1072-ND,TTL-232RG-VSW3V3-WE,"FTDI, Future Technology Devices International Ltd",CABLE USB SERIAL 3.3V WIRE 50MA,1189,0,"21.07000","0","1","USBmadeEZ-UART","Active","USB to TTL Serial 3.3V","USB - A, Plug","Cable, 6 Wire Leads","5.90' (1.80m)","Unshielded"
https://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_TTL-232R_CABLES.pdf,//media.digikey.com/photos/FTDI%20(Future%20Tech%20Devices)/TTL-232R-3V3.jpg,768-1015-ND,TTL-232R-3V3,"FTDI, Future Technology Devices International Ltd",CABLE USB EMBD UART 3.3V .1""HDR,3200,0,"21.25000","0","1","USBmadeEZ-UART","Active","USB to TTL Serial 3.3V","USB - A, Plug","Rectangular Connector, Female Sockets, 6 pos, 0.1""","5.90' (1.80m)","Unshielded"
https://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_TTL-232R_CABLES.pdf,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/TTL-232RG-VIP-WE.jpg,768-1016-ND,TTL-232R-3V3-WE,"FTDI, Future Technology Devices International Ltd",CABLE USB EMBD UART 3.3V WIRED,2153,0,"21.25000","0","1","USBmadeEZ-UART","Active","USB to TTL Serial 3.3V","USB - A, Plug","Cable, 6 Wire Leads","5.90' (1.80m)","Unshielded"
https://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_TTL-232R_CABLES.pdf,//media.digikey.com/photos/FTDI%20(Future%20Tech%20Devices)/TTL-232R-5V-WE.JPG,768-1029-ND,TTL-232R-5V-WE,"FTDI, Future Technology Devices International Ltd",CABLE USB EMBD UART 5V WIRED,1678,0,"21.25000","0","1","USBmadeEZ-UART","Active","USB to TTL Serial 5V","USB - A, Plug","Cable, 6 Wire Leads","5.90' (1.80m)","Unshielded"
https://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_TTL-232R_CABLES.pdf,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/MFG_TTL-232-AJ.jpg,768-1098-ND,TTL-232R-3V3-AJ,"FTDI, Future Technology Devices International Ltd",CABLE USB SERIAL 3.3V 3.5MM PLUG,1087,0,"21.25000","0","1","USBmadeEZ-UART","Active","USB to TTL Serial 3.3V","USB - A, Plug","Phone Plug, Stereo, 3.50mm (1/8"")","5.90' (1.80m)","Unshielded"
https://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_TTL-232R_CABLES.pdf,//media.digikey.com/photos/FTDI%20(Future%20Tech%20Devices)/TTL-232R-5V.JPG,768-1028-ND,TTL-232R-5V,"FTDI, Future Technology Devices International Ltd",CABLE USB EMBD UART 5V .1""HDR,458,0,"21.25000","0","1","USBmadeEZ-UART","Active","USB to TTL Serial 5V","USB - A, Plug","Rectangular Connector, Female Sockets, 6 pos, 0.1""","5.90' (1.80m)","Unshielded"
https://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_TTL-232R_CABLES.pdf,//media.digikey.com/Photos/FTDI%20%28Future%20Tech%20Devices%29/TTL-232R-5V-AJ.jpg,768-1068-ND,TTL-232R-5V-AJ,"FTDI, Future Technology Devices International Ltd",CABLE USB SERIAL 5V 3.5MM PLUG,119,0,"21.25000","0","1","USBmadeEZ-UART","Active","USB to TTL Serial 5V","USB - A, Plug","Phone Plug, Stereo, 3.50mm (1/8"")","5.90' (1.80m)","Unshielded"
http://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_US232R-10_R-100.pdf,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/US232R-10-BULK.JPG,768-1013-ND,US232R-10-BULK,"FTDI, Future Technology Devices International Ltd",CABLE USB RS232 EMBEDED 10CM LED,1280,0,"22.00000","0","1","US232R","Active","USB to RS232","USB - A, Plug","D-Sub, 9 Pin Male","0.33' (100.0mm)","Shielded"
http://www.assmann-wsw.com/fileadmin/datasheets/DA-70119.pdf,//media.digikey.com/photos/Assmann%20Photos/MFG_DA-70119-R.jpg,AE1324-ND,DA-70119,Assmann WSW Components,ADAPTER USB-SERIAL DB9/25 MALE,214,0,"22.20000","0","1","Digitus®","Active","USB to RS232","USB - A, Plug","D-Sub, 9 Pin Male","5.90' (1.80m)","Shielded"
http://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_TTL-232RG_CABLES.pdf,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/TTL-232RG-VSW5V-WE.JPG,768-1096-ND,TTL-232RG-VSW5V-WE,"FTDI, Future Technology Devices International Ltd",CABLE USB SERIAL 5V WIRE 450MA,350,0,"22.25000","0","1","USBmadeEZ-UART","Active","USB to TTL Serial 5V","USB - A, Plug","Cable, 6 Wire Leads","5.90' (1.80m)","Unshielded"
