Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Number of Lines","Cable Length - Unexposed","Features"
https://katalog.we-online.de/pbs/datasheet/74273703.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_Earthingbelt.jpg,732-10303-ND,74273703,Wurth Electronics Inc.,EARTHING BELT,165,0,"4.40000","0","1","-","Active","Earthing Belt","-","0.49' (0.15m) 5.91""","-"
https://katalog.we-online.de/pbs/datasheet/74273704.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_Earthingbelt.jpg,732-10304-ND,74273704,Wurth Electronics Inc.,EARTHING BELT,1869,0,"5.50000","0","1","-","Active","Earthing Belt","-","0.67' (0.20m) 7.87""","-"
https://katalog.we-online.de/pbs/datasheet/74273702.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_Earthingbelt.jpg,732-10302-ND,74273702,Wurth Electronics Inc.,EARTHING BELT,306,0,"4.40000","0","1","-","Active","Earthing Belt","-","0.33' (0.10m) 3.94""","-"
https://katalog.we-online.de/pbs/datasheet/74273713.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_Earthingbelt.jpg,732-10307-ND,74273713,Wurth Electronics Inc.,EARTHING BELT,214,0,"4.84000","0","1","-","Active","Earthing Belt","-","0.49' (0.15m) 5.91""","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/435_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_435_A.JPG,1528-1773-ND,435,Adafruit Industries LLC,PASSIVE POE INJECTOR CABLE SET,321,0,"5.95000","0","1","-","Active","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2777_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2778.jpg,1528-2430-ND,2778,Adafruit Industries LLC,DC BOOSTER CABLE,133,0,"6.50000","0","1","-","Active","USB TO 2.1mm DC Barrel Jack - 12V","4","3.92' (1.19m) 47.0""","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2829724&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2829724-1.jpg,A126507-ND,2829724-1,TE Connectivity AMP Connectors,"CABLE ASSEMBLY, GROUND CLIP 4 IN",9876,0,"0.58000","0","1","-","Active","Ground Clip to Wire","1","0.33' (0.10m) 3.94""","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2829724&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2829724-1.jpg,A126508-ND,2829724-2,TE Connectivity AMP Connectors,"CABLE ASSEMBLY, GROUND CLIP 6 IN",9955,0,"3.18000","0","1","-","Active","Ground Clip to Wire","1","0.50' (0.15m) 6.00""","-"
-,-,A142174-ND,2213759-1,TE Connectivity AMP Connectors,JUMPER ASSEMBLY PV4S 1.5KV 300MM,504,0,"3.90000","0","1","Solarlok","Active","Photovoltaic Pin Connector to Photovoltaic Socket Connector","1","0.98' (0.30m) 11.81""","-"
-,-,A142175-ND,2213759-3,TE Connectivity AMP Connectors,JUMPER ASSEMBLY PV4S 1.5KV 500MM,432,0,"4.30000","0","1","Solarlok","Active","Photovoltaic Pin Connector to Photovoltaic Socket Connector","1","1.64' (0.50m) 19.69""","-"
-,-,A142176-ND,2213759-8,TE Connectivity AMP Connectors,JUMPER ASSEMBLY PV4S 1.5KV 1M,336,0,"5.08000","0","1","Solarlok","Active","Photovoltaic Pin Connector to Photovoltaic Socket Connector","1","3.28' (1.00m) 39.4""","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2323857&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/2323858-1.JPG,A126756-ND,2323857-1,TE Connectivity AMP Connectors,"CA, 50A TRIBUTARY GENERICAL",500,0,"17.64000","0","1","-","Active","Power Contacts to Screw Terminals","4","0.79' (0.24m) 9.45""","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2311291&DocType=Customer+Drawing&DocLang=English,-,A132527-ND,2311291-1,TE Connectivity AMP Connectors,"CA, BUSBAR MATING TO CORD END TM",446,0,"31.13000","0","1","OCP","Active","CCJ Connector to Ferrule (2)","2","0.28' (0.08m) 3.31""","-"
https://katalog.we-online.de/pbs/datasheet/74273712.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_Earthingbelt.jpg,732-10306-ND,74273712,Wurth Electronics Inc.,EARTHING BELT,94,0,"4.40000","0","1","-","Active","Earthing Belt","-","0.33' (0.10m) 3.94""","-"
https://katalog.we-online.de/pbs/datasheet/74273701.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_Earthingbelt.jpg,732-10301-ND,74273701,Wurth Electronics Inc.,EARTHING BELT,87,0,"4.40000","0","1","-","Active","Earthing Belt","-","0.16' (0.05m) 1.97""","-"
https://katalog.we-online.de/pbs/datasheet/74273711.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_Earthingbelt.jpg,732-10305-ND,74273711,Wurth Electronics Inc.,EARTHING BELT,58,0,"3.98000","0","1","-","Active","Earthing Belt","-","0.16' (0.05m) 1.97""","-"
https://katalog.we-online.de/pbs/datasheet/74273714.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_Earthingbelt.jpg,732-10308-ND,74273714,Wurth Electronics Inc.,EARTHING BELT,73,0,"5.61000","0","1","-","Active","Earthing Belt","-","0.67' (0.20m) 7.87""","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2159562&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/2159562-1.JPG,A123694-ND,2159562-1,TE Connectivity AMP Connectors,"CABLE ASSY, PRESS FIT POWER,FB.",43,0,"17.63000","0","1","-","Active","MBXLE Plug to Rectangular WTB Connector","2","0.56' (0.17m) 6.69""","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2159443&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2159443-1.JPG,A123695-ND,2159443-1,TE Connectivity AMP Connectors,"CABLE ASSY,SLED POWER,FB.",50,0,"18.50000","0","1","-","Active","MBXLE Plug to MBXLE Receptacle","2","0.51' (0.16m) 6.10""","-"
https://b2b.harting.com/files/download/PRD/PDF_TS/094572513XX_100155668DRW008B.pdf,//media.digikey.com/Photos/Harting/09457251351.jpg,1195-4852-ND,09457251351,HARTING,RJI CABLE IP67 HYBRID PCRAN 10M,13,0,"162.59000","0","1","-","Active","RJ45 Plug and Power Contacts to RJ45 Plug and Power Contacts","8","32.81' (10.00m) 394""","Shielded"
