Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Cable Type","Cable Group","Wire Gauge","Conductor Strand","Jacket (Insulation) Material","Jacket (Insulation) Diameter","Shield Type","Impedance","Length","Jacket Color","Usage","Features"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2524E0114&DocType=Customer+Drawing&DocLang=English,-,A132371-DS-ND,2524E0114-9,"TE Connectivity Aerospace, Defense and Marine",COAX CABLE-TWINAXIAL FEET,9003,0,"5.52000","0","1","CHEMINAX","Active","Twinaxial","-","24 AWG","19 Strands / 36 AWG","Polyvinylidene Fluoride (PVDF)","0.179"" (4.55mm)","Braid","125 Ohms","Digi-Spool™, Continuous Spool","White","RF Signal","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2024D1314&DocType=Customer+Drawing&DocLang=English,-,A132346-DS-ND,2024D1314-0,"TE Connectivity Aerospace, Defense and Marine",COAX CABLE-TWINAXIAL FEET,3593,0,"6.68000","0","1","CHEMINAX","Active","Twinaxial","-","24 AWG","19 Strands / 36 AWG","Thermorad® S","0.183"" (4.65mm)","Braid","120 Ohms","Digi-Spool™, Continuous Spool","Black","-","-"
http://www.alphawire.com/Home/Products/Cable/Alpha-Essentials/Coaxial-Cable/9174?device=pdf,//media.digikey.com/photos/Alpha%20Wire%20Photos/9174%20SERIES.jpg,A307-100-ND,9174 BK005,Alpha Wire,CABLE COAXIAL RG174 26AWG 100',129,0,"59.04000","0","1","-","Active","Coaxial","RG-174","26 AWG (0.14mm²)","7 Strands / 34 AWG","Poly-Vinyl Chloride (PVC)","0.100"" (2.54mm)","Braid","50 Ohms","100.0' (30.48m)","Black","-","-"
https://catalog.belden.com/techdata/EN/83265_techdata.pdf,//media.digikey.com/Photos/Belden/MFG_9954.jpg,BEL1301-100-ND,83265 009100,Belden Inc.,CABLE COAX 30 AWG 100',56,0,"161.98000","0","1","-","Active","Coaxial","-","30 AWG","7 Strands / 38 AWG","Fluorinated Ethylene-Propylene (FEP)","0.071"" (1.80mm)","Braid","50 Ohms","100.0' (30.48m)","White","-","-"
//media.digikey.com/pdf/Data%20Sheets/Alpha%20Wire%20PDFs/Coaxial%20Cable%20Systems%20non-plenum.pdf,//media.digikey.com/photos/Alpha%20Wire%20Photos/9179B%20SERIES.jpg,A317-100-ND,9179B BR005,Alpha Wire,CABLE COAXIAL RG179B 30AWG 100',145,0,"213.01000","0","1","-","Active","Coaxial","RG-179B","30 AWG (0.06mm²)","7 Strands / 38 AWG","Fluorinated Ethylene-Propylene (FEP)","0.100"" (2.54mm)","Braid","75 Ohms","100.0' (30.48m)","Brown","-","-"
https://html5.dcatalog.com/?docid=8e9daddd-82b0-4ed4-a656-a8aa011ea6d3#page=162,//media.digikey.com/photos/General%20Cable%20Photos/C1156.21.01.JPG,C1156-1000-ND,C1156.41.01,General Cable/Carol Brand,CABLE COAXIAL RG174 26AWG 1000',52,0,"213.84000","0","1","-","Active","Coaxial","RG-174","26 AWG (0.14mm²)","7 Strands / 34 AWG","Poly-Vinyl Chloride (PVC)","0.103"" (2.62mm)","Braid","50 Ohms","1000.0' (304.80m)","Black","RF Signal, Video","-"
http://www.alphawire.com/Home/Products/Cable/Alpha-Essentials/Coaxial-Cable/9316?device=pdf,//media.digikey.com/photos/Alpha%20Wire%20Photos/9316%20SERIES.jpg,A315-100-ND,9316 BR005,Alpha Wire,CABLE COAXIAL RG316 25AWG 100',65,0,"215.67000","0","1","-","Active","Coaxial","RG-316","25 AWG","7 Strands / 0.0067""","Fluorinated Ethylene-Propylene (FEP)","0.098"" (2.48mm)","Braid","50 Ohms","100.0' (30.48m)","Brown","-","-"
http://www.alphawire.com/~/media/Technical%20Information%20PDFs/AL_Micro%20Coax%20final.ashx,//media.digikey.com/Photos/Alpha%20Wire%20Photos/MFG_Micro-Coax.jpg,A9436W-328-ND,9436 WH033,Alpha Wire,CABLE MICRO COAX 36AWG 328.1',48,71,"254.52000","0","1","-","Active","Micro Coaxial","-","36 AWG","7 Strands / 44 AWG","Perfluoroalkoxy (PFA)","0.021"" (0.53mm)","Spiral","50 Ohms","328.1' (100.00m)","White","-","-"
http://www.alphawire.com/~/media/Technical%20Information%20PDFs/AL_Micro%20Coax%20final.ashx,//media.digikey.com/Photos/Alpha%20Wire%20Photos/MFG_Micro-Coax.jpg,A9438W-328-ND,9438 WH033,Alpha Wire,CABLE MICRO COAX 38AWG 328.1',61,69,"279.49000","0","1","-","Active","Micro Coaxial","-","38 AWG","7 Strands / 46 AWG","Perfluoroalkoxy (PFA)","0.018"" (0.46mm)","Spiral","50 Ohms","328.1' (100.00m)","White","-","-"
https://html5.dcatalog.com/?docid=8e9daddd-82b0-4ed4-a656-a8aa011ea6d3#page=153,//media.digikey.com/Photos/General%20Cable%20Photos/C1166.18.01.jpg,W300-1000-ND,C1166.41.01,General Cable/Carol Brand,CABLE COAXIAL RG58 20AWG 1000',30,0,"284.98000","0","1","-","Active","Coaxial","RG-58","20 AWG (0.52mm²)","Solid","Poly-Vinyl Chloride (PVC)","0.195"" (4.95mm)","Braid","50 Ohms","1000.0' (304.80m)","Black","Network, RF Signal","-"
http://www.alphawire.com/Home/Products/Cable/Alpha-Essentials/Coaxial-Cable/9178B?device=pdf,//media.digikey.com/photos/Alpha%20Wire%20Photos/9178B%20SERIES.jpg,A316-100-ND,9178B CL005,Alpha Wire,CABLE COAXIAL RG178B 30AWG 100',34,0,"384.60000","0","1","-","Active","Coaxial","RG-178B","30 AWG (0.06mm²)","7 Strands / 38 AWG","Fluorinated Ethylene-Propylene (FEP)","0.071"" (1.80mm)","Braid","50 Ohms","100.0' (30.48m)","Natural","-","-"
https://www.timesmicrowave.com/DataSheets/CableProducts/LMR-400.pdf,//media.digikey.com/Photos/Times-Microwave-Systems/MFG_LMR-400.jpg,1946-1064-500-ND,LMR-400,Amphenol Times Microwave Systems,CABLE LMR-400 BLACK PE 500',29,0,"512.00000","0","1","-","Active","Coaxial","LMR-400","-","Solid","Polyethylene (PE)","0.405"" (10.29mm)","Braid","50 Ohms","500.0' (152.40m)","Black","-","-"
http://www.alphawire.com/~/media/Technical%20Information%20PDFs/AL_Micro%20Coax%20final.ashx,//media.digikey.com/Photos/Alpha%20Wire%20Photos/MFG_Micro-Coax.jpg,A9432W-328-ND,9432 WH033,Alpha Wire,CABLE MICRO COAX 32AWG 328.1',40,47,"596.35000","0","1","-","Active","Micro Coaxial","-","32 AWG","7 Strands / 40 AWG","Perfluoroalkoxy (PFA)","0.044"" (1.12mm)","Braid","50 Ohms","328.1' (100.00m)","White","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2021D0309&DocType=Customer+Drawing&DocLang=English,-,A129602-DS-ND,2021D0309-0,"TE Connectivity Aerospace, Defense and Marine",2021D0309-0 FEET,3165,0,"2.23000","0","1","CHEMINAX","Active","Twinaxial","-","20 AWG","19 Strands / 0.0075""","Thermorad® F","0.294"" (7.47mm)","-","-","Digi-Spool™, Continuous Spool","Black","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=0026A0024&DocType=Customer+Drawing&DocLang=English,-,A132339-DS-ND,0026A0024-9X,"TE Connectivity Aerospace, Defense and Marine",CABLE TWINAXIAL 26AWG 2500',4076,0,"6.18000","0","1","-","Active","Twinaxial","-","26 AWG","19 Strands / 38 AWG","Fluorinated Ethylene-Propylene (FEP)","0.135"" (3.43mm)","Braid","100 Ohms","Digi-Spool™, Continuous Spool","White","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=10612&DocType=Customer+Drawing&DocLang=English,-,A132096-DS-ND,10612-24-9,"TE Connectivity Aerospace, Defense and Marine",10612-24-9 FEET,1505,0,"7.47000","0","1","CHEMINAX","Active","Twinaxial","-","24 AWG","19 Strands / 36 AWG","Ethylene Tetrafluoroethylene (ETFE)","0.129"" (3.28mm)","Braid","77 Ohms","Digi-Spool™, Continuous Spool","White","-","-"
//media.digikey.com/pdf/Data%20Sheets/Belden%20PDFs/9272_Series(in).pdf,//media.digikey.com/Photos/Belden/9272-006100.JPG,BEL1858-100-ND,9272 006100,Belden Inc.,CABLE TWINAXIAL 20AWG 78 OHM 100,30,0,"197.33000","0","1","-","Active","Twinaxial","-","20 AWG","7 Strands / 28 AWG","Poly-Vinyl Chloride (PVC)","0.244"" (6.20mm)","Braid","78 Ohms","100.0' (30.48m)","Blue","-","-"
https://catalog.belden.com/techdata/EN/8240_techdata.pdf,//media.digikey.com/Photos/Belden/MFG_8240-010xxx.jpg,BEL1294-500-ND,8240 010500,Belden Inc.,CABLE COAX RG-58A/U 20 AWG 500',30,0,"275.08000","0","1","-","Active","Coaxial","RG-58A","20 AWG","Solid","Poly-Vinyl Chloride (PVC)","0.193"" (4.90mm)","Braid","52 Ohms","500.0' (152.40m)","Black","-","-"
https://catalog.belden.com/techdata/EN/8262_techdata.pdf,//media.digikey.com/Photos/Belden/MFG_8262-010x00.jpg,BEL1299-500-ND,8262 010500,Belden Inc.,CABLE COAX RG-58A/U 20 AWG 500',44,0,"383.87000","0","1","-","Active","Coaxial","-","20 AWG","19 Strands / 33 AWG","Non Contaminating Poly-Vinyl Chloride (PVC)","0.195"" (4.95mm)","Braid","50 Ohms","500.0' (152.40m)","Black","-","-"
https://catalog.belden.com/techdata/EN/7806A_techdata.pdf,//media.digikey.com/Photos/Belden/MFG_7806A-010x00(0).jpg,BEL1286-1000-ND,7806A 0101000,Belden Inc.,CABLE COAX RG-58 19 AWG 1000',39,0,"866.88000","0","1","-","Active","Coaxial","RG-58","19 AWG","Solid","Polyethylene (PE)","0.195"" (4.95mm)","Foil, Braid","50 Ohms","1000.0' (304.80m)","Black","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2019E0309&DocType=Customer+Drawing&DocLang=English,-,A132345-DS-ND,2019E0309-0,"TE Connectivity Aerospace, Defense and Marine",COAX - AUTOMOTIVE FEET,3382,0,"2.01000","0","1","-","Active","Twinaxial","-","19 AWG","19 Strands / 0.0091""","Thermorad® F","0.228"" (5.79mm)","-","120 Ohms","Digi-Spool™, Continuous Spool","Black","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2018D0309&DocType=Customer+Drawing&DocLang=English,-,2018D0309-0-DS-ND,2018D0309-0,TE Connectivity Raychem Cable Protection,COAX - AUTOMOTIVE FEET,4084,0,"2.67000","0","1","-","Active","Twinaxial","-","18 AWG","19 Strands / 0.0092""","Thermorad® F","0.268"" (6.81mm)","-","120 Ohms","Digi-Spool™, Continuous Spool","Black","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2019D0309&DocType=Customer+Drawing&DocLang=English,-,A132344-DS-ND,2019D0309-0,"TE Connectivity Aerospace, Defense and Marine",COAX - AUTOMOTIVE FEET,2743,0,"5.00000","0","1","CHEMINAX","Active","Twinaxial","-","19 AWG","19 Strands / 0.0091""","Thermorad® F","0.388"" (9.86mm)","Foil","120 Ohms","Digi-Spool™, Continuous Spool","Black","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=7528A5314&DocType=Customer+Drawing&DocLang=English,-,A132110-DS-ND,7528A5314-0,"TE Connectivity Aerospace, Defense and Marine",7528A5314-0 FEET,2268,0,"5.58000","0","1","-","Active","Triaxial","-","28 AWG","7 Strands / 36 AWG","Thermorad® S","0.139"" (3.53mm)","Double Braid","75 Ohms","Digi-Spool™, Continuous Spool","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=7824E0422&DocType=Customer+Drawing&DocLang=English,-,A132406-DS-ND,7824E0422-9X,"TE Connectivity Aerospace, Defense and Marine",COAX CABLE-HIGH PERFO FEET,2426,0,"5.74000","0","1","CHEMINAX","Active","Twinaxial","-","24 AWG","19 Strands / 36 AWG","Fluorinated Ethylene-Propylene (FEP)","0.135"" (3.43mm)","Braid","78 Ohms","Digi-Spool™, Continuous Spool","White","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=7522D5311&DocType=Customer+Drawing&DocLang=English,-,A132404-DS-ND,7522D5311-0,"TE Connectivity Aerospace, Defense and Marine",COAX CABLE-STANDARD P FEET,2727,0,"7.36000","0","1","CHEMINAX","Active","Triaxial","-","22 AWG","19 Strands / 34 AWG","Thermorad®","0.252"" (6.40mm)","Double Braid","75 Ohms","Digi-Spool™, Continuous Spool","Black","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=10613&DocType=Customer+Drawing&DocLang=English,-,A132097-DS-ND,10613-24-9,"TE Connectivity Aerospace, Defense and Marine",10613-24-9 FEET,2283,0,"9.16000","0","1","CHEMINAX","Active","Twinaxial","-","24 AWG","19 Strands / 36 AWG","Ethylene Tetrafluoroethylene (ETFE)","0.146"" (3.71mm)","Double Braid","-","Digi-Spool™, Continuous Spool","White","-","-"
https://www.belfuse.com/resources/Trompeter/Drawings/dr-TRC-50-1.pdf,//media.digikey.com/Photos/Cinch%20Connectivity%20Solutions%20Johnson/TRC-50-1.jpg,1097-1354-ND,TRC-50-1,Cinch Connectivity Solutions Trompeter,CABLE TRIAXIAL 500',60,0,"378.00000","0","1","-","Active","Triaxial","-","-","7 Strands / 36 AWG","Poly-Vinyl Chloride (PVC)","0.156"" (3.96mm)","Braid","50 Ohms","500.0' (152.40m)","Yellow","-","-"
-,-,710N101-ND,710N101,Cicoil,TWINAX GLIDERITE COATED 32AWG,1000,0,"7.87000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-","-","-"
https://catalog.belden.com/techdata/EN/8216_techdata.pdf,//media.digikey.com/Photos/Belden/MFG_9259010500.jpg,BEL1288-100-ND,8216 010100,Belden Inc.,CABLE COAX RG-174U 26 AWG 100',67,0,"79.77000","0","1","-","Active","Coaxial","RG-174","26 AWG","7 Strands / 34 AWG","Poly-Vinyl Chloride (PVC)","0.110"" (2.79mm)","Braid","50 Ohms","100.0' (30.48m)","Black","-","-"
https://catalog.belden.com/techdata/EN/83284_techdata.pdf,//media.digikey.com/Photos/Belden/MFG_9954.jpg,BEL1305-100-ND,83284 009100,Belden Inc.,CABLE COAX 26 AWG 100',22,0,"244.14000","0","1","-","Active","Coaxial","-","26 AWG","7 Strands / 34 AWG","Fluorinated Ethylene-Propylene (FEP)","0.098"" (2.48mm)","Braid","50 Ohms","100.0' (30.48m)","White","-","-"
https://catalog.belden.com/techdata/EN/8216_techdata.pdf,//media.digikey.com/Photos/Belden/MFG_9259010500.jpg,BEL1290-500-ND,8216 010500,Belden Inc.,CABLE COAX RG-174U 26 AWG 500',9,0,"256.61000","0","1","-","Active","Coaxial","RG-174","26 AWG","7 Strands / 34 AWG","Poly-Vinyl Chloride (PVC)","0.110"" (2.79mm)","Braid","50 Ohms","500.0' (152.40m)","Black","-","-"
-,//media.digikey.com/Photos/Belden/84316-001100.jpg,BEL1307-100-ND,84316 001100,Belden Inc.,CABLE COAX 26 AWG 100',21,0,"286.25000","0","1","-","Active","Coaxial","-","26 AWG","7 Strands / 34 AWG","Fluorinated Ethylene-Propylene (FEP)","0.096"" (2.44mm)","Braid","50 Ohms","100.0' (30.48m)","Brown","-","-"
https://www.timesmicrowave.com/DataSheets/CableProducts/LMR-195.pdf,//media.digikey.com/Photos/Times-Microwave-Systems/MFG_LMR-195.jpg,1946-1058-500-ND,LMR-195,Amphenol Times Microwave Systems,CABLE LMR-195 BLACK PE 500',16,0,"297.00000","0","1","-","Active","Coaxial","LMR-195","-","Solid","Polyethylene (PE)","0.195"" (4.95mm)","Braid","50 Ohms","500.0' (152.40m)","Black","-","-"
https://catalog.belden.com/techdata/EN/9221_techdata.pdf,//media.digikey.com/Photos/Belden/MFG_9221-010x00.jpg,BEL1319-500-ND,9221 010500,Belden Inc.,CABLE MIN COAX 30 AWG 500',22,0,"342.55000","0","1","-","Active","Coaxial","-","30 AWG","7 Strands / 38 AWG","Poly-Vinyl Chloride (PVC)","0.097"" (2.46mm)","Braid","75 Ohms","500.0' (152.40m)","Black","-","-"
https://html5.dcatalog.com/?docid=8e9daddd-82b0-4ed4-a656-a8aa011ea6d3#page=153,//media.digikey.com/Photos/General%20Cable%20Photos/C1178.jpg,C1188-1000-ND,C1188.21.01,General Cable/Carol Brand,CABLE COAXIAL RG58A 20AWG 1000',3,0,"385.72000","0","1","-","Active","Coaxial","RG-58A","20 AWG (0.62mm²)","19 Strands / 32 AWG","Poly-Vinyl Chloride (PVC)","0.195"" (4.95mm)","Braid","50 Ohms","1000.0' (304.80m)","Black","Network, RF Signal","-"
https://catalog.belden.com/techdata/EN/7805R_techdata.pdf,//media.digikey.com/Photos/Belden/MFG_7805R-008500.jpg,BEL1285-500-ND,7805R 008500,Belden Inc.,CABLE COAX RG-174 24.5 AWG 500',6,0,"405.37000","0","1","-","Active","Coaxial","RG-174","24.5 AWG","Solid","Poly-Vinyl Chloride (PVC)","0.110"" (2.79mm)","Foil, Braid","50 Ohms","500.0' (152.40m)","Gray","-","-"
