Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Style","Type","Length","Core Diameter","Cladding Diameter","Jacket (Insulation) Material","Jacket (Insulation) Diameter","Tensile Strength","Attenuation - Typ","Refractive Index - Core","Refractive Index - Cladding","Jacket Color","Ratings","Features"
https://docs.broadcom.com/docs/AV02-1508EN,//media.digikey.com/Photos/Avago%20Tech%20Photos/HFBR-RUS100Z.JPG,516-2095-ND,HFBR-RUS100Z,Broadcom Limited,FIBER OPTIC CBL SIMPLEX 100M,456,0,"77.27000","0","1","-","HFBR","Active","-","POF","-","-","-","Polyethylene (PE)","-","-","-","-","-","-","-","-"
https://docs.broadcom.com/docs/AV02-1508EN,//media.digikey.com/photos/Avago%20Tech%20Photos/HFBR-RUD100Z.JPG,516-2093-ND,HFBR-RUD100Z,Broadcom Limited,FIBER OPTIC CBL DUPLEX 1=100M,80,0,"154.53000","0","1","-","HFBR","Active","-","POF","-","-","-","Polyethylene (PE)","-","-","-","-","-","-","-","Zipcord"
https://docs.broadcom.com/docs/AV02-1508EN,//media.digikey.com/Photos/Avago%20Tech%20Photos/HFBR-RUS500Z.jpg,516-2096-ND,HFBR-RUS500Z,Broadcom Limited,FIBER OPTIC CBL SIMPLEX 1=500M,46,0,"340.88000","0","1","-","HFBR","Active","-","POF","-","-","-","Polyethylene (PE)","-","-","-","-","-","-","-","-"
https://docs.broadcom.com/docs/AV02-1508EN,//media.digikey.com/Photos/Avago%20Tech%20Photos/HFBR-RUD500Z.jpg,516-2094-ND,HFBR-RUD500Z,Broadcom Limited,FIBER OPTIC CBL DUPLEX 1=500M,84,0,"681.75000","0","1","-","HFBR","Active","-","POF","-","-","-","Polyethylene (PE)","-","-","-","-","-","-","-","Zipcord"
"//media.digikey.com/pdf/Data%20Sheets/Avago%20PDFs/HFBR-Rxxyyyz,Exxyyyz%20Series.pdf",//media.digikey.com/Photos/Avago%20Tech%20Photos/HFBR-EUD500Z.jpg,516-2204-ND,HFBR-EUD500Z,Broadcom Limited,CABLE POF BLK DUPLEX UNCONN 500M,10,0,"681.75000","0","1","-","HFBR","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://docs.broadcom.com/docs/AV02-1508EN,//media.digikey.com/Photos/Avago%20Tech%20Photos/HFBR-EUS500Z.jpg,516-2087-ND,HFBR-EUS500Z,Broadcom Limited,FIBER OPTIC CBL SIMPLEX 1=500M,5,0,"454.50000","0","1","-","HFBR","Active","-","POF","-","-","-","Polyethylene (PE)","-","-","-","-","-","-","-","-"
http://i-fiberoptics.com/pdf/sh4001.pdf,//media.digikey.com/Renders/Industrial%20Fiberoptics%20Renders/FB140-10-ND.jpg,FB140-500-ND,810004,Industrial Fiberoptics,CBL FBR OPTIC 1000UM SMPLX 500M,25,0,"499.48000","0","1","Spool","ESKA™","Active","Standard","Multimode, Simplex","1640.4' (500.0m)","980µm","1000µm","Polyethylene (PE)","0.087"" (2.21mm)","9kg","-0.20dB/m","1.492","-","Black","-","-"
http://i-fiberoptics.com/pdf/gh4001.pdf,//media.digikey.com/Renders/Industrial%20Fiberoptics%20Renders/FB140-10-ND.jpg,FB143-500-ND,GH4001,Industrial Fiberoptics,CBL FBR OPTIC 1000UM SMPLX 500M,11,0,"570.83000","0","1","Spool","ESKA™","Active","Standard","Multimode, Simplex","1640.4' (500.0m)","980µm","1000µm","Polyethylene (PE)","0.087"" (2.21mm)","8kg","-0.14dB/m","1.492","-","Black","-","-"
http://www.i-fiberoptics.com/pdf/ghcp4001.pdf,//media.digikey.com/Renders/Industrial%20Fiberoptics%20Renders/FB140-10-ND.jpg,FB184-ND,GHCP4001,Industrial Fiberoptics,CBL FBR OPTIC 1000UM SMPLX 500M,5,0,"606.54000","0","1","Spool","ESKA™","Active","Standard","Multimode, Simplex","1640.4' (500.0m)","980µm","1000µm","Polyethylene (PE)","0.087"" (2.21mm)","8kg","-0.14dB/m","1.492","-","Black","-","-"
http://i-fiberoptics.com/pdf/gh4002.pdf,//media.digikey.com/Renders/Industrial%20Fiberoptics%20Renders/FB141-10-ND.jpg,FB144-500-ND,GH4002,Industrial Fiberoptics,CBL FBR OPTIC 1000UM DUPLX 500M,3,0,"1253.78000","0","1","Spool","ESKA™","Active","Standard","Multimode, Duplex","1640.4' (500.0m)","980µm","1000µm","Polyethylene (PE)","0.087"" (2.21mm)","14kg","-0.14dB/m","1.492","-","Black","-","Zipcord"
