Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Number of Conductors","Pitch","Cable Length","Cable Width","Jacket (Insulation) Material","Jacket (Insulation) Thickness","Conductor Material","Conductor Plating","Ratings","Features"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/68341462F8C24422B092CABF67385811.ashx,//media.digikey.com/photos/Parlex%20Photos/PS-1635-02.jpg,AF02-500-ND,PSR1635-02,Parlex USA LLC,CABLE FLAT FLEX 2COND 0.100"",52,0,"222.50000","0","1","PSR1635","Active","2","0.100"" (2.54mm)","500' (152.4m)","0.30"" (7.57mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/BB5A1624732145028F9CFCA84A1DE0C9.ashx,//media.digikey.com/photos/Parlex%20Photos/PS-1636-05.jpg,AE05-500-ND,PSR1636-05,Parlex USA LLC,CABLE FLAT FLEX 5COND 0.050"",43,0,"267.00000","0","1","PSR1636","Active","5","0.050"" (1.27mm)","500' (152.4m)","0.30"" (7.57mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/68341462F8C24422B092CABF67385811.ashx,//media.digikey.com/photos/Parlex%20Photos/PS-1635-04.jpg,AF04-500-ND,PSR1635-04,Parlex USA LLC,CABLE FLAT FLEX 4COND 0.100"",41,0,"267.00000","0","1","PSR1635","Active","4","0.100"" (2.54mm)","500' (152.4m)","0.50"" (12.70mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/BB5A1624732145028F9CFCA84A1DE0C9.ashx,//media.digikey.com/photos/Parlex%20Photos/PS-1636-10.jpg,AE10-500-ND,PSR1636-10,Parlex USA LLC,CABLE FLAT FLEX 10COND 0.050"",90,0,"311.50000","0","1","PSR1636","Active","10","0.050"" (1.27mm)","500' (152.4m)","0.55"" (13.97mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/68341462F8C24422B092CABF67385811.ashx,//media.digikey.com/photos/Parlex%20Photos/PS-1635-12.jpg,AF12-500-ND,PSR1635-12,Parlex USA LLC,CABLE FLAT FLEX 12COND 0.100"",165,0,"426.25000","0","1","PSR1635","Active","12","0.100"" (2.54mm)","500' (152.4m)","1.30"" (33.02mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/68341462F8C24422B092CABF67385811.ashx,//media.digikey.com/photos/Parlex%20Photos/PS-1635-10.jpg,AF10-500-ND,PSR1635-10,Parlex USA LLC,CABLE FLAT FLEX 10COND 0.100"",46,0,"445.00000","0","1","PSR1635","Active","10","0.100"" (2.54mm)","500' (152.4m)","1.10"" (27.94mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/68341462F8C24422B092CABF67385811.ashx,//media.digikey.com/photos/Parlex%20Photos/PS-1635-16.jpg,AF16-500-ND,PSR1635-16,Parlex USA LLC,CABLE FLAT FLEX 16COND 0.100"",26,0,"503.75000","0","1","PSR1635","Active","16","0.100"" (2.54mm)","500' (152.4m)","1.70"" (43.18mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/BB5A1624732145028F9CFCA84A1DE0C9.ashx,//media.digikey.com/photos/Parlex%20Photos/PS-1636-20.jpg,AE20-500-ND,PSR1636-20,Parlex USA LLC,CABLE FLAT FLEX 20COND 0.050"",26,0,"503.75000","0","1","PSR1636","Active","20","0.050"" (1.27mm)","500' (152.4m)","1.05"" (26.67mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/BB5A1624732145028F9CFCA84A1DE0C9.ashx,//media.digikey.com/photos/Parlex%20Photos/PS-1636-06.jpg,AE06-500-ND,PSR1636-06,Parlex USA LLC,CABLE FLAT FLEX 6COND 0.050"",19,0,"267.00000","0","1","PSR1636","Active","6","0.050"" (1.27mm)","500' (152.4m)","0.35"" (9.00mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/BB5A1624732145028F9CFCA84A1DE0C9.ashx,//media.digikey.com/photos/Parlex%20Photos/PS-1636-04.jpg,AE04-500-ND,PSR1636-04,Parlex USA LLC,CABLE FLAT FLEX 4COND 0.050"",16,0,"267.00000","0","1","PSR1636","Active","4","0.050"" (1.27mm)","500' (152.4m)","0.25"" (6.35mm)","Polyester","0.002"" (0.05mm)","Copper, Bare","-","UL Style 2643","Conductor 1 Tinned"
