Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Cable Type","Number of Conductors","Pitch","Length","Wire Gauge","Conductor Strand","Shielding","Jacket Color","Ribbon Thickness","Ribbon Width","Jacket (Insulation) Material","Voltage","Operating Temperature","Ratings","Features"
http://multimedia.3m.com/mws/media/22312O/3mtm-round-conductor-flat-cable-3756-series-ts0508.pdf,//media.digikey.com/Photos/3M%20Photos/3756%5E10.JPG,ME10G-100-ND,3756/10 100,3M,CBL RIBN 10COND 0.025 GRAY 100',128,0,"42.64000","0","1","3756","Active","Flat Cable","10","0.025"" (0.64mm)","100.0' (30.48m)","30 AWG","7 Strands / 38 AWG","Unshielded","Gray","0.025"" (0.64mm)","-","Thermoplastic Elastomer (TPE)","150V","-40°C ~ 105°C","UL Style 20297","-"
http://multimedia.3m.com/mws/media/667945O/3mtm-round-conductor-flat-cable-hf365-series-ts2334.pdf,//media.digikey.com/Photos/3M%20Photos/HF365%5E06SF.JPG,MD06R-100-ND,HF365/06SF,3M,CBL RIBN 6COND 0.050 GRAY 100',215,0,"56.04000","0","1","HF365","Active","Flat Cable","6","0.050"" (1.27mm)","100.0' (30.48m)","28 AWG","7 Strands / 36 AWG","Unshielded","Gray","0.035"" (0.89mm)","0.300"" (7.62mm)","Polyolefin (PO)","300V","-40°C ~ 105°C","UL Style 21682","Zippable"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7306_CA.pdf,//media.digikey.com/photos/Assmann%20Photos/MFG_AWG28-10-G.jpg,AE10G-300-ND,AWG28-10/G/300,Assmann WSW Components,CBL RIBN 10COND 0.050 GRAY 300',634,0,"67.06000","0","1","AWG","Active","Flat Cable","10","0.050"" (1.27mm)","300.0' (91.44m)","28 AWG","7 Strands / 36 AWG","Unshielded","Gray","0.035"" (0.89mm)","0.500"" (12.70mm)","Poly-Vinyl Chloride (PVC)","300V","-10°C ~ 105°C","UL Style 2651","-"
http://multimedia.3m.com/mws/media/22052O/3mtm-round-conductor-flat-cable-050in-3365-series-ts0080.pdf,//media.digikey.com/Renders/3M%20Renders/3365%5E10.jpg,MC10G-300-ND,3365/10 300SF,3M,CBL RIBN 10COND 0.050 GRAY 300',126,0,"77.59000","0","1","3365","Active","Flat Cable","10","0.050"" (1.27mm)","300.0' (91.44m)","28 AWG","7 Strands / 36 AWG","Unshielded","Gray","0.035"" (0.89mm)","0.500"" (12.70mm)","Poly-Vinyl Chloride (PVC)","300V","-20°C ~ 105°C","UL Style 2651","Zippable"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7307_CA.pdf,//media.digikey.com/Photos/Assmann%20Photos/AWG28-10%5EG-1%5E300-R.jpg,AE10A-300-ND,AWG28-10/G-1/300,Assmann WSW Components,CBL RIBN 10COND 0.039 GRAY 300',290,0,"80.96000","0","1","AWG","Active","Flat Cable","10","0.039"" (1.00mm)","300.0' (91.44m)","28 AWG","7 Strands / 36 AWG","Unshielded","Gray","0.035"" (0.89mm)","0.394"" (10.00mm)","Poly-Vinyl Chloride (PVC)","300V","-10°C ~ 105°C","UL Style 2651","-"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7306_CA.pdf,//media.digikey.com/photos/Assmann%20Photos/MFG_AWG28-16-G.jpg,AE16G-300-ND,AWG28-16/G/300,Assmann WSW Components,CBL RIBN 16COND 0.050 GRAY 300',222,0,"95.91000","0","1","AWG","Active","Flat Cable","16","0.050"" (1.27mm)","300.0' (91.44m)","28 AWG","7 Strands / 36 AWG","Unshielded","Gray","0.035"" (0.89mm)","0.800"" (20.32mm)","Poly-Vinyl Chloride (PVC)","300V","-10°C ~ 105°C","UL Style 2651","-"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7310_CA.pdf,//media.digikey.com/photos/Assmann%20Photos/MFG_AWG28-10-F.jpg,AE10M-300-ND,AWG28-10/F/300,Assmann WSW Components,CBL RIBN 10COND 0.050 MULTI 300',113,0,"110.90000","0","1","AWG","Active","Flat Cable","10","0.050"" (1.27mm)","300.0' (91.44m)","28 AWG","7 Strands / 0.0050""","Unshielded","Multiple","0.035"" (0.89mm)","0.500"" (12.70mm)","Poly-Vinyl Chloride (PVC)","300V","105°C","UL Style 2651","-"
http://multimedia.3m.com/mws/media/667945O/3mtm-round-conductor-flat-cable-hf365-series-ts2334.pdf,"//media.digikey.com/Photos/3M%20Photos/MFG_HF365,%20HF319.jpg",MD20R-100-ND,HF365/20SF,3M,CBL RIBN 20COND 0.050 GRAY 100',63,0,"116.88000","0","1","HF365","Active","Flat Cable","20","0.050"" (1.27mm)","100.0' (30.48m)","28 AWG","7 Strands / 36 AWG","Unshielded","Gray","0.035"" (0.89mm)","1.000"" (25.40mm)","Polyolefin (PO)","300V","-40°C ~ 105°C","UL Style 21682","Zippable"
https://www.molex.com/pdm_docs/sd/082283010_sd.pdf,//media.digikey.com/photos/Molex/82-28-3010.jpg,WM11-100-ND,82-28-3010,Molex,CBL RIBN 10COND 0.039 GRAY 100',67,0,"117.89000","0","1","24500","Active","Flat Cable","10","0.039"" (1.00mm)","100.0' (30.48m)","28 AWG","7 Strands / 36 AWG","Unshielded","Gray","0.031"" (0.79mm)","0.394"" (10.00mm)","Poly-Vinyl Chloride (PVC)","150V","-20°C ~ 105°C","UL E61522","Zippable"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7306_CA.pdf,//media.digikey.com/photos/Assmann%20Photos/MFG_AWG28-20-G.jpg,AE20G-300-ND,AWG28-20/G/300,Assmann WSW Components,CBL RIBN 20COND 0.050 GRAY 300',248,0,"119.67000","0","1","AWG","Active","Flat Cable","20","0.050"" (1.27mm)","300.0' (91.44m)","28 AWG","7 Strands / 36 AWG","Unshielded","Gray","0.035"" (0.89mm)","1.000"" (25.40mm)","Poly-Vinyl Chloride (PVC)","300V","-10°C ~ 105°C","UL Style 2651","-"
