Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Cable Type","Number of Conductors","Length - Coil Retracted","Length - Coil Extended","Length","Jacket Color","Wire Gauge","Conductor Strand","Jacket (Insulation) Material","Cable Width","Cable Height","Coil Diameter","Shielding"
http://www.assmann-wsw.com/fileadmin/datasheets/AT-K-26-6-B_100-R_REV00.pdf,//media.digikey.com/photos/Assmann%20Photos/AT-K-26-6-B^1000-R.JPG,A0062R-100-ND,AT-K-26-6-B/100,Assmann WSW Components,CABLE MOD FLAT 6COND BLACK 100',203,0,"24.05000","0","1","Reel","-","Active","Straight","6","-","-","100' (30.5m)","Black","26 AWG","7/0.0063""","Poly-Vinyl Chloride (PVC)","0.267"" (6.80mm)","0.097"" (2.46mm)","-","Unshielded"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_8130_CA.pdf,//media.digikey.com/photos/Assmann%20Photos/AT-K-26-4-B^500-R.JPG,A0042R-1000-ND,AT-K-26-4-B/1000,Assmann WSW Components,CABLE MOD FLAT 4COND BLACK 1000',88,0,"171.81000","0","1","Reel","-","Active","Straight","4","-","-","1000' (304.80m)","Black","26 AWG","7/0.0063""","Poly-Vinyl Chloride (PVC)","0.189"" (4.80mm)","0.097"" (2.46mm)","-","Unshielded"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_8130_CA.pdf,//media.digikey.com/photos/Assmann%20Photos/AT-K-26-4-W^1000-R.JPG,A0041R-1000-ND,AT-K-26-4-W/1000,Assmann WSW Components,CABLE MOD FLAT 4COND WHITE 1000',62,0,"171.81000","0","1","Reel","-","Active","Straight","4","-","-","1000' (304.80m)","White","26 AWG","7/0.0063""","Poly-Vinyl Chloride (PVC)","0.189"" (4.80mm)","0.097"" (2.46mm)","-","Unshielded"
http://www.assmann-wsw.com/fileadmin/datasheets/AT-K-26-6-W_1000-R_REV00.pdf,//media.digikey.com/photos/Assmann%20Photos/AT-K-26-6-W^500-R.JPG,A0061R-1000-ND,AT-K-26-6-W/1000,Assmann WSW Components,CABLE MOD FLAT 6COND WHITE 1000',135,0,"187.29000","0","1","Reel","-","Active","Straight","6","-","-","1000' (304.80m)","White","26 AWG","7/0.0063""","Poly-Vinyl Chloride (PVC)","0.267"" (6.80mm)","0.097"" (2.46mm)","-","Unshielded"
http://www.assmann-wsw.com/fileadmin/datasheets/AT-K-26-8-B_1000-R_REV00.pdf,//media.digikey.com/photos/Assmann%20Photos/AT-K-26-8-B^500-R.JPG,A0082R-1000-ND,AT-K-26-8-B/1000,Assmann WSW Components,CABLE MOD FLAT 8COND BLACK 1000',53,0,"231.00000","0","1","Reel","-","Active","Straight","8","-","-","1000' (304.80m)","Black","26 AWG","7/0.0063""","Poly-Vinyl Chloride (PVC)","0.346"" (8.80mm)","0.097"" (2.46mm)","-","Unshielded"
http://www.assmann-wsw.com/fileadmin/datasheets/AT-K-26-8-S_1000-R_REV00.pdf,//media.digikey.com/photos/Assmann%20Photos/AT-K-26-8-S^500-R.JPG,A0083R-1000-ND,AT-K-26-8-S/1000,Assmann WSW Components,CABLE MOD FLAT 8COND SLVR 1000',39,0,"231.00000","0","1","Reel","-","Active","Straight","8","-","-","1000' (304.80m)","Silver","26 AWG","7/0.0063""","Poly-Vinyl Chloride (PVC)","0.346"" (8.80mm)","0.097"" (2.46mm)","-","Unshielded"
http://www.assmann-wsw.com/fileadmin/datasheets/AT-K-26-8-W_1000-R_REV00.pdf,//media.digikey.com/photos/Assmann%20Photos/AT-K-26-8-W^1000-R.JPG,A0081R-1000-ND,AT-K-26-8-W/1000,Assmann WSW Components,CABLE MOD FLAT 8COND WHITE 1000',34,0,"231.00000","0","1","Reel","-","Active","Straight","8","-","-","1000' (304.80m)","White","26 AWG","7/0.0063""","Poly-Vinyl Chloride (PVC)","0.346"" (8.80mm)","0.097"" (2.46mm)","-","Unshielded"
http://www.assmann-wsw.com/fileadmin/datasheets/AT-K-26-6-B_1000-R_REV00.pdf,//media.digikey.com/photos/Assmann%20Photos/AT-K-26-6-B^1000-R.JPG,A0062R-1000-ND,AT-K-26-6-B/1000,Assmann WSW Components,CABLE MOD FLAT 6COND BLACK 1000',62,0,"262.30000","0","1","Reel","-","Active","Straight","6","-","-","1000' (304.80m)","Black","26 AWG","7/0.0063""","Poly-Vinyl Chloride (PVC)","0.267"" (6.80mm)","0.097"" (2.46mm)","-","Unshielded"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_8128_CA.pdf,//media.digikey.com/photos/Assmann%20Photos/AT-K-26-4-B^500-R.JPG,A0042R-100-ND,AT-K-26-4-B/100,Assmann WSW Components,CABLE MOD FLAT 4COND BLACK 100',217,0,"15.67000","0","1","Reel","-","Active","Straight","4","-","-","100' (30.5m)","Black","26 AWG","7/0.0063""","Poly-Vinyl Chloride (PVC)","0.189"" (4.80mm)","0.097"" (2.46mm)","-","Unshielded"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_8128_CA.pdf,//media.digikey.com/photos/Assmann%20Photos/AT-K-26-4-W^1000-R.JPG,A0041R-100-ND,AT-K-26-4-W/100,Assmann WSW Components,CABLE MOD FLAT 4COND WHITE 100',321,0,"16.16000","0","1","Reel","-","Active","Straight","4","-","-","100' (30.5m)","White","26 AWG","7/0.0063""","Poly-Vinyl Chloride (PVC)","0.189"" (4.80mm)","0.097"" (2.46mm)","-","Unshielded"
