Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Cable Type","Number of Conductors","Wire Gauge","Conductor Strand","Conductor Material","Jacket (Insulation) Material","Jacket (Insulation) Diameter","Shield Type","Length","Jacket Color","Ratings","Features","Voltage","Operating Temperature","Usage","Jacket (Insulation) Thickness"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=55A1121&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/55A1121-26-6%5E9-9.jpg,55A1121-26-6/9-9-DS-ND,55A1121-26-6/9-9,TE Connectivity Raychem Cable Protection,MULTI-PAIR 2COND 26AWG WHT FT,811,0,"5.37000","0","1","-","Active","Multi-Conductor","2 (1 Pair Twisted)","26 AWG","-","Copper, Tinned","Ethylene Tetrafluoroethylene (ETFE)","0.097"" (2.46mm)","Braid","Digi-Spool™, Continuous Spool","White","-","-","600V","-65°C ~ 150°C","-","0.0080"" (0.203mm)"
http://www.alphawire.com/Home/Products/Cable/Alpha-Essentials/Communication-and-Control-Cable/1172C?device=pdf,//media.digikey.com/photos/Alpha%20Wire%20Photos/1172C%20SERIES.jpg,A120-100-ND,1172C SL005,Alpha Wire,MULTI-PAIR 2COND 22AWG 100',288,362,"52.79000","0","1","-","Active","Multi-Conductor","2","22 AWG","7/30","Copper, Tinned","Poly-Vinyl Chloride (PVC)","0.164"" (4.17mm)","-","100.0' (30.5m)","Slate","-","-","150V","-20°C ~ 80°C","Communication, Control","0.0320"" (0.813mm)"
http://www.cicoil.com/flat-cable/motion-control-cables/hi-flex-shielded-signal-cable?task=callelement&format=raw&item_id=29&element=c024c413-b5f8-4699-9dbb-f8880ce97040&method=download,//media.digikey.com/Photos/Cicoil/969M101-28-1.JPG,CI28E-25-ND,969M101-28-1TPS-025,Cicoil,MULTI-PAIR 2COND 28AWG SHLD 25',668,0,"72.19000","0","1","-","Active","Multi-Conductor","2 (1 Pair Twisted)","28 AWG","-","Copper, Tinned","Flexx-Sil™","0.120"" (3.05mm)","Braid","25.00' (7.62m)","Clear","-","-","12kV","-65°C ~ 165°C","-","-"
http://cnctech.us/pdfs/UL21458%20AWG%2024.pdf,//media.digikey.com/Photos/CnC%20Tech/CN190BR.jpg,CN200BR-500-ND,21458-24-2-0500-0104-1-TS,CNC Tech,CABLE 2COND 24AWG BLK/RED 500',108,0,"88.83000","0","1","-","Active","Multi-Conductor","2","24 AWG","11/34","Copper, Tinned","Polyphenylene Ether (PPE)","0.107"" (2.72mm)","-","500.0' (152.4m)","Black, Red","UL Style 21458","-","300V","-10°C ~ 80°C","-","0.0150"" (0.381mm)"
http://cnctech.us/pdfs/UL21458%20AWG%2022.pdf,//media.digikey.com/Photos/CnC%20Tech/CN190BR.jpg,CN190BR-500-ND,21458-22-2-0500-0104-1-TS,CNC Tech,CABLE 2COND 22AWG BLK/RED 500',33,0,"115.29000","0","1","-","Active","Multi-Conductor","2","22 AWG","17/34","Copper, Tinned","Polyphenylene Ether (PPE)","0.118"" (3.00mm)","-","500.0' (152.4m)","Black, Red","UL Style 21458","-","300V","-10°C ~ 80°C","-","0.0150"" (0.381mm)"
http://www.alphawire.com/Home/Products/Cable/Alpha-Essentials/Communication-and-Control-Cable/1178C?device=pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/1178C%20SL005%20(2).JPG,A126-100-ND,1178C SL005,Alpha Wire,CABLE 8COND 22AWG SLATE 100',74,168,"131.47000","0","1","-","Active","Multi-Conductor","8","22 AWG","7/30","Copper, Tinned","Poly-Vinyl Chloride (PVC)","0.230"" (5.84mm)","-","100.0' (30.5m)","Slate","-","-","150V","-20°C ~ 80°C","Communication, Control","0.0320"" (0.813mm)"
http://www.alphawire.com/Home/Products/Cable/EcoGen/EcoCable-Mini/78002?device=pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/78002-SLxxx.jpg,78002SL005-ND,78002 SL005,Alpha Wire,CABLE 2COND 28AWG SLATE 100',94,4,"163.91000","0","1","EcoCable® Mini","Active","Multi-Conductor","2","28 AWG","19/40","Copper, Tinned","Polyphenylene Ether, Modified (mPPE)","0.094"" (2.38mm)","-","100.0' (30.5m)","Slate","ISO 10993, UL Style 21460","Biological Compatibility, Rip Cord","300V","-40°C ~ 80°C","-","0.0150"" (0.381mm)"
http://cnctech.us/pdfs/UL21458%20AWG%2020.pdf,//media.digikey.com/Photos/CnC%20Tech/CN180BR.jpg,CN180BR-500-ND,21458-20-2-0500-0104-1-TS,CNC Tech,CABLE 2COND 20AWG BLK/RED 500',142,0,"166.32000","0","1","-","Active","Multi-Conductor","2","20 AWG","21/33","Copper, Tinned","Polyphenylene Ether (PPE)","0.133"" (3.38mm)","-","500.0' (152.4m)","Black, Red","UL Style 21458","-","300V","-10°C ~ 80°C","-","0.0150"" (0.381mm)"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/2725-2828-BL-01000-A_Rev_A3_Dwg.pdf,//media.digikey.com/Photos/CnC%20Tech/2725-2828-01000-x.jpg,CN230B-1000-ND,2725-2828-BL-01000-A,CNC Tech,CABLE 4COND 28AWG BLK SHLD 1000',34,0,"169.26000","0","1","-","Active","Multi-Conductor","4","28 AWG","7/36","Copper, Tinned","Poly-Vinyl Chloride (PVC)","0.150"" (3.81mm)","Foil, Braid","1000.0' (304.8m)","Black","UL Style 2725","Drain Wire","30V","80°C","USB 2.0","0.0264"" (0.671mm)"
http://www.alphawire.com/~/media/Files/Brochures/EcoCableMiniBrochure.pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/EcoCable-Mini-2.jpg,78012SL005-ND,78012 SL005,Alpha Wire,CABLE 2COND 26AWG SLATE 100',34,0,"174.71000","0","1","EcoCable® Mini","Active","Multi-Conductor","2","26 AWG","19/38","Copper, Tinned","Polyphenylene Ether, Modified (mPPE)","0.102"" (2.59mm)","-","100.0' (30.5m)","Slate","ISO 10993, UL Style 21460","Biological Compatibility, Rip Cord","300V","-40°C ~ 80°C","-","0.0150"" (0.381mm)"
