Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products","Material","Features"
http://www.panduit.com/heiler/PartDrawings/HBN_01.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/HBN2-T.JPG,298-10381-ND,HBN2-T,Panduit Corp,HARNESS BOARD NAIL,4883,0,"0.91000","0","1","Quick-Build™","Active","Nails, Harness Board","Harness Board","Steel, Nickel Plated","0.093"" Dia, 2.66"" Total Length, 2.00"" Exposed Length"
http://www.panduit.com/heiler/PartDrawings/C-WAQB-TILE--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_QB-TILE.jpg,298-10462-ND,QB-TILE,Panduit Corp,"QBHB BD PNL TILES, 1FTX1F 1=8PC",38,0,"263.13000","0","1","Quick-Build™","Active","Grid Tile","Quick-Build™ Harness Board System","Acrylonitrile Butadiene Styrene (ABS)","12.00"" W x 12.00"" L (304.8mm x 304.8mm)"
//media.digikey.com/PDF/Data%20Sheets/ROSE+BOPLA%20PDFs/RoseBopla_ShortformCatalog.pdf#page=127,//media.digikey.com/photos/Rose%20&%20Bopla%20Enclosures/52090100.JPG,902-1222-ND,52090100,Bopla Enclosures,MGM 12 COUNTER NUT M12 POLY,13471,0,"0.45000","0","1","MGM","Active","Counter Nut","M12 Thread - Cable Glands","Polyamide (PA), Nylon","-"
//media.digikey.com/PDF/Data%20Sheets/ROSE+BOPLA%20PDFs/RoseBopla_ShortformCatalog.pdf#page=127,//media.digikey.com/photos/Rose%20&%20Bopla%20Enclosures/52090200.JPG,902-1223-ND,52090200,Bopla Enclosures,MGM 16 COUNTER NUT M16 POLY,1160,0,"0.45000","0","1","MGM","Active","Counter Nut","M16 Thread - Cable Glands","Polyamide (PA), Nylon","-"
//media.digikey.com/PDF/Data%20Sheets/ROSE+BOPLA%20PDFs/RoseBopla_ShortformCatalog.pdf#page=128,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/52080200.JPG,902-1229-ND,52080200,Bopla Enclosures,"GM 9 COUNTER NUTS, PLASTIC",1361,0,"0.51000","0","1","GM","Active","Counter Nut","PG9 Thread - Cable Glands","Polyamide (PA), Nylon","-"
http://www.panduit.com/heiler/PartDrawings/HBN_01.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/HBN1-T.JPG,298-10383-ND,HBN1-T,Panduit Corp,HARNESS BOARD NAIL,5100,0,"0.86000","0","1","Quick-Build™","Active","Nails, Harness Board","Harness Board","Steel, Nickel Plated","0.075"" Dia, 1.65"" Total Length, 1.00"" Exposed Length"
http://www.panduit.com/heiler/PartDrawings/HBN_01.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_HBN1.jpg,298-14546-ND,HBN1.5-T,Panduit Corp,HARNESS BOARD NAIL,2286,0,"0.89000","0","1","Quick-Build™","Active","Nails, Harness Board","Harness Board","Steel, Nickel Plated","0.084"" Dia, 2.16"" Total Length, 1.50"" Exposed Length"
http://www.panduit.com/heiler/PartDrawings/HBN_01.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/HBN3-T.JPG,298-10370-ND,HBN3-T,Panduit Corp,HARNESS BOARD NAILS,1378,0,"1.06000","0","1","Quick-Build™","Active","Nails, Harness Board","Harness Board","Steel, Nickel Plated","0.122"" Dia, 3.67"" Total Length, 3.00"" Exposed Length"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=TTDS-025&DocType=DS&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/EC4943-000.JPG,A117045-ND,EC4943-000,TE Connectivity Raychem Cable Protection,11320000,6879,0,"0.18000","0","1","K","Active","Carrier, Cable and Wire Marker","K-Type® Cable Markers","PVC","7 Character Length"
//media.digikey.com/PDF/Data%20Sheets/ROSE+BOPLA%20PDFs/RoseBopla_ShortformCatalog.pdf#page=134,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/MFG_BLANKING%20PLUG%20BF.jpg,902-1138-ND,10000310,Bopla Enclosures,BLANKING PLUG BF 11,1288,0,"0.30000","0","1","-","Active","Plug","BoplaFlex Gland; BF 11","Polyethylene","IP65"
