Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Bushing, Grommet Type","For Use With/Related Products","Panel Thickness","Panel Cutout Dimensions","Diameter - Inside","Features","Material","Color","Material Flammability Rating"
http://www.keyelco.com/product-pdf.cfm?p=2731,//media.digikey.com/photos/Keystone%20Elect%20Photos/733.jpg,36-733-ND,733,Keystone Electronics,GROMMET 0.125"" RUBBER BLACK,89106,25200,"0.19000","0","1","-","Active","Grommet","Cable, Wires","0.062"" (1.57mm)","Circular - 0.250"" (6.35mm)","0.125"" (3.18mm)","-","Rubber","Black","-"
http://www.keyelco.com/product-pdf.cfm?p=2733,//media.digikey.com/photos/Keystone%20Elect%20Photos/735.jpg,36-735-ND,735,Keystone Electronics,GROMMET 0.125"" RUBBER BLACK,17016,2700,"0.47000","0","1","-","Active","Grommet","Cable, Wires","0.093"" (2.36mm)","Circular - 0.375"" (9.53mm)","0.125"" (3.18mm)","-","Rubber","Black","-"
http://www.essentracomponents.com.sg/images-line/pdfs/LTG.pdf,//media.digikey.com/photos/Richco%20Photos/LTG-199017.jpg,RP740-ND,LTG-199017,Essentra Components,GROMMET RUBBER BLACK,52289,0,"1.49000","0","1","LTG","Active","Grommet","Cable, Wires","0.020"" ~ 0.080"" (0.51mm ~ 2.03mm)","Circular - 0.490"" (12.45mm)","-","IP67 - Dust Tight, Waterproof","Ethylene Propylene Terpolymer Rubber (EPDM)","Black","-"
http://www.panduit.com/heiler/PartDrawings/C-WDGEE--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/GEE36F-C.jpg,298-10616-ND,GEE99F-A-C,Panduit Corp,GROMMET EDGE SLOT NAT 1=100',133,0,"65.24000","0","1","GE","Active","Grommet - Edging, Slotted","Edges, Irregular Holes","0.062"" ~ 0.099"" (1.57mm ~ 2.51mm)","Edging - 100' L (30.48m)","-","Adhesive","Polyethylene (PE)","Natural","UL94 HB"
http://www.keyelco.com/product-pdf.cfm?p=2729,//media.digikey.com/photos/Keystone%20Elect%20Photos/730.jpg,36-730-ND,730,Keystone Electronics,GROMMET 0.125"" RUBBER BLACK,45038,10600,"0.17000","0","1","-","Active","Grommet","Cable, Wires","0.062"" (1.57mm)","Circular - 0.187"" (4.75mm)","0.125"" (3.18mm)","-","Rubber","Black","-"
http://www.essentracomponents.com.sg/images-line/pdfs/PGSB.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/PGSB-2.JPG,RPC3153-ND,PGSB-0305,Essentra Components,BUSHING 0.125"" NYLON BLACK,10627,0,"0.18000","0","1","PGSB","Active","Bushing","Cable, Wires","0.063"" ~ 0.067"" (1.60mm ~ 1.70mm)","Circular - 0.189"" (4.80mm)","0.125"" (3.18mm)","Snap-Mount","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
http://www.keyelco.com/product-pdf.cfm?p=2734,//media.digikey.com/photos/Keystone%20Elect%20Photos/736.jpg,36-736-ND,736,Keystone Electronics,GROMMET 0.187"" RUBBER BLACK,59093,216200,"0.19000","0","1","-","Active","Grommet","Cable, Wires","0.062"" (1.57mm)","Circular - 0.312"" (7.92mm)","0.187"" (4.75mm)","-","Rubber","Black","-"
http://www.keyelco.com/product-pdf.cfm?p=14023,//media.digikey.com/photos/Keystone%20Elect%20Photos/731.jpg,36-731-ND,731,Keystone Electronics,GROMMET 0.187"" RUBBER BLACK,8010,197600,"0.19000","0","1","-","Active","Grommet","Cable, Wires","0.062"" (1.57mm)","Circular - 0.312"" (7.92mm)","0.187"" (4.75mm)","-","Rubber","Black","-"
http://www.essentracomponents.com.sg/images-line/pdfs/PGSB.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/PGSB-2.JPG,RPC4630-ND,PGSB-0710,Essentra Components,BUSHING 0.284"" NYLON BLACK,5524,0,"0.19000","0","1","PGSB","Active","Bushing","Cable, Wires","0.031"" ~ 0.063"" (0.79mm ~ 1.60mm)","Circular - 0.394"" (10.01mm)","0.284"" (7.21mm)","Snap-Mount","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
http://www.keyelco.com/product-pdf.cfm?p=2699,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_847x.jpg,36-8476-ND,8476,Keystone Electronics,BUSHING 0.500"" NYLON BLACK,4234,6800,"0.20000","0","1","-","Active","Bushing","Cable, Wires","0.032"" (0.81mm)","Circular - 0.625"" (15.88mm)","0.500"" (12.70mm)","Snap-Mount","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
http://www.keyelco.com/product-pdf.cfm?p=2696,//media.digikey.com/Photos/Keystone%20Elect%20Photos/8473.JPG,36-8473-ND,8473,Keystone Electronics,BUSHING 0.312"" NYLON BLACK,3960,6500,"0.20000","0","1","-","Active","Bushing","Cable, Wires","0.032"" (0.81mm)","Circular - 0.437"" (11.10mm)","0.312"" (7.92mm)","Snap-Mount","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
