Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Mounting Type","Size / Dimension","For Use With/Related Products","Material","Color"
http://www.panduit.com/heiler/PartDrawings/PM2H25_R3.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/PM2H25-M.JPG,298-10520-ND,PM2H25-M,Panduit Corp,CABLE TIE MOUNT PUSH MOUNT,31513,0,"0.28000","0","1","-","Active","Single Opening","Push In - Arrowhead","0.38"" L x 0.30"" W x 0.62"" H (9.7mm x 7.6mm x 15.8mm)","M, I, S Ties","Nylon","Natural"
http://www.panduit.com/heiler/CatalogCutSheets/TM1S4-C%20Product%20Page_7.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/TMxS6-C.JPG,298-10378-ND,TM1S6-C,Panduit Corp,CABLE TIE MOUNT #6 SCREW,27897,0,"0.35000","0","1","-","Active","Dual Opening","Screw, #6 (M3)","0.51"" L x 0.32"" W x 0.23"" H (13.0mm x 8.0mm x 5.8mm)","M Ties","Nylon","Natural"
http://www.panduit.com/heiler/CatalogCutSheets/TM1S4-C%20Product%20Page_7.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/tm1s4-c.JPG,298-10385-ND,TM1S4-C,Panduit Corp,CABLE TIE MOUNT #4 SCREW,10239,0,"0.35000","0","1","-","Active","Dual Opening","Screw, #4 (M2.5)","0.51"" L x 0.32"" W x 0.23"" H (13.0mm x 8.0mm x 5.8mm)","M Ties","Nylon","Natural"
http://www.panduit.com/heiler/PartDrawings/C-WATA1SGB0239EP-R2--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/TA1S8-C.JPG,298-10371-ND,TA1S8-C,Panduit Corp,TIE ANCHOR#8 HOLE,19965,0,"0.50000","0","1","-","Active","Quad Opening","Screw, #8 (M4)","0.75"" L x 0.37"" W x 0.20"" H (19.0mm x 9.5mm x 5.0mm)","M, I, S Ties","Nylon","Natural"
http://www.panduit.com/heiler/PartDrawings/C-WAPWMS-H25-GB0239EW-r7--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/PWMS-H25-C.jpg,298-1143-ND,PWMS-H25-C,Panduit Corp,CABLE TIE HLDR SNGLE PUSH MNT,43394,0,"0.51000","0","1","-","Active","Single Opening","Push In - Arrowhead, Winged","0.71"" L x 0.37"" W x 0.31"" H (18.0mm x 9.3mm x 7.9mm)","M, I, S Ties","Nylon","Natural"
http://www.panduit.com/heiler/PartDrawings/C-WAABM1M-A-GB0239DC-R3--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/ABM1M-A-M.JPG,298-10465-ND,ABM1M-A-M,Panduit Corp,CABLE TIE HLDR ADH 4=4 HOLDERS,14346,0,"0.53500","0","4","-","Active","Quad Opening - Quad Strip","Adhesive","0.50"" L x 0.50"" W x 0.16"" H (12.7mm x 12.7mm x 4.0mm)","M Ties","Nylon","White"
http://www.panduit.com/heiler/PartDrawings/C-WAABM1M-AT-GB0239DD-R4--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/ABM1M-A-M.JPG,298-12085-ND,ABM1M-AT-M,Panduit Corp,CABLE TIE HLDR ADH 4=4 HOLDERS,41674,0,"0.55750","0","4","-","Active","Quad Opening - Quad Strip","Adhesive","0.50"" L x 0.50"" W x 0.16"" H (12.7mm x 12.7mm x 4.0mm)","M Ties","Nylon, Heat Stabilized for Temperatures up to 180°F","White"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/MT2001103CST.pdf,//media.digikey.com/photos/HellermannTyton%20Photos/MBxA10xxxx.JPG,1436-1432-ND,MB4A10H4,HellermannTyton,4WAY MNT W/RBBR ADH 1.12'' WH,0,0,"0.61332","0","500","-","Active","Quad Opening","Screw, #8, Adhesive","1.12"" L x 1.12"" W x 0.22"" H (28.4mm x 28.4mm x 5.6mm)","T18 - T50 Cable Ties","Nylon","White"
http://www.panduit.com/heiler/PartDrawings/ABMM_A_09.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/ABMM-A-D.jpg,298-10388-ND,ABMM-A-D,Panduit Corp,CABLE TIE HLDR ADH 2=2 HOLDERS,41468,0,"0.65500","0","2","-","Active","Quad Opening - Paired Strip","Adhesive","0.75"" L x 0.75"" W x 0.18"" H (19.1mm x 19.1mm x 4.6mm)","M, I Ties","ABS","White"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=608802&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/608802-1.JPG,A107339-ND,608802-1,TE Connectivity Raychem Cable Protection,CABLE TIE MOUNT 4-WAY WHITE,15140,0,"0.66000","0","1","AMP-TY","Active","Quad Opening","Screw, #4, Adhesive","0.75"" L x 0.75"" W x 0.15"" H (19.1mm x 19.1mm x 3.8mm)","-","Nylon","White"
