Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Cable Diameter","Thread Size","Conduit Hub Size","Panel Hole Size","Material","Includes","Color","Ingress Protection"
https://www.bopla.de/fileadmin/product_data/Alle_Allg.-Zubehoer/10000100_BF-7.pdf,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/12002100.JPG,902-1149-ND,12002100,Bopla Enclosures,CABLE GLAND 3-6MM M12 POLY,10602,0,"1.31000","0","1","BoplaFlex BF/MBF","Active","Cable Gland","0.12"" ~ 0.24"" (3.0mm ~ 6.0mm)","M12x1.5","-","-","Polyamide","-","Gray","IP68 - Dust Tight, Waterproof"
http://www.amphenol-industrial.com/images/datasheets/IDS-22%20Cable%20Glands.pdf,//media.digikey.com/Photos/Amphenol%20Photos/AIO-CSM12.jpg,AIO-CSM12-ND,AIO-CSM12,Amphenol Industrial Operations,CABLE GLAND 3-6.5MM M12 NYLON,7712,0,"1.32000","0","1","-","Active","Cable Gland","0.12"" ~ 0.26"" (3.0mm ~ 6.5mm)","M12x1.5","-","-","Nylon","Panel Nut, Sealing Nut","Black","IP68 - Dust Tight, Waterproof"
http://www.amphenol-industrial.com/images/datasheets/IDS-22%20Cable%20Glands.pdf,//media.digikey.com/Photos/Amphenol%20Photos/AIO-CSM20.jpg,AIO-CSM20-ND,AIO-CSM20,Amphenol Industrial Operations,CABLE GLAND 6-12MM M20 NYLON,3413,0,"1.58000","0","1","-","Active","Cable Gland","0.24"" ~ 0.47"" (6.0mm ~ 12.0mm)","M20x1.5","-","-","Nylon","Panel Nut, Sealing Nut","Black","IP68 - Dust Tight, Waterproof"
http://www.budind.com/pdf/hb9511.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/NG-9511.JPG,377-1630-ND,NG-9511,Bud Industries,CABLE GLAND 3-4.3MM PG7 NYLON,7823,14331,"1.70000","0","1","-","Active","Cable Gland","0.12"" ~ 0.17"" (3.0mm ~ 4.3mm)","PG7","-","-","Nylon","Gasket, Nut, Seal","Black","-"
http://www.budind.com/pdf/hb9511.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/NG-9512.JPG,377-1631-ND,NG-9512,Bud Industries,CABLE GLAND 4-6.4MM PG9 NYLON,4971,9705,"1.70000","0","1","-","Active","Cable Gland","0.16"" ~ 0.25"" (4.0mm ~ 6.4mm)","PG9","-","-","Nylon","Gasket, Nut, Seal","Black","-"
http://www.amphenol-industrial.com/images/datasheets/IDS-22%20Cable%20Glands.pdf,//media.digikey.com/Photos/Amphenol%20Photos/AIO-CSM18.jpg,AIO-CSM18-ND,AIO-CSM18,Amphenol Industrial Operations,CABLE GLAND 5-10MM M18 NYLON,1970,0,"1.70000","0","1","-","Active","Cable Gland","0.20"" ~ 0.39"" (5.0mm ~ 10.0mm)","M18x1.5","-","-","Nylon","Panel Nut, Sealing Nut","Black","IP68 - Dust Tight, Waterproof"
http://www.budind.com/pdf/hb9511.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/NG-9513.JPG,377-1923-ND,NG-9513,Bud Industries,CABLE GLAND 5-7.5MM PG11 NYLON,8120,21785,"1.80000","0","1","-","Active","Cable Gland","0.20"" ~ 0.30"" (5.0mm ~ 7.5mm)","PG11","-","-","Nylon","Gasket, Nut, Seal","Black","-"
http://www.essentracomponents.com.sg/images-line/pdfs/CG-M12-1.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_37284.jpg,RPC1889-ND,CG-M16-1-BK,Essentra Components,CABLE GLAND 3-10MM M16 NYLON,5394,0,"1.82000","0","1","CG-M","Active","Cable Gland","0.12"" ~ 0.39"" (3.0mm ~ 10.0mm)","M16","-","0.638"" (16.2mm)","Nylon","Inner and Outer Sealing Gland, Sealing Nut","Black","IP68 - Dust Tight, Waterproof"
//media.digikey.com/pdf/Data%20Sheets/American%20Electrical%20PDFs/AE_Full_Line_Catalog_2014.pdf,//media.digikey.com/photos/American%20Elect%20Photos/1555.07.06.jpg,288-1184-ND,1555.07.06,American Electrical Inc.,CABLE GLAND 2.5-6.5MM PG7 NYLON,5889,0,"2.05000","0","1","Syntec®","Active","Cable Gland","0.10"" ~ 0.26"" (2.5mm ~ 6.5mm)","PG7","-","0.492"" (12.5mm)","Nylon","Sealing Ring","Light Gray","IP68 - Dust Tight, Waterproof"
//media.digikey.com/pdf/Data%20Sheets/American%20Electrical%20PDFs/AE_Full_Line_Catalog_2014.pdf,//media.digikey.com/photos/American%20Elect%20Photos/1545.07.06.jpg,288-1164-ND,1545.07.06,American Electrical Inc.,CABLE GLAND 2.5-6.5MM PG7 NYLON,5790,0,"2.05000","0","1","Syntec®","Active","Cable Gland","0.10"" ~ 0.26"" (2.5mm ~ 6.5mm)","PG7","-","0.492"" (12.5mm)","Nylon","Sealing Ring","Black","IP68 - Dust Tight, Waterproof"
http://www.budind.com/pdf/hb9511.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/NG-9514.jpg,377-1924-ND,NG-9514,Bud Industries,CABLE GLAND 6-11MM PG13.5 NYLON,4723,10360,"2.30000","0","1","-","Active","Cable Gland","0.24"" ~ 0.43"" (6.0mm ~ 11.0mm)","PG13.5","-","-","Nylon","Gasket, Nut, Seal","Black","-"
