Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Length","Diameter","Width","Material","Thickness","Color"
http://multimedia.3m.com/mws/media/109326O/3m-cold-shrink-silicone-rubber-connector-insulators-8440-series.pdf,//media.digikey.com/photos/3M%20Photos/8445-2.5.JPG,3M156885-ND,8445-2.5,3M,COLD SHRINK TUBE 0.35-0.72 X2.5"",242,0,"13.40000","0","1","8440","Active","Tubing","0.208' (63.50mm, 2.50"")","0.35"" ~ 0.72"" (8.9mm ~ 18.3mm)","-","Silicone","-","Gray"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/8420_Series.pdf,//media.digikey.com/photos/3M%20Photos/8427-6.JPG,8427-6-ND,8427-6,3M,COLD SHRINK TUBING 0.67-1.38X6"",28,0,"20.29000","0","1","8420","Active","Tubing","0.500' (152.40mm, 6.00"")","0.67"" ~ 1.38"" (17.0mm ~ 35.0mm)","-","Ethylene Propylene Rubber (EPR)","-","Black"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/8420_Series.pdf,//media.digikey.com/photos/3M%20Photos/8428-12.JPG,8428-12-ND,8428-12,3M,COLD SHRINK TUBING 0.95-1.94X12"",25,0,"43.52000","0","1","8420","Active","Tubing","1.000' (304.80mm, 12.00"")","0.95"" ~ 1.94"" (24.1mm ~ 49.3mm)","-","Ethylene Propylene Rubber (EPR)","-","Black"
http://multimedia.3m.com/mws/media/109326O/3m-cold-shrink-silicone-rubber-connector-insulators-8440-series.pdf,//media.digikey.com/photos/3M%20Photos/8443-6.5.JPG,8443-6.5-ND,8443-6.5,3M,COLD SHRINK TUBE 0.27-0.56X6.5"",30,0,"17.02000","0","1","8440","Active","Tubing","0.542' (165.10mm, 6.50"")","0.27"" ~ 0.56"" (6.9mm ~ 14.2mm)","-","Silicone","-","Gray"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/8420_Series.pdf,//media.digikey.com/photos/3M%20Photos/8423-6.JPG,8423-6-ND,8423-6,3M,COLD SHRINK TUBING 0.31-0.56X6"",37,0,"20.07000","0","1","8420","Active","Tubing","0.500' (152.40mm, 6.00"")","0.31"" ~ 0.56"" (7.9mm ~ 14.2mm)","-","Ethylene Propylene Rubber (EPR)","-","Black"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/8420_Series.pdf,//media.digikey.com/photos/3M%20Photos/8425-8.jpg,8425-8-ND,8425-8,3M,COLD SHRINK TUBING 0.40-0.82X8"",22,0,"20.42000","0","1","8420","Active","Tubing","0.667' (203.20mm, 8.00"")","0.40"" ~ 0.82"" (10.2mm ~ 20.8mm)","-","Ethylene Propylene Rubber (EPR)","-","Black"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/8420_Series.pdf,//media.digikey.com/photos/3M%20Photos/8424-8.JPG,8424-8-ND,8424-8,3M,COLD SHRINK TUBING 0.10-0.82X8"",7,0,"23.26000","0","1","8420","Active","Tubing","0.667' (203.20mm, 8.00"")","0.10"" ~ 0.82"" (2.5mm ~ 20.8mm)","-","Ethylene Propylene Rubber (EPR)","-","Black"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/8420_Series.pdf,//media.digikey.com/photos/3M%20Photos/8426-9.JPG,8426-9-ND,8426-9,3M,COLD SHRINK TUBING 0.55-1.18X9"",10,0,"24.30000","0","1","8420","Active","Tubing","0.750' (228.60mm, 9.00"")","0.55"" ~ 1.18"" (14.0mm ~ 30.0mm)","-","Ethylene Propylene Rubber (EPR)","-","Black"
//media.digikey.com/pdf/Data%20Sheets/Daburn%20PDFs/ST250.pdf,//media.digikey.com/photos/Daburn%20Elect.%20Photos/ST250-2''%20BLK.JPG,W217-ND,ST250-2"" BLK,Daburn Electronics,SHRINK TAPE 2.00"" X 16.00' BLACK,20,0,"25.29000","0","1","Daflex","Active","Tape","16.00' (4.88m)","-","2.00"" (50.8mm)","Rubber","0.018"" (0.46mm)","Black"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/8420_Series.pdf,//media.digikey.com/photos/3M%20Photos/8429-6.jpg,8429-6-ND,8429-6,3M,COLD SHRINK TUBING 1.27-2.67X6"",71,0,"28.34000","0","1","8420","Active","Tubing","0.500' (152.40mm, 6.00"")","1.27"" ~ 2.67"" (32.2mm ~ 67.8mm)","-","Ethylene Propylene Rubber (EPR)","-","Black"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/8420_Series.pdf,//media.digikey.com/photos/3M%20Photos/8426-11.jpg,8426-11-ND,8426-11,3M,COLD SHRINK TUBING 0.55-1.18X11"",6,0,"29.13000","0","1","8420","Active","Tubing","0.917' (279.40mm, 11.00"")","0.55"" ~ 1.18"" (14.0mm ~ 30.0mm)","-","Ethylene Propylene Rubber (EPR)","-","Black"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/8420_Series.pdf,//media.digikey.com/photos/3M%20Photos/8427-16.JPG,8427-16-ND,8427-16,3M,SHRINK TUBING 0.67-1.38""X16"" BLK,17,0,"40.78000","0","1","8420","Active","Tubing","1.33' (406.40mm)","0.67"" ~ 1.38"" (17.0mm ~ 35.0mm)","-","Ethylene Propylene Rubber (EPR)","-","Black"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/8420_Series.pdf,//media.digikey.com/photos/3M%20Photos/8429-12.JPG,8429-12-ND,8429-12,3M,COLD SHRINK TUBING 1.27-2.67X12"",12,0,"48.94000","0","1","8420","Active","Tubing","1.000' (304.80mm, 12.00"")","1.27"" ~ 2.67"" (32.2mm ~ 67.8mm)","-","Ethylene Propylene Rubber (EPR)","-","Black"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/8420_Series.pdf,//media.digikey.com/photos/3M%20Photos/8429-18.JPG,8429-18-ND,8429-18,3M,SHRINK TUBING 1.27-2.67X18"" BLK,10,0,"71.56000","0","1","8420","Active","Tubing","1.50' (457.20mm)","1.27"" ~ 2.67"" (32.2mm ~ 67.8mm)","-","Ethylene Propylene Rubber (EPR)","-","Black"
http://multimedia.3m.com/mws/media/92118O/3mtm-cold-shrink-end-caps-ec-series.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_EC-1.jpg,3M156886-ND,EC-1,3M,COLD SHRINK END CAP BLACK,60,0,"8.14000","0","1","EC","Active","End Cap","-","0.46"" ~ 0.82"" (11.6mm ~ 20.9mm)","-","Polymer","-","Black"
http://multimedia.3m.com/mws/media/92118O/3mtm-cold-shrink-end-caps-ec-series.pdf,//media.digikey.com/photos/3M%20Photos/EC-2.JPG,3M156887-ND,EC-2,3M,COLD SHRINK END CAP BLACK,41,0,"11.40000","0","1","EC","Active","End Cap","-","0.63"" ~ 1.18"" (15.9mm ~ 30.1mm)","-","Polymer","-","Black"
http://multimedia.3m.com/mws/media/109326O/3m-cold-shrink-silicone-rubber-connector-insulators-8440-series.pdf,//media.digikey.com/photos/3M%20Photos/8443-2.JPG,3M160727-ND,8443-2,3M,COLD SHRINK TUBING 0.27-0.56X2"",46,0,"12.81000","0","1","8440","Active","Tubing","0.167' (50.80mm, 2.00"")","0.27"" ~ 0.56"" (6.9mm ~ 14.2mm)","-","Silicone","-","Gray"
http://multimedia.3m.com/mws/media/109326O/3m-cold-shrink-silicone-rubber-connector-insulators-8440-series.pdf,//media.digikey.com/photos/3M%20Photos/8445-7.5.JPG,3M160728-ND,8445-7.5,3M,COLD SHRINK TUBE 0.35-0.72X7.5"",60,0,"18.60000","0","1","8440","Active","Tubing","0.625' (190.50mm, 7.50"")","0.35"" ~ 0.72"" (8.9mm ~ 18.3mm)","-","Silicone","-","Gray"
http://multimedia.3m.com/mws/media/887998O/3m-splices-2013-electrical-products-catalog.pdf,-,3M160717-ND,8424-8P,3M,COLD SHRINK TUBING 0.10-0.82X8"",10,0,"22.65000","0","1","8420","Active","Tubing","0.667' (203.20mm, 8.00"")","0.10"" ~ 0.82"" (2.5mm ~ 20.8mm)","-","Ethylene Propylene Rubber (EPR)","-","Black"
http://multimedia.3m.com/mws/media/887998O/3m-splices-2013-electrical-products-catalog.pdf,-,3M160719-ND,8426-9P,3M,COLD SHRINK TUBING 0.55-1.18X9"",10,0,"23.66000","0","1","8420","Active","Tubing","0.750' (228.60mm, 9.00"")","0.55"" ~ 1.18"" (14.0mm ~ 30.0mm)","-","Ethylene Propylene Rubber (EPR)","-","Black"
http://multimedia.3m.com/mws/media/887998O/3m-splices-2013-electrical-products-catalog.pdf,-,3M160718-ND,8426-9M,3M,COLD SHRINK TUBING 0.55-1.18X9"",25,0,"24.79000","0","1","8420","Active","Tubing","0.750' (228.60mm, 9.00"")","0.55"" ~ 1.18"" (14.0mm ~ 30.0mm)","-","Ethylene Propylene Rubber (EPR)","-","Black"
http://multimedia.3m.com/mws/media/887998O/3m-splices-2013-electrical-products-catalog.pdf,-,3M160721-ND,8427-12P,3M,COLD SHRINK TUBING 0.67-1.38X12"",10,0,"35.31000","0","1","8420","Active","Tubing","1.000' (304.80mm, 12.00"")","0.67"" ~ 1.38"" (17.0mm ~ 35.1mm)","-","Ethylene Propylene Rubber (EPR)","-","Black"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/8420_Series.pdf,//media.digikey.com/photos/3M%20Photos/8427-12.JPG,3M160720-ND,8427-12,3M,COLD SHRINK TUBING 0.67-1.38X12"",8,0,"36.26000","0","1","8420","Active","Tubing","1.000' (304.80mm, 12.00"")","0.67"" ~ 1.38"" (17.0mm ~ 35.1mm)","-","Ethylene Propylene Rubber (EPR)","-","Black"
-,-,3M162031-ND,QSLV-M(2-500),3M,COLD SHRINK TUBING 1.5X4.25"" BLK,10,0,"41.58000","0","1","QSLV-M","Active","Tubing","0.354' (107.95mm, 4.25"")","1.50"" (38.1mm)","-","Ethylene Propylene Terpolymer Rubber (EPDM)","-","Black"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/8420_Series.pdf,//media.digikey.com/photos/3M%20Photos/8429-9.JPG,3M160723-ND,8429-9,3M,COLD SHRINK TUBING 1.27-2.67X9"",25,0,"42.42000","0","1","8420","Active","Tubing","0.750' (228.60mm, 9.00"")","1.27"" ~ 2.67"" (32.2mm ~ 67.8mm)","-","Ethylene Propylene Rubber (EPR)","-","Black"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/8420_Series.pdf,//media.digikey.com/photos/3M%20Photos/8430-9.JPG,3M160725-ND,8430-9,3M,COLD SHRINK TUBING 1.68-3.69X9"",24,0,"46.01000","0","1","8420","Active","Tubing","0.750' (228.60mm, 9.00"")","1.68"" ~ 3.69"" (42.7mm ~ 93.7mm)","-","Ethylene Propylene Rubber (EPR)","-","Black"
http://multimedia.3m.com/mws/media/887998O/3m-splices-2013-electrical-products-catalog.pdf,-,3M160722-ND,8428-12P,3M,COLD SHRINK TUBING 0.95-1.94X12"",30,0,"46.24000","0","1","8420","Active","Tubing","1.000' (304.80mm, 12.00"")","0.95"" ~ 1.94"" (24.1mm ~ 49.3mm)","-","Ethylene Propylene Rubber (EPR)","-","Black"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/8420_Series.pdf,//media.digikey.com/photos/3M%20Photos/8428-18.JPG,3M157767-ND,8428-18,3M,SHRINK TUBING 0.95-1.94X18"" BLK,10,0,"65.45000","0","1","8420","Active","Tubing","1.50' (457.20mm)","0.95"" ~ 1.94"" (24.1mm ~ 49.3mm)","-","Ethylene Propylene Rubber (EPR)","-","Black"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/8420_Series.pdf,//media.digikey.com/photos/3M%20Photos/8430-18.JPG,3M160724-ND,8430-18,3M,SHRINK TUBING 1.68-3.69X18"" BLK,9,0,"76.11000","0","1","8420","Active","Tubing","1.50' (457.20mm)","1.68"" ~ 3.69"" (42.7mm ~ 93.7mm)","-","Ethylene Propylene Rubber (EPR)","-","Black"
https://multimedia.3m.com/mws/media/37212O/8560-series-cs-cable-breakout-boots.pdf,-,3M162581-ND,8561,3M,COLD SHRINK TUBING 5.00"" GRAY,5,0,"91.55000","0","1","8560","Active","Tubing","0.417' (127.00mm, 5.00"")","-","-","Rubber","-","Gray"
https://multimedia.3m.com/mws/media/41630O/cold-shrink-rubber-splicing-kits-5740-series-inline.PDF,-,3M159703-ND,5742,3M,COLD SHRINK TUBING 12"" BLACK,3,0,"170.23000","0","1","5740","Active","Tubing","1.000' (304.80mm, 12.00"")","-","-","Ethylene Propylene Terpolymer Rubber (EPDM)","-","Black"
