Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Material","Size, Supplied","Thickness","Number of Carriers","Wire Gauge - Ends","Length"
http://cdn.techflex.com/assets/pdfs/specification-sheets/mbn.pdf,//media.digikey.com/Photos/Techflex/MFG_MBN0_25SV.jpg,1030-1166-ND,MBN0.25SV100,Techflex,GROUND BRAID TUBE 0.25""DIAX100',779,0,"82.56000","0","1","Metal Braid","Active","Tubular","Copper, Tinned","0.250"" (6.35mm, 1/4"") - Outer Dia","0.013"" (0.33mm)","24","36 AWG","100.0' (30.48m)"
http://cdn.techflex.com/assets/pdfs/specification-sheets/mbn.pdf,//media.digikey.com/Photos/Techflex/MFG_MBN0_50SV.jpg,1030-1169-ND,MBN0.50SV,Techflex,GROUND BRAID TUBE 0.5""DIA X 100',210,0,"109.06000","0","1","Metal Braid","Active","Tubular","Copper, Tinned","0.500"" (12.70mm, 1/2"") - Outer Dia","0.013"" (0.33mm)","48","36 AWG","100.0' (30.48m)"
http://cdn.techflex.com/assets/pdfs/specification-sheets/mbn.pdf,//media.digikey.com/Photos/Techflex/MFG_MBN0_63SV.jpg,1030-1171-ND,MBN0.63SV,Techflex,GROUND BRAID TUBE 0.625""DIAX100',38,0,"116.74000","0","1","Metal Braid","Active","Tubular","Copper, Tinned","0.625"" (15.88mm, 5/8"") - Outer Dia","0.016"" (0.41mm)","48","34 AWG","100.0' (30.48m)"
http://cdn.techflex.com/assets/pdfs/specification-sheets/mbn.pdf,//media.digikey.com/Photos/Techflex/MFG_MBN1_00SV.jpg,1030-1176-ND,MBN1.00SV50,Techflex,GROUND BRAID TUBE 1""DIA X 50',42,0,"138.24000","0","1","Metal Braid","Active","Tubular","Copper, Tinned","1.000"" (25.40mm) - Outer Dia","0.025"" (0.64mm)","48","30 AWG","50.0' (15.24m)"
http://cdn.techflex.com/assets/pdfs/specification-sheets/mbn.pdf,//media.digikey.com/Photos/Techflex/MFG_MBN-Copper.jpg,1030-1306-ND,MBN0.78SV,Techflex,GROUND BRAID TUBE 0.781""DIAX100',30,0,"167.42000","0","1","Metal Braid","Active","Tubular","Copper, Tinned","0.781"" (19.84mm, 25/32"") - Outer Dia","0.013"" (0.33mm)","48","36 AWG","100.0' (30.48m)"
http://cdn.techflex.com/assets/pdfs/specification-sheets/mbn.pdf,//media.digikey.com/Photos/Techflex/MFG_MBN0_38SV.jpg,1030-1167-ND,MBN0.38SV,Techflex,GROUND BRAID TUBE 0.375""DIAX250',32,0,"168.84000","0","1","Metal Braid","Active","Tubular","Copper, Tinned","0.375"" (9.53mm, 3/8"") - Outer Dia","0.013"" (0.33mm)","48","36 AWG","250.0' (76.20m)"
http://cdn.techflex.com/assets/pdfs/specification-sheets/mbn.pdf,//media.digikey.com/Photos/Techflex/MFG_MBN0_25SV.jpg,1030-1165-ND,MBN0.25SV,Techflex,GROUND BRAID TUBE 0.25""DIAX250',55,0,"182.40000","0","1","Metal Braid","Active","Tubular","Copper, Tinned","0.250"" (6.35mm, 1/4"") - Outer Dia","0.013"" (0.33mm)","24","36 AWG","250.0' (76.20m)"
http://www.alphawire.com/Home/Products/TubingAccessories/FIT-Wire-Management/Braid/1231?device=pdf,//media.digikey.com/photos/Alpha%20Wire%20Photos/1233%5E2%20SV005.JPG,A1231SV-100-ND,1231 SV005,Alpha Wire,GROUND BRAID FLAT 0.25"" X 100',296,94,"224.96000","0","1","FIT®","Active","Flat","Copper, Tinned","0.250"" (6.35mm, 1/4"") - Width","0.030"" (0.76mm)","24","36 AWG","100.0' (30.48m)"
http://www.alphawire.com/Home/Products/TubingAccessories/FIT-Wire-Management/Braid/2166?device=pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/MFG_2171-SV005.jpg,2166SV005-ND,2166 SV005,Alpha Wire,GROUND BRAID TUBE 0.125""DIAX100',27,15,"273.30000","0","1","FIT®","Active","Tubular","Copper, Tinned","0.125"" (3.18mm, 1/8"") - Inner Dia","-","24","36 AWG","100.0' (30.48m)"
http://www.alphawire.com/Home/Products/TubingAccessories/FIT-Wire-Management/Braid/1232?device=pdf,//media.digikey.com/photos/Alpha%20Wire%20Photos/1233%5E2%20SV005.JPG,A1232SV-100-ND,1232 SV005,Alpha Wire,GROUND BRAID FLAT 0.375"" X 100',61,0,"359.96000","0","1","FIT®","Active","Flat","Copper, Tinned","0.375"" (9.53mm, 3/8"") - Width","0.030"" (0.76mm)","24","36 AWG","100.0' (30.48m)"
http://www.alphawire.com/Home/Products/TubingAccessories/FIT-Wire-Management/Braid/1233_2?device=pdf,//media.digikey.com/photos/Alpha%20Wire%20Photos/1233%5E2%20SV005.JPG,1233/2SV005-ND,1233/2 SV005,Alpha Wire,GROUND BRAID FLAT 0.5"" X 100',70,0,"455.34000","0","1","FIT®","Active","Flat","Copper, Tinned","0.500"" (12.70mm, 1/2"") - Width","0.030"" (0.76mm)","48","36 AWG","100.0' (30.48m)"
http://www.alphawire.com/Home/Products/TubingAccessories/FIT-Wire-Management/Braid/2171?device=pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/MFG_2171-SV005.jpg,2171SV005-ND,2171 SV005,Alpha Wire,GROUND BRAID TUBE 0.25""DIAX100',31,0,"549.95000","0","1","FIT®","Active","Tubular","Copper, Tinned","0.250"" (6.35mm, 1/4"") - Inner Dia","-","24","36 AWG","100.0' (30.48m)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=RAY-10X&DocType=Customer+Drawing&DocLang=English,-,A132459-DS-ND,RAY-101-10.0(100),"TE Connectivity Aerospace, Defense and Marine",GROUND BRAID TUBE 0.394""DIA M,102,0,"19.65000","0","1","RAYBRAID®","Active","Tubular","Copper, Tin Plated","0.394"" (10.00mm) - Inner Dia","-","36","36 AWG","Digi-Spool™, Continuous Spool"
