Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Shell Size - Insert","Features","Color","Material","Large Diameter Supplied","Large Diameter Recovered","Small Diameter Supplied","Small Diameter Recovered","Large Recovered Length","Small Recovered Length","Total Length Supplied","Total Length Recovered"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=PD-CAPS&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/PD-CAP-1%5E8-0.JPG,PDC018K-ND,PD-CAP-1/8-0,TE Connectivity Raychem Cable Protection,HEATSHRINK END CAP BLACK 1/8"",169112,0,"0.12000","0","1","PD","Active","Cap","-","Abrasion Resistant, Encapsulant Lined, Flex Resistant, Moisture Resistant, Splash Resistant, Vibration Resistant","Black","Polyolefin (PO), Semi-Rigid","0.125"" (3.18mm)","0.023"" (0.58mm)","-","-","-","-","0.870"" (22.10mm)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=ES_CAPS&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/ES-CAP-NO.1-C1-0-30MM.JPG,ESC30K-ND,ES-CAP-NO.1-C1-0-30MM,TE Connectivity Raychem Cable Protection,HEATSHRINK END CAP BLACK 5.7MM,137706,0,"0.17000","0","1","ES","Active","Cap","-","Abrasion Resistant, Adhesive Coating, Flame Retardant, Fluid Resistant, Moisture Resistant, Strain Resistant","Black","Polyolefin (PO), Semi-Rigid","0.225"" (5.72mm)","0.050"" (1.27mm)","-","-","-","-","1.180"" (29.97mm)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=ES_CAPS&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/ES-CAP-NO.2-B9-0-35MM.JPG,ESB35K-ND,ES-CAP-NO.2-B9-0-35MM,TE Connectivity Raychem Cable Protection,HEATSHRINK END CAP BLACK 7.4MM,85927,0,"0.24000","0","1","ES","Active","Cap","-","Abrasion Resistant, Adhesive Coating, Flame Retardant, Fluid Resistant, Moisture Resistant, Strain Resistant","Black","Polyolefin (PO), Semi-Rigid","0.293"" (7.44mm)","0.065"" (1.65mm)","-","-","-","-","1.380"" (35.05mm)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=PD-CAPS&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/PD-CAP-1%5E2-0.jpg,PDC012K-ND,PD-CAP-1/2-0,TE Connectivity Raychem Cable Protection,HEATSHRINK END CAP BLACK 1/2"",10627,0,"0.57000","0","1","PD","Active","Cap","-","Abrasion Resistant, Encapsulant Lined, Flex Resistant, Moisture Resistant, Splash Resistant, Vibration Resistant","Black","Polyolefin (PO), Semi-Rigid","0.500"" (12.70mm)","0.090"" (2.29mm)","-","-","-","-","1.500"" (38.10mm)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=202A111thru196&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/806786-000.JPG,202A111-25/86-0-ND,202A111-25/86-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT SZ11 BLACK,706,0,"12.14000","0","1","Thermofit 202A1","Active","Boot","11","Adhesive Coating, Fluid Resistant","Black","Elastomer, Semi-Rigid","0.650"" (16.51mm)","0.311"" (7.90mm)","0.469"" (11.91mm)","0.150"" (3.81mm)","0.559"" (14.20mm)","-","-","1.000"" (25.40mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=202D211thru299&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/807551-000.JPG,202D221-4/42-0-ND,202D221-4/42-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK BOOT SZ21 BLACK,189,0,"18.25000","0","1","Thermofit 202D2","Active","Boot","21","Adhesive Coating, Flame Retardant, Fluid Resistant, Heat Resistant, Lip, Strain Resistant","Black","Polyolefin (PO), Flexible, Irradiated","1.012"" (25.70mm)","0.591"" (15.00mm)","1.012"" (25.70mm)","0.291"" (7.39mm)","0.591"" (15.01mm)","3.882"" (98.60mm)","-","4.772"" (121.21mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=382A012thru046&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/382A012-3-0.JPG,A101263-ND,382A012-3-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRNK BOOT BRKOUT 2:1 Y SZ12,16,0,"21.57000","0","1","Thermofit 382A0","Active","Boot, Transition - Breakout, 2:1 (Y)","12","-","Black","Polyolefin (PO), Semi-Rigid","0.520"" (13.21mm)","0.240"" (6.10mm)","0.260"" (6.60mm)","0.130"" (3.30mm)","0.882"" (22.40mm)","0.760"" (19.30mm)","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=382A012thru046&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/382A012-25%5E225-0.JPG,A101260-ND,382A012-25/225-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRNK BOOT BRKOUT 2:1 Y SZ12,194,0,"24.64000","0","1","Thermofit 382A0","Active","Boot, Transition - Breakout, 2:1 (Y)","12","Adhesive Coating, Fluid Resistant","Black","Elastomer, Semi-Rigid","0.520"" (13.21mm)","0.240"" (6.10mm)","0.260"" (6.60mm)","0.130"" (3.30mm)","0.882"" (22.40mm)","0.760"" (19.30mm)","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=382A012thru046&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/382A0-34.JPG,A125957-ND,382A034-3/42-0,"TE Connectivity Aerospace, Defense and Marine",HEATSHRNK BOOT BRKOUT 2:1 Y SZ34,156,0,"49.16000","0","1","Thermofit 382A0","Active","Boot, Transition - Breakout, 2:1 (Y)","34","-","Black","Polyolefin (PO), Semi-Rigid","1.520"" (38.61mm)","0.710"" (18.03mm)","1.060"" (26.92mm)","0.488"" (12.40mm)","2.579"" (65.51mm)","3.098"" (78.69mm)","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=PD-CAPS&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/PD-CAP-3%5E16-0.JPG,PDC316K-ND,PD-CAP-3/16-0,TE Connectivity Raychem Cable Protection,HEATSHRINK END CAP BLACK 3/16"",14662,0,"0.11000","0","1","PD","Active","Cap","-","Abrasion Resistant, Encapsulant Lined, Flex Resistant, Moisture Resistant, Splash Resistant, Vibration Resistant","Black","Polyolefin (PO), Semi-Rigid","0.187"" (4.75mm)","0.060"" (1.52mm)","-","-","-","-","1.000"" (25.40mm)","-"
