Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Shrinkage Ratio","Length","Diameter - Inner, Recovered","Diameter - Inner, Supplied","Wall Thickness - Nonrecovered","Color"
http://www.alphawire.com/Home/Products/TubingAccessories/FIT-Heat-Shrink-Tubing/Shrink-Tubing/FITFAB2?device=pdf,//media.digikey.com/photos/Alpha%20Wire%20Photos/FITFAB-2%20BK007.JPG,A0792B-50-ND,FITFAB-2 BK007,Alpha Wire,HEATSHRINK FABRIC .79"" X 50',29,0,"189.14000","0","1","FIT®","Active","2 to 1","50.00' (15.24m)","0.39"" (9.9mm)","0.79"" (20.1mm)","0.040"" (1.02mm)","Black"
http://www.alphawire.com/Home/Products/TubingAccessories/FIT-Heat-Shrink-Tubing/Shrink-Tubing/FITFAB7?device=pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/FITFAB-7~BK005.jpg,A2767B-100-ND,FITFAB-7 BK005,Alpha Wire,HEATSHRINK FABRIC 2.76""X100',28,0,"511.90000","0","1","FIT®","Active","2 to 1","100.0' (30.5m)","1.38"" (35.1mm)","2.76"" (70.1mm)","0.040"" (1.02mm)","Black"
http://cdn.techflex.com/assets/pdfs/specification-sheets/h2f.pdf,//media.digikey.com/Photos/Techflex/MFG_H2F0.79BK.jpg,1030-1370-ND,H2F0.79BK,Techflex,2:1 FAB HEATSHRINK BLK 20MM 100',48,0,"125.60000","0","1","Shrinkflex","Active","2 to 1","100.0' (30.5m)","0.39"" (9.9mm)","0.79"" (20.1mm)","-","Black"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=HFT5000&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/HFT5000-12%5E6-0-SP.JPG,HFT1206-500-ND,HFT5000-12/6-0-SP,TE Connectivity Raychem Cable Protection,HEATSHRNK FABRIC 12/6MM 500M BLK,6,0,"1141.42000","0","1","HFT5000","Active","2 to 1","1640.4' (500.0m)","0.24"" (6.1mm)","0.47"" (11.9mm)","-","Black"
http://cdn.techflex.com/assets/pdfs/specification-sheets/h2f.pdf,//media.digikey.com/Photos/Techflex/MFG_H2F0.48BK.jpg,1030-1369-ND,H2F0.48BK25,Techflex,2:1 FAB HEATSHRINK BLK 12MM 25',11,0,"39.43000","0","1","Shrinkflex","Active","2 to 1","25.00' (7.62m)","0.24"" (6.1mm)","0.47"" (11.9mm)","-","Black"
http://cdn.techflex.com/assets/pdfs/specification-sheets/h2f.pdf,//media.digikey.com/Photos/Techflex/MFG_H2F0.48BK.jpg,1030-1368-ND,H2F0.48BK,Techflex,2:1 FAB HEATSHRINK BLK 12MM 100',12,0,"100.80000","0","1","Shrinkflex","Active","2 to 1","100.0' (30.5m)","0.24"" (6.1mm)","0.47"" (11.9mm)","-","Black"
http://cdn.techflex.com/assets/pdfs/specification-sheets/h2f.pdf,//media.digikey.com/Photos/Techflex/MFG_H2F1.jpg,1030-1372-ND,H2F1.18BK,Techflex,2:1 FAB HEATSHRINK BLK 30MM 100',7,0,"154.40000","0","1","Shrinkflex","Active","2 to 1","100.0' (30.5m)","0.59"" (15.0mm)","1.18"" (30.0mm)","-","Black"
http://www.alphawire.com/Home/Products/TubingAccessories/FIT-Heat-Shrink-Tubing/Shrink-Tubing/FITFAB3?device=pdf,//media.digikey.com/photos/Alpha%20Wire%20Photos/FITFAB-3%20BK007.JPG,A1183B-50-ND,FITFAB-3 BK007,Alpha Wire,HEATSHRINK FABRIC 1.18"" X 50',7,3,"194.52000","0","1","FIT®","Active","2 to 1","50.00' (15.24m)","0.59"" (15.0mm)","1.18"" (30.0mm)","0.040"" (1.02mm)","Black"
http://www.alphawire.com/Home/Products/TubingAccessories/FIT-Heat-Shrink-Tubing/Shrink-Tubing/FITFAB1?device=pdf,//media.digikey.com/photos/Alpha%20Wire%20Photos/FITFAB-1%20BK004.JPG,A0471B-200-ND,FITFAB-1 BK004,Alpha Wire,HEATSHRINK FABRIC .47""X200',14,7,"381.98000","0","1","FIT®","Active","2 to 1","200.0' (61.0m)","0.24"" (6.1mm)","0.47"" (11.9mm)","0.040"" (1.02mm)","Black"
http://www.alphawire.com/Home/Products/TubingAccessories/FIT-Heat-Shrink-Tubing/Shrink-Tubing/FITFAB3?device=pdf,//media.digikey.com/photos/Alpha%20Wire%20Photos/FITFAB-3%20BK004.JPG,A1183B-200-ND,FITFAB-3 BK004,Alpha Wire,HEATSHRINK FABRIC 1.18""X200',21,0,"465.28000","0","1","FIT®","Active","2 to 1","200.0' (61.0m)","0.59"" (15.0mm)","1.18"" (30.0mm)","0.040"" (1.02mm)","Black"
