Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Size","Cable Diameter","Legend","Color","Material"
http://www.panduit.com/heiler/PartDrawings/C10656.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/PARW125-RED.JPG,298-10390-ND,PARW125-RED,Panduit Corp,MARKER INSPECTION 0.13X0.19"" RED,195,0,"3.28000","0","1","576 per Card; 25 Cards per Pkg","PAN-CODE™","Active","Wire Marker, Inspection Arrows","0.13"" W x 0.19"" L (3.2mm x 4.7mm)","-","Arrow Sign","Red","Vinyl Cloth"
http://www.panduit.com/heiler/PartDrawings/C10656.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/PARW125-YEL.JPG,298-12019-ND,PARW125-YEL,Panduit Corp,MARKER INSPECTION 0.13X0.19"" YLW,301,0,"3.58000","0","1","576 per Card; 25 Cards per Pkg","PAN-CODE™","Active","Wire Marker, Inspection Arrows","0.13"" W x 0.19"" L (3.2mm x 4.7mm)","-","Arrow Sign","Yellow","Vinyl Cloth"
http://multimedia.3m.com/mws/media/41246O/3m-scotchcode-std-tape-dispenser-sdr-wire-marking-tape.PDF,//media.digikey.com/photos/3M%20Photos/SDR-2.jpg,SDR-2-ND,SDR-2,3M,SCOTCH CODE REFILL # 2,166,0,"4.93000","0","1","576 per Roll","ScotchCode™ SDR","Active","Wire Marker, Tape","0.22"" W x 96.00"" L (5.5mm x 2.4m)","Cut to Desired Diameter","2","White","Polyester"
http://multimedia.3m.com/mws/media/41246O/3m-scotchcode-std-tape-dispenser-sdr-wire-marking-tape.PDF,//media.digikey.com/photos/3M%20Photos/SDR-3.jpg,SDR-3-ND,SDR-3,3M,SCOTCH CODE REFILL # 3,138,0,"4.93000","0","1","576 per Roll","ScotchCode™ SDR","Active","Wire Marker, Tape","0.22"" W x 96.00"" L (5.5mm x 2.4m)","Cut to Desired Diameter","3","White","Polyester"
http://multimedia.3m.com/mws/media/41246O/3m-scotchcode-std-tape-dispenser-sdr-wire-marking-tape.PDF,//media.digikey.com/photos/3M%20Photos/SDR-5.jpg,SDR-5-ND,SDR-5,3M,SCOTCH CODE REFILL # 5,109,0,"4.93000","0","1","576 per Roll","ScotchCode™ SDR","Active","Wire Marker, Tape","0.22"" W x 96.00"" L (5.5mm x 2.4m)","Cut to Desired Diameter","5","White","Polyester"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=TTDS-026&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/EC0382-000.JPG,A105334-ND,EC0382-000,TE Connectivity Raychem Cable Protection,MARKER ZTYPE STRT 2 LEGEND WH,21221,0,"0.10000","0","1","1000 per Box","Z","Active","Wire Marker, Push On","0.18"" L (4.5mm)","0.098"" ~ 0.157"" (2.50mm ~ 4.00mm)","2","White","Poly-Vinyl Chloride (PVC)"
"//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/PATG,PATO,PAB-KTL.pdf",//media.digikey.com/Photos/Phoenix%20Photos/1013038.JPG,277-5583-ND,1013038,Phoenix Contact,CONDUCT MARKER CARRIER CLOSED,1538,26000,"0.28000","0","1","1000 per Pkg","CLIPLINE PATG","Active","Wire Marker Carrier, Slip-On","0.59"" W x 0.16"" L (15.0mm x 4.0mm)","0.079"" ~ 0.157"" (2.00mm ~ 4.00mm)","Blank","Transparent","Poly-Vinyl Chloride (PVC)"
"//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/PATG,PATO,PAB-KTL.pdf",//media.digikey.com/Photos/Phoenix%20Photos/1013025.JPG,277-5538-ND,1013025,Phoenix Contact,CONDUCT MARKER CARRIER CLOSED,1262,68000,"0.28000","0","1","1000 per Pkg","CLIPLINE PATG","Active","Wire Marker Carrier, Slip-On","0.59"" W x 0.16"" L (15.0mm x 4.0mm)","0.059"" ~ 0.098"" (1.50mm ~ 2.50mm)","Blank","Transparent","Poly-Vinyl Chloride (PVC)"
"//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/PATG,PATO,PAB-KTL.pdf",//media.digikey.com/Photos/Phoenix%20Photos/1013847.JPG,277-12265-ND,1013847,Phoenix Contact,CONDUCT MARKER CARRIER CLOSED,1879,53000,"0.29000","0","1","1000 per Pkg","CLIPLINE PATG","Active","Wire Marker Carrier, Slip-On","0.91"" W x 0.16"" L (23.0mm x 4.0mm)","0.059"" ~ 0.098"" (1.50mm ~ 2.50mm)","Blank","Transparent","Poly-Vinyl Chloride (PVC)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=TTDS-113&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/768838-000.JPG,A105291-ND,CM-SCE-TP-1/4-4H-9,TE Connectivity Raychem Cable Protection,CBL MARKR TIE ON 1/4"" WH 4HOLES,3111,0,"0.84000","0","1","250 per Pkg","CM-SCE","Active","Wire Marker, Cable Tie","0.41"" W x 2.02"" L (10.4mm x 51.4mm)","0.200"" ~ 0.492"" (5.08mm ~ 12.50mm)","Blank","White","Polyolefin (PO), Irradiated"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/0818182.pdf,//media.digikey.com/Photos/Phoenix%20Photos/0818182.JPG,277-5550-ND,0818182,Phoenix Contact,UNICARD SHEETS 1 SHEET=15 LABELS,123,370,"2.91000","0","1","15 per Pkg","CLIPLINE UniCard","Active","Wire Marker, Clip-On","0.59"" W x 0.22"" H (15.0mm x 5.5mm)","0.110"" ~ 0.173"" (2.80mm ~ 4.40mm)","Blank","White","Polyamide (PA), Nylon"
http://multimedia.3m.com/mws/media/41246O/3m-scotchcode-std-tape-dispenser-sdr-wire-marking-tape.PDF,//media.digikey.com/photos/3M%20Photos/SDR-BK.jpg,SDR-BK-ND,SDR-BK,3M,SCOTCH CODE REFILL BLACK,108,0,"4.93000","0","1","1 Roll","ScotchCode™ SDR","Active","Wire Marker, Tape","0.22"" W x 96.00"" L (5.5mm x 2.4m)","Cut to Desired Diameter","Blank","Black","Polyester"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/0801471.pdf,//media.digikey.com/Photos/Phoenix%20Photos/0801471.jpg,277-10810-ND,0801471,Phoenix Contact,TERM BLOCK MARKER,319,400,"8.99000","0","1","-","*","Active","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/0820426.pdf,//media.digikey.com/Photos/Phoenix%20Photos/0820426.JPG,277-5510-ND,0820426,Phoenix Contact,UNICARD SHEETS 12 SECTIONS,659,480,"9.71000","0","1","12 per Pkg","CLIPLINE UniCard","Active","Wire Marker, Cable Tie","0.94"" W x 0.39"" L (24.0mm x 10.0mm)","0.157"" (4.00mm)","Blank","White","Polyamide (PA), Nylon"
