Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Diameter","Length","Color","Features"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=CWT-900X&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/470037-000.jpg,CWT-9002-ND,CWT-9002,TE Connectivity Raychem Cable Protection,SOLDER SLEEVE .105"" DIA RED,11624,0,"0.87000","0","1","SolderSleeve CWT, One-Step","Active","Wire to Wire","0.105"" (2.67mm)","1.655"" (42.04mm)","Clear","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=CWT-900X&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/CWT-9001.JPG,CWT9001-ND,CWT-9001,TE Connectivity Raychem Cable Protection,SOLDER SLEEVE .065"" DIA CLEAR,11279,0,"0.93000","0","1","SolderSleeve CWT, One-Step","Active","Wire to Wire","0.065"" (1.65mm)","1.025"" (26.04mm)","Clear","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=B-155-90XX&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/C67976-000.JPG,A104848-ND,B-155-9001,"TE Connectivity Aerospace, Defense and Marine",B-155-9001,18056,0,"0.96000","0","1","SolderSleeve B-155","Active","Wire to Wire","0.065"" (1.65mm)","1.025"" (26.04mm)","Transparent - Clear","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=CWT-900X&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/114163-000.jpg,CWT-9003-ND,CWT-9003,TE Connectivity Raychem Cable Protection,SOLDER SLEEVE .180"" DIA BLUE,3620,0,"0.96000","0","1","SolderSleeve CWT, One-Step","Active","Wire to Wire","0.180"" (4.57mm)","1.655"" (42.04mm)","Clear","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=CWT-38XX&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/599173-000.jpg,CWT-3802-ND,CWT-3802,"TE Connectivity Aerospace, Defense and Marine",SOLDERSLEEVE SHIELD TERMINATOR,79058,0,"1.25000","0","1","SolderSleeve CWT, One-Step","Active","Wire to Wire","0.075"" (1.91mm)","1.025"" (26.04mm)","Clear","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=SO63-A-55-GA-CL&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/SO63-3-55-22-90.jpg,SO63-3-55-22-90-ND,SO63-3-55-22-90,TE Connectivity Raychem Cable Protection,SOLDER SHIELD TERM 22 AWG LEAD,5306,0,"2.67000","0","1","SolderSleeve SO63","Active","Wire to Wire","0.170"" (4.32mm), 0.200"" (5.08mm)","0.650"" (16.51mm)","Transparent - Blue","Immersion Resistant, Pre-Installed Lead Wire"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=S02-07/08/-10-R-XX&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/974559-000.jpg,A104839-ND,S02-08-R-3,"TE Connectivity Aerospace, Defense and Marine",S02-08-R-3,3168,0,"3.28000","0","1","SolderSleeve S02","Active","Wire to Wire","0.170"" (4.32mm), 0.200"" (5.08mm)","0.650"" (16.51mm)","Transparent - Blue","Environment Resistant, Pre-Installed Lead Wire"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=B-155-XX&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/B-155-11.jpg,B-155-11-ND,B-155-11,TE Connectivity Raychem Cable Protection,SOLDERSLEEVE SHIELD TERMINATOR,3402,0,"3.45000","0","1","SolderSleeve B-155","Active","Wire to Wire","0.425"" (10.80mm), 0.453"" (11.51mm)","1.398"" (35.52mm)","Clear","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=SO63-A-55-GA-CL&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/SO63-4-55-22-90.jpg,SO63-4-55-22-90-ND,SO63-4-55-22-90,TE Connectivity Raychem Cable Protection,SOLDER SHIELD TERM 22 AWG LEAD,2723,0,"4.10000","0","1","SolderSleeve SO63","Active","Wire to Wire","0.235"" (5.97mm), 0.255"" (6.48mm)","0.750"" (19.05mm)","Transparent - Blue","Immersion Resistant, Pre-Installed Lead Wire"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=B-040-GA-N&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/005299-000.jpg,B-040-24-N-ND,B-040-24-N,"TE Connectivity Aerospace, Defense and Marine","CABLE TERMINATION RG/U 179,316",159,0,"7.27000","0","1","SolderSleeve B-040","Active","Wire to Pin","0.175"" (4.45mm)","1.180"" (29.97mm)","Transparent - Blue","Pre-Installed Lead Wire"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=D-150-0228/-0238&DocType=Customer+Drawing&DocLang=English,-,A132438-ND,D-150-0231,"TE Connectivity Aerospace, Defense and Marine",CONN SPLICE 20-26 AWG CRIMP,784,0,"22.20000","0","1","SolderShield","Active","Wire to Wire","0.157"" (4.00mm)","4.170"" (105.92mm)","Transparent - Blue","Environment Resistant"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=CWT-150X&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/CWT-1501.JPG,CWT-1501-ND,CWT-1501,TE Connectivity Raychem Cable Protection,ONE STEP WIRE TERMINATORS .06"",7975,0,"0.58000","0","1","SolderSleeve CWT, One-Step","Active","Wire to Wire/Pin","0.059"" (1.52mm)","0.630"" (16.00mm)","Clear","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=CWT-38XX&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/CWT-3801.jpg,A132431-ND,CWT-3801,"TE Connectivity Aerospace, Defense and Marine",SOLDERSLEEVE SHIELD TERMINATOR,5339,0,"0.63000","0","1","SolderSleeve CWT, One-Step","Active","Wire to Wire","0.065"" (1.65mm)","1.025"" (26.04mm)","Clear","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=CWT-900X&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/691091-000.jpg,CWT-9004-ND,CWT-9004,"TE Connectivity Aerospace, Defense and Marine",SOLDER SLEEVE .235"" DIA YELLOW,14159,0,"1.04000","0","1","SolderSleeve CWT, One-Step","Active","Wire to Wire","0.235"" (5.97mm)","1.655"" (42.04mm)","Clear","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=B-155-90XX&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/F40876-000.jpg,A104858-ND,B-155-9002,"TE Connectivity Aerospace, Defense and Marine",B-155-9002,7842,0,"1.04000","0","1","SolderSleeve B-155","Active","Wire to Wire","0.105"" (2.67mm)","1.655"" (42.04mm)","Transparent - Clear","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=D-129-03&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/D-129-03.jpg,A132436-ND,D-129-03,"TE Connectivity Aerospace, Defense and Marine",SOLDER PAK WIRE TERMINATORS,5908,0,"1.10000","0","1","SolderSleeve D-129","Active","Wire to Wire/Pin","0.020"" (0.51mm), 0.110"" (2.79mm)","0.480"" (12.19mm)","Transparent - Blue","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=B-155-90XX&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/E74832-000.jpg,A104856-ND,B-155-9003,"TE Connectivity Aerospace, Defense and Marine",B-155-9003,4621,0,"1.10000","0","1","SolderSleeve B-155","Active","Wire to Wire","0.180"" (4.57mm)","1.655"" (42.04mm)","Transparent - Clear","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=B-155-90XX&DocType=Customer+Drawing&DocLang=English,-,A132285-ND,B-155-9004,"TE Connectivity Aerospace, Defense and Marine",B-155-9004,2258,0,"1.70000","0","1","SolderSleeve B-155","Active","Wire to Wire","0.235"" (5.97mm)","1.655"" (42.04mm)","Transparent - Clear","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=B-155-XX&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/A88975-000.JPG,A104846-ND,B-155-07,"TE Connectivity Aerospace, Defense and Marine",B-155-07,1397,0,"2.00000","0","1","SolderSleeve B-155","Active","Wire to Wire","0.267"" (6.78mm), 0.287"" (7.29mm)","1.279"" (32.50mm)","Clear","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=CWT-XX&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/427559-000.JPG,CWT-6-ND,CWT-6,"TE Connectivity Aerospace, Defense and Marine",SOLDERSLEEVE SHIELD TERMINATOR,13963,0,"2.05000","0","1","SolderSleeve CWT, One-Step","Active","Wire to Wire","0.236"" (5.99mm), 0.264"" (6.71mm)","1.260"" (32.00mm)","Clear","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=S02-07/08/-10-R-XX&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/S02-03-R.jpg,A132475-ND,S02-08-R-90,"TE Connectivity Aerospace, Defense and Marine",SHIELD TERMINATOR,2342,0,"2.08000","0","1","SolderSleeve S02","Active","Wire to Wire","0.170"" (4.32mm), 0.200"" (5.08mm)","0.650"" (16.51mm)","Transparent - Blue","Environment Resistant, Pre-Installed Lead Wire"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=S01-0X-R&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/S01-02-R.JPG,642145-000-ND,642145-000,TE Connectivity Raychem Cable Protection,SOLDER SLEEVE IMMERS RESIS .650"",1342,0,"2.08000","0","1","SolderSleeve S01","Active","Wire to Wire","0.105"" (2.67mm), 0.145"" (3.68mm)","0.650"" (16.51mm)","Transparent - Blue","Immersion Resistant"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=S01-0X-R&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/S01-03-R.JPG,775210-000-ND,775210-000,TE Connectivity Raychem Cable Protection,SOLDER SLEEVE IMMERS RESIS .650"",3941,0,"2.19000","0","1","SolderSleeve S01","Active","Wire to Wire","0.170"" (4.32mm), 0.200"" (5.08mm)","0.650"" (16.51mm)","Transparent - Blue","Immersion Resistant"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=S01-0X-R&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/775210N003.JPG,A104810-ND,S01-03-RCS453,"TE Connectivity Aerospace, Defense and Marine",S01-03-RCS453,1419,0,"2.19000","0","1","SolderSleeve S01","Active","Wire to Wire","0.170"" (4.32mm), 0.200"" (5.08mm)","0.650"" (16.51mm)","Transparent - Blue","Immersion Resistant"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=SO63-X-00&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/187788-000.JPG,SO63-3-00-ND,SO63-3-00,"TE Connectivity Aerospace, Defense and Marine",SOLDER SHIELD TERM W/O LEAD,1304,0,"2.30000","0","1","SolderSleeve SO63","Active","Wire to Wire","0.170"" (4.32mm), 0.200"" (5.08mm)","0.650"" (16.51mm)","Transparent - Blue","Immersion Resistant"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=CWT-XX-W122-5&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/TYCO%20RAYCHEM%20CABLE%20PROTECTION-152435-000.jpg,CWT-5-W122-5-ND,CWT-5-W122-5,TE Connectivity Raychem Cable Protection,SHIELD TERMINATOR 22 AWG LEAD,2176,0,"2.59000","0","1","SolderSleeve CWT, One-Step","Active","Wire to Wire","0.169"" (4.29mm), 0.189"" (4.80mm)","1.154"" (29.30mm)","Clear","Pre-Installed Lead Wire"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=S01-0X-R&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/S01-04-R.JPG,346656-000-ND,346656-000,TE Connectivity Raychem Cable Protection,SOLDER SLEEVE IMMERS RESIS .750"",1212,0,"2.59000","0","1","SolderSleeve S01","Active","Wire to Wire","0.235"" (5.97mm), 0.255"" (6.48mm)","0.750"" (19.05mm)","Transparent - Blue","Immersion Resistant"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=CWT-XX-W122-5&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/CWT-7-W122-5.jpg,CWT7W1225-ND,CWT-7-W122-5,TE Connectivity Raychem Cable Protection,SHIELD TERMINATOR 22 AWG LEAD,1285,0,"2.63000","0","1","SolderSleeve CWT, One-Step","Active","Wire to Wire","0.252"" (6.40mm), 0.287"" (7.29mm)","1.279"" (32.50mm)","Clear","Pre-Installed Lead Wire"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=S02-XX-R&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/S02-02-R.jpg,A101230-ND,S02-02-R,"TE Connectivity Aerospace, Defense and Marine",SOLDER SLEEVE IMMERS RESIS .650"",1284,0,"2.63000","0","1","SolderSleeve S02","Active","Wire to Wire","0.105"" (2.67mm), 0.145"" (3.68mm)","0.650"" (16.51mm)","Transparent - Blue","Environment Resistant, Immersion Resistant, Pre-Installed Lead Wire"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=SO63-A-55-GA-CL&DocType=Customer+Drawing&DocLang=English,-,A132496-ND,SO63-2-55-22-90,"TE Connectivity Aerospace, Defense and Marine",SOLDER SHIELD TERM 22 AWG LEAD,1239,0,"2.63000","0","1","SolderSleeve SO63","Active","Wire to Wire","0.105"" (2.67mm), 0.145"" (3.68mm)","0.650"" (16.51mm)","Transparent - Blue","Immersion Resistant, Pre-Installed Lead Wire"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=S02-XX-R&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/346108-000.jpg,S02-13-R-ND,S02-13-R,"TE Connectivity Aerospace, Defense and Marine",SOLDERSLEEVE .650"" W/LEAD 24AWG,47305,0,"2.70000","0","1","SolderSleeve S02","Active","Wire to Wire","0.170"" (4.32mm), 0.200"" (5.08mm)","0.650"" (16.51mm)","Transparent - Blue","Immersion Resistant, Pre-Installed Lead Wire"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=S02-07/08/-10-R-XX&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/S02-02-R.jpg,A132476-ND,S02-08-RCS453,"TE Connectivity Aerospace, Defense and Marine",SHIELD TERMINATOR,2125,0,"2.70000","0","1","SolderSleeve S02","Active","Wire to Wire","0.170"" (4.32mm), 0.200"" (5.08mm)","0.650"" (16.51mm)","Transparent - Blue","Environment Resistant, Immersion Resistant, Pre-Installed Lead Wire"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=S02-XX-R&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/S02-03-R.jpg,A101231-ND,S02-03-R,"TE Connectivity Aerospace, Defense and Marine",SOLDERSLEEVE IMMERS RESIS .650"",1139,0,"2.70000","0","1","SolderSleeve S02","Active","Wire to Wire","0.170"" (4.32mm), 0.200"" (5.08mm)","0.650"" (16.51mm)","Transparent - Blue","Immersion Resistant, Pre-Installed Lead Wire"
