Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Type Attributes","Diameter - Inside, Non-Expanded","Diameter - Inside, Expanded","Diameter - Outside, Non-Expanded","Material","Color","Length","Wall Thickness","Operating Temperature","Heat Protection","Abrasion Protection","Liquid Protection","Environment Protection","Features","Material Flammability Rating","Width"
http://cdn.techflex.com/assets/pdfs/specification-sheets/ccp.pdf,//media.digikey.com/Photos/Techflex/MFG_CCP0_13BK.jpg,1030-1037-ND,CCP0.13BK100,Techflex,SLEEVING 1/8"" X 100' BLACK,173,0,"27.13000","0","1","Clean Cut®","Active","Sleeve","Expandable","0.125"" (3.18mm)","0.250"" (6.35mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Black","100' (30.48m)","0.024"" (0.61mm)","-70°C ~ 125°C","-","Abrasion and Cut Resistant, Fray Resistant","-","-","Clean Cut","UL94 V-0","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/ccp.pdf,//media.digikey.com/Photos/Techflex/MFG_CCP0_25BK.jpg,1030-1039-ND,CCP0.25BK100,Techflex,SLEEVING 1/4"" X 100' BLACK,217,0,"31.01000","0","1","Clean Cut®","Active","Sleeve","Expandable","0.250"" (6.35mm)","0.438"" (11.13mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Black","100' (30.48m)","0.024"" (0.61mm)","-70°C ~ 125°C","-","Abrasion and Cut Resistant, Fray Resistant","-","-","Clean Cut","UL94 V-0","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/ccp.pdf,//media.digikey.com/Photos/Techflex/MFG_CCP1_00BK.jpg,1030-1047-ND,CCP1.00BK50,Techflex,SLEEVING 1"" X 50' BLACK,106,0,"35.86000","0","1","Clean Cut®","Active","Sleeve","Expandable","1.000"" (25.40mm)","1.188"" (30.18mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Black","50.00' (15.24m)","0.024"" (0.61mm)","-70°C ~ 125°C","-","Abrasion and Cut Resistant, Fray Resistant","-","-","Clean Cut","UL94 V-0","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/pet.pdf,//media.digikey.com/Photos/Techflex/MFG_PTN0_xxBK.jpg,1030-1003-ND,PTN0.25BK200,Techflex,SLEEVING 1/4"" X 200' BLACK,120,0,"41.95000","0","1","Flexo® PET","Active","Sleeve","Expandable","0.250"" (6.35mm)","0.438"" (11.13mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Black","200' (60.96m)","0.025"" (0.64mm)","-70°C ~ 125°C","Heat Resistant","Abrasion and Cut Resistant","Gasoline Resistant","UV Resistant","Chemical Resistant, Clean Cut, Solvent Resistant","UL94 V-0","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/ccp.pdf,//media.digikey.com/Photos/Techflex/MFG_CCP0_38BK.jpg,1030-1041-ND,CCP0.38BK100,Techflex,SLEEVING 3/8"" X 100' BLACK,240,0,"42.64000","0","1","Clean Cut®","Active","Sleeve","Expandable","0.375"" (9.53mm)","0.625"" (15.88mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Black","100' (30.48m)","0.024"" (0.61mm)","-70°C ~ 125°C","-","Abrasion and Cut Resistant, Fray Resistant","-","-","Clean Cut","UL94 V-0","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/ccp.pdf,//media.digikey.com/Photos/Techflex/MFG_CCP0_50BK.jpg,1030-1043-ND,CCP0.50BK100,Techflex,SLEEVING 1/2"" X 100' BLACK,262,0,"46.51000","0","1","Clean Cut®","Active","Sleeve","Expandable","0.500"" (12.70mm)","0.750"" (19.05mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Black","100' (30.48m)","0.024"" (0.61mm)","-70°C ~ 125°C","-","Abrasion and Cut Resistant, Fray Resistant","-","-","Clean Cut","UL94 V-0","-"
http://www.panduit.com/heiler/PartDrawings/C-HSCLT100F-C20--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/CLT-Series-black.jpg,298-1141-ND,CLT25F-C20,Panduit Corp,SLIT WRAP 0.284"" X 100' BLACK,580,0,"47.38000","0","1","CLT","Active","Slit Wrap","Slit Harness","0.284"" (7.21mm)","-","0.398"" (10.11mm)","Polyethylene (PE)","Black","100' (30.48m)","0.007"" ~ 0.020"" (0.18mm ~ 0.51mm)","-40°C ~ 50°C","-","Abrasion Resistant","-","-","Crush Resistant, Impact Resistant","-","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/frn.pdf,//media.digikey.com/Photos/Techflex/MFG_FRN0_50TB.jpg,1030-1025-ND,FRN0.50TB100,Techflex,SLEEVING 1/2"" X 100' BLACK/WHITE,354,0,"51.84000","0","1","Flexo® FR","Active","Sleeve","Expandable","0.500"" (12.70mm)","0.750"" (19.05mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Black, White","100' (30.48m)","0.025"" (0.64mm)","-70°C ~ 125°C","Flame Retardant","Abrasion and Cut Resistant","Gasoline Resistant","-","Chemical Resistant, Clean Cut","UL VW-1","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/frn.pdf,//media.digikey.com/Photos/Techflex/MFG_FRN0_13TB.jpg,1030-1019-ND,FRN0.13TB225,Techflex,SLEEVING 1/8"" X 225' BLACK/WHITE,114,0,"51.84000","0","1","Flexo® FR","Active","Sleeve","Expandable","0.125"" (3.18mm)","0.250"" (6.35mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Black, White","225' (68.58m)","0.025"" (0.64mm)","-70°C ~ 125°C","Flame Retardant","Abrasion and Cut Resistant","Gasoline Resistant","-","Chemical Resistant, Clean Cut","UL VW-1","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/ccf.pdf,//media.digikey.com/Photos/Techflex/MFG_CCF0_25TB.jpg,1030-1055-ND,CCF0.25TB100,Techflex,SLEEVING 1/4"" X 100' BLACK/WHITE,137,0,"52.33000","0","1","Clean Cut® FR","Active","Sleeve","Expandable","0.250"" (6.35mm)","0.438"" (11.13mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Black, White","100' (30.48m)","0.024"" (0.61mm)","-70°C ~ 125°C","Flame Retardant","Abrasion and Cut Resistant, Fray Resistant","-","-","Clean Cut, Self Extinguishing","UL VW-1","-"
