Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Number of Cable Pairs","Diameter - Inside","Length - Overall","Sheath Opening","Features"
https://multimedia.3m.com/mws/media/829862O/3m-scotchcast-flexible-power-cable-splicing-kits-82-f-82-bf.pdf,-,3M160695-ND,82-F1,3M,WIRE SPLICE PWR CBL KIT 1PAIR,22,0,"67.96000","0","1","Scotchcast™","Active","Power Cable Splice Kit","1 Pair @ 1/0-6 AWG","-","8.00"" (203.2mm)","-","-"
-,//media.digikey.com/Photos/BUD%20Industries%20Photos/MFG_CCP-11708.jpg,377-2648-ND,CCP-11708,Bud Industries,WIRE SPLICE TRAY SPLICE,288,680,"2.30000","0","1","CCP","Active","Tray, Splice","12 Fibers","-","6.30"" (160.0mm)","-","-"
-,//media.digikey.com/Photos/BUD%20Industries%20Photos/MFG_CCP-11710.jpg,377-2649-ND,CCP-11710,Bud Industries,WIRE SPLICE TRAY SPLICE,288,727,"2.30000","0","1","CCP","Active","Tray, Splice","24 Fibers","-","6.18"" (157.0mm)","-","-"
https://www.budind.com/pdf/FBR-11605.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/MFG_FBR-11605.jpg,377-2675-ND,FBR-11605,Bud Industries,WIRE SPLICE TRAY SPLICE,33,159,"14.85000","0","1","FBR","Active","Tray, Splice","4 Fibers","-","7.32"" (186.0mm)","-","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/18-0364-001-CSU.PDF,-,1436-2499-ND,FWO-E,HellermannTyton,WIRE SPLICE TRAY SPLICE,30,0,"15.97000","0","1","-","Active","Tray, Splice","2 Fibers","-","3.35"" (85.0mm)","-","-"
https://www.budind.com/pdf/FBR-11606.pdf,//media.digikey.com/photos/BUD%20Industries%20Photos/MFG_FBR-11606.jpg,377-2676-ND,FBR-11606,Bud Industries,WIRE SPLICE TRAY SPLICE,44,166,"16.29000","0","1","FBR","Active","Tray, Splice","6 Fibers","-","7.32"" (186.0mm)","-","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/18-0364-001-CSU.PDF,-,1436-2537-ND,FWO-L4A-R,HellermannTyton,WIRE SPLICE TRAY SPLICE,15,0,"18.19000","0","1","-","Active","Tray, Splice","2 Fibers","-","3.35"" (85.0mm)","-","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/18-0364-001-CSU.PDF,-,1436-2539-ND,FWO-LSA-R,HellermannTyton,WIRE SPLICE TRAY SPLICE,10,0,"21.39000","0","1","-","Active","Tray, Splice","2 Fibers","-","3.35"" (85.0mm)","-","-"
-,//media.digikey.com/Photos/3M%20Photos/MFG_UFx-SPLICE%20KIT-6%20KITS.jpg,3M162386-ND,UF1-SPLICE KIT-6 KITS,3M,WIRE SPLICE CABLE KIT,12,0,"23.93000","0","1","Scotchlok™","Active","Cable Splice Kit","-","-","-","-","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/18-0356-001-CSU.PDF,//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_CCP-E.jpg,1436-2308-ND,CCP-E,HellermannTyton,WIRE SPLICE TRAY SPLICE,20,0,"25.53000","0","1","-","Active","Tray, Splice","2 Fibers","-","6.30"" (160.0mm)","0.18"" ~ 0.22"" (4.7mm ~ 5.6mm)","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/18-0356-001-CSU.PDF,//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_CCP-E-W.jpg,1436-2309-ND,CCP-E-W,HellermannTyton,WIRE SPLICE TRAY SPLICE,20,0,"25.53000","0","1","-","Active","Tray, Splice","2 Fibers","-","6.30"" (160.0mm)","0.18"" ~ 0.22"" (4.7mm ~ 5.6mm)","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/18-0356-001-CSU.PDF,-,1436-2327-ND,CCP-SAA-W,HellermannTyton,WIRE SPLICE TRAY SPLICE,20,0,"29.19000","0","1","-","Active","Tray, Splice","2 Fibers","-","6.30"" (160.0mm)","0.18"" ~ 0.22"" (4.7mm ~ 5.6mm)","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/18-0356-001-CSU.PDF,-,1436-2312-ND,CCP-SAA,HellermannTyton,WIRE SPLICE TRAY SPLICE,15,0,"29.19000","0","1","-","Active","Tray, Splice","2 Fibers","-","6.30"" (160.0mm)","0.18"" ~ 0.22"" (4.7mm ~ 5.6mm)","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/18-0364-001-CSU.PDF,-,1436-2501-ND,FWO-SAP-R,HellermannTyton,WIRE SPLICE TRAY SPLICE,10,0,"37.35000","0","1","-","Active","Tray, Splice","2 Fibers","-","3.35"" (85.0mm)","-","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/18-0356-001-CSU.PDF,-,1436-2310-ND,CCP-SAP,HellermannTyton,WIRE SPLICE TRAY SPLICE,10,0,"45.44000","0","1","-","Active","Tray, Splice","2 Fibers","-","6.30"" (160.0mm)","0.18"" ~ 0.22"" (4.7mm ~ 5.6mm)","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/18-0356-001-CSU.PDF,-,1436-2311-ND,CCP-SAP-W,HellermannTyton,WIRE SPLICE TRAY SPLICE,10,0,"45.44000","0","1","-","Active","Tray, Splice","2 Fibers","-","6.30"" (160.0mm)","0.18"" ~ 0.22"" (4.7mm ~ 5.6mm)","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/18-0364-001-CSU.PDF,-,1436-2538-ND,FWO-L4P-R,HellermannTyton,WIRE SPLICE TRAY SPLICE,8,0,"49.28000","0","1","-","Active","Tray, Splice","2 Fibers","-","3.35"" (85.0mm)","-","-"
https://www.budind.com/pdf/FBR-11609.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/MFG_FBR-11609.jpg,377-2679-ND,FBR-11609,Bud Industries,WIRE SPLICE TRAY SPLICE,10,42,"49.52000","0","1","FBR","Active","Tray, Splice","16 Fibers","-","11.50"" (292.1mm)","-","-"
http://www1.panduit.com/heiler/PartDrawings/FSTK(00466-67).pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_FSTK.jpg,298-16258-ND,FSTK,Panduit Corp,WIRE SPLICE TRAY SPLICE,15,0,"50.17000","0","1","Opticom®","Active","Tray, Splice","6 Fibers","-","6.60"" (167.6mm)","-","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/18-0364-001-CSU.PDF,-,1436-2540-ND,FWO-LSP-R,HellermannTyton,WIRE SPLICE TRAY SPLICE,8,0,"51.20000","0","1","-","Active","Tray, Splice","2 Fibers","-","3.35"" (85.0mm)","-","-"
https://www.budind.com/pdf/FBR-11610.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/MFG_FBR-11610.jpg,377-2680-ND,FBR-11610,Bud Industries,WIRE SPLICE TRAY SPLICE,14,42,"55.92000","0","1","FBR","Active","Tray, Splice","24 Fibers","-","12.60"" (320.0mm)","-","-"
https://www.budind.com/pdf/FBR-11611.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/MFG_FBR-11611.jpg,377-2681-ND,FBR-11611,Bud Industries,WIRE SPLICE TRAY SPLICE,8,53,"55.92000","0","1","FBR","Active","Tray, Splice","16 Fibers","-","12.60"" (320.0mm)","-","-"
http://multimedia.3m.com/mws/media/37304O/82-b1-power-cable-tap-splice-kit.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_82-B1.jpg,3M156843-ND,82-B1N,3M,WYE RESIN SPLICE KIT,34,0,"58.88000","0","1","*","Active","-","-","-","-","-","-"
https://www.panduit.com/content/dam/panduit/en/products/assets/0/0f/0fs/0fst/fst6/media/FST6(00873-09).pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_FST6.jpg,298-16256-ND,FST6,Panduit Corp,WIRE SPLICE TRAY SPLICE,25,0,"61.46000","0","1","Opticom®","Active","Tray, Splice","12 Fibers","-","7.90"" (200.7mm)","-","-"
-,-,3M159640-ND,5302,3M,MOTOR LEAD PIGTAIL SPLICE 5302,7,0,"67.70000","0","1","-","Active","-","-","-","-","-","-"
-,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_GRDS34-X.jpg,298-17043-ND,GRDS34-X,Panduit Corp,WIRE SPLICE DRIVING SLEEVE,4,0,"106.47000","0","1","-","Active","Driving Sleeve","-","0.750"" (19.05mm)","6.00"" (152.4mm)","-","-"
https://multimedia.3m.com/mws/media/41589O/motor-lead-splicing-kits-5300-series.pdf,-,3M159643-ND,5304,3M,WIRE SPLICE MOTOR KIT 1PAIR,15,0,"110.36000","0","1","5300","Active","Motor Splice Kit","1 Pair","-","-","-","-"
https://www.panduit.com/content/dam/panduit/en/products/assets/f/fs/fst/fst2/fst24/media/FST24(00873-17).pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_FST24.jpg,298-16254-ND,FST24,Panduit Corp,WIRE SPLICE TRAY SPLICE,10,0,"111.76000","0","1","Opticom®","Active","Tray, Splice","24 Fibers","-","11.75"" (298.5mm)","-","-"
https://multimedia.3m.com/mws/media/41589O/motor-lead-splicing-kits-5300-series.pdf,-,3M159649-ND,5317,3M,WIRE SPLICE MOTOR KIT 1PAIR,2,0,"123.49000","0","1","5300","Active","Motor Splice Kit","1 Pair","-","-","-","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/18-0363-001-CSU.PDF,-,1436-2487-ND,FDEC-E,HellermannTyton,WIRE SPLICE TRAY SPLICE,4,0,"147.05000","0","1","-","Active","Tray, Splice","18 Fibers","-","6.06"" (154.0mm)","-","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/18-0345-001-csu.PDF,-,1436-2489-ND,FFE-1SAA,HellermannTyton,WIRE SPLICE TRAY SPLICE,3,0,"154.87000","0","1","-","Active","Tray, Splice","24 Fibers","-","9.49"" (241.0mm)","0.39"" ~ 0.59"" (10.0mm ~ 15.0mm)","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/18-0345-001-csu.PDF,-,1436-2491-ND,FFE-2SAA,HellermannTyton,WIRE SPLICE TRAY SPLICE,3,0,"154.87000","0","1","-","Active","Tray, Splice","24 Fibers","-","9.49"" (241.0mm)","0.28"" ~ 0.39"" (7.0mm ~ 10.0mm)","-"
https://multimedia.3m.com/mws/media/41589O/motor-lead-splicing-kits-5300-series.pdf,-,3M162550-ND,5319,3M,WIRE SPLICE MOTOR KIT 1PAIR,2,0,"264.57000","0","1","5300","Active","Motor Splice Kit","1 Pair","-","-","-","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/18-0345-001-csu.PDF,-,1436-2490-ND,FFE-1SAP,HellermannTyton,WIRE SPLICE TRAY SPLICE,2,0,"268.04000","0","1","-","Active","Tray, Splice","24 Fibers","-","9.49"" (241.0mm)","0.39"" ~ 0.59"" (10.0mm ~ 15.0mm)","-"
