Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Wire Duct Type","Height","Length","Width","Mounting Type","Features","Material","Color"
http://www.panduit.com/heiler/PartDrawings/C-WDG-75X75-36897-691-R2--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/G.75X.75LG6.jpg,298-12045-ND,G.75X.75LG6,Panduit Corp,WIRE DUCT SLOTTED SCREW GRAY 6',143,0,"27.32000","0","1","PANDUCT® Type G","Active","Slotted (Raceway), Base","0.740"" (18.80mm)","6.00' (1.83m)","0.930"" (23.62mm)","Screw","-","Poly-Vinyl Chloride (PVC)","Gray, Light"
http://www.panduit.com/heiler/PartDrawings/C-WDG1X1-36897-695R2--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/G1X1LG6.jpg,298-12061-ND,G1X1LG6,Panduit Corp,WIRE DUCT SLOTTED SCREW GRAY 6',238,0,"28.94000","0","1","PANDUCT® Type G","Active","Slotted (Raceway), Base","0.990"" (25.15mm)","6.00' (1.83m)","1.260"" (32.00mm)","Screw","-","Poly-Vinyl Chloride (PVC)","Gray, Light"
http://www.panduit.com/heiler/CatalogCutSheets/F.5X.5LG6%20Product%20Page.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/F1X2LG6.jpg,298-12055-ND,F1X2LG6,Panduit Corp,WIRE DUCT SLOTTED SCREW GRAY 6',122,0,"39.53000","0","1","PANDUCT® Type F","Active","Slotted (Raceway), Base","2.010"" (51.05mm)","6.00' (1.83m)","1.260"" (32.00mm)","Screw","-","Poly-Vinyl Chloride (PVC)","Gray, Light"
http://www.panduit.com/heiler/PartDrawings/C-WDG2X2-36897-705-R2--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/G2X2LG6.jpg,298-12066-ND,G2X2LG6,Panduit Corp,WIRE DUCT SLOTTED SCREW GRAY 6',198,0,"42.55000","0","1","PANDUCT® Type G","Active","Slotted (Raceway), Base","1.990"" (50.55mm)","6.00' (1.83m)","2.250"" (57.15mm)","Screw","-","Poly-Vinyl Chloride (PVC)","Gray, Light"
http://www.essentracomponents.com.sg/images-line/pdfs/RX1313-0.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/RX5050-0.jpg,RPC2083-ND,RX1313-0,Essentra Components,WIRE DUCT FLEX SCREW GRAY 1.64',451,0,"5.64000","0","1","Richflex","Active","Flexible","0.492"" (12.50mm)","1.64' (500.00mm)","0.492"" (12.50mm)","Screw","-","Polypropylene","Gray"
http://www.essentracomponents.com.sg/images-line/pdfs/RX1313-0.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/RX5050-0.jpg,RPC1393-ND,RX1616-0,Essentra Components,WIRE DUCT FLEX SCREW GRAY 1.64',1592,0,"6.26000","0","1","Richflex","Active","Flexible","0.630"" (16.00mm)","1.64' (500.00mm)","0.630"" (16.00mm)","Screw","-","Polypropylene","Gray"
http://www.essentracomponents.com.sg/images-line/pdfs/RX1313-0.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/RX5050-0.jpg,RPC4986-ND,RX2020-0,Essentra Components,WIRE DUCT FLEX SCREW GRAY 1.64',369,0,"6.78000","0","1","Richflex","Active","Flexible","0.790"" (20.07mm)","1.64' (500.00mm)","0.790"" (20.07mm)","Screw","-","Polypropylene","Gray"
http://www.essentracomponents.com.sg/images-line/pdfs/RX1313-0.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/RX5050-0.jpg,RPC4988-ND,RX2525-0,Essentra Components,WIRE DUCT FLEX SCREW GRAY 1.64',611,0,"8.45000","0","1","Richflex","Active","Flexible","0.984"" (25.00mm)","1.64' (500.00mm)","0.984"" (25.00mm)","Screw","-","Polypropylene","Gray"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/3240187.pdf,//media.digikey.com/Photos/Phoenix%20Photos/3240187.jpg,277-5422-ND,3240187,Phoenix Contact,WIRE DUCT SOLID 2PC RIVET 6.56',190,350,"9.08000","0","1","CD","Active","Solid (Raceway), 2 Piece","0.984"" (25.00mm)","6.56' (2.00m)","0.984"" (25.00mm)","Rivet","Separate Snap in Lid (Included)","Poly-Vinyl Chloride (PVC)","Gray"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/3240189.pdf,//media.digikey.com/Photos/Phoenix%20Photos/3240189.jpg,277-5412-ND,3240189,Phoenix Contact,WIRE DUCT SOLID 2PC RIVET 6.56',376,875,"11.73000","0","1","CD","Active","Solid (Raceway), 2 Piece","1.575"" (40.00mm)","6.56' (2.00m)","1.575"" (40.00mm)","Rivet","Separate Snap in Lid (Included)","Poly-Vinyl Chloride (PVC)","Gray"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/3240191.pdf,//media.digikey.com/photos/Phoenix%20Photos/3240191.jpg,277-5400-ND,3240191,Phoenix Contact,WIRE DUCT SOLID 2PC RIVET 6.56',168,495,"12.69000","0","1","CD","Active","Solid (Raceway), 2 Piece","2.362"" (60.00mm)","6.56' (2.00m)","0.984"" (25.00mm)","Rivet","Separate Snap in Lid (Included)","Poly-Vinyl Chloride (PVC)","Gray"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/3240192.pdf,//media.digikey.com/Photos/Phoenix%20Photos/3240192.jpg,277-5403-ND,3240192,Phoenix Contact,WIRE DUCT SOLID 2PC RIVET 6.56',145,1320,"16.46000","0","1","CD","Active","Solid (Raceway), 2 Piece","2.362"" (60.00mm)","6.56' (2.00m)","1.575"" (40.00mm)","Rivet","Separate Snap in Lid (Included)","Poly-Vinyl Chloride (PVC)","Gray"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/3240198.pdf,//media.digikey.com/photos/Phoenix%20Photos/3240198.jpg,277-5393-ND,3240198,Phoenix Contact,WIRE DUCT SOLID 2PC RIVET 6.56',868,2410,"19.95000","0","1","CD","Active","Solid (Raceway), 2 Piece","3.150"" (80.00mm)","6.56' (2.00m)","1.575"" (40.00mm)","Rivet","Separate Snap in Lid (Included)","Poly-Vinyl Chloride (PVC)","Gray"
https://www.panduit.com/content/dam/panduit/en/products/assets/l/ld/ld5/ld5e/ld5ei6a/media/LD5-200.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/LD5BL6-A.jpg,298-11999-ND,LD5BL6-A,Panduit Corp,WIRE DUCT SOLID ADHESIVE BLCK 6',362,0,"20.20000","0","1","Pan-Way® LD","Active","Solid Wall","0.583"" (14.80mm)","6.00' (1.83m)","1.010"" (25.65mm)","Adhesive","Attached Latching Lid","Poly-Vinyl Chloride (PVC)","Black"
//media.digikey.com/PDF/Data%20Sheets/Phoenix%20Contact%20PDFs/3240348.pdf,//media.digikey.com/photos/Phoenix%20Photos/3240348.jpg,277-9687-ND,3240348,Phoenix Contact,WIRE DUCT SOLID 2PC RIVET 6.56',174,0,"30.39000","0","1","CD-HF","Active","Solid (Raceway), 2 Piece","1.575"" (40.00mm)","6.56' (2.00m)","1.575"" (40.00mm)","Rivet","Separate Snap in Lid (Included)","PC/ABS, Halogen Free","Gray"
https://gp1.wpc.edgecastcdn.net/00AC62/drawings/DT07-021-202CST.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_181-220xx.jpg,1436-1718-ND,181-22024,HellermannTyton,WIRE DUCT SLOTTED SCREW GRAY 6',251,0,"31.65000","0","1","Pro-Duct® SL","Active","Slotted (Raceway), Base","2.008"" (51.00mm)","6.00' (1.83m)","2.000"" (50.80mm)","Screw","Pre-Punched Mounting Holes, Self Extinguishing","Poly-Vinyl Chloride (PVC)","Gray"
