Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products","Device Size","Specifications"
http://www.cde.com/resources/catalogs/hardware.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/VR10A.jpg,338-3604-ND,VR10A,Cornell Dubilier Electronics (CDE),MOUNTING CLAMP VERT 2.5IN DIA,959,3327,"5.25000","0","1","VR","Active","Mounting Bracket","Round Can Types","2.500"" Dia (63.5mm)","Screw Clamp Type Bracket"
http://www.cde.com/resources/catalogs/hardware.pdf,//media.digikey.com/photos/Cornell%20Dubilier%20Photos/32107-1.JPG,338-1848-ND,32107-1,Cornell Dubilier Electronics (CDE),CAP MOUNTING BRACKET OVAL,1217,901,"5.28000","0","1","-","Active","Mounting Bracket","Oval Can Types","A Case","Screw Clamp Type Bracket"
http://www.maxwell.com/images/documents/Integration_Kit_Data_Sheet_1006286_9.pdf,//media.digikey.com/Photos/Maxwell%20Technologies%20Photos/INTEGRATION%20KIT.jpg,1182-1035-ND,INTEGRATION KIT ACTIVE,Maxwell Technologies Inc.,INTEGRATION KIT BCAP0650-3000,65,0,"90.48000","0","1","-","Active","Voltage Monitoring Kit","Maxwell Ultracapacitors","-","-"
http://www.cde.com/resources/catalogs/hardware.pdf,//media.digikey.com/photos/Cornell%20Dubilier%20Photos/30393-5.JPG,338-1851-ND,30393-5,Cornell Dubilier Electronics (CDE),CAP WRAP AROUND BRACKET OVAL,912,1920,"3.63000","0","1","-","Active","Mounting Bracket","Oval Can Types","A Case","-"
http://www.cde.com/resources/catalogs/hardware.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/VR3A.JPG,338-3609-ND,VR3A,Cornell Dubilier Electronics (CDE),MOUNTING CLAMP VERT 1.375IN DIA,788,7764,"4.00000","0","1","VR","Active","Mounting Bracket","Round Can Types","1.375"" Dia (34.9mm)","Screw Clamp Type Bracket"
http://www.cde.com/resources/catalogs/hardware.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/125565-09.JPG,338-1364-ND,125565-09,Cornell Dubilier Electronics (CDE),BRACKET FOR 2.0"" DIA CAP,1126,0,"4.08000","0","1","-","Active","Mounting Bracket","Round Can Types","2.000"" Dia (50.8mm)","Screw Clamp Type Bracket"
http://www.cde.com/resources/catalogs/hardware.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/TH25.jpg,338-3603-ND,TH25,Cornell Dubilier Electronics (CDE),MOUNTING CLIP HORIZ 1.375IN DIA,218,2628,"4.30000","0","1","TH","Active","Mounting Clip","Round Can Types","1.375"" Dia (34.9mm)","-"
http://www.cde.com/resources/catalogs/hardware.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/VR10A.jpg,338-4178-ND,VR12A,Cornell Dubilier Electronics (CDE),MOUNTING CLAMP VERTICAL 3IN DIA,106,3373,"5.75000","0","1","VR","Active","Mounting Bracket","Round Can Types","3.000"" Dia (76.2mm)","Screw Clamp Type Bracket"
http://www.cde.com/resources/catalogs/hardware.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/VR3B.jpg,338-3610-ND,VR3B,Cornell Dubilier Electronics (CDE),MOUNTING CLAMP VERT 1.375IN DIA,109,15565,"3.72000","0","1","VR","Active","Mounting Bracket","Round Can Types","1.375"" Dia (34.9mm)","Screw Clamp Type Bracket"
http://www.cde.com/resources/catalogs/hardware.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/30393-9.jpg,338-3878-ND,30393-9,Cornell Dubilier Electronics (CDE),CAP WRAP AROUND BRACKET OVAL,0,1424,"3.91000","0","1","-","Active","Mounting Bracket","Oval Can Types","C Case","-"
http://www.cde.com/resources/catalogs/hardware.pdf,//media.digikey.com/photos/Cornell%20Dubilier%20Photos/MFG_VR.jpg,338-4179-ND,VR1A,Cornell Dubilier Electronics (CDE),MOUNTING CLAMP VERTICAL 1IN DIA,107,500,"4.28000","0","1","VR","Active","Mounting Bracket","Round Can Types","1.000"" Dia (25.4mm)","Screw Clamp Type Bracket"
//media.digikey.com/pdf/Data%20Sheets/Kemet%20PDFs/Accessories_Clips.pdf,//media.digikey.com/Photos/Kemet%20Photos/H2.JPG,399-11532-ND,H2,KEMET,HARDWARE CAPACITOR CLIPS,324,0,"4.43000","0","1","-","Active","Mounting Clip","Round Can Types","1.378"" Dia (35mm)","-"
http://www.cde.com/resources/catalogs/hardware.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/VR12B.jpg,338-3607-ND,VR12B,Cornell Dubilier Electronics (CDE),MOUNTING CLAMP VERTICAL 3IN DIA,105,5909,"5.53000","0","1","VR","Active","Mounting Bracket","Round Can Types","3.000"" Dia (76.2mm)","Screw Clamp Type Bracket"
http://www.cde.com/resources/catalogs/hardware.pdf,//media.digikey.com/photos/Cornell%20Dubilier%20Photos/MFG_TH.jpg,338-4175-ND,TH17,Cornell Dubilier Electronics (CDE),MOUNTING CLIP HORIZ .625IN DIA,120,2236,"5.74000","0","1","TH","Active","Mounting Clip","Round Can Types","0.625"" Dia (15.9mm)","-"
http://www.cde.com/resources/catalogs/hardware.pdf,//media.digikey.com/photos/Cornell%20Dubilier%20Photos/32107-2.JPG,338-1849-ND,32107-2,Cornell Dubilier Electronics (CDE),CAP MOUNTING BRACKET OVAL,478,1419,"5.87000","0","1","-","Active","Mounting Bracket","Oval Can Types","C Case","Screw Clamp Type Bracket"
http://www.cde.com/resources/catalogs/hardware.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/125565-06.jpg,338-4257-ND,125565-06,Cornell Dubilier Electronics (CDE),MNT BRACKET FOR ROUND CAN TYPES,134,0,"6.89000","0","1","125","Active","Mounting Bracket","Round Can Types","1.375"" Dia (34.9mm)","Screw Clamp Type Bracket"
