Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Capacitance","Tolerance","Voltage - Rated","ESR (Equivalent Series Resistance)","Lifetime @ Temp.","Operating Temperature","Ratings","Applications","Ripple Current @ Low Frequency","Ripple Current @ High Frequency","Impedance","Lead Spacing","Size / Dimension","Height - Seated (Max)","Surface Mount Land Size","Mounting Type","Package / Case"
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+CI+4+AAB8002+6SVPE220MW+8+WW,"//media.digikey.com/photos/Panasonic%20Photos/OS-CON,%20SVPE%205mm.jpg",P16836TR-ND,6SVPE220MW,Panasonic Electronic Components,CAP ALUM POLY 220UF 20% 6.3V SMD,10500,0,"0.20247","0","1500","Tape & Reel (TR)","OS-CON™, SVPE","Active","Polymer","220µF","±20%","6.3V","15mOhm","2000 Hrs @ 105°C","-55°C ~ 105°C","-","General Purpose","157.5mA @ 120Hz","3.15A @ 100kHz","-","-","0.197"" Dia (5.00mm)","0.236"" (6.00mm)","0.209"" L x 0.209"" W (5.30mm x 5.30mm)","Surface Mount","Radial, Can - SMD"
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+CI+4+AAB8002+6SVPE220MW+8+WW,"//media.digikey.com/photos/Panasonic%20Photos/OS-CON,%20SVPE%205mm.jpg",P16836CT-ND,6SVPE220MW,Panasonic Electronic Components,CAP ALUM POLY 220UF 20% 6.3V SMD,12760,0,"0.65000","0","1","Cut Tape (CT)","OS-CON™, SVPE","Active","Polymer","220µF","±20%","6.3V","15mOhm","2000 Hrs @ 105°C","-55°C ~ 105°C","-","General Purpose","157.5mA @ 120Hz","3.15A @ 100kHz","-","-","0.197"" Dia (5.00mm)","0.236"" (6.00mm)","0.209"" L x 0.209"" W (5.30mm x 5.30mm)","Surface Mount","Radial, Can - SMD"
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+CI+4+AAB8002+6SVPE220MW+8+WW,"//media.digikey.com/photos/Panasonic%20Photos/OS-CON,%20SVPE%205mm.jpg",P16836DKR-ND,6SVPE220MW,Panasonic Electronic Components,CAP ALUM POLY 220UF 20% 6.3V SMD,12760,0,"Digi-Reel","0","1","Digi-Reel®","OS-CON™, SVPE","Active","Polymer","220µF","±20%","6.3V","15mOhm","2000 Hrs @ 105°C","-55°C ~ 105°C","-","General Purpose","157.5mA @ 120Hz","3.15A @ 100kHz","-","-","0.197"" Dia (5.00mm)","0.236"" (6.00mm)","0.209"" L x 0.209"" W (5.30mm x 5.30mm)","Surface Mount","Radial, Can - SMD"
http://nichicon-us.com/english/products/pdfs/e-rs8.pdf,//media.digikey.com/Photos/Nichicon%20Photos/RS80J331MDN1JT.JPG,493-4042-3-ND,RS80J561MDN1JT,Nichicon,CAP ALUM POLY 560UF 20% 6.3V T/H,4000,0,"0.20580","0","2000","Tape & Box (TB)","FPCAP, RS8","Active","Polymer","560µF","±20%","6.3V","8mOhm","2000 Hrs @ 105°C","-55°C ~ 105°C","-","General Purpose","500mA @ 120Hz","5A @ 100kHz","-","0.098"" (2.50mm)","0.248"" Dia (6.30mm)","0.315"" (8.00mm)","-","Through Hole","Radial, Can"
http://nichicon-us.com/english/products/pdfs/e-rs8.pdf,//media.digikey.com/Photos/Nichicon%20Photos/RS80J331MDN1JT.JPG,493-4042-1-ND,RS80J561MDN1JT,Nichicon,CAP ALUM POLY 560UF 20% 6.3V T/H,4332,0,"0.75000","0","1","Cut Tape (CT)","FPCAP, RS8","Active","Polymer","560µF","±20%","6.3V","8mOhm","2000 Hrs @ 105°C","-55°C ~ 105°C","-","General Purpose","500mA @ 120Hz","5A @ 100kHz","-","0.098"" (2.50mm)","0.248"" Dia (6.30mm)","0.315"" (8.00mm)","-","Through Hole","Radial, Can"
http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=pxg,//media.digikey.com/Photos/United%20Chemi-Con%20Photos/PXG-Series.jpg,565-4527-2-ND,APXG160ARA101ME61G,United Chemi-Con,CAP ALUM POLY 100UF 20% 16V SMD,43000,0,"0.21920","0","1000","Tape & Reel (TR)","NPCAP™-PXG","Active","Polymer","100µF","±20%","16V","27mOhm","15000 Hrs @ 105°C","-55°C ~ 105°C","-","General Purpose","-","3A @ 100kHz","-","-","0.197"" Dia (5.00mm)","0.240"" (6.10mm)","0.209"" L x 0.209"" W (5.30mm x 5.30mm)","Surface Mount","Radial, Can - SMD"
http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=pxg,//media.digikey.com/Photos/United%20Chemi-Con%20Photos/PXG-Series.jpg,565-4527-1-ND,APXG160ARA101ME61G,United Chemi-Con,CAP ALUM POLY 100UF 20% 16V SMD,43835,0,"0.75000","0","1","Cut Tape (CT)","NPCAP™-PXG","Active","Polymer","100µF","±20%","16V","27mOhm","15000 Hrs @ 105°C","-55°C ~ 105°C","-","General Purpose","-","3A @ 100kHz","-","-","0.197"" Dia (5.00mm)","0.240"" (6.10mm)","0.209"" L x 0.209"" W (5.30mm x 5.30mm)","Surface Mount","Radial, Can - SMD"
http://www.chemi-con.co.jp/cgi-bin/CAT_DB/SEARCH/cat_db_al.cgi?e=e&j=p&pdfname=pxg,//media.digikey.com/Photos/United%20Chemi-Con%20Photos/PXG-Series.jpg,565-4527-6-ND,APXG160ARA101ME61G,United Chemi-Con,CAP ALUM POLY 100UF 20% 16V SMD,43835,0,"Digi-Reel","0","1","Digi-Reel®","NPCAP™-PXG","Active","Polymer","100µF","±20%","16V","27mOhm","15000 Hrs @ 105°C","-55°C ~ 105°C","-","General Purpose","-","3A @ 100kHz","-","-","0.197"" Dia (5.00mm)","0.240"" (6.10mm)","0.209"" L x 0.209"" W (5.30mm x 5.30mm)","Surface Mount","Radial, Can - SMD"
http://nichicon-us.com/english/products/pdfs/e-rfs_rfa.pdf,//media.digikey.com/Photos/Nichicon%20Photos/FS5%20SERIES.JPG,493-3680-2-ND,RFS0J101MCN1GS,Nichicon,CAP ALUM POLY 100UF 20% 6.3V SMD,5000,0,"0.24992","0","1000","Tape & Reel (TR)","FPCAP, RFS","Active","Polymer","100µF","±20%","6.3V","24mOhm","2000 Hrs @ 105°C","-55°C ~ 105°C","-","General Purpose","250mA @ 120Hz","2.5A @ 100kHz","-","-","0.197"" Dia (5.00mm)","0.224"" (5.70mm)","0.209"" L x 0.209"" W (5.30mm x 5.30mm)","Surface Mount","Radial, Can - SMD"
http://nichicon-us.com/english/products/pdfs/e-rfs_rfa.pdf,//media.digikey.com/Photos/Nichicon%20Photos/FS5%20SERIES.JPG,493-3680-1-ND,RFS0J101MCN1GS,Nichicon,CAP ALUM POLY 100UF 20% 6.3V SMD,5658,0,"0.85000","0","1","Cut Tape (CT)","FPCAP, RFS","Active","Polymer","100µF","±20%","6.3V","24mOhm","2000 Hrs @ 105°C","-55°C ~ 105°C","-","General Purpose","250mA @ 120Hz","2.5A @ 100kHz","-","-","0.197"" Dia (5.00mm)","0.224"" (5.70mm)","0.209"" L x 0.209"" W (5.30mm x 5.30mm)","Surface Mount","Radial, Can - SMD"
