Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage - Rated","Dielectric Material","Number of Capacitors","Circuit Type","Temperature Coefficient","Ratings","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)"
http://datasheets.avx.com/CapArray.pdf,//media.digikey.com/photos/AVX%20Photos/4-ARRAY%20SERIES%200508.jpg,478-2873-2-ND,W2A45C103MAT2A,AVX Corporation,CAP ARRAY 10000PF 50V X7R 0508,20000,0,"0.09163","0","4000","Tape & Reel (TR)","IPC","Active","10000pF","±20%","50V","Ceramic","4","Isolated","X7R","-","Surface Mount","0508 (1220 Metric)","0.083"" L x 0.051"" W (2.10mm x 1.30mm)","0.037"" (0.94mm)"
http://datasheets.avx.com/CapArray.pdf,//media.digikey.com/photos/AVX%20Photos/4-ARRAY%20SERIES%200508.jpg,478-2873-1-ND,W2A45C103MAT2A,AVX Corporation,CAP ARRAY 10000PF 50V X7R 0508,22578,0,"0.45000","0","1","Cut Tape (CT)","IPC","Active","10000pF","±20%","50V","Ceramic","4","Isolated","X7R","-","Surface Mount","0508 (1220 Metric)","0.083"" L x 0.051"" W (2.10mm x 1.30mm)","0.037"" (0.94mm)"
http://datasheets.avx.com/CapArray.pdf,//media.digikey.com/photos/AVX%20Photos/4-ARRAY%20SERIES%200508.jpg,478-2873-6-ND,W2A45C103MAT2A,AVX Corporation,CAP ARRAY 10000PF 50V X7R 0508,22578,0,"Digi-Reel","0","1","Digi-Reel®","IPC","Active","10000pF","±20%","50V","Ceramic","4","Isolated","X7R","-","Surface Mount","0508 (1220 Metric)","0.083"" L x 0.051"" W (2.10mm x 1.30mm)","0.037"" (0.94mm)"
http://datasheets.avx.com/CapArray.pdf,//media.digikey.com/photos/AVX%20Photos/4-ARRAY%20SERIES%200508.jpg,478-2870-2-ND,W2A4ZC104MAT2A,AVX Corporation,CAP ARRAY 0.1UF 10V X7R 0508,48000,0,"0.09350","0","4000","Tape & Reel (TR)","IPC","Active","0.1µF","±20%","10V","Ceramic","4","Isolated","X7R","-","Surface Mount","0508 (1220 Metric)","0.083"" L x 0.051"" W (2.10mm x 1.30mm)","0.037"" (0.94mm)"
http://datasheets.avx.com/CapArray.pdf,//media.digikey.com/photos/AVX%20Photos/4-ARRAY%20SERIES%200508.jpg,478-2870-1-ND,W2A4ZC104MAT2A,AVX Corporation,CAP ARRAY 0.1UF 10V X7R 0508,48812,0,"0.46000","0","1","Cut Tape (CT)","IPC","Active","0.1µF","±20%","10V","Ceramic","4","Isolated","X7R","-","Surface Mount","0508 (1220 Metric)","0.083"" L x 0.051"" W (2.10mm x 1.30mm)","0.037"" (0.94mm)"
http://datasheets.avx.com/CapArray.pdf,//media.digikey.com/photos/AVX%20Photos/4-ARRAY%20SERIES%200508.jpg,478-2870-6-ND,W2A4ZC104MAT2A,AVX Corporation,CAP ARRAY 0.1UF 10V X7R 0508,48812,0,"Digi-Reel","0","1","Digi-Reel®","IPC","Active","0.1µF","±20%","10V","Ceramic","4","Isolated","X7R","-","Surface Mount","0508 (1220 Metric)","0.083"" L x 0.051"" W (2.10mm x 1.30mm)","0.037"" (0.94mm)"
http://datasheets.avx.com/CapArray.pdf,//media.digikey.com/photos/AVX%20Photos/4-ARRAY%20SERIES%200508.jpg,478-2878-2-ND,W2A45C103KAT2A,AVX Corporation,CAP ARRAY 10000PF 50V X7R 0508,48000,0,"0.11407","0","4000","Tape & Reel (TR)","IPC","Active","10000pF","±10%","50V","Ceramic","4","Isolated","X7R","-","Surface Mount","0508 (1220 Metric)","0.083"" L x 0.051"" W (2.10mm x 1.30mm)","0.037"" (0.94mm)"
http://datasheets.avx.com/CapArray.pdf,//media.digikey.com/photos/AVX%20Photos/4-ARRAY%20SERIES%200508.jpg,478-2878-1-ND,W2A45C103KAT2A,AVX Corporation,CAP ARRAY 10000PF 50V X7R 0508,51550,0,"0.45000","0","1","Cut Tape (CT)","IPC","Active","10000pF","±10%","50V","Ceramic","4","Isolated","X7R","-","Surface Mount","0508 (1220 Metric)","0.083"" L x 0.051"" W (2.10mm x 1.30mm)","0.037"" (0.94mm)"
http://datasheets.avx.com/CapArray.pdf,//media.digikey.com/photos/AVX%20Photos/4-ARRAY%20SERIES%200508.jpg,478-2878-6-ND,W2A45C103KAT2A,AVX Corporation,CAP ARRAY 10000PF 50V X7R 0508,51550,0,"Digi-Reel","0","1","Digi-Reel®","IPC","Active","10000pF","±10%","50V","Ceramic","4","Isolated","X7R","-","Surface Mount","0508 (1220 Metric)","0.083"" L x 0.051"" W (2.10mm x 1.30mm)","0.037"" (0.94mm)"
http://datasheets.avx.com/CapArray.pdf,//media.digikey.com/photos/AVX%20Photos/4-ARRAY%20SERIES%200612.jpg,478-2876-2-ND,W3A41A101KAT2A,AVX Corporation,CAP ARRAY 100PF 100V NP0 0612,52000,0,"0.12454","0","4000","Tape & Reel (TR)","IPC","Active","100pF","±10%","100V","Ceramic","4","Isolated","C0G, NP0","-","Surface Mount","0612 (1632 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.053"" (1.35mm)"
http://datasheets.avx.com/CapArray.pdf,//media.digikey.com/photos/AVX%20Photos/4-ARRAY%20SERIES%200612.jpg,478-2876-1-ND,W3A41A101KAT2A,AVX Corporation,CAP ARRAY 100PF 100V NP0 0612,53382,0,"0.49000","0","1","Cut Tape (CT)","IPC","Active","100pF","±10%","100V","Ceramic","4","Isolated","C0G, NP0","-","Surface Mount","0612 (1632 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.053"" (1.35mm)"
http://datasheets.avx.com/CapArray.pdf,//media.digikey.com/photos/AVX%20Photos/4-ARRAY%20SERIES%200612.jpg,478-2876-6-ND,W3A41A101KAT2A,AVX Corporation,CAP ARRAY 100PF 100V NP0 0612,53382,0,"Digi-Reel","0","1","Digi-Reel®","IPC","Active","100pF","±10%","100V","Ceramic","4","Isolated","C0G, NP0","-","Surface Mount","0612 (1632 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.053"" (1.35mm)"
http://www.cde.com/resources/catalogs/CS.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/106K100CS4G-FA.jpg,338-3488-ND,106K100CS4G-FA,Cornell Dubilier Electronics (CDE),CAP NETWORK 10UF 100V 14SMD,271,0,"36.52000","0","1","Tube","Capstick® CS","Active","10µF","±10%","100V","Polymer, Metallized","-","Bussed","-","-","Surface Mount","14-SMD, Gull Wing","0.995"" L x 0.500"" W (25.30mm x 12.70mm)","0.250"" (6.35mm)"
http://datasheets.avx.com/CapArray.pdf,//media.digikey.com/photos/AVX%20Photos/4-ARRAY%20SERIES%200612.jpg,478-11168-2-ND,W3A45C473KAT2A,AVX Corporation,CAP ARRAY 0.047UF 50V X7R 0612,84000,0,"0.05942","0","4000","Tape & Reel (TR)","IPC","Active","0.047µF","±10%","50V","Ceramic","4","Isolated","X7R","-","Surface Mount","0612 (1632 Metric)","0.063"" L x 0.126"" W (1.60mm x 3.20mm)","0.053"" (1.35mm)"
http://datasheets.avx.com/CapArray.pdf,//media.digikey.com/photos/AVX%20Photos/4-ARRAY%20SERIES%200612.jpg,478-11168-1-ND,W3A45C473KAT2A,AVX Corporation,CAP ARRAY 0.047UF 50V X7R 0612,88002,0,"0.32000","0","1","Cut Tape (CT)","IPC","Active","0.047µF","±10%","50V","Ceramic","4","Isolated","X7R","-","Surface Mount","0612 (1632 Metric)","0.063"" L x 0.126"" W (1.60mm x 3.20mm)","0.053"" (1.35mm)"
http://datasheets.avx.com/CapArray.pdf,//media.digikey.com/photos/AVX%20Photos/4-ARRAY%20SERIES%200612.jpg,478-11168-6-ND,W3A45C473KAT2A,AVX Corporation,CAP ARRAY 0.047UF 50V X7R 0612,88002,0,"Digi-Reel","0","1","Digi-Reel®","IPC","Active","0.047µF","±10%","50V","Ceramic","4","Isolated","X7R","-","Surface Mount","0612 (1632 Metric)","0.063"" L x 0.126"" W (1.60mm x 3.20mm)","0.053"" (1.35mm)"
http://datasheets.avx.com/CapArray.pdf,//media.digikey.com/photos/AVX%20Photos/4-ARRAY%20SERIES%200612.jpg,478-11169-2-ND,W3A4YC103KAT2A,AVX Corporation,CAP ARRAY 10000PF 16V X7R 0612,24000,0,"0.05942","0","4000","Tape & Reel (TR)","IPC","Active","10000pF","±10%","16V","Ceramic","4","Isolated","X7R","-","Surface Mount","0612 (1632 Metric)","0.063"" L x 0.126"" W (1.60mm x 3.20mm)","0.053"" (1.35mm)"
http://datasheets.avx.com/CapArray.pdf,//media.digikey.com/photos/AVX%20Photos/4-ARRAY%20SERIES%200612.jpg,478-11169-1-ND,W3A4YC103KAT2A,AVX Corporation,CAP ARRAY 10000PF 16V X7R 0612,24000,0,"0.32000","0","1","Cut Tape (CT)","IPC","Active","10000pF","±10%","16V","Ceramic","4","Isolated","X7R","-","Surface Mount","0612 (1632 Metric)","0.063"" L x 0.126"" W (1.60mm x 3.20mm)","0.053"" (1.35mm)"
http://datasheets.avx.com/CapArray.pdf,//media.digikey.com/photos/AVX%20Photos/4-ARRAY%20SERIES%200612.jpg,478-11169-6-ND,W3A4YC103KAT2A,AVX Corporation,CAP ARRAY 10000PF 16V X7R 0612,24000,0,"Digi-Reel","0","1","Digi-Reel®","IPC","Active","10000pF","±10%","16V","Ceramic","4","Isolated","X7R","-","Surface Mount","0612 (1632 Metric)","0.063"" L x 0.126"" W (1.60mm x 3.20mm)","0.053"" (1.35mm)"
//media.digikey.com/pdf/Data%20Sheets/Kemet%20PDFs/X7R_Dielectric_10-200V_Rev_Nov2013.pdf,//media.digikey.com/Renders/Kemet%20Renders/0612%20(1632%20Metric)%20Kemet.jpg,399-9416-2-ND,CA064C103M5RAC7800,KEMET,CAP ARRAY 10000PF 50V X7R 0612,8000,0,"0.08500","0","4000","Tape & Reel (TR)","-","Active","10000pF","±20%","50V","Ceramic","4","Isolated","X7R","-","Surface Mount","0612 (1632 Metric)","0.063"" L x 0.126"" W (1.60mm x 3.20mm)","0.035"" (0.90mm)"
