Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage - Rated","Temperature Coefficient","Operating Temperature","Features","Ratings","Applications","Failure Rate","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Lead Style"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM0335C1E101JA01-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0201-(0603-Metric)-0,33mm.jpg",490-3160-2-ND,GRM0335C1E101JA01D,Murata Electronics North America,CAP CER 100PF 25V C0G/NP0 0201,3945000,0,"0.00240","0","15000","Tape & Reel (TR)","GRM","Active","100pF","±5%","25V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM0335C1E101JA01-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0201-(0603-Metric)-0,33mm.jpg",490-3160-1-ND,GRM0335C1E101JA01D,Murata Electronics North America,CAP CER 100PF 25V C0G/NP0 0201,3948284,0,"0.10000","0","1","Cut Tape (CT)","GRM","Active","100pF","±5%","25V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM0335C1E101JA01-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0201-(0603-Metric)-0,33mm.jpg",490-3160-6-ND,GRM0335C1E101JA01D,Murata Electronics North America,CAP CER 100PF 25V C0G/NP0 0201,3953284,0,"Digi-Reel","0","1","Digi-Reel®","GRM","Active","100pF","±5%","25V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM0335C1H330JA01-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0201-(0603-Metric)-0,33mm.jpg",490-6126-2-ND,GRM0335C1H330JA01D,Murata Electronics North America,CAP CER 33PF 50V C0G/NP0 0201,3990000,0,"0.00240","0","15000","Tape & Reel (TR)","GRM","Active","33pF","±5%","50V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM0335C1H330JA01-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0201-(0603-Metric)-0,33mm.jpg",490-6126-1-ND,GRM0335C1H330JA01D,Murata Electronics North America,CAP CER 33PF 50V C0G/NP0 0201,3998434,0,"0.10000","0","1","Cut Tape (CT)","GRM","Active","33pF","±5%","50V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM0335C1H330JA01-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0201-(0603-Metric)-0,33mm.jpg",490-6126-6-ND,GRM0335C1H330JA01D,Murata Electronics North America,CAP CER 33PF 50V C0G/NP0 0201,3998434,0,"Digi-Reel","0","1","Digi-Reel®","GRM","Active","33pF","±5%","50V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM0335C1H101JA01-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0201-(0603-Metric)-0,33mm.jpg",490-6113-2-ND,GRM0335C1H101JA01D,Murata Electronics North America,CAP CER 100PF 50V C0G/NP0 0201,3480000,0,"0.00240","0","15000","Tape & Reel (TR)","GRM","Active","100pF","±5%","50V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM0335C1H101JA01-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0201-(0603-Metric)-0,33mm.jpg",490-6113-1-ND,GRM0335C1H101JA01D,Murata Electronics North America,CAP CER 100PF 50V C0G/NP0 0201,3506699,0,"0.10000","0","1","Cut Tape (CT)","GRM","Active","100pF","±5%","50V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM0335C1H101JA01-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0201-(0603-Metric)-0,33mm.jpg",490-6113-6-ND,GRM0335C1H101JA01D,Murata Electronics North America,CAP CER 100PF 50V C0G/NP0 0201,3506699,0,"Digi-Reel","0","1","Digi-Reel®","GRM","Active","100pF","±5%","50V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM0335C1E100JA01-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0201-(0603-Metric)-0,33mm.jpg",490-8607-2-ND,GRM0335C1E100JA01D,Murata Electronics North America,CAP CER 10PF 25V C0G/NP0 0201,2490000,0,"0.00240","0","15000","Tape & Reel (TR)","GRM","Active","10pF","±5%","25V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM0335C1E100JA01-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0201-(0603-Metric)-0,33mm.jpg",490-8607-1-ND,GRM0335C1E100JA01D,Murata Electronics North America,CAP CER 10PF 25V C0G/NP0 0201,2502406,0,"0.10000","0","1","Cut Tape (CT)","GRM","Active","10pF","±5%","25V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM0335C1E100JA01-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0201-(0603-Metric)-0,33mm.jpg",490-8607-6-ND,GRM0335C1E100JA01D,Murata Electronics North America,CAP CER 10PF 25V C0G/NP0 0201,2502406,0,"Digi-Reel","0","1","Digi-Reel®","GRM","Active","10pF","±5%","25V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx?la=en-us,"//media.digikey.com/Renders/Murata%20Renders/0201-(0603-Metric)-0,33mm.jpg",490-5405-2-ND,GRM033R61A104ME15D,Murata Electronics North America,CAP CER 0.1UF 10V X5R 0201,5205000,0,"0.00260","0","15000","Tape & Reel (TR)","GRM","Active","0.1µF","±20%","10V","X5R","-55°C ~ 85°C","-","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx?la=en-us,"//media.digikey.com/Renders/Murata%20Renders/0201-(0603-Metric)-0,33mm.jpg",490-5405-1-ND,GRM033R61A104ME15D,Murata Electronics North America,CAP CER 0.1UF 10V X5R 0201,5223879,0,"0.10000","0","1","Cut Tape (CT)","GRM","Active","0.1µF","±20%","10V","X5R","-55°C ~ 85°C","-","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx?la=en-us,"//media.digikey.com/Renders/Murata%20Renders/0201-(0603-Metric)-0,33mm.jpg",490-5405-6-ND,GRM033R61A104ME15D,Murata Electronics North America,CAP CER 0.1UF 10V X5R 0201,5223879,0,"Digi-Reel","0","1","Digi-Reel®","GRM","Active","0.1µF","±20%","10V","X5R","-55°C ~ 85°C","-","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
http://www.samsungsem.com/kr/support/product-search/mlcc/CL03A104KQ3NNNC.jsp,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/0805-(1.40)-CL-Series.jpg,1276-1013-2-ND,CL03A104KQ3NNNC,Samsung Electro-Mechanics,CAP CER 0.1UF 6.3V X5R 0201,21200000,0,"0.00273","0","10000","Tape & Reel (TR)","CL","Active","0.1µF","±10%","6.3V","X5R","-55°C ~ 85°C","-","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
http://www.samsungsem.com/kr/support/product-search/mlcc/CL03A104KQ3NNNC.jsp,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/0805-(1.40)-CL-Series.jpg,1276-1013-1-ND,CL03A104KQ3NNNC,Samsung Electro-Mechanics,CAP CER 0.1UF 6.3V X5R 0201,21204473,0,"0.10000","0","1","Cut Tape (CT)","CL","Active","0.1µF","±10%","6.3V","X5R","-55°C ~ 85°C","-","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
http://www.samsungsem.com/kr/support/product-search/mlcc/CL03A104KQ3NNNC.jsp,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/0805-(1.40)-CL-Series.jpg,1276-1013-6-ND,CL03A104KQ3NNNC,Samsung Electro-Mechanics,CAP CER 0.1UF 6.3V X5R 0201,21204473,0,"Digi-Reel","0","1","Digi-Reel®","CL","Active","0.1µF","±10%","6.3V","X5R","-55°C ~ 85°C","-","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM033R61E103KA12-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0201-(0603-Metric)-0,33mm.jpg",490-7194-2-ND,GRM033R61E103KA12D,Murata Electronics North America,CAP CER 10000PF 25V X5R 0201,1980000,0,"0.00300","0","15000","Tape & Reel (TR)","GRM","Active","10000pF","±10%","25V","X5R","-55°C ~ 85°C","-","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM033R61E103KA12-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0201-(0603-Metric)-0,33mm.jpg",490-7194-1-ND,GRM033R61E103KA12D,Murata Electronics North America,CAP CER 10000PF 25V X5R 0201,1992021,0,"0.10000","0","1","Cut Tape (CT)","GRM","Active","10000pF","±10%","25V","X5R","-55°C ~ 85°C","-","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM033R61E103KA12-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0201-(0603-Metric)-0,33mm.jpg",490-7194-6-ND,GRM033R61E103KA12D,Murata Electronics North America,CAP CER 10000PF 25V X5R 0201,1992021,0,"Digi-Reel","0","1","Digi-Reel®","GRM","Active","10000pF","±10%","25V","X5R","-55°C ~ 85°C","-","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
http://www.samsungsem.com/kr/support/product-search/mlcc/CL05F104ZO5NNNC.jsp,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/0805-(1.40)-CL-Series.jpg,1276-1004-2-ND,CL05F104ZO5NNNC,Samsung Electro-Mechanics,CAP CER 0.1UF 16V Y5V 0402,9860000,0,"0.00315","0","10000","Tape & Reel (TR)","CL","Active","0.1µF","-20%, +80%","16V","Y5V (F)","-30°C ~ 85°C","-","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
http://www.samsungsem.com/kr/support/product-search/mlcc/CL05F104ZO5NNNC.jsp,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/0805-(1.40)-CL-Series.jpg,1276-1004-1-ND,CL05F104ZO5NNNC,Samsung Electro-Mechanics,CAP CER 0.1UF 16V Y5V 0402,9860983,0,"0.10000","0","1","Cut Tape (CT)","CL","Active","0.1µF","-20%, +80%","16V","Y5V (F)","-30°C ~ 85°C","-","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
