Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage - Rated","ESR (Equivalent Series Resistance)","Lifetime @ Temp.","Termination","Mounting Type","Package / Case","Lead Spacing","Size / Dimension","Height - Seated (Max)","Operating Temperature"
https://www.sii.co.jp/en/me/files/2016/02/English_Micro-Battery-2016.pdf,//media.digikey.com/photos/Seiko%20Instr%20Photos/XH311HU-IV07E.JPG,728-1086-2-ND,XH311HU-IV07E,Seiko Instruments,CAP 35MF 3.3V SURFACE MNT,28000,0,"0.60750","0","4000","Tape & Reel (TR)","XH","Not For New Designs","35mF","-","3.3V","-","-","SMD (SMT) Tabs","Surface Mount","Coin, Wide and Corner Terminals","-","0.150"" Dia (3.80mm)","0.059"" (1.50mm)","-20°C ~ 60°C"
https://www.sii.co.jp/en/me/files/2016/02/English_Micro-Battery-2016.pdf,//media.digikey.com/photos/Seiko%20Instr%20Photos/XH311HU-IV07E.JPG,728-1086-1-ND,XH311HU-IV07E,Seiko Instruments,CAP 35MF 3.3V SURFACE MNT,31169,0,"1.76000","0","1","Cut Tape (CT)","XH","Not For New Designs","35mF","-","3.3V","-","-","SMD (SMT) Tabs","Surface Mount","Coin, Wide and Corner Terminals","-","0.150"" Dia (3.80mm)","0.059"" (1.50mm)","-20°C ~ 60°C"
https://www.sii.co.jp/en/me/files/2016/02/English_Micro-Battery-2016.pdf,//media.digikey.com/photos/Seiko%20Instr%20Photos/XH311HU-IV07E.JPG,728-1086-6-ND,XH311HU-IV07E,Seiko Instruments,CAP 35MF 3.3V SURFACE MNT,31169,0,"Digi-Reel","0","1","Digi-Reel®","XH","Not For New Designs","35mF","-","3.3V","-","-","SMD (SMT) Tabs","Surface Mount","Coin, Wide and Corner Terminals","-","0.150"" Dia (3.80mm)","0.059"" (1.50mm)","-20°C ~ 60°C"
"//media.digikey.com/pdf/Data%20Sheets/Elna%20America%20Inc/DS,DSK.pdf",//media.digikey.com/Photos/Elna%20America%20Photos/DSKW-SERIES.jpg,604-1020-2-ND,DSK-3R3H224U-HL,Elna America,CAP 220MF -20% +80% 3.3V SMD,88500,0,"0.64815","0","1500","Tape & Reel (TR)","DSK","Active","220mF","-20%, +80%","3.3V","200Ohm","1000 Hrs @ 60°C","SMD (SMT) Tabs","Surface Mount","Coin, Wide Terminals - Opposite Sides","-","0.268"" Dia (6.80mm)","0.118"" (3.00mm)","-10°C ~ 60°C"
"//media.digikey.com/pdf/Data%20Sheets/Elna%20America%20Inc/DS,DSK.pdf",//media.digikey.com/Photos/Elna%20America%20Photos/DSKW-SERIES.jpg,604-1020-1-ND,DSK-3R3H224U-HL,Elna America,CAP 220MF -20% +80% 3.3V SMD,88883,0,"1.89000","0","1","Cut Tape (CT)","DSK","Active","220mF","-20%, +80%","3.3V","200Ohm","1000 Hrs @ 60°C","SMD (SMT) Tabs","Surface Mount","Coin, Wide Terminals - Opposite Sides","-","0.268"" Dia (6.80mm)","0.118"" (3.00mm)","-10°C ~ 60°C"
"//media.digikey.com/pdf/Data%20Sheets/Elna%20America%20Inc/DS,DSK.pdf",//media.digikey.com/Photos/Elna%20America%20Photos/DSKW-SERIES.jpg,604-1020-6-ND,DSK-3R3H224U-HL,Elna America,CAP 220MF -20% +80% 3.3V SMD,88883,0,"Digi-Reel","0","1","Digi-Reel®","DSK","Active","220mF","-20%, +80%","3.3V","200Ohm","1000 Hrs @ 60°C","SMD (SMT) Tabs","Surface Mount","Coin, Wide Terminals - Opposite Sides","-","0.268"" Dia (6.80mm)","0.118"" (3.00mm)","-10°C ~ 60°C"
http://nichicon-us.com/english/products/pdfs/e-juw.pdf,//media.digikey.com/Photos/Nichicon%20Photos/JUWT1105MCD.JPG,493-4330-ND,JUWT1105MCD,Nichicon,CAP 1F 20% 2.7V T/H,211076,0,"0.71000","0","1","Bulk","EVerCAP® JUW","Active","1F","±20%","2.7V","4Ohm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.098"" (2.50mm)","0.248"" Dia (6.30mm)","0.413"" (10.50mm)","-25°C ~ 70°C"
"//media.digikey.com/pdf/Data%20Sheets/Seiko%20Instruments%20PDFs/XH414HG,%20XH409HG.pdf",//media.digikey.com/photos/Seiko%20Instr%20Photos/XH414HG-IV01E.JPG,728-1050-2-ND,XH414HG-IV01E,Seiko Instruments,CAP 80MF 3.3V SURFACE MNT,64000,0,"0.71500","0","4000","Tape & Reel (TR)","XH-HG","Not For New Designs","80mF","-","3.3V","-","-","SMD (SMT) Tabs","Surface Mount","Coin, Wide and Corner Terminals","-","0.189"" Dia (4.80mm)","0.073"" (1.85mm)","-20°C ~ 60°C"
"//media.digikey.com/pdf/Data%20Sheets/Seiko%20Instruments%20PDFs/XH414HG,%20XH409HG.pdf",//media.digikey.com/photos/Seiko%20Instr%20Photos/XH414HG-IV01E.JPG,728-1050-1-ND,XH414HG-IV01E,Seiko Instruments,CAP 80MF 3.3V SURFACE MNT,66195,0,"2.15000","0","1","Cut Tape (CT)","XH-HG","Not For New Designs","80mF","-","3.3V","-","-","SMD (SMT) Tabs","Surface Mount","Coin, Wide and Corner Terminals","-","0.189"" Dia (4.80mm)","0.073"" (1.85mm)","-20°C ~ 60°C"
"//media.digikey.com/pdf/Data%20Sheets/Seiko%20Instruments%20PDFs/XH414HG,%20XH409HG.pdf",//media.digikey.com/photos/Seiko%20Instr%20Photos/XH414HG-IV01E.JPG,728-1050-6-ND,XH414HG-IV01E,Seiko Instruments,CAP 80MF 3.3V SURFACE MNT,66195,0,"Digi-Reel","0","1","Digi-Reel®","XH-HG","Not For New Designs","80mF","-","3.3V","-","-","SMD (SMT) Tabs","Surface Mount","Coin, Wide and Corner Terminals","-","0.189"" Dia (4.80mm)","0.073"" (1.85mm)","-20°C ~ 60°C"
