Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage Rating - AC","Voltage Rating - DC","Dielectric Material","ESR (Equivalent Series Resistance)","Operating Temperature","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Termination","Lead Spacing","Applications","Ratings","Features"
https://api.kemet.com/component-edge/download/datasheet/R82EC3220DQ70J.pdf,//media.digikey.com/Photos/Kemet%20Photos/R82EC.JPG,399-9699-3-ND,R82EC3220DQ70J,KEMET,CAP FILM 0.22UF 5% 100VDC RADIAL,125000,0,"0.07866","0","2500","Tape & Box (TB)","R82","Active","0.22µF","±5%","63V","100V","Polyester, Polyethylene Terephthalate (PET), Metallized - Stacked","-","-55°C ~ 105°C","Through Hole","Radial","0.283"" L x 0.138"" W (7.20mm x 3.50mm)","0.295"" (7.50mm)","PC Pins","0.197"" (5.00mm)","Automotive","AEC-Q200","-"
https://api.kemet.com/component-edge/download/datasheet/R82EC3220DQ70J.pdf,//media.digikey.com/Photos/Kemet%20Photos/R82EC.JPG,399-9699-1-ND,R82EC3220DQ70J,KEMET,CAP FILM 0.22UF 5% 100VDC RADIAL,125370,0,"0.36000","0","1","Cut Tape (CT)","R82","Active","0.22µF","±5%","63V","100V","Polyester, Polyethylene Terephthalate (PET), Metallized - Stacked","-","-55°C ~ 105°C","Through Hole","Radial","0.283"" L x 0.138"" W (7.20mm x 3.50mm)","0.295"" (7.50mm)","PC Pins","0.197"" (5.00mm)","Automotive","AEC-Q200","-"
https://api.kemet.com/component-edge/download/datasheet/R82DC3470DQ60J.pdf,//media.digikey.com/Photos/Kemet%20Photos/R82EC1150AA50J.JPG,399-5446-3-ND,R82DC3470DQ60J,KEMET,CAP FILM 0.47UF 5% 63VDC RADIAL,35000,0,"0.09036","0","2500","Tape & Box (TB)","R82","Active","0.47µF","±5%","40V","63V","Polyester, Polyethylene Terephthalate (PET), Metallized - Stacked","-","-55°C ~ 105°C","Through Hole","Radial","0.283"" L x 0.138"" W (7.20mm x 3.50mm)","0.299"" (7.60mm)","PC Pins","0.197"" (5.00mm)","Automotive","AEC-Q200","-"
https://api.kemet.com/component-edge/download/datasheet/R82DC3470DQ60J.pdf,//media.digikey.com/Photos/Kemet%20Photos/R82EC1150AA50J.JPG,399-5446-1-ND,R82DC3470DQ60J,KEMET,CAP FILM 0.47UF 5% 63VDC RADIAL,36626,0,"0.42000","0","1","Cut Tape (CT)","R82","Active","0.47µF","±5%","40V","63V","Polyester, Polyethylene Terephthalate (PET), Metallized - Stacked","-","-55°C ~ 105°C","Through Hole","Radial","0.283"" L x 0.138"" W (7.20mm x 3.50mm)","0.299"" (7.60mm)","PC Pins","0.197"" (5.00mm)","Automotive","AEC-Q200","-"
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1C102JX5+7+WW,//media.digikey.com/Renders/Panasonic%20Elect%20Works%20Renders/ECHU-(K1).jpg,PCF1471TR-ND,ECH-U1C102JX5,Panasonic Electronic Components,CAP FILM 1000PF 5% 16VDC 0603,16000,0,"0.10438","0","4000","Tape & Reel (TR)","ECH-U(X)","Active","1000pF","±5%","-","16V","Polyphenylene Sulfide (PPS), Metallized - Stacked","-","-55°C ~ 125°C","Surface Mount","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.033"" (0.85mm)","Solder Pads","-","General Purpose","-","-"
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1C102JX5+7+WW,//media.digikey.com/Renders/Panasonic%20Elect%20Works%20Renders/ECHU-(K1).jpg,PCF1471CT-ND,ECH-U1C102JX5,Panasonic Electronic Components,CAP FILM 1000PF 5% 16VDC 0603,17862,0,"0.41000","0","1","Cut Tape (CT)","ECH-U(X)","Active","1000pF","±5%","-","16V","Polyphenylene Sulfide (PPS), Metallized - Stacked","-","-55°C ~ 125°C","Surface Mount","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.033"" (0.85mm)","Solder Pads","-","General Purpose","-","-"
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1C102JX5+7+WW,//media.digikey.com/Renders/Panasonic%20Elect%20Works%20Renders/ECHU-(K1).jpg,PCF1471DKR-ND,ECH-U1C102JX5,Panasonic Electronic Components,CAP FILM 1000PF 5% 16VDC 0603,17862,0,"Digi-Reel","0","1","Digi-Reel®","ECH-U(X)","Active","1000pF","±5%","-","16V","Polyphenylene Sulfide (PPS), Metallized - Stacked","-","-55°C ~ 125°C","Surface Mount","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.033"" (0.85mm)","Solder Pads","-","General Purpose","-","-"
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1C101GX5+7+WW,//media.digikey.com/Renders/Panasonic%20Elect%20Works%20Renders/ECHU-(K1).jpg,PCF1441TR-ND,ECH-U1C101GX5,Panasonic Electronic Components,CAP FILM 100PF 2% 16VDC 0603,24000,0,"0.10693","0","4000","Tape & Reel (TR)","ECH-U(X)","Active","100pF","±2%","-","16V","Polyphenylene Sulfide (PPS), Metallized - Stacked","-","-55°C ~ 125°C","Surface Mount","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.033"" (0.85mm)","Solder Pads","-","General Purpose","-","-"
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1C101GX5+7+WW,//media.digikey.com/Renders/Panasonic%20Elect%20Works%20Renders/ECHU-(K1).jpg,PCF1441CT-ND,ECH-U1C101GX5,Panasonic Electronic Components,CAP FILM 100PF 2% 16VDC 0603,27494,0,"0.42000","0","1","Cut Tape (CT)","ECH-U(X)","Active","100pF","±2%","-","16V","Polyphenylene Sulfide (PPS), Metallized - Stacked","-","-55°C ~ 125°C","Surface Mount","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.033"" (0.85mm)","Solder Pads","-","General Purpose","-","-"
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABD0013+ECHU1C101GX5+7+WW,//media.digikey.com/Renders/Panasonic%20Elect%20Works%20Renders/ECHU-(K1).jpg,PCF1441DKR-ND,ECH-U1C101GX5,Panasonic Electronic Components,CAP FILM 100PF 2% 16VDC 0603,27494,0,"Digi-Reel","0","1","Digi-Reel®","ECH-U(X)","Active","100pF","±2%","-","16V","Polyphenylene Sulfide (PPS), Metallized - Stacked","-","-55°C ~ 125°C","Surface Mount","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.033"" (0.85mm)","Solder Pads","-","General Purpose","-","-"
